latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
34.37500,72.92500,Abbottabad,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00010,0.00000,-9.47500,0.42100,-9.24100,0.45500,-9.07800,0.82600,-9.88900,0.36300,-9.26600,0.20700,-9.83600,0.57600,-9.25100,0.35800,-9.11700,0.48800,-11.52900,0.30300,-11.58400,0.32000,-11.67500,0.38700,-11.60700,0.29600,-11.60700,0.24100,-11.70000,0.32400,-11.78400,0.31600,-11.56400,0.36400,-11.72300,0.28200,-11.63900,0.33700,-11.71300,0.27600,-9.18300,0.39800,-9.10900,0.40100,-9.34600,0.34400,-8.73600,0.52100,-9.04500,0.31700,-8.80600,0.48700,-8.88600,0.25700,-9.07000,0.30000,-9.13300,0.49100,-9.11700,0.38500,-8.99500,0.47100,-9.03700,0.46900,-9.02700,0.44500,-9.02700,0.30100,0,-9999,-9999,-9999,25507286,22.54000,6.69000
34.37500,72.97500,Abbottabad,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9.46200,0.42100,-9.23800,0.46600,-9.06100,0.83300,-9.88100,0.36400,-9.25300,0.20800,-9.79700,0.54600,-9.24200,0.35500,-9.09900,0.47900,-11.50700,0.30900,-11.54200,0.31800,-11.65300,0.37500,-11.59100,0.31500,-11.56400,0.23400,-11.68300,0.31400,-11.73800,0.32900,-11.51500,0.37100,-11.67200,0.30500,-11.55200,0.34900,-11.64800,0.24900,-9.16800,0.40200,-9.05600,0.42200,-9.32500,0.35300,-8.74100,0.54200,-9.02800,0.30500,-8.78100,0.49600,-8.82300,0.26200,-9.02300,0.31200,-9.07200,0.49400,-9.03000,0.38100,-8.95100,0.47900,-8.96200,0.49300,-8.95800,0.44700,-8.95300,0.31100,0,-9999,-9999,-9999,25507286,29.18000,7.29000
34.37500,73.02500,Abbottabad,0,0.00000,0.00000,0.00020,27.00000,0.00020,30.00000,0.00020,270.00000,-9.43400,0.42100,-9.22800,0.49300,-9.02000,0.84600,-9.86400,0.36700,-9.22100,0.20800,-9.69700,0.47000,-9.21600,0.34800,-9.05600,0.45700,-11.46200,0.30400,-11.47000,0.31100,-11.60700,0.36300,-11.53600,0.32900,-11.47500,0.24100,-11.63500,0.30700,-11.65400,0.35000,-11.42200,0.38400,-11.56400,0.33700,-11.43100,0.37800,-11.55900,0.23000,-9.15000,0.40900,-8.99600,0.43100,-9.30000,0.36200,-8.73500,0.57000,-9.00100,0.29700,-8.70800,0.54400,-8.73400,0.27700,-8.95500,0.33400,-8.98900,0.50700,-8.95300,0.39300,-8.90300,0.49200,-8.88100,0.51300,-8.83500,0.46400,-8.87200,0.34000,0,-9999,-9999,-9999,25507286,16.51000,5.29000
34.37500,73.07500,Abbottabad,0,0.00020,42.00000,0.00060,595.00000,0.00060,644.00000,0.00080,2517.00000,-9.43700,0.42000,-9.22400,0.49600,-9.01100,0.84100,-9.86100,0.36600,-9.21900,0.20400,-9.67200,0.45500,-9.21000,0.34500,-9.06000,0.44400,-11.40300,0.28500,-11.39400,0.30300,-11.54000,0.36100,-11.46400,0.33600,-11.36500,0.26800,-11.57100,0.30900,-11.56300,0.36000,-11.31900,0.38900,-11.44500,0.37100,-11.29600,0.40400,-11.46700,0.21800,-9.12600,0.41900,-8.94900,0.44600,-9.27500,0.36600,-8.71400,0.58800,-8.95800,0.29200,-8.63500,0.56700,-8.64500,0.29600,-8.89000,0.35800,-8.89400,0.54000,-8.87600,0.41500,-8.84200,0.50500,-8.81000,0.52800,-8.70900,0.49900,-8.77400,0.39200,0,-9999,-9999,-9999,25507286,12.72000,4.48000
34.37500,73.12500,Abbottabad,1,0.00400,698.00000,0.00440,2004.00000,0.00470,2209.00000,0.00500,4699.00000,-9.33600,0.39600,-9.11600,0.52700,-8.92500,0.79500,-9.73100,0.35800,-9.11600,0.19400,-9.42800,0.31800,-9.10900,0.31400,-8.95300,0.40600,-11.33100,0.28400,-11.33200,0.29000,-11.47700,0.36200,-11.39600,0.35000,-11.25100,0.30300,-11.48000,0.30400,-11.48700,0.36800,-11.20700,0.39000,-11.32800,0.38900,-11.18400,0.42100,-11.36900,0.21600,-9.09500,0.42300,-8.89600,0.46400,-9.22900,0.35800,-8.66100,0.60600,-8.91200,0.29200,-8.58000,0.58800,-8.53900,0.32100,-8.79000,0.38500,-8.76800,0.56200,-8.77100,0.39300,-8.74300,0.50300,-8.69800,0.55700,-8.54700,0.52300,-8.62300,0.42900,0,-9999,-9999,-9999,25507286,13.28000,4.60000
34.37500,73.17500,Abbottabad,1,0.01560,18746.00000,0.01580,29176.00000,0.01900,35109.00000,0.02040,50630.00000,-9.35000,0.39600,-9.12100,0.52800,-8.92400,0.79200,-9.74100,0.35700,-9.12800,0.19300,-9.42800,0.31500,-9.11400,0.31400,-8.96700,0.40100,-11.26400,0.27000,-11.26100,0.26200,-11.44100,0.36800,-11.32900,0.36700,-11.16000,0.34400,-11.38800,0.28400,-11.40400,0.37000,-11.10700,0.37700,-11.23400,0.38000,-11.08200,0.41600,-11.28500,0.21500,-9.02500,0.41700,-8.83400,0.48300,-9.13600,0.35300,-8.56700,0.62500,-8.80900,0.31900,-8.50000,0.58900,-8.42100,0.33300,-8.64700,0.39800,-8.61800,0.54200,-8.66000,0.39200,-8.54900,0.46800,-8.54000,0.57800,-8.37800,0.52200,-8.43600,0.45600,0,-9999,-9999,-9999,25507286,9.45000,3.86000
34.37500,73.22500,Abbottabad,2,0.01570,26032.00000,0.01630,41474.00000,0.01930,53170.00000,0.02140,73703.00000,-9.18700,0.36000,-8.94400,0.55200,-8.78700,0.73500,-9.48500,0.31800,-8.96600,0.19000,-9.13100,0.31800,-8.96400,0.28700,-8.80900,0.36800,-11.21600,0.28400,-11.20700,0.25600,-11.42200,0.34600,-11.28300,0.35200,-11.12700,0.36600,-11.32900,0.28600,-11.36600,0.37200,-11.04500,0.35900,-11.19900,0.36800,-11.03100,0.38700,-11.24500,0.19600,-8.96000,0.41500,-8.77900,0.48200,-9.02800,0.35900,-8.49300,0.59600,-8.70000,0.32000,-8.42400,0.55900,-8.36900,0.32600,-8.56700,0.39000,-8.52900,0.51100,-8.56600,0.38700,-8.42200,0.41300,-8.48700,0.54600,-8.28300,0.47700,-8.35000,0.43600,0,-9999,-9999,-9999,25507286,7.36000,3.12000
34.37500,73.27500,Abbottabad,1,0.00490,6381.00000,0.00510,10132.00000,0.00570,11201.00000,0.00700,12845.00000,-9.18900,0.35900,-8.93900,0.54900,-8.78200,0.72900,-9.48100,0.31500,-8.96600,0.18900,-9.12700,0.31900,-8.96300,0.28700,-8.81000,0.36300,-11.18200,0.28600,-11.18100,0.28100,-11.40800,0.33100,-11.28000,0.30900,-11.12000,0.34900,-11.31000,0.28400,-11.32500,0.37100,-11.00800,0.33100,-11.19200,0.33200,-11.01000,0.32600,-11.20200,0.18500,-8.89200,0.40700,-8.74100,0.46800,-8.93700,0.34700,-8.42800,0.55500,-8.62200,0.30500,-8.35500,0.52500,-8.35000,0.31000,-8.50900,0.37500,-8.46000,0.47900,-8.49400,0.38300,-8.36500,0.39000,-8.42700,0.53000,-8.23400,0.44300,-8.33000,0.42200,0,-9999,-9999,-9999,25507286,14.56000,5.25000
34.37500,73.32500,Abbottabad,0,0.00200,2749.00000,0.00210,4336.00000,0.00230,5098.00000,0.00240,5516.00000,-9.00500,0.34100,-8.75800,0.53400,-8.60600,0.67800,-9.20800,0.28300,-8.79700,0.20000,-8.87900,0.36200,-8.79600,0.27900,-8.63200,0.33800,-11.16200,0.27000,-11.17100,0.29600,-11.38300,0.31400,-11.27500,0.26800,-11.12200,0.34100,-11.30900,0.28500,-11.26300,0.35700,-10.99900,0.29000,-11.19800,0.29700,-11.01400,0.28600,-11.16400,0.19500,-8.81200,0.37700,-8.65300,0.42300,-8.82800,0.33200,-8.33500,0.49600,-8.54000,0.30100,-8.27800,0.46500,-8.31200,0.27500,-8.44500,0.35400,-8.38400,0.45300,-8.43300,0.37200,-8.29300,0.37000,-8.30500,0.48300,-8.16400,0.42000,-8.30400,0.40400,0,-9999,-9999,-9999,25507286,21.38000,6.37000
34.37500,73.37500,Abbottabad,0,0.00150,19185.00000,0.00280,26909.00000,0.00340,37482.00000,0.00390,40234.00000,-9.01400,0.34200,-8.75700,0.53100,-8.60500,0.67300,-9.21200,0.28000,-8.80500,0.20000,-8.88200,0.36000,-8.80200,0.28000,-8.63700,0.33200,-11.17000,0.28300,-11.19200,0.32000,-11.37500,0.29600,-11.27300,0.26600,-11.14700,0.33300,-11.32700,0.27200,-11.24200,0.33500,-11.00100,0.27500,-11.21700,0.28000,-11.02500,0.25500,-11.12400,0.20700,-8.63900,0.29900,-8.52700,0.36600,-8.67600,0.29300,-8.22300,0.45100,-8.41000,0.29300,-8.15800,0.41000,-8.22400,0.21400,-8.35800,0.34600,-8.29500,0.41600,-8.34700,0.34200,-8.19000,0.32800,-8.18900,0.42800,-8.09700,0.42300,-8.22800,0.35800,0,-9999,-9999,-9999,25507286,21.71000,6.18000
