latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
5.57500,-4.27500,Abidjan,0,0.00490,220.00000,0.00490,427.00000,0.00530,513.00000,0.00660,381.00000,-7.51500,0.12000,-7.46600,0.18400,-7.47600,0.13200,-7.42000,0.16100,-7.61800,0.17400,-7.73800,0.10600,-7.55200,0.14300,-7.64700,0.38600,-8.64200,0.20500,-8.62000,0.22700,-8.56900,0.18300,-8.63100,0.22200,-8.71100,0.23900,-8.64300,0.18500,-8.61200,0.26100,-8.60300,0.22100,-8.57500,0.21400,-8.65200,0.17200,-8.68900,0.23900,-7.29800,0.13900,-7.41400,0.12800,-7.39100,0.15000,-7.32100,0.21300,-7.46500,0.14900,-7.58200,0.15900,-7.50000,0.13600,-7.37900,0.16200,-7.57500,0.14700,-7.58600,0.14100,-7.39600,0.12300,-7.34500,0.31100,-7.41000,0.12900,-7.53700,0.21500,0,-9999,-9999,-9999,30630990,17.52000,8.08000
5.57500,-4.22500,Abidjan,0,0.00760,995.00000,0.00760,1933.00000,0.00860,2397.00000,0.01120,2210.00000,-7.51900,0.11400,-7.49100,0.16200,-7.47800,0.12100,-7.42800,0.16900,-7.63300,0.17500,-7.74900,0.11300,-7.54000,0.14400,-7.63300,0.38400,-8.69200,0.19300,-8.70200,0.24500,-8.65300,0.18900,-8.67800,0.18100,-8.77600,0.24900,-8.69200,0.19100,-8.69800,0.23900,-8.67600,0.23500,-8.64500,0.21600,-8.71400,0.15800,-8.74900,0.23200,-7.33400,0.15200,-7.44800,0.12500,-7.40400,0.16700,-7.31400,0.21200,-7.48800,0.16500,-7.58400,0.16300,-7.49800,0.14400,-7.39500,0.15800,-7.55000,0.13800,-7.58800,0.15900,-7.40400,0.13000,-7.35200,0.32500,-7.38000,0.12800,-7.56500,0.20800,0,-9999,-9999,-9999,30630990,16.56000,7.51000
5.57500,-4.17500,Abidjan,0,0.00320,335.00000,0.00320,651.00000,0.00370,883.00000,0.00660,809.00000,-7.52300,0.11100,-7.51300,0.14900,-7.47800,0.11300,-7.43200,0.17600,-7.64500,0.17800,-7.75900,0.11800,-7.53200,0.14700,-7.62600,0.38600,-8.73900,0.17000,-8.79500,0.24400,-8.74100,0.19800,-8.74400,0.16600,-8.85600,0.26700,-8.76000,0.18800,-8.78200,0.21000,-8.76600,0.25900,-8.70800,0.24300,-8.78000,0.16400,-8.81900,0.25200,-7.37200,0.16500,-7.48800,0.13600,-7.44900,0.19500,-7.33900,0.21100,-7.51700,0.18700,-7.62600,0.18600,-7.52100,0.15800,-7.44000,0.16400,-7.56100,0.14900,-7.60500,0.17000,-7.42700,0.15600,-7.37500,0.35200,-7.37700,0.12700,-7.61500,0.21400,0,-9999,-9999,-9999,30630990,17.29000,7.80000
5.57500,-4.12500,Abidjan,1,0.00040,6.00000,0.00040,10.00000,0.00250,1021.00000,0.00810,2077.00000,-7.51900,0.10700,-7.52700,0.15200,-7.44900,0.08600,-7.41700,0.18300,-7.63600,0.17500,-7.72900,0.12700,-7.49000,0.14300,-7.58100,0.39200,-8.79000,0.14800,-8.88100,0.23700,-8.79700,0.20100,-8.81000,0.17500,-8.92000,0.27300,-8.84000,0.18200,-8.85900,0.18800,-8.85500,0.24300,-8.76400,0.22600,-8.84500,0.18200,-8.86500,0.27400,-7.42000,0.17100,-7.54200,0.14700,-7.53300,0.24100,-7.39000,0.21800,-7.55600,0.20400,-7.69700,0.22700,-7.56900,0.17100,-7.51100,0.19300,-7.61200,0.17200,-7.65300,0.16800,-7.45700,0.18000,-7.41400,0.36400,-7.42400,0.13300,-7.67300,0.22900,0,-9999,-9999,-9999,30630990,16.54000,7.70000
5.57500,-4.07500,Abidjan,1,0.00120,204.00000,0.00120,341.00000,0.00270,471.00000,0.00970,1375.00000,-7.51700,0.10700,-7.53600,0.15900,-7.44000,0.07900,-7.41100,0.18800,-7.63000,0.17500,-7.71800,0.13000,-7.47200,0.14200,-7.57400,0.40600,-8.82600,0.15800,-8.92200,0.25900,-8.80100,0.19400,-8.83900,0.21200,-8.96700,0.28100,-8.88000,0.22500,-8.90600,0.19400,-8.87000,0.21800,-8.77500,0.20000,-8.87200,0.17500,-8.86100,0.31600,-7.45300,0.15800,-7.57100,0.15400,-7.57900,0.25100,-7.43200,0.22100,-7.57900,0.21100,-7.73200,0.24000,-7.61100,0.19300,-7.56300,0.18900,-7.66600,0.18900,-7.70400,0.15700,-7.47400,0.19000,-7.43500,0.34500,-7.46700,0.14400,-7.72000,0.25800,0,-9999,-9999,-9999,30630990,14.79000,6.83000
5.57500,-4.02500,Abidjan,1,0.00070,62.00000,0.00070,99.00000,0.00120,138.00000,0.00490,894.00000,-7.49700,0.10600,-7.52600,0.16100,-7.40600,0.06600,-7.37800,0.19300,-7.59300,0.16500,-7.66800,0.13300,-7.41800,0.13600,-7.53400,0.42400,-8.85000,0.16500,-8.92900,0.26700,-8.79000,0.18300,-8.81600,0.24800,-8.97700,0.28300,-8.90300,0.25500,-8.92400,0.22100,-8.85100,0.22300,-8.76400,0.19300,-8.86900,0.19600,-8.83000,0.33900,-7.45300,0.17300,-7.56400,0.16500,-7.57700,0.25400,-7.43600,0.21600,-7.55800,0.21000,-7.72100,0.24000,-7.61900,0.20300,-7.56500,0.17800,-7.68400,0.19400,-7.72400,0.15600,-7.46800,0.19800,-7.42300,0.32600,-7.48000,0.16700,-7.70800,0.28600,0,-9999,-9999,-9999,30630990,15.73000,7.60000
5.57500,-3.97500,Abidjan,0,0.00640,0.00000,0.00640,0.00000,0.00680,0.00000,0.00770,7.00000,-7.47300,0.10600,-7.50400,0.16000,-7.37000,0.06800,-7.34500,0.19600,-7.53800,0.14900,-7.61300,0.13100,-7.35800,0.13300,-7.48700,0.43600,-8.83900,0.16400,-8.88700,0.24900,-8.73500,0.18200,-8.76000,0.26700,-8.92900,0.27800,-8.88200,0.25700,-8.90300,0.23700,-8.79400,0.23800,-8.73600,0.17600,-8.84000,0.22000,-8.78800,0.34100,-7.37200,0.20400,-7.46000,0.16700,-7.50000,0.25000,-7.35300,0.21600,-7.44300,0.19000,-7.62200,0.23100,-7.54700,0.20600,-7.51000,0.16600,-7.63500,0.21600,-7.66700,0.16300,-7.41800,0.20500,-7.35000,0.35800,-7.44000,0.18900,-7.63700,0.29900,0,-9999,-9999,-9999,30630990,17.30000,7.72000
5.57500,-3.92500,Abidjan,0,0.00000,13.00000,0.00000,22.00000,0.00000,22.00000,0.00010,10.00000,-7.46500,0.10500,-7.49900,0.16200,-7.35300,0.06700,-7.32700,0.19900,-7.51100,0.14000,-7.58700,0.12900,-7.32900,0.13200,-7.46700,0.44500,-8.80800,0.16400,-8.78700,0.21600,-8.66100,0.18900,-8.67800,0.25400,-8.84600,0.25200,-8.80400,0.21100,-8.84600,0.24600,-8.72600,0.23700,-8.69100,0.15900,-8.78600,0.22300,-8.73300,0.32800,-7.22600,0.19200,-7.29500,0.15000,-7.33300,0.21600,-7.21400,0.20200,-7.30100,0.16300,-7.44000,0.20800,-7.39800,0.18000,-7.36300,0.18400,-7.50600,0.24100,-7.50900,0.17400,-7.31700,0.18400,-7.26000,0.38500,-7.31400,0.19000,-7.53600,0.27500,0,-9999,-9999,-9999,30630990,19.53000,8.49000
5.57500,-3.87500,Abidjan,0,0.00230,1673.00000,0.00230,2855.00000,0.00260,3190.00000,0.00300,2962.00000,-7.42200,0.10200,-7.45200,0.16300,-7.29800,0.09000,-7.29800,0.19300,-7.41300,0.12500,-7.50700,0.12600,-7.25800,0.13200,-7.38000,0.41500,-8.72400,0.18300,-8.63500,0.19000,-8.58700,0.19500,-8.58500,0.21700,-8.74100,0.21900,-8.69000,0.16700,-8.76800,0.25300,-8.62800,0.24300,-8.62600,0.16400,-8.67400,0.23300,-8.67000,0.30600,-7.12400,0.15100,-7.20000,0.14500,-7.20300,0.16900,-7.14300,0.19700,-7.20200,0.14100,-7.35000,0.19100,-7.28500,0.15000,-7.23800,0.16200,-7.38900,0.19700,-7.39500,0.17600,-7.23200,0.16100,-7.17500,0.38600,-7.20800,0.17500,-7.46400,0.26000,0,-9999,-9999,-9999,30630990,19.87000,8.72000
5.57500,-3.82500,Abidjan,0,0.00380,1669.00000,0.00380,2848.00000,0.00430,3331.00000,0.00500,2330.00000,-7.40300,0.09900,-7.43700,0.16900,-7.28300,0.10000,-7.29400,0.19000,-7.39100,0.12700,-7.48500,0.12700,-7.24400,0.13300,-7.35400,0.40100,-8.63600,0.19200,-8.50800,0.18700,-8.53000,0.20400,-8.54400,0.20000,-8.62900,0.19600,-8.58200,0.17000,-8.69100,0.24400,-8.54200,0.26500,-8.56600,0.17800,-8.59300,0.24900,-8.62900,0.29800,-7.10200,0.14200,-7.17100,0.15200,-7.16200,0.15100,-7.14100,0.18700,-7.16400,0.13100,-7.32200,0.17700,-7.26600,0.14500,-7.19400,0.14700,-7.36700,0.17500,-7.34300,0.18100,-7.21300,0.15500,-7.15200,0.37500,-7.18200,0.15700,-7.45400,0.25500,0,-9999,-9999,-9999,30630990,21.02000,8.99000
5.57500,-3.77500,Abidjan,0,0.00010,3.00000,0.00010,5.00000,0.00010,21.00000,0.00050,72.00000,-7.37100,0.09500,-7.41000,0.17800,-7.25600,0.11600,-7.28700,0.18500,-7.35200,0.12900,-7.44500,0.13000,-7.21900,0.13500,-7.30900,0.37600,-8.58200,0.19200,-8.45100,0.18000,-8.51200,0.20900,-8.55300,0.21200,-8.57700,0.19000,-8.51800,0.19300,-8.63600,0.23600,-8.49800,0.28700,-8.53400,0.18600,-8.56100,0.26400,-8.61100,0.29200,-7.11600,0.14100,-7.16900,0.16000,-7.15600,0.14000,-7.16200,0.17300,-7.14800,0.13300,-7.31600,0.17300,-7.27800,0.15400,-7.18900,0.13300,-7.38000,0.16200,-7.33500,0.18100,-7.23100,0.13500,-7.16800,0.37200,-7.19900,0.12800,-7.46300,0.24600,0,-9999,-9999,-9999,30630990,21.95000,9.60000
5.52500,-4.27500,Abidjan,0,0.00830,412.00000,0.00830,801.00000,0.00970,988.00000,0.02360,2287.00000,-7.62800,0.13400,-7.63700,0.22800,-7.58300,0.13100,-7.54200,0.17400,-7.76100,0.18900,-7.88400,0.13900,-7.63200,0.14900,-7.79700,0.43600,-8.72500,0.21700,-8.71700,0.23100,-8.64800,0.18700,-8.70100,0.18400,-8.80400,0.23200,-8.72100,0.18200,-8.71800,0.27500,-8.64100,0.19500,-8.66200,0.23600,-8.74400,0.17100,-8.78100,0.24000,-7.36800,0.14700,-7.50200,0.14700,-7.43000,0.15700,-7.34300,0.22900,-7.52600,0.16000,-7.63200,0.17200,-7.53300,0.14100,-7.43900,0.18800,-7.62600,0.16300,-7.63800,0.15800,-7.42600,0.12500,-7.41000,0.31300,-7.44600,0.13500,-7.58000,0.20700,0,-9999,-9999,-9999,30633518,17.57000,7.99000
5.52500,-4.22500,Abidjan,1,0.00620,817.00000,0.00620,1587.00000,0.00790,2171.00000,0.01570,3216.00000,-7.60600,0.12900,-7.62900,0.20700,-7.55600,0.11900,-7.51800,0.18300,-7.74300,0.19400,-7.86200,0.13700,-7.60300,0.15300,-7.75700,0.43100,-8.76700,0.19900,-8.78900,0.24400,-8.72300,0.19700,-8.75800,0.15900,-8.86200,0.26200,-8.74600,0.18800,-8.78500,0.24900,-8.71500,0.21000,-8.71800,0.23600,-8.79400,0.16300,-8.83200,0.24300,-7.40200,0.17000,-7.53200,0.15900,-7.44600,0.18000,-7.34900,0.22800,-7.53300,0.17300,-7.64300,0.18400,-7.53000,0.15200,-7.44600,0.18700,-7.59600,0.15500,-7.63900,0.17600,-7.43700,0.14100,-7.41400,0.32900,-7.41900,0.13000,-7.61200,0.21300,0,-9999,-9999,-9999,30633518,15.80000,7.60000
