latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
9.32500,7.27500,Abuja,1,0.00040,18103.00000,0.01020,16517.00000,0.02310,25325.00000,0.03730,26573.00000,-8.19100,0.11800,-8.12100,0.14300,-8.12700,0.11100,-8.12300,0.08400,-8.12300,0.18000,-8.16900,0.15700,-8.06100,0.12400,-8.14400,0.30300,-9.65700,0.24900,-9.56700,0.24000,-9.69600,0.27400,-9.40300,0.26700,-9.59600,0.21500,-9.55900,0.24500,-9.57100,0.21800,-9.65600,0.25700,-9.71900,0.26600,-9.68200,0.17200,-9.79700,0.17800,-8.03200,0.30300,-8.02600,0.26700,-8.00000,0.28300,-7.87500,0.28000,-8.04100,0.31300,-7.81900,0.24100,-7.70000,0.19800,-7.61800,0.24200,-7.84700,0.36700,-7.72000,0.36700,-7.64600,0.30500,-7.53500,0.36600,-7.44400,0.27300,-7.48000,0.34100,0,-9999,-9999,-9999,30376698,2.62000,1.08000
9.32500,7.32500,Abuja,1,0.00040,2924.00000,0.00480,20106.00000,0.00710,19727.00000,0.01310,27770.00000,-8.20500,0.12600,-8.12500,0.15100,-8.13000,0.10200,-8.10700,0.08400,-8.12700,0.17700,-8.16700,0.14700,-8.05500,0.13500,-8.15400,0.29600,-9.63800,0.24900,-9.55500,0.21500,-9.70700,0.28900,-9.42800,0.27500,-9.60900,0.21100,-9.57300,0.21200,-9.59600,0.21300,-9.63200,0.26400,-9.69300,0.24300,-9.66000,0.17800,-9.78800,0.21400,-8.04700,0.27900,-8.04400,0.24100,-7.99700,0.27700,-7.86600,0.26700,-8.04000,0.30400,-7.80700,0.24300,-7.73700,0.18300,-7.59000,0.24500,-7.78100,0.37900,-7.69100,0.34800,-7.58900,0.32400,-7.50200,0.34600,-7.40800,0.23000,-7.47500,0.29500,0,-9999,-9999,-9999,30376698,3.14000,1.27000
9.32500,7.37500,Abuja,1,0.00100,0.00000,0.01020,8090.00000,0.01800,7237.00000,0.03350,9453.00000,-8.21700,0.13500,-8.11400,0.18400,-8.12600,0.09100,-8.08700,0.10500,-8.14000,0.17100,-8.15300,0.13300,-8.03900,0.14500,-8.16400,0.28700,-9.56100,0.23900,-9.51400,0.18500,-9.66800,0.27000,-9.41600,0.25700,-9.54900,0.22600,-9.55100,0.20800,-9.53900,0.20600,-9.57300,0.26800,-9.60600,0.23900,-9.56300,0.17400,-9.68800,0.24400,-8.01900,0.26000,-8.02000,0.21600,-7.96100,0.26400,-7.82800,0.23400,-7.98100,0.29600,-7.77300,0.20800,-7.68800,0.15000,-7.53800,0.22000,-7.70300,0.30800,-7.64500,0.25300,-7.57200,0.31700,-7.48600,0.31800,-7.38300,0.21800,-7.46700,0.22700,0,-9999,-9999,-9999,30376698,3.06000,1.29000
9.32500,7.42500,Abuja,0,0.00010,0.00000,0.00120,456.00000,0.00290,1075.00000,0.00790,662.00000,-8.21800,0.13800,-8.11000,0.19000,-8.12000,0.08800,-8.08000,0.11900,-8.14700,0.16800,-8.14400,0.13100,-8.03000,0.14900,-8.16500,0.28300,-9.40800,0.22400,-9.43500,0.17800,-9.54500,0.23100,-9.36500,0.23400,-9.44600,0.24800,-9.45800,0.20800,-9.42700,0.20000,-9.45700,0.22600,-9.47200,0.24000,-9.43700,0.19200,-9.52000,0.26200,-7.95300,0.23400,-7.99700,0.20100,-7.93700,0.24400,-7.79700,0.22200,-7.92800,0.25900,-7.73800,0.17700,-7.67100,0.13700,-7.51400,0.21100,-7.69900,0.24700,-7.64800,0.19100,-7.61200,0.30200,-7.53600,0.27300,-7.46200,0.22000,-7.52300,0.19400,0,-9999,-9999,-9999,30376698,6.34000,2.30000
9.32500,7.47500,Abuja,0,0.00000,0.00000,0.00060,1161.00000,0.00070,970.00000,0.00090,998.00000,-8.21700,0.14100,-8.10800,0.19200,-8.10200,0.07700,-8.06900,0.16200,-8.17000,0.15600,-8.12400,0.12700,-8.01600,0.15600,-8.17700,0.27200,-9.28000,0.21600,-9.34500,0.18100,-9.40800,0.21900,-9.29800,0.24200,-9.34200,0.24100,-9.36200,0.24200,-9.30500,0.20900,-9.33400,0.20300,-9.36100,0.23100,-9.32700,0.21200,-9.35400,0.23300,-7.91200,0.21800,-7.97000,0.19400,-7.90500,0.21400,-7.78200,0.22900,-7.89900,0.22200,-7.72100,0.17900,-7.68200,0.12800,-7.52600,0.21000,-7.70800,0.23100,-7.66200,0.18800,-7.64900,0.29400,-7.56800,0.25400,-7.50000,0.19900,-7.57500,0.18500,0,-9999,-9999,-9999,30376698,7.92000,2.76000
9.32500,7.52500,Abuja,0,0.00000,0.00000,0.00020,0.00000,0.00030,0.00000,0.00030,0.00000,-8.20400,0.13800,-8.12200,0.16600,-8.08900,0.07400,-8.06100,0.19500,-8.18800,0.15100,-8.10900,0.13300,-8.01200,0.15700,-8.18600,0.26400,-9.17300,0.21800,-9.26400,0.16900,-9.29800,0.22200,-9.24800,0.25200,-9.23600,0.23500,-9.27600,0.26700,-9.18500,0.19100,-9.25700,0.20900,-9.28200,0.22300,-9.22900,0.20900,-9.24600,0.21000,-7.87000,0.20000,-7.93300,0.18800,-7.88900,0.20100,-7.76800,0.24100,-7.88500,0.20500,-7.70000,0.18100,-7.68400,0.11700,-7.54100,0.20300,-7.72000,0.22500,-7.67700,0.17900,-7.67200,0.28300,-7.59500,0.26900,-7.52000,0.19300,-7.61600,0.19200,0,-9999,-9999,-9999,30376698,10.32000,3.15000
9.32500,7.57500,Abuja,0,0.00000,0.00000,0.00030,117.00000,0.00040,220.00000,0.00050,487.00000,-8.19300,0.13600,-8.13100,0.14900,-8.07700,0.07100,-8.05400,0.22100,-8.20200,0.14700,-8.09700,0.13900,-8.00700,0.15800,-8.19200,0.25700,-9.13300,0.21400,-9.20500,0.16000,-9.22600,0.20500,-9.21100,0.26000,-9.18800,0.23400,-9.24800,0.28000,-9.10900,0.17600,-9.22500,0.23800,-9.26200,0.21800,-9.20300,0.20300,-9.20100,0.19300,-7.84500,0.18600,-7.90300,0.19400,-7.89400,0.19700,-7.76400,0.24000,-7.87700,0.19100,-7.69900,0.17800,-7.68600,0.11000,-7.56100,0.19300,-7.73900,0.23200,-7.70800,0.16300,-7.69400,0.27700,-7.64400,0.30100,-7.55100,0.19300,-7.67500,0.20100,0,-9999,-9999,-9999,30376698,7.90000,2.71000
9.32500,7.62500,Abuja,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.16700,0.13200,-8.17200,0.13300,-8.07100,0.07000,-7.94400,0.54100,-8.24700,0.14700,-8.09600,0.15800,-8.02400,0.15500,-8.20800,0.22800,-9.16200,0.21100,-9.19700,0.17000,-9.22900,0.21200,-9.20700,0.24700,-9.20400,0.22400,-9.29000,0.29700,-9.10500,0.20400,-9.23100,0.25600,-9.31100,0.20600,-9.24200,0.20800,-9.23300,0.18700,-7.84000,0.17600,-7.89600,0.20700,-7.91400,0.19700,-7.75700,0.21900,-7.88000,0.17900,-7.71400,0.17300,-7.69800,0.12100,-7.58200,0.18800,-7.76300,0.24200,-7.76200,0.15900,-7.71900,0.27500,-7.70000,0.32400,-7.59900,0.20000,-7.76300,0.23500,0,-9999,-9999,-9999,30376698,6.23000,2.39000
9.32500,7.67500,Abuja,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,76.00000,-8.15800,0.12800,-8.18400,0.13700,-8.07400,0.07200,-8.03200,0.59600,-8.26100,0.14700,-8.10200,0.16500,-8.03100,0.15200,-8.20900,0.21600,-9.25000,0.20000,-9.25600,0.17300,-9.32400,0.23900,-9.25300,0.22200,-9.27200,0.20900,-9.39100,0.29600,-9.19100,0.22900,-9.32700,0.26000,-9.40500,0.22100,-9.33400,0.21900,-9.33200,0.17700,-7.84800,0.16200,-7.91400,0.21300,-7.94400,0.20400,-7.76200,0.19900,-7.89500,0.17100,-7.74000,0.18000,-7.72200,0.13700,-7.61900,0.21000,-7.79600,0.24300,-7.80200,0.16400,-7.75000,0.27100,-7.74900,0.31900,-7.65400,0.22000,-7.82900,0.23800,0,-9999,-9999,-9999,30376698,9.55000,3.05000
9.32500,7.72500,Abuja,0,0.00000,0.00000,0.00010,820.00000,0.00020,994.00000,0.00030,1126.00000,-8.14300,0.12000,-8.22300,0.13900,-8.08900,0.07400,-8.28500,0.68400,-8.29400,0.14800,-8.12100,0.17500,-8.05500,0.14400,-8.21600,0.19100,-9.37400,0.16500,-9.38600,0.19200,-9.45300,0.24300,-9.34400,0.19300,-9.38100,0.19200,-9.50600,0.27600,-9.29200,0.23400,-9.44900,0.24000,-9.50600,0.23200,-9.42500,0.20700,-9.46400,0.17100,-7.88600,0.16000,-7.94600,0.21400,-7.98300,0.21600,-7.79300,0.19300,-7.91900,0.18600,-7.77700,0.19500,-7.74800,0.14900,-7.66000,0.21000,-7.83300,0.25200,-7.85500,0.17700,-7.78500,0.26300,-7.78400,0.30900,-7.68600,0.24000,-7.87400,0.25300,0,-9999,-9999,-9999,30376698,5.72000,2.07000
9.32500,7.77500,Abuja,0,0.00000,0.00000,0.00030,3017.00000,0.00070,4877.00000,0.00090,2533.00000,-8.14500,0.11200,-8.26000,0.16300,-8.12200,0.07600,-8.31800,0.68400,-8.32100,0.15300,-8.14700,0.17400,-8.08800,0.13500,-8.23000,0.17200,-9.50400,0.13300,-9.54400,0.20700,-9.59600,0.24100,-9.44700,0.16500,-9.50700,0.17400,-9.59900,0.26000,-9.40400,0.23400,-9.58200,0.23000,-9.58100,0.23200,-9.50900,0.20600,-9.59100,0.16800,-7.93900,0.17400,-7.97500,0.21300,-8.01000,0.22600,-7.82100,0.20100,-7.94400,0.19700,-7.81100,0.20500,-7.76400,0.15400,-7.69500,0.21300,-7.86800,0.26500,-7.89400,0.18600,-7.81700,0.25800,-7.80900,0.30700,-7.71000,0.23600,-7.89600,0.27400,0,-9999,-9999,-9999,30376698,4.84000,1.94000
9.27500,7.27500,Abuja,0,0.00000,0.00000,0.00370,42.00000,0.00460,324.00000,0.00720,442.00000,-8.16900,0.11900,-8.11600,0.12500,-8.10300,0.11600,-8.11600,0.10100,-8.11200,0.18000,-8.13500,0.17600,-8.02600,0.12700,-8.08600,0.30200,-9.67000,0.29500,-9.57300,0.25700,-9.69700,0.26200,-9.40800,0.29000,-9.58200,0.23900,-9.55400,0.24200,-9.56300,0.20300,-9.58700,0.27800,-9.69400,0.25000,-9.63700,0.18200,-9.77600,0.18700,-7.90300,0.30400,-7.88600,0.24500,-7.87900,0.27900,-7.69300,0.27500,-7.81700,0.32800,-7.52000,0.26100,-7.43400,0.18600,-7.28300,0.25700,-7.50600,0.36900,-7.35400,0.32600,-7.25300,0.33500,-7.12000,0.42800,-7.01600,0.26300,-7.10800,0.33800,0,-9999,-9999,-9999,30380926,3.65000,1.51000
9.27500,7.32500,Abuja,1,0.00040,0.00000,0.00610,219.00000,0.01110,478.00000,0.02490,2689.00000,-8.17700,0.12900,-8.11300,0.13300,-8.09800,0.10800,-8.08900,0.10900,-8.11000,0.18000,-8.12900,0.17000,-8.01200,0.13700,-8.08900,0.29200,-9.64500,0.28000,-9.57800,0.22600,-9.71500,0.27100,-9.42900,0.27900,-9.60200,0.21500,-9.58200,0.21500,-9.57900,0.18700,-9.57300,0.28600,-9.68100,0.24000,-9.61500,0.17500,-9.74100,0.20700,-7.96100,0.27800,-7.93500,0.22800,-7.90300,0.28700,-7.74300,0.26100,-7.82800,0.31800,-7.54500,0.27200,-7.45300,0.17700,-7.28200,0.23800,-7.46200,0.35400,-7.31400,0.28900,-7.19600,0.33400,-7.07800,0.43800,-6.99800,0.22400,-7.07300,0.28600,0,-9999,-9999,-9999,30380926,3.25000,1.37000
9.27500,7.37500,Abuja,2,0.00150,1611.00000,0.01780,6231.00000,0.03540,12686.00000,0.08080,53216.00000,-8.18600,0.13800,-8.09400,0.17100,-8.08800,0.09900,-8.06600,0.12900,-8.12200,0.17600,-8.11800,0.16000,-7.99500,0.14600,-8.10100,0.28200,-9.58100,0.26900,-9.56300,0.19500,-9.66400,0.26500,-9.41300,0.25700,-9.56300,0.20600,-9.57700,0.20800,-9.53000,0.18800,-9.53800,0.29000,-9.61000,0.24700,-9.52700,0.16000,-9.62500,0.23000,-7.95900,0.24800,-7.97000,0.20800,-7.91900,0.28800,-7.76500,0.24700,-7.83200,0.29700,-7.59700,0.22000,-7.50400,0.16900,-7.33000,0.20800,-7.48300,0.32200,-7.32300,0.25700,-7.23600,0.30600,-7.13300,0.39400,-7.05000,0.20900,-7.07200,0.25200,0,-9999,-9999,-9999,30380926,3.17000,1.37000
9.27500,7.42500,Abuja,0,0.00030,0.00000,0.00310,97.00000,0.00660,199.00000,0.01920,540.00000,-8.18800,0.14000,-8.08500,0.18800,-8.08400,0.09500,-8.05700,0.14000,-8.12900,0.17400,-8.11300,0.15700,-7.98800,0.14900,-8.10600,0.27800,-9.44300,0.25700,-9.50100,0.19600,-9.56000,0.23100,-9.37100,0.22200,-9.47400,0.23200,-9.49900,0.19700,-9.42100,0.21700,-9.46700,0.26100,-9.49600,0.23500,-9.41000,0.17600,-9.46500,0.24500,-7.95600,0.23800,-7.99500,0.20000,-7.94100,0.26400,-7.78600,0.23100,-7.86200,0.26900,-7.67600,0.17300,-7.58800,0.15300,-7.42800,0.19400,-7.59200,0.28500,-7.48800,0.23800,-7.42900,0.29300,-7.33100,0.32300,-7.25400,0.20700,-7.27400,0.22700,0,-9999,-9999,-9999,30380926,7.21000,2.51000
9.27500,7.47500,Abuja,0,0.00020,0.00000,0.00130,193.00000,0.00150,253.00000,0.00200,505.00000,-8.18700,0.14100,-8.05900,0.23000,-8.06600,0.08500,-8.03800,0.17700,-8.15300,0.16400,-8.09700,0.15100,-7.97300,0.15700,-8.12600,0.27000,-9.30700,0.23300,-9.40600,0.19500,-9.43300,0.22100,-9.31100,0.22100,-9.37400,0.23200,-9.40100,0.23300,-9.30900,0.24100,-9.35600,0.22800,-9.38100,0.21100,-9.31600,0.18600,-9.32500,0.23600,-7.94800,0.23100,-8.00100,0.20000,-7.95500,0.23400,-7.79700,0.22700,-7.88800,0.23800,-7.72200,0.17000,-7.65100,0.13000,-7.50600,0.20800,-7.68300,0.25100,-7.61600,0.19500,-7.59000,0.28400,-7.49700,0.28600,-7.45300,0.21000,-7.49300,0.21600,0,-9999,-9999,-9999,30380926,5.33000,2.15000
