latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
37.22500,35.07500,Adana,0,0.00110,325.00000,0.00230,645.00000,0.00310,566.00000,0.00400,396.00000,-9.33400,0.13200,-8.92000,0.11700,-9.50300,0.24800,-9.39000,0.32300,-9.33900,0.12300,-9.27300,0.15200,-9.31300,0.12200,-9.28100,0.15700,-12.12000,0.26900,-12.25800,0.22300,-12.37400,0.19100,-12.12700,0.21000,-12.12100,0.23500,-12.19700,0.17200,-12.34500,0.25700,-12.43300,0.25900,-12.32800,0.20500,-12.38400,0.24100,-12.23600,0.19600,-9.87700,0.28700,-9.89800,0.42700,-9.52200,0.32300,-9.76700,0.27200,-9.85800,0.27600,-9.85800,0.32800,-9.76100,0.33100,-9.77400,0.22700,-9.72300,0.32100,-9.77200,0.30600,-9.82900,0.24700,-9.83500,0.35500,-9.66500,0.39700,-9.84000,0.36800,0,-9999,-9999,-9999,24623740,6.42000,2.63000
37.22500,35.12500,Adana,0,0.00000,0.00000,0.00040,0.00000,0.00050,0.00000,0.00070,13.00000,-9.51400,0.13200,-9.10400,0.12600,-9.63300,0.25200,-9.57200,0.30700,-9.51900,0.12500,-9.46200,0.14200,-9.47100,0.14000,-9.45700,0.15900,-12.32300,0.29600,-12.45800,0.23300,-12.57800,0.18400,-12.31100,0.24200,-12.30000,0.21400,-12.45900,0.15900,-12.53700,0.27500,-12.59600,0.24200,-12.53100,0.20600,-12.58000,0.23500,-12.39300,0.17500,-10.31300,0.23500,-10.24700,0.43600,-9.85900,0.37100,-10.13900,0.28200,-10.13900,0.27300,-10.21400,0.28100,-10.10500,0.35800,-10.02000,0.22400,-10.03400,0.33100,-10.01400,0.27200,-10.10000,0.25400,-10.04500,0.33800,-9.91400,0.40500,-10.06700,0.36300,0,-9999,-9999,-9999,24623740,7.80000,2.79000
37.22500,35.17500,Adana,0,0.00000,588.00000,0.00010,1068.00000,0.00020,640.00000,0.00030,240.00000,-9.80400,0.13200,-9.41900,0.16700,-9.80900,0.26300,-9.87400,0.28200,-9.80600,0.16000,-9.77500,0.12700,-9.73900,0.17200,-9.77700,0.18900,-12.53700,0.31200,-12.66100,0.25400,-12.75300,0.20500,-12.49400,0.26300,-12.49300,0.19400,-12.71300,0.16800,-12.72300,0.28000,-12.75000,0.24600,-12.72100,0.21800,-12.76000,0.23800,-12.55600,0.17200,-10.55900,0.20200,-10.43500,0.42400,-10.15700,0.34500,-10.38500,0.26000,-10.35500,0.25600,-10.43800,0.23600,-10.34100,0.30700,-10.19700,0.22300,-10.26900,0.30900,-10.23800,0.22400,-10.30000,0.22900,-10.22700,0.31100,-10.15600,0.34400,-10.23100,0.34300,0,-9999,-9999,-9999,24623740,5.31000,2.11000
37.22500,35.22500,Adana,0,0.00000,0.00000,0.00010,11.00000,0.00010,6.00000,0.00020,82.00000,-9.95900,0.13300,-9.58800,0.18900,-9.90400,0.26900,-10.03700,0.26900,-9.96100,0.17800,-9.94400,0.11900,-9.88300,0.18900,-9.94900,0.20500,-12.75900,0.31000,-12.84400,0.27800,-12.90400,0.23900,-12.68000,0.26500,-12.68400,0.19100,-12.96500,0.18200,-12.90000,0.27400,-12.89900,0.26600,-12.90600,0.23200,-12.93600,0.24800,-12.71700,0.17900,-10.70400,0.17400,-10.58800,0.41600,-10.42000,0.30200,-10.57300,0.21900,-10.52400,0.21900,-10.59300,0.22200,-10.54000,0.25600,-10.36300,0.18500,-10.45600,0.30600,-10.43500,0.19200,-10.46300,0.19400,-10.38300,0.25100,-10.34900,0.31300,-10.40600,0.32000,3,-9999,-9999,-9999,24623740,9.13000,3.55000
37.22500,35.27500,Adana,0,0.00000,0.00000,0.00080,805.00000,0.00110,434.00000,0.00160,556.00000,-10.18500,0.14900,-9.82500,0.21300,-10.02000,0.28500,-10.24000,0.26900,-10.12500,0.22500,-10.13600,0.12100,-10.06400,0.20900,-10.17900,0.25000,-12.94900,0.28800,-12.98700,0.28300,-13.02500,0.25500,-12.84200,0.25200,-12.85100,0.20100,-13.18400,0.20100,-13.07300,0.27700,-13.03900,0.27000,-13.07600,0.23200,-13.09700,0.25100,-12.86400,0.18800,-10.81300,0.15800,-10.72500,0.39200,-10.61900,0.24800,-10.71100,0.17600,-10.64200,0.20000,-10.70900,0.22800,-10.67700,0.24200,-10.50200,0.17200,-10.61700,0.29600,-10.54100,0.23100,-10.57900,0.16700,-10.49200,0.21500,-10.48200,0.30200,-10.51400,0.31700,42,-9999,-9999,-9999,24623740,3.68000,4.06000
37.22500,35.32500,Adana,0,0.00000,0.00000,0.00020,0.00000,0.00020,67.00000,0.00060,164.00000,-10.31200,0.15800,-9.95800,0.22700,-10.08500,0.29300,-10.35400,0.26900,-10.21700,0.25200,-10.24400,0.12200,-10.16600,0.22100,-10.30800,0.27600,-13.13400,0.27100,-13.10400,0.26100,-13.14900,0.25500,-13.00000,0.25600,-13.00800,0.22400,-13.39300,0.20900,-13.24300,0.27100,-13.20600,0.27400,-13.25300,0.22800,-13.26500,0.24300,-13.00900,0.20600,-10.89200,0.15900,-10.80100,0.38200,-10.72000,0.21700,-10.79200,0.15700,-10.71600,0.19400,-10.78500,0.23300,-10.70100,0.37600,-10.53300,0.35400,-10.72400,0.28900,-10.56600,0.37200,-10.63700,0.16200,-10.55500,0.21200,-10.55300,0.30100,-10.54900,0.31700,60,-9999,-9999,-9999,24623740,9.52000,4.44000
37.22500,35.37500,Adana,0,0.00000,0.00000,0.00000,0.00000,0.00000,31.00000,0.00010,29.00000,-10.45800,0.18300,-10.10000,0.23900,-10.13000,0.31100,-10.47100,0.29200,-10.28900,0.30200,-10.34300,0.12800,-10.26800,0.27300,-10.44800,0.33100,-13.26200,0.26200,-13.19400,0.25700,-13.26700,0.25300,-13.14400,0.26700,-13.14200,0.24500,-13.57600,0.20200,-13.37700,0.26300,-13.36600,0.28200,-13.42300,0.21600,-13.42600,0.25800,-13.12800,0.23500,-10.96600,0.14900,-10.83400,0.39300,-10.77300,0.20400,-10.83900,0.15200,-10.73600,0.19000,-10.81200,0.24200,-10.66600,0.51500,-10.54200,0.46300,-10.78100,0.27400,-10.57300,0.45400,-10.63500,0.17900,-10.56000,0.22500,-10.55800,0.31300,-10.55900,0.28600,9,-9999,-9999,-9999,24623740,17.38000,4.85000
37.22500,35.42500,Adana,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00010,27.00000,-10.54400,0.19800,-10.18300,0.24600,-10.15600,0.32200,-10.54000,0.30600,-10.33100,0.33100,-10.40000,0.13100,-10.32700,0.30400,-10.53000,0.36400,-13.30700,0.25900,-13.25400,0.24700,-13.35900,0.25100,-13.24300,0.27700,-13.22700,0.25600,-13.70600,0.19200,-13.46600,0.26100,-13.49400,0.29500,-13.56200,0.20000,-13.54600,0.30000,-13.21100,0.26100,-11.14700,0.18700,-10.91800,0.43000,-10.86200,0.23300,-10.92000,0.14300,-10.75400,0.20200,-10.86600,0.26600,-10.62100,0.58300,-10.59400,0.49100,-10.86800,0.28300,-10.60700,0.47500,-10.64100,0.19400,-10.54900,0.23500,-10.52900,0.32800,-10.56100,0.24800,0,-9999,-9999,-9999,24623740,11.34000,3.82000
37.22500,35.47500,Adana,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00030,53.00000,-10.61500,0.23300,-10.23800,0.25600,-10.13500,0.33000,-10.57100,0.33600,-10.35000,0.35500,-10.42600,0.14500,-10.35000,0.31600,-10.60400,0.41900,-13.27500,0.26700,-13.27600,0.24800,-13.39300,0.23500,-13.28500,0.30700,-13.23700,0.25300,-13.75400,0.17900,-13.48300,0.26500,-13.56100,0.30700,-13.65300,0.19100,-13.60900,0.34700,-13.23000,0.30000,-11.42400,0.21600,-11.09000,0.50600,-10.98900,0.30000,-11.05100,0.16900,-10.78800,0.24200,-10.96400,0.28800,-10.64400,0.56200,-10.69600,0.53300,-11.02100,0.32100,-10.69400,0.46300,-10.68700,0.21200,-10.54100,0.23800,-10.48700,0.36600,-10.59400,0.24200,0,-9999,-9999,-9999,24623740,7.07000,2.58000
37.22500,35.52500,Adana,0,0.00010,1.00000,0.00020,2.00000,0.00020,2.00000,0.00070,74.00000,-10.64800,0.24800,-10.26500,0.25900,-10.11900,0.33200,-10.58900,0.35400,-10.35500,0.36600,-10.43800,0.14900,-10.35500,0.31900,-10.63900,0.45200,-13.10900,0.25100,-13.23900,0.26100,-13.35900,0.20900,-13.23600,0.37200,-13.16700,0.23500,-13.71300,0.18200,-13.39100,0.27400,-13.53000,0.33600,-13.64300,0.19300,-13.59900,0.39700,-13.16700,0.31200,-11.62600,0.18900,-11.27200,0.58800,-11.08700,0.35400,-11.16800,0.19800,-10.82800,0.29600,-11.06800,0.28900,-10.71400,0.55300,-10.80900,0.55900,-11.14800,0.35100,-10.85900,0.45200,-10.75800,0.22900,-10.54500,0.23700,-10.43200,0.43800,-10.65300,0.28800,0,-9999,-9999,-9999,24623740,1.66000,1.04000
