latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-34.67500,138.37500,Adelaide,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-12.79500,0.36600,-15.19300,0.64000,-13.43000,0.36100,-12.69200,0.31500,-13.49600,0.47100,-12.29500,0.42400,-12.43600,0.53400,-12.39800,0.38600,-9999.00000,-9999.00000,-16.47500,0.77700,-16.63700,0.57600,-16.71200,0.63900,-16.48600,0.47600,-16.84800,0.47000,-16.84600,0.65000,-16.59400,0.57300,-16.65300,0.46000,-16.67100,0.70000,-16.73200,0.60900,-15.03200,0.90600,-15.43500,0.83300,-15.79200,0.89100,-15.35600,0.60400,-14.91700,0.87300,-15.05600,0.90300,-15.26700,0.77200,-15.14500,0.84700,-15.16200,0.88800,-15.21300,0.98000,-14.89700,0.96900,-14.84300,0.64600,-15.21200,0.66800,-15.17000,0.84400,100,-9999,-9999,-9999,25417242,-9999.00000,-9999.00000
-34.67500,138.42500,Adelaide,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-12.79500,0.36600,-15.19300,0.64000,-13.43000,0.36100,-12.69200,0.31500,-13.49600,0.47100,-12.29500,0.42400,-12.43600,0.53400,-12.39800,0.38600,-9999.00000,-9999.00000,-14.88300,0.55200,-14.87300,0.46600,-14.88500,0.53900,-14.71500,0.42000,-15.02800,0.45600,-14.96100,0.53300,-14.72800,0.43800,-14.71200,0.38600,-14.62800,0.48900,-14.66700,0.51500,-14.33300,1.01700,-14.47100,0.70300,-14.57800,0.64300,-14.36400,0.55500,-14.12000,0.69400,-13.98100,0.71700,-14.16600,0.62000,-14.07900,0.64700,-14.09600,0.61900,-14.23400,0.83900,-13.71800,0.71000,-13.94300,0.76800,-13.99300,0.61000,-14.05600,0.69000,86,-9999,-9999,-9999,25417242,32.92000,6.73000
-34.67500,138.47500,Adelaide,0,0.00010,0.00000,0.00050,0.00000,0.00080,0.00000,0.00130,0.00000,-11.80300,0.31700,-13.84400,0.54500,-12.33700,0.27700,-11.74400,0.24000,-12.53600,0.38300,-11.34800,0.31500,-11.58000,0.42500,-11.42600,0.35400,-9999.00000,-9999.00000,-13.80000,0.42600,-13.84800,0.42300,-13.87000,0.43300,-13.68500,0.40700,-13.98400,0.40700,-13.87100,0.44400,-13.61900,0.33100,-13.61100,0.35700,-13.50500,0.38400,-13.52300,0.42800,-13.63700,0.80700,-13.67600,0.56600,-13.68800,0.50600,-13.43700,0.45200,-13.00100,0.61700,-13.18500,0.57500,-13.39600,0.53500,-13.18900,0.56900,-13.25100,0.55000,-13.27000,0.66900,-12.62400,0.66700,-12.98900,0.61100,-13.11500,0.49000,-13.08800,0.61700,63,-9999,-9999,-9999,25417242,15.04000,5.73000
-34.67500,138.52500,Adelaide,1,0.00660,113.00000,0.04110,299.00000,0.08670,380.00000,0.12340,494.00000,-11.47900,0.30200,-13.40500,0.51600,-11.99100,0.24600,-11.44800,0.21300,-12.22700,0.35300,-11.04200,0.27600,-11.31800,0.38900,-11.11600,0.34400,-9999.00000,-9999.00000,-12.59600,0.36300,-12.72500,0.39600,-12.68800,0.36800,-12.56600,0.37100,-12.83000,0.38300,-12.64600,0.38800,-12.39300,0.25600,-12.46600,0.33100,-12.34100,0.28900,-12.30500,0.36500,-12.31900,0.81100,-12.33500,0.59800,-12.37200,0.55500,-12.17900,0.55900,-11.57300,0.65400,-11.74300,0.56500,-12.04200,0.65100,-11.83200,0.71800,-11.78400,0.63200,-11.73600,0.73900,-11.16100,0.76200,-11.65300,0.55100,-11.69200,0.55700,-11.64000,0.64400,33,-9999,-9999,-9999,25417242,3.90000,3.10000
-34.67500,138.57500,Adelaide,1,0.02630,1359.00000,0.11160,1572.00000,0.17710,1814.00000,0.22660,2208.00000,-10.82600,0.30400,-12.25100,0.43000,-11.32600,0.26200,-10.88900,0.17400,-11.65700,0.31700,-10.51900,0.23000,-10.86300,0.32300,-10.56000,0.33900,-9999.00000,-9999.00000,-11.79900,0.36400,-11.97600,0.37100,-11.90400,0.35400,-11.80400,0.35500,-12.03300,0.35200,-11.79400,0.35300,-11.56600,0.25700,-11.67100,0.33800,-11.53200,0.28200,-11.46100,0.34700,-11.18600,0.81500,-11.17700,0.62800,-11.19300,0.60900,-10.97500,0.68100,-10.33000,0.67800,-10.52700,0.52200,-10.64300,0.62500,-10.50900,0.74100,-10.43900,0.56500,-10.48500,0.69100,-9.97700,0.78700,-10.31400,0.53400,-10.35000,0.56400,-10.34200,0.62100,2,-9999,-9999,-9999,25417242,5.15000,3.03000
-34.67500,138.62500,Adelaide,1,0.01330,500.00000,0.06860,841.00000,0.09890,888.00000,0.13070,1029.00000,-10.63400,0.30500,-11.91200,0.40500,-11.13000,0.26700,-10.72300,0.16300,-11.48900,0.30700,-10.36500,0.21600,-10.72800,0.30300,-10.39600,0.33800,-9999.00000,-9999.00000,-11.41800,0.36700,-11.63900,0.31600,-11.55800,0.35900,-11.46800,0.38100,-11.68800,0.34000,-11.38600,0.34400,-11.20100,0.27300,-11.34100,0.32300,-11.19100,0.23700,-11.09000,0.34500,-10.07000,0.86400,-9.99000,0.65400,-10.00200,0.64400,-9.73100,0.72100,-9.14400,0.67800,-9.34800,0.60200,-9.51400,0.59800,-9.29000,0.69800,-9.30500,0.63800,-9.34200,0.70500,-8.80700,0.70400,-9.16600,0.63200,-9.22300,0.60900,-9.12900,0.66900,0,-9999,-9999,-9999,25417242,5.25000,3.20000
-34.67500,138.67500,Adelaide,2,0.29660,20347.00000,0.37610,24907.00000,0.41060,27836.00000,0.48370,34992.00000,-10.36600,0.37400,-11.45500,0.29800,-10.93900,0.26700,-10.58700,0.14100,-11.31700,0.33400,-10.31800,0.21300,-10.66200,0.25400,-10.28500,0.34900,-9999.00000,-9999.00000,-11.32500,0.36800,-11.57200,0.29400,-11.45700,0.36000,-11.41500,0.38700,-11.57900,0.31800,-11.27300,0.33000,-11.08200,0.27600,-11.29700,0.31700,-11.14900,0.21900,-10.99900,0.33900,-9.84400,0.87900,-9.78200,0.67100,-9.77800,0.63800,-9.49800,0.72900,-8.91200,0.70400,-9.13600,0.64500,-9.34100,0.59900,-9.05900,0.70400,-9.12200,0.65900,-9.16100,0.72100,-8.61700,0.68100,-8.99700,0.66400,-9.06500,0.62600,-8.92200,0.69300,0,-9999,-9999,-9999,25417242,5.46000,3.13000
-34.67500,138.72500,Adelaide,1,0.10820,8287.00000,0.17860,10086.00000,0.20330,11285.00000,0.23040,14190.00000,-10.30800,0.38900,-11.35700,0.27500,-10.89800,0.26700,-10.55800,0.13700,-11.28000,0.34000,-10.30700,0.21200,-10.64800,0.24300,-10.26100,0.35200,-9999.00000,-9999.00000,-11.59400,0.38200,-11.84600,0.29000,-11.69500,0.33200,-11.69700,0.38600,-11.81600,0.34900,-11.54600,0.34100,-11.32700,0.30900,-11.61300,0.30800,-11.47600,0.23700,-11.30200,0.35300,-10.33800,0.84700,-10.35100,0.63100,-10.33800,0.56800,-10.07900,0.70300,-9.42600,0.76300,-9.78200,0.62700,-10.07500,0.62700,-9.67800,0.78500,-9.84700,0.58200,-9.91500,0.76500,-9.31000,0.69400,-9.76600,0.69500,-9.85300,0.59900,-9.67900,0.72600,0,-9999,-9999,-9999,25417242,5.78000,3.60000
-34.67500,138.77500,Adelaide,1,0.00080,155.00000,0.00490,259.00000,0.00620,311.00000,0.00750,381.00000,-10.45300,0.49900,-11.59800,0.14900,-11.16600,0.26400,-10.93400,0.14900,-11.54900,0.37800,-10.76000,0.20600,-11.01900,0.21200,-10.63400,0.35300,-9999.00000,-9999.00000,-11.95400,0.37900,-12.23400,0.31400,-12.06700,0.30400,-12.07400,0.37800,-12.16300,0.36600,-11.95400,0.32500,-11.71100,0.33600,-12.02800,0.30800,-11.91800,0.27700,-11.74400,0.32200,-10.82600,0.84100,-10.89500,0.63500,-10.83900,0.59000,-10.62400,0.68500,-9.90500,0.78100,-10.29700,0.62600,-10.67300,0.59000,-10.23400,0.81900,-10.37700,0.55800,-10.50800,0.72400,-9.84900,0.67300,-10.34600,0.69600,-10.47100,0.58100,-10.26800,0.72100,0,-9999,-9999,-9999,25417242,8.41000,4.64000
-34.67500,138.82500,Adelaide,0,0.00030,33.00000,0.00160,24.00000,0.00210,25.00000,0.00370,66.00000,-10.47400,0.51500,-11.63400,0.13000,-11.20600,0.26400,-10.98900,0.15100,-11.58900,0.38400,-10.82700,0.20600,-11.07300,0.20700,-10.68900,0.35400,-9999.00000,-9999.00000,-12.50300,0.38200,-12.76600,0.32300,-12.62200,0.26100,-12.66100,0.37500,-12.69100,0.35100,-12.51700,0.32300,-12.27300,0.35100,-12.62600,0.34900,-12.59300,0.29500,-12.41900,0.28700,-11.23500,0.77000,-11.27300,0.52700,-11.32900,0.45500,-11.11300,0.58200,-10.37900,0.73800,-10.79900,0.51100,-11.19400,0.43300,-10.82300,0.80100,-10.93400,0.51800,-11.05400,0.54300,-10.37500,0.60500,-10.92000,0.51300,-10.96100,0.42300,-10.84800,0.63200,0,-9999,-9999,-9999,25417242,25.94000,6.35000
