latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
23.27500,72.32500,Ahmedabad,2,0.00640,153674.00000,0.01750,126923.00000,0.02780,134620.00000,0.05200,136720.00000,-11.15700,0.49000,-9.53000,0.63000,-10.58200,0.64000,-10.02400,0.57100,-9.99500,0.54200,-10.04100,0.18900,-10.24800,0.83600,-10.74600,0.95000,-12.07800,0.42700,-12.21600,0.55100,-11.56300,0.47400,-12.22000,0.59200,-11.67400,0.60600,-12.16600,0.42600,-11.93800,0.74200,-11.64500,0.56000,-11.62200,0.61400,-11.66700,0.65900,-12.14300,0.71000,-9.40100,0.64900,-9.57500,0.77800,-9.98900,0.68900,-8.90700,0.67400,-9.16500,0.80700,-9.12700,0.90900,-8.65200,0.69000,-9.21600,0.90500,-9.38900,0.85200,-8.82200,0.83200,-8.54100,0.65400,-8.95900,0.72200,-8.61600,0.95600,-8.30900,0.82200,0,-9999,-9999,-9999,28327550,2.41000,0.84000
23.27500,72.37500,Ahmedabad,2,0.00560,36962.00000,0.01140,50618.00000,0.01980,57100.00000,0.03880,65208.00000,-10.75700,0.41200,-9.28100,0.51500,-10.29900,0.74100,-9.88600,0.75900,-9.79300,0.50900,-9.57100,0.18800,-9.95700,0.75200,-10.32000,0.69900,-11.86000,0.39400,-12.01800,0.50500,-11.40300,0.44600,-12.06000,0.57800,-11.51000,0.54300,-11.91400,0.45700,-11.66700,0.72200,-11.38500,0.51700,-11.38600,0.55300,-11.44900,0.67700,-11.87600,0.71900,-9.23500,0.58700,-9.39000,0.76200,-9.79800,0.68300,-8.69100,0.61200,-9.05300,0.81800,-8.98800,0.86200,-8.51200,0.65700,-9.09400,0.90000,-9.23600,0.85900,-8.63600,0.80500,-8.37300,0.63600,-8.74600,0.72000,-8.40000,0.95000,-8.09700,0.81600,0,-9999,-9999,-9999,28327550,2.80000,0.94000
23.27500,72.42500,Ahmedabad,1,0.00370,18339.00000,0.01040,23844.00000,0.01670,33941.00000,0.03650,39423.00000,-10.64900,0.40300,-9.21700,0.50200,-10.21200,0.74400,-9.81900,0.73600,-9.72900,0.50300,-9.44600,0.18700,-9.90100,0.73000,-10.22500,0.66400,-11.63000,0.34300,-11.82700,0.50900,-11.24700,0.41300,-11.89400,0.56400,-11.29500,0.51600,-11.65900,0.52900,-11.39500,0.71900,-11.13000,0.54600,-11.15200,0.50100,-11.19900,0.71300,-11.57300,0.72800,-9.16600,0.58500,-9.29300,0.77800,-9.67800,0.70200,-8.58100,0.61400,-8.97300,0.84900,-8.89600,0.83800,-8.40300,0.64600,-9.01800,0.89300,-9.13700,0.85800,-8.55400,0.79000,-8.27500,0.63000,-8.62400,0.71100,-8.30300,0.94800,-7.98100,0.81700,0,-9999,-9999,-9999,28327550,2.84000,1.02000
23.27500,72.47500,Ahmedabad,1,0.03940,20167.00000,0.06760,21779.00000,0.07200,23382.00000,0.10230,28217.00000,-10.35200,0.36900,-9.05200,0.46900,-9.98800,0.76600,-9.65900,0.67900,-9.58600,0.48900,-9.15400,0.18500,-9.76000,0.67600,-9.97700,0.56100,-11.42300,0.31600,-11.63600,0.54700,-11.09700,0.37300,-11.72400,0.55300,-11.07500,0.53100,-11.40100,0.61700,-11.13800,0.72800,-10.87000,0.61100,-10.90700,0.48200,-10.94000,0.75300,-11.27500,0.73000,-9.13400,0.59900,-9.22600,0.79200,-9.59000,0.72400,-8.52400,0.60000,-8.92100,0.86700,-8.84100,0.84100,-8.36300,0.65900,-8.98500,0.91500,-9.10300,0.85300,-8.53300,0.78300,-8.21900,0.65000,-8.57200,0.68300,-8.27200,0.96800,-7.94400,0.82700,0,-9999,-9999,-9999,28327550,2.95000,1.05000
23.27500,72.52500,Ahmedabad,1,0.01770,26095.00000,0.02780,20112.00000,0.02850,19061.00000,0.03470,14305.00000,-10.18200,0.38700,-8.96700,0.48400,-9.87000,0.78800,-9.57800,0.64600,-9.51900,0.48600,-9.01100,0.19300,-9.70600,0.65400,-9.85600,0.50700,-11.23700,0.30100,-11.48800,0.58600,-10.99000,0.34000,-11.58200,0.54600,-10.92100,0.55000,-11.16800,0.67800,-10.94400,0.74100,-10.66800,0.66400,-10.73500,0.48900,-10.75900,0.77700,-11.04900,0.70500,-9.11800,0.60700,-9.15200,0.81000,-9.49800,0.72900,-8.49800,0.57900,-8.85900,0.89300,-8.79900,0.85900,-8.38100,0.67700,-8.99800,0.96400,-9.13600,0.86500,-8.56800,0.81000,-8.23200,0.67700,-8.58200,0.65400,-8.33200,1.00800,-7.99200,0.85600,0,-9999,-9999,-9999,28327550,2.96000,1.07000
23.27500,72.57500,Ahmedabad,1,0.00040,103.00000,0.00830,4685.00000,0.00870,4457.00000,0.00960,3767.00000,-10.02000,0.40200,-8.88500,0.49800,-9.76100,0.81000,-9.50000,0.61300,-9.45500,0.48300,-8.87800,0.20100,-9.65300,0.63600,-9.74000,0.45400,-11.14100,0.29800,-11.41100,0.61100,-10.93700,0.33300,-11.48000,0.53300,-10.85800,0.55600,-11.02800,0.68000,-10.83100,0.73600,-10.55400,0.68200,-10.67900,0.48600,-10.68300,0.76900,-10.92300,0.67800,-9.00000,0.61300,-9.01300,0.85700,-9.36100,0.76400,-8.43800,0.58800,-8.72800,0.92700,-8.71300,0.85400,-8.34300,0.67500,-8.90600,0.98300,-9.12600,0.90700,-8.52100,0.85400,-8.16900,0.69500,-8.50100,0.68200,-8.31100,1.05300,-7.97900,0.88300,0,-9999,-9999,-9999,28327550,2.99000,1.11000
23.27500,72.62500,Ahmedabad,1,0.03070,8140.00000,0.03980,13061.00000,0.04990,15878.00000,0.07260,19889.00000,-9.86800,0.47700,-8.81500,0.49500,-9.69900,0.84800,-9.46700,0.60800,-9.46100,0.48000,-8.82700,0.20700,-9.70800,0.63400,-9.70700,0.42600,-11.14800,0.28800,-11.40300,0.57300,-10.95100,0.33800,-11.43000,0.51400,-10.89300,0.55000,-10.99200,0.64600,-10.84600,0.70600,-10.55500,0.67800,-10.72200,0.48400,-10.70000,0.73100,-10.91700,0.65400,-8.84800,0.61100,-8.87200,0.88900,-9.24000,0.78300,-8.33800,0.61900,-8.56800,0.91500,-8.58100,0.84800,-8.25500,0.66800,-8.70600,0.95400,-9.02400,0.91900,-8.35200,0.84900,-8.03400,0.71200,-8.34800,0.67200,-8.14300,1.07300,-7.85800,0.85600,0,-9999,-9999,-9999,28327550,2.93000,1.06000
23.27500,72.67500,Ahmedabad,2,0.08070,21359.00000,0.08220,25317.00000,0.09680,30471.00000,0.11960,29741.00000,-9.81700,0.49800,-8.78700,0.49500,-9.67700,0.85700,-9.44300,0.60500,-9.45200,0.48000,-8.79500,0.20700,-9.71900,0.63500,-9.68500,0.40900,-11.20600,0.29700,-11.46700,0.51600,-11.00400,0.33000,-11.44300,0.49300,-11.00900,0.55500,-11.04300,0.59000,-10.97900,0.68200,-10.66800,0.64400,-10.86800,0.46400,-10.79500,0.68700,-11.03600,0.62200,-8.89200,0.62200,-8.87100,0.87000,-9.22100,0.75700,-8.32300,0.66000,-8.55900,0.90000,-8.53500,0.85600,-8.28100,0.66100,-8.70900,0.92700,-9.02300,0.94800,-8.31300,0.84400,-8.10900,0.68600,-8.37100,0.66200,-8.09900,1.03200,-7.88100,0.80600,0,-9999,-9999,-9999,28327550,3.03000,1.16000
23.27500,72.72500,Ahmedabad,0,0.00720,379.00000,0.00890,1009.00000,0.01660,1210.00000,0.02260,1441.00000,-9.77800,0.61200,-8.78200,0.50000,-9.74100,0.90600,-9.46500,0.60700,-9.59100,0.49000,-8.83700,0.19300,-9.88500,0.64800,-9.83300,0.45500,-11.29800,0.30700,-11.57300,0.45300,-11.10400,0.32300,-11.50000,0.50300,-11.14900,0.54000,-11.16500,0.55800,-11.18200,0.68600,-10.86200,0.61500,-11.06700,0.46200,-10.96400,0.63800,-11.24400,0.60100,-9.02400,0.66500,-8.95100,0.87900,-9.28200,0.74700,-8.44700,0.67000,-8.71900,0.89800,-8.64500,0.86100,-8.53200,0.65400,-8.86700,0.89500,-9.18900,0.91200,-8.43000,0.82200,-8.37800,0.60900,-8.49600,0.67500,-8.29200,0.92500,-8.19100,0.76800,0,-9999,-9999,-9999,28327550,3.01000,1.23000
23.27500,72.77500,Ahmedabad,0,0.00080,196.00000,0.00260,1143.00000,0.00310,1132.00000,0.00500,1603.00000,-9.78200,0.61500,-8.77500,0.50200,-9.75200,0.90700,-9.44400,0.60400,-9.59700,0.49400,-8.86300,0.27100,-9.89100,0.65000,-9.83900,0.45300,-11.46400,0.28700,-11.71200,0.40200,-11.22500,0.34700,-11.56900,0.51700,-11.32100,0.54200,-11.33100,0.51300,-11.41500,0.72000,-11.10400,0.58300,-11.30000,0.50900,-11.15100,0.60600,-11.46500,0.60500,-9.15500,0.73200,-9.09800,0.88800,-9.41000,0.73100,-8.63700,0.75200,-8.84900,0.88500,-8.76500,0.89700,-8.74900,0.60200,-9.02100,0.87100,-9.36000,0.90600,-8.55700,0.81600,-8.59700,0.57600,-8.68500,0.72600,-8.45100,0.90600,-8.38000,0.77800,0,-9999,-9999,-9999,28327550,3.00000,1.30000
