latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
36.47500,36.92500,Aleppo,0,0.00050,24.00000,0.00250,91.00000,0.00440,456.00000,0.00500,573.00000,-10.05100,0.10700,-9.88800,0.06400,-9.99600,0.11400,-9.95400,0.16300,-9.76900,0.15200,-9.93500,0.11400,-9.79500,0.06800,-9.96700,0.18400,-11.96700,0.16500,-11.99600,0.15700,-11.89400,0.22100,-11.92500,0.16300,-12.00400,0.13000,-11.93100,0.15200,-12.06000,0.16200,-11.94100,0.22400,-12.00800,0.18700,-12.27200,0.17500,-12.14600,0.20900,-10.12800,0.20300,-10.23700,0.26300,-10.10500,0.25800,-9.92500,0.19300,-10.02900,0.18900,-10.06800,0.17200,-10.13100,0.23500,-10.19500,0.21900,-9.99700,0.19800,-10.16500,0.24900,-10.08100,0.14900,-10.25800,0.42300,-9.88000,0.15900,-10.01000,0.24200,0,-9999,-9999,-9999,24862310,1.21000,0.45000
36.47500,36.97500,Aleppo,0,0.00160,300.00000,0.00620,1112.00000,0.00840,1456.00000,0.00890,1878.00000,-10.31300,0.11200,-10.11400,0.06800,-10.24300,0.09900,-10.17100,0.16100,-9.99200,0.17000,-10.15600,0.11800,-10.03300,0.07700,-10.17300,0.17500,-12.14000,0.17200,-12.23200,0.15100,-12.07900,0.21400,-12.11800,0.14100,-12.19800,0.16500,-12.11100,0.13200,-12.26300,0.16600,-12.16900,0.20900,-12.17800,0.18100,-12.55700,0.19100,-12.42600,0.20900,-10.52000,0.21400,-10.64700,0.30100,-10.65200,0.25900,-10.28000,0.22300,-10.55500,0.19700,-10.53500,0.20400,-10.64400,0.29500,-10.62600,0.24800,-10.46400,0.24100,-10.65800,0.26000,-10.51400,0.20700,-10.82600,0.44600,-10.29000,0.21300,-10.46400,0.28600,0,-9999,-9999,-9999,24862310,1.97000,0.90000
36.47500,37.02500,Aleppo,1,0.00100,563.00000,0.00290,1477.00000,0.00600,2174.00000,0.01100,3008.00000,-10.40300,0.11200,-10.19300,0.06900,-10.32300,0.09500,-10.25000,0.15800,-10.07300,0.17200,-10.23300,0.12100,-10.11900,0.08000,-10.25500,0.17400,-12.36400,0.17500,-12.52100,0.14600,-12.30900,0.21000,-12.34700,0.15000,-12.45100,0.18800,-12.34100,0.14000,-12.50800,0.15800,-12.45400,0.20200,-12.43700,0.17600,-12.88800,0.21000,-12.77300,0.20300,-11.23300,0.22400,-11.43400,0.37700,-11.54600,0.29800,-10.89400,0.24700,-11.36800,0.26200,-11.28000,0.22300,-11.42400,0.29800,-11.40400,0.29500,-11.29300,0.26700,-11.61700,0.34400,-11.54500,0.27600,-11.76000,0.59700,-11.04900,0.24800,-11.35200,0.33700,0,-9999,-9999,-9999,24862310,1.40000,0.72000
36.47500,37.07500,Aleppo,1,0.00950,9592.00000,0.02220,14034.00000,0.03680,17169.00000,0.04990,20970.00000,-10.71800,0.10900,-10.43900,0.07700,-10.58800,0.07600,-10.49700,0.14300,-10.33100,0.17100,-10.47000,0.13600,-10.39800,0.10000,-10.50700,0.14800,-12.60500,0.18700,-12.81400,0.15600,-12.53800,0.20300,-12.59900,0.16500,-12.68100,0.20600,-12.58600,0.16200,-12.75600,0.17100,-12.75900,0.19100,-12.70300,0.16400,-13.22400,0.23000,-13.14300,0.19300,-11.70100,0.20500,-12.07400,0.42000,-12.14900,0.26800,-11.42500,0.24500,-11.94800,0.26400,-11.90100,0.23900,-11.86900,0.27300,-12.00000,0.28100,-11.90500,0.25900,-12.52900,0.34500,-12.37600,0.23700,-12.45100,0.52000,-11.70300,0.23800,-11.96900,0.29000,0,-9999,-9999,-9999,24862310,1.32000,0.78000
36.47500,37.12500,Aleppo,1,0.03470,5253.00000,0.05980,7011.00000,0.08020,8938.00000,0.09620,9927.00000,-10.81500,0.10800,-10.52100,0.07800,-10.66900,0.07400,-10.58300,0.14000,-10.41900,0.17000,-10.55200,0.13900,-10.49200,0.10500,-10.60000,0.14700,-12.83400,0.18200,-13.07100,0.17000,-12.72500,0.18700,-12.81000,0.18800,-12.87100,0.21600,-12.80100,0.18300,-12.97100,0.18600,-13.04900,0.19500,-12.95700,0.14300,-13.52500,0.25600,-13.46500,0.19000,-11.88800,0.24100,-12.33700,0.46700,-12.36000,0.25000,-11.67700,0.27700,-12.13300,0.26800,-12.12800,0.22900,-12.05500,0.26400,-12.26600,0.26000,-12.15700,0.28000,-12.75500,0.33300,-12.60800,0.20600,-12.66600,0.53800,-11.92200,0.21200,-12.13000,0.27500,0,-9999,-9999,-9999,24862310,1.60000,0.77000
36.47500,37.17500,Aleppo,1,0.01960,8096.00000,0.03460,11416.00000,0.04780,14991.00000,0.05840,15846.00000,-11.10300,0.09300,-10.73800,0.08200,-10.89000,0.06600,-10.81600,0.12600,-10.66400,0.14900,-10.76100,0.15500,-10.75000,0.12800,-10.84500,0.12800,-13.00700,0.14900,-13.24000,0.19700,-12.84500,0.17200,-12.95000,0.21100,-12.98900,0.22300,-12.93400,0.19800,-13.10100,0.19600,-13.25900,0.19400,-13.12800,0.13900,-13.73300,0.28600,-13.68800,0.18500,-12.01500,0.24500,-12.76000,0.53800,-12.73800,0.22800,-11.99800,0.27000,-12.40300,0.27100,-12.45800,0.28100,-12.20600,0.31700,-12.50900,0.27400,-12.53800,0.32700,-12.90000,0.26800,-12.68300,0.19400,-12.69300,0.54900,-11.95900,0.20400,-12.20300,0.25700,0,-9999,-9999,-9999,24862310,1.36000,0.86000
36.47500,37.22500,Aleppo,1,0.01780,4828.00000,0.03350,7150.00000,0.04230,9882.00000,0.05180,9716.00000,-11.18700,0.09000,-10.81000,0.08600,-10.96000,0.06600,-10.89600,0.12300,-10.74600,0.14500,-10.83500,0.15500,-10.83700,0.13000,-10.93100,0.12800,-13.10700,0.11600,-13.30500,0.19700,-12.89500,0.17400,-13.01300,0.21600,-13.01100,0.22400,-12.98800,0.21200,-13.18100,0.21600,-13.37400,0.16900,-13.24300,0.17500,-13.83600,0.29600,-13.79000,0.19800,-12.02500,0.23300,-12.86800,0.52500,-12.85000,0.23700,-12.11400,0.28100,-12.45500,0.26700,-12.52200,0.28800,-12.17600,0.39900,-12.52600,0.26200,-12.62100,0.31000,-12.91600,0.25500,-12.69200,0.18800,-12.63600,0.55500,-11.93100,0.22100,-12.19100,0.26400,0,-9999,-9999,-9999,24862310,1.39000,0.73000
36.47500,37.27500,Aleppo,0,0.00100,69.00000,0.00450,694.00000,0.00520,1162.00000,0.00600,1018.00000,-11.35600,0.07200,-10.93800,0.11400,-11.07300,0.07000,-11.05200,0.11300,-10.91600,0.11300,-10.96900,0.15800,-11.00900,0.13300,-11.08100,0.11400,-13.15700,0.10700,-13.30100,0.19500,-12.89300,0.17800,-12.99900,0.21400,-12.96100,0.21000,-12.98500,0.20900,-13.18500,0.20600,-13.40000,0.15800,-13.27700,0.20200,-13.85800,0.26200,-13.79400,0.18700,-11.95900,0.25600,-12.77400,0.47100,-12.82700,0.26600,-12.10300,0.28500,-12.33800,0.27500,-12.40400,0.31200,-12.06100,0.38800,-12.37300,0.31200,-12.49400,0.29900,-12.68900,0.29600,-12.58200,0.18800,-12.41600,0.54100,-11.80800,0.27300,-12.08600,0.27200,0,-9999,-9999,-9999,24862310,1.03000,0.49000
36.47500,37.32500,Aleppo,0,0.00090,401.00000,0.00250,1011.00000,0.00410,1715.00000,0.00490,1885.00000,-11.35500,0.07000,-10.93600,0.12000,-11.06700,0.07100,-11.05300,0.11400,-10.92000,0.10900,-10.96800,0.15900,-11.01300,0.13300,-11.08000,0.11300,-13.10100,0.13900,-13.19000,0.21200,-12.81600,0.18900,-12.91100,0.19100,-12.84000,0.22400,-12.90800,0.21300,-13.10400,0.19200,-13.32200,0.17200,-13.19000,0.21900,-13.73100,0.21300,-13.66300,0.18400,-11.76400,0.32500,-12.35500,0.39400,-12.39700,0.23300,-11.84100,0.22600,-11.85800,0.26200,-11.98700,0.28500,-11.68300,0.33200,-11.95700,0.30200,-11.93500,0.27900,-12.11700,0.27600,-12.09000,0.23700,-11.85100,0.48900,-11.40600,0.32500,-11.82900,0.25100,0,-9999,-9999,-9999,24862310,1.00000,0.30000
36.47500,37.37500,Aleppo,0,0.00010,497.00000,0.00090,815.00000,0.00100,1109.00000,0.00120,1024.00000,-11.29200,0.06300,-10.87600,0.15700,-10.97900,0.07600,-11.01100,0.12400,-10.89700,0.09300,-10.91900,0.16100,-10.98100,0.13700,-11.02600,0.11600,-12.96400,0.19500,-12.99800,0.23200,-12.67800,0.19500,-12.73600,0.13700,-12.65400,0.21700,-12.72900,0.21900,-12.93600,0.19600,-13.12400,0.19600,-13.02100,0.24300,-13.46000,0.21000,-13.40800,0.18300,-11.41400,0.30800,-11.72800,0.34100,-11.62600,0.30300,-11.29500,0.26400,-11.35900,0.22700,-11.39700,0.28000,-11.07200,0.28700,-11.28400,0.26800,-11.26500,0.21800,-11.43400,0.23300,-11.40600,0.24700,-11.18900,0.44000,-10.90100,0.30700,-11.20000,0.24700,0,-9999,-9999,-9999,24862310,-9999.00000,0.16000
