latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
32.22500,35.67500,Amman,0,0.00050,1387.00000,0.00200,1192.00000,0.00320,1393.00000,0.00350,2217.00000,-9.34500,0.10200,-9.22900,0.06300,-9.28600,0.21100,-9.52500,0.21300,-9.33900,0.08500,-9.29300,0.12100,-9.46500,0.23400,-9.03100,0.11900,-11.00400,0.25800,-10.83000,0.22000,-10.93500,0.19600,-10.88900,0.18600,-10.90700,0.16500,-10.78400,0.16700,-10.86800,0.19000,-10.86400,0.17200,-10.86100,0.24900,-10.91000,0.20100,-10.93400,0.11500,-9.08700,0.28400,-9.22500,0.26100,-9.27700,0.22900,-9.21300,0.25700,-9.14300,0.23100,-9.06800,0.25600,-8.89800,0.73900,-9.07300,0.24700,-9.18900,0.23500,-9.05400,0.27000,-8.94500,0.21400,-9.11000,0.34100,-8.89800,0.25700,-8.91400,0.29600,0,-9999,-9999,-9999,26131864,1.05000,0.21000
32.22500,35.72500,Amman,0,0.00080,708.00000,0.00230,510.00000,0.00330,945.00000,0.00340,1226.00000,-9.31700,0.10300,-9.19400,0.07100,-9.25700,0.21900,-9.50600,0.27600,-9.30500,0.09400,-9.24500,0.13600,-9.40200,0.21600,-8.95400,0.12900,-10.91400,0.25900,-10.71200,0.24500,-10.80100,0.19000,-10.79600,0.17900,-10.78100,0.15800,-10.67800,0.18800,-10.76800,0.18800,-10.76600,0.18000,-10.75900,0.25800,-10.79300,0.21400,-10.82400,0.13500,-9.02400,0.30200,-9.12000,0.25800,-9.15900,0.23100,-9.10700,0.27100,-9.04900,0.21400,-8.97300,0.25000,-8.79100,0.72600,-9.00300,0.24400,-9.04500,0.23300,-8.94200,0.29900,-8.84900,0.23200,-8.95600,0.36000,-8.79400,0.29800,-8.82500,0.29000,0,-9999,-9999,-9999,26131864,1.14000,0.43000
32.22500,35.77500,Amman,0,0.00000,911.00000,0.00300,5056.00000,0.00350,6684.00000,0.00410,8584.00000,-9.31300,0.10400,-9.18700,0.07400,-9.25300,0.22200,-9.50300,0.29400,-9.29800,0.09700,-9.23300,0.14200,-9.38300,0.20700,-8.93400,0.13200,-10.85200,0.25400,-10.62600,0.26400,-10.71000,0.18500,-10.71800,0.17700,-10.68100,0.16000,-10.59800,0.19800,-10.69500,0.20000,-10.69000,0.18400,-10.67400,0.23800,-10.68800,0.22700,-10.73700,0.16800,-9.04700,0.27600,-9.11600,0.23100,-9.12100,0.22600,-9.08300,0.25000,-9.05500,0.19600,-8.94700,0.21800,-8.71700,0.80200,-8.98000,0.22000,-8.99000,0.22400,-8.92600,0.31800,-8.82600,0.20900,-8.91200,0.35700,-8.80200,0.30700,-8.83900,0.29600,0,-9999,-9999,-9999,26131864,1.59000,0.54000
32.22500,35.82500,Amman,0,0.00000,1098.00000,0.00280,726.00000,0.00430,1128.00000,0.00530,3585.00000,-9.38200,0.11300,-9.25300,0.07800,-9.34100,0.23500,-9.57800,0.36900,-9.36100,0.10600,-9.27200,0.16300,-9.39700,0.16600,-8.98800,0.14300,-10.83300,0.24800,-10.58200,0.28200,-10.65200,0.19000,-10.66000,0.17400,-10.61300,0.18800,-10.54600,0.21800,-10.63400,0.21700,-10.61300,0.16600,-10.61400,0.20200,-10.62100,0.23500,-10.67500,0.19500,-9.13400,0.25500,-9.14300,0.19900,-9.18400,0.21900,-9.11600,0.21400,-9.12000,0.18700,-8.95600,0.20100,-8.73400,0.82500,-9.02900,0.19600,-9.02300,0.21100,-8.96800,0.29500,-8.88400,0.19800,-8.92800,0.32800,-8.87700,0.30300,-8.91700,0.26800,0,-9999,-9999,-9999,26131864,1.46000,0.52000
32.22500,35.87500,Amman,1,0.00030,658.00000,0.00590,2086.00000,0.01320,5197.00000,0.01410,6717.00000,-9.41500,0.11600,-9.28400,0.07800,-9.37800,0.23900,-9.60800,0.37800,-9.39100,0.10600,-9.29700,0.16700,-9.41200,0.15200,-9.02100,0.14600,-10.85000,0.22200,-10.58500,0.30000,-10.64900,0.19300,-10.64400,0.17000,-10.59400,0.21100,-10.54600,0.23200,-10.60300,0.23100,-10.59000,0.15800,-10.59900,0.18300,-10.61600,0.22400,-10.66700,0.22700,-9.26400,0.20800,-9.23800,0.16000,-9.26900,0.19300,-9.22300,0.15600,-9.21700,0.17100,-9.05500,0.21700,-8.82700,0.81600,-9.15900,0.17400,-9.16000,0.16700,-9.11400,0.24100,-8.95900,0.18200,-9.04700,0.31100,-9.01300,0.29800,-9.00600,0.23500,0,-9999,-9999,-9999,26131864,1.03000,0.38000
32.22500,35.92500,Amman,0,0.00000,399.00000,0.00180,777.00000,0.00360,1514.00000,0.00490,2188.00000,-9.69600,0.12300,-9.56000,0.09900,-9.69100,0.27500,-9.88600,0.45600,-9.67000,0.11100,-9.54700,0.17500,-9.61900,0.11200,-9.32100,0.16400,-10.89200,0.20500,-10.63700,0.30300,-10.68600,0.20000,-10.65000,0.17700,-10.61100,0.22600,-10.55900,0.22700,-10.60100,0.26000,-10.58200,0.16800,-10.60500,0.18500,-10.61800,0.22600,-10.67700,0.21900,-9.33800,0.18300,-9.30700,0.16000,-9.32500,0.16300,-9.27200,0.13400,-9.26500,0.16400,-9.12100,0.20700,-8.89300,0.82300,-9.23900,0.18200,-9.22600,0.16300,-9.18800,0.22600,-9.00700,0.15500,-9.13300,0.28600,-9.07300,0.28500,-9.08300,0.23000,0,-9999,-9999,-9999,26131864,1.00000,0.21000
32.22500,35.97500,Amman,0,0.00000,127.00000,0.00050,502.00000,0.00090,713.00000,0.00110,834.00000,-9.80700,0.12500,-9.66400,0.10400,-9.80500,0.28300,-9.99100,0.46100,-9.77900,0.10800,-9.65200,0.17300,-9.70900,0.10400,-9.44400,0.16800,-10.99800,0.20200,-10.75200,0.27900,-10.79500,0.19500,-10.73300,0.19100,-10.72100,0.21400,-10.63300,0.22200,-10.67000,0.27700,-10.63500,0.19100,-10.69000,0.19300,-10.68600,0.25200,-10.74500,0.20300,-9.39500,0.19000,-9.34000,0.16300,-9.35600,0.15800,-9.29100,0.12800,-9.29100,0.15300,-9.15500,0.20700,-8.99100,0.81900,-9.28900,0.17900,-9.26100,0.17000,-9.22400,0.22800,-9.03800,0.15400,-9.21100,0.26800,-9.11700,0.27500,-9.13900,0.21900,0,-9999,-9999,-9999,26131864,1.00000,0.15000
32.22500,36.02500,Amman,0,0.00000,25.00000,0.00110,0.00000,0.00130,0.00000,0.00140,0.00000,-10.34800,0.12700,-10.17200,0.12100,-10.34800,0.30600,-10.51500,0.49200,-10.31400,0.09800,-10.17800,0.16700,-10.16800,0.09600,-10.03900,0.17700,-11.18400,0.19400,-10.96300,0.25000,-10.98600,0.18100,-10.90900,0.20000,-10.90500,0.19900,-10.80100,0.23800,-10.84200,0.27300,-10.77600,0.21700,-10.85800,0.20200,-10.85200,0.25800,-10.89500,0.20700,-9.52600,0.21000,-9.48100,0.18500,-9.48700,0.19000,-9.38700,0.14600,-9.39300,0.14000,-9.33400,0.22200,-9.17800,0.81600,-9.41100,0.18400,-9.41000,0.18800,-9.34500,0.23300,-9.18400,0.17900,-9.37700,0.29300,-9.23700,0.24400,-9.26300,0.22100,0,-9999,-9999,-9999,26131864,-9999.00000,0.02000
32.22500,36.07500,Amman,1,0.00010,6012.00000,0.00580,6291.00000,0.00870,8903.00000,0.01120,12212.00000,-10.53500,0.12600,-10.34500,0.12400,-10.53200,0.30900,-10.69900,0.48500,-10.49600,0.09600,-10.36700,0.15900,-10.34100,0.09900,-10.24700,0.18400,-11.51600,0.18600,-11.32500,0.23000,-11.33300,0.18400,-11.23700,0.17800,-11.27400,0.19600,-11.12300,0.24200,-11.17900,0.24600,-11.08800,0.21100,-11.17200,0.20900,-11.15900,0.25400,-11.19600,0.21000,-9.85700,0.25000,-9.83000,0.19800,-9.85800,0.20600,-9.71000,0.19500,-9.65100,0.17700,-9.73400,0.19700,-9.60700,0.59800,-9.74500,0.19300,-9.73000,0.18900,-9.59900,0.25000,-9.51100,0.20400,-9.69500,0.29900,-9.51100,0.25600,-9.53000,0.23400,0,-9999,-9999,-9999,26131864,-9999.00000,0.03000
32.22500,36.12500,Amman,1,0.00010,0.00000,0.00680,2267.00000,0.01010,2927.00000,0.01320,3950.00000,-11.19600,0.11900,-10.96400,0.13500,-11.18900,0.30600,-11.36900,0.48800,-11.14000,0.09600,-11.03800,0.14100,-10.96200,0.12100,-10.97600,0.20700,-11.98300,0.17700,-11.82500,0.19100,-11.81500,0.19700,-11.68600,0.17200,-11.75400,0.19800,-11.56600,0.23200,-11.63600,0.21800,-11.54600,0.18100,-11.60400,0.21300,-11.60500,0.24600,-11.62100,0.21600,-10.35500,0.26000,-10.23500,0.21400,-10.27900,0.23700,-10.07100,0.18500,-10.04500,0.18900,-10.14500,0.21500,-9.92100,0.57800,-10.03600,0.19900,-10.04200,0.19300,-9.88100,0.28900,-9.85500,0.21000,-10.03600,0.34400,-9.84800,0.26400,-9.88900,0.28200,0,-9999,-9999,-9999,26131864,-9999.00000,0.01000
