latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
41.37500,122.67500,Anshan,1,0.00160,2506.00000,0.00970,5700.00000,0.01450,7638.00000,0.02440,10551.00000,-9.23000,0.29400,-8.29800,0.44900,-8.78200,0.27700,-9.36400,0.41200,-9.43100,0.59800,-8.86600,0.29700,-9.40900,0.39900,-9.68600,0.35600,-11.34200,0.56500,-11.62200,0.45300,-10.88900,0.49200,-11.18400,0.72200,-10.57900,0.45900,-10.40800,0.43400,-10.54300,0.53600,-10.51500,0.44300,-10.82500,0.56300,-10.57100,0.75200,-10.90700,0.61600,-9.53100,0.55500,-9.19900,0.64000,-9.90000,0.52000,-8.64500,0.55800,-9.13300,0.44800,-9.41700,0.34200,-9.42600,0.44200,-10.43600,0.34600,-10.33900,0.51400,-9.45600,0.46100,-9.73100,0.41800,-9.91900,0.63400,-9.62800,0.63500,-9.56200,0.69100,0,0.01370,4.42350,0.63360,23227474,3.63000,2.15000
41.37500,122.72500,Anshan,1,0.00010,116.00000,0.00130,595.00000,0.00200,949.00000,0.00420,1152.00000,-9.20200,0.30000,-8.29600,0.44400,-8.73800,0.27800,-9.29900,0.38700,-9.39200,0.58400,-8.84500,0.30000,-9.33100,0.40300,-9.61400,0.34300,-11.41500,0.50200,-11.68600,0.40300,-10.97800,0.46200,-11.26300,0.63400,-10.68800,0.41400,-10.56300,0.41000,-10.67900,0.48400,-10.66500,0.42000,-10.93100,0.49300,-10.70000,0.66900,-10.95900,0.57800,-9.54800,0.53600,-9.23000,0.65000,-9.88800,0.52200,-8.73100,0.51400,-9.26500,0.40900,-9.41800,0.36000,-9.45600,0.43600,-10.42000,0.34800,-10.29800,0.51800,-9.45100,0.45900,-9.75300,0.42600,-9.88700,0.61600,-9.61800,0.63400,-9.56900,0.67200,0,0.00440,2.07710,0.11100,23227474,7.06000,3.53000
41.37500,122.77500,Anshan,1,0.00130,917.00000,0.02010,2635.00000,0.02580,3653.00000,0.03980,4116.00000,-9.19300,0.30400,-8.31200,0.44200,-8.71600,0.28100,-9.26300,0.36500,-9.37500,0.57000,-8.84800,0.30800,-9.28100,0.40800,-9.56700,0.33200,-11.42600,0.45800,-11.70600,0.36800,-11.01100,0.44900,-11.29700,0.55200,-10.76200,0.37700,-10.67900,0.37800,-10.74700,0.43800,-10.76300,0.40700,-10.98200,0.44000,-10.75900,0.60700,-10.96400,0.54000,-9.53000,0.53600,-9.23400,0.64900,-9.86300,0.52500,-8.79200,0.47700,-9.34000,0.38600,-9.36300,0.41000,-9.45700,0.43500,-10.34500,0.35200,-10.20600,0.51300,-9.41600,0.46300,-9.73800,0.43700,-9.79600,0.59200,-9.56100,0.63200,-9.52300,0.65300,0,0.00760,2.91990,0.31440,23227474,2.96000,1.76000
41.37500,122.82500,Anshan,2,0.00610,17691.00000,0.07300,21221.00000,0.08450,23015.00000,0.12490,19441.00000,-9.20200,0.31300,-8.33700,0.42600,-8.70500,0.27400,-9.24400,0.35800,-9.37300,0.55700,-8.86000,0.31100,-9.25400,0.40900,-9.54500,0.31600,-11.37400,0.42400,-11.67200,0.34500,-10.99700,0.44800,-11.28600,0.49300,-10.78400,0.34700,-10.73400,0.35300,-10.74500,0.41000,-10.78600,0.40200,-10.96900,0.40300,-10.74700,0.56600,-10.91800,0.49500,-9.50900,0.52600,-9.22900,0.64100,-9.83500,0.52900,-8.83200,0.46100,-9.37200,0.39600,-9.30200,0.46200,-9.45200,0.43600,-10.23900,0.37000,-10.10300,0.50100,-9.37100,0.46600,-9.70500,0.44000,-9.69600,0.57600,-9.47700,0.65100,-9.45000,0.65600,0,0.01560,3.86010,0.95820,23227474,3.29000,1.79000
41.37500,122.87500,Anshan,2,0.00750,8305.00000,0.08270,11467.00000,0.09320,11876.00000,0.18690,14665.00000,-9.20600,0.33000,-8.36500,0.40300,-8.67400,0.26400,-9.18300,0.33400,-9.35400,0.53400,-8.87000,0.31100,-9.18100,0.41000,-9.48400,0.28700,-11.27900,0.39400,-11.60200,0.33700,-10.94200,0.44500,-11.23200,0.44900,-10.74900,0.31700,-10.70400,0.34200,-10.67600,0.39500,-10.73900,0.38900,-10.90000,0.37400,-10.68600,0.53200,-10.83300,0.45100,-9.48500,0.51800,-9.22200,0.63300,-9.80900,0.53100,-8.87300,0.43800,-9.41000,0.40000,-9.26700,0.47900,-9.44800,0.43400,-10.15500,0.38600,-10.02600,0.48500,-9.33200,0.46400,-9.66500,0.44700,-9.62500,0.57300,-9.40500,0.66400,-9.37700,0.67200,0,0.01430,4.27520,0.70930,23227474,3.98000,2.22000
41.37500,122.92500,Anshan,1,0.00500,7006.00000,0.05260,5731.00000,0.06240,6054.00000,0.15600,7635.00000,-9.23900,0.33500,-8.40200,0.39700,-8.69500,0.26000,-9.20700,0.33800,-9.38300,0.52800,-8.90600,0.31300,-9.19900,0.41400,-9.50400,0.28000,-11.17800,0.38000,-11.51300,0.32800,-10.85400,0.43600,-11.15700,0.42700,-10.69600,0.28500,-10.61300,0.34100,-10.58300,0.35600,-10.65500,0.37900,-10.82100,0.36100,-10.58900,0.51100,-10.73300,0.41500,-9.46800,0.51500,-9.21800,0.62400,-9.78300,0.53000,-8.91200,0.41400,-9.44000,0.39900,-9.23000,0.49800,-9.44000,0.42500,-10.10000,0.39200,-9.96200,0.46800,-9.29000,0.46700,-9.60600,0.46700,-9.56400,0.56900,-9.35100,0.64300,-9.28400,0.68600,0,0.01200,3.61360,0.55540,23227474,4.75000,2.62000
41.37500,122.97500,Anshan,2,0.00650,9286.00000,0.05100,9618.00000,0.06520,11281.00000,0.14020,14117.00000,-9.24600,0.35600,-8.41000,0.37400,-8.64800,0.24100,-9.11300,0.32800,-9.35300,0.50600,-8.90200,0.29400,-9.10500,0.40600,-9.43100,0.24700,-11.12800,0.38500,-11.46400,0.31600,-10.79900,0.42300,-11.09700,0.43300,-10.65300,0.26500,-10.52700,0.34000,-10.51600,0.34300,-10.59100,0.36900,-10.77500,0.36000,-10.54200,0.50900,-10.67800,0.39700,-9.43900,0.51400,-9.21800,0.61000,-9.75500,0.53200,-8.94800,0.39400,-9.44400,0.40000,-9.20500,0.51700,-9.41200,0.40100,-10.03400,0.40400,-9.90400,0.45600,-9.22900,0.49200,-9.53200,0.46300,-9.50200,0.57700,-9.27300,0.59500,-9.17000,0.70400,0,0.01290,3.00940,0.73500,23227474,4.46000,2.44000
41.37500,123.02500,Anshan,2,0.00520,6579.00000,0.06670,10691.00000,0.07340,11468.00000,0.14650,15904.00000,-9.24500,0.35800,-8.40900,0.37300,-8.64400,0.24000,-9.10400,0.33000,-9.35000,0.50500,-8.89700,0.29100,-9.09600,0.40300,-9.42200,0.24700,-11.09400,0.38400,-11.41900,0.28800,-10.76700,0.40200,-11.05200,0.43100,-10.60400,0.27100,-10.44100,0.35200,-10.45400,0.32300,-10.53500,0.36000,-10.71300,0.36400,-10.45300,0.50600,-10.61400,0.38600,-9.41800,0.51300,-9.22300,0.59400,-9.72900,0.53700,-8.96900,0.41200,-9.44200,0.41400,-9.18200,0.55300,-9.36100,0.38200,-9.91700,0.44500,-9.83000,0.44200,-9.18800,0.49600,-9.43700,0.45300,-9.40200,0.58600,-9.21500,0.58400,-9.03800,0.74400,0,0.00930,2.37730,0.51890,23227474,5.28000,2.76000
41.37500,123.07500,Anshan,2,0.00420,8275.00000,0.07180,11443.00000,0.08260,12111.00000,0.15600,12415.00000,-9.23100,0.37500,-8.39100,0.36400,-8.60000,0.23100,-9.00500,0.35100,-9.31100,0.48700,-8.85000,0.25500,-8.99900,0.36600,-9.32600,0.24300,-11.09300,0.37500,-11.41100,0.26400,-10.75700,0.38900,-11.03900,0.44200,-10.58400,0.26900,-10.40400,0.37100,-10.43800,0.30400,-10.51300,0.35500,-10.67600,0.36300,-10.42400,0.50300,-10.59600,0.38500,-9.41600,0.51800,-9.23800,0.58500,-9.70700,0.56600,-9.01100,0.44700,-9.43700,0.48100,-9.13500,0.61500,-9.32700,0.41600,-9.80500,0.49500,-9.67800,0.42400,-9.11200,0.51700,-9.33000,0.46400,-9.21700,0.60700,-9.06500,0.59800,-8.87300,0.71700,0,0.01690,3.91990,1.06060,23227474,4.89000,2.64000
41.37500,123.12500,Anshan,2,0.00630,6775.00000,0.08500,9523.00000,0.10000,10472.00000,0.16820,11837.00000,-9.22900,0.37900,-8.38800,0.36200,-8.59200,0.23000,-8.98600,0.35500,-9.30300,0.48300,-8.84100,0.24900,-8.98100,0.35900,-9.30800,0.24200,-11.16400,0.37800,-11.46400,0.26000,-10.81400,0.38300,-11.08200,0.45500,-10.63200,0.27100,-10.44200,0.38200,-10.50300,0.30800,-10.57200,0.35700,-10.70300,0.36800,-10.49300,0.50100,-10.64700,0.41000,-9.41600,0.52000,-9.29600,0.56800,-9.67100,0.61400,-8.99700,0.48500,-9.34100,0.53900,-8.98700,0.65300,-9.18900,0.40500,-9.49200,0.52200,-9.45300,0.40400,-8.85700,0.52100,-9.01300,0.46500,-8.94200,0.62800,-8.60400,0.60300,-8.51200,0.65600,0,0.01600,3.62830,0.95170,23227474,8.00000,3.22000
