latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
38.22500,23.47500,Athens,0,0.00000,0.00000,0.00560,662.00000,0.00640,653.00000,0.00900,620.00000,-8.51300,0.13600,-8.60900,0.17400,-8.46300,0.07400,-8.99400,0.37400,-8.61400,0.09600,-8.55600,0.20600,-8.60800,0.10700,-8.49800,0.12000,-10.94400,0.27000,-10.58200,0.22200,-10.74600,0.22900,-10.76300,0.26500,-10.81000,0.25800,-10.60800,0.18100,-10.64400,0.20300,-10.55900,0.22500,-10.50800,0.21800,-10.60900,0.21600,-10.68900,0.22200,-8.86500,0.26900,-8.94000,0.20600,-8.93500,0.28000,-8.97700,0.22700,-8.95500,0.28000,-8.93200,0.29200,-8.90500,0.27200,-8.97900,0.25900,-8.97000,0.22800,-8.97100,0.19300,-8.90900,0.18800,-8.88600,0.46500,-9.06100,0.24700,-8.94400,0.22400,0,0.00320,1.60540,0.21730,24299010,13.78000,4.69000
38.22500,23.52500,Athens,0,0.00070,512.00000,0.00770,440.00000,0.00940,488.00000,0.01270,559.00000,-8.45400,0.25800,-8.43400,0.18500,-8.28700,0.10000,-8.56700,0.27500,-8.40100,0.10700,-8.36500,0.19100,-8.39500,0.11700,-8.24800,0.11200,-10.96000,0.26100,-10.55600,0.23300,-10.68800,0.20900,-10.67700,0.27500,-10.73100,0.25400,-10.48300,0.17300,-10.51000,0.19400,-10.44900,0.22500,-10.33800,0.22300,-10.42600,0.23300,-10.51000,0.23300,-8.76800,0.22000,-8.80500,0.22000,-8.86800,0.24800,-8.88000,0.19200,-8.84500,0.24700,-8.79800,0.25600,-8.76900,0.22900,-8.89600,0.22700,-8.87900,0.19100,-8.82300,0.19000,-8.80700,0.16500,-8.78600,0.44300,-8.91000,0.25700,-8.80300,0.20400,0,0.00300,1.95380,0.19150,24299010,15.00000,4.88000
38.22500,23.57500,Athens,0,0.00030,673.00000,0.00180,747.00000,0.00230,774.00000,0.00310,505.00000,-8.45800,0.26700,-8.43200,0.18600,-8.28700,0.10100,-8.56300,0.27500,-8.39900,0.10800,-8.36400,0.19000,-8.39400,0.11600,-8.24300,0.11500,-11.00500,0.25400,-10.56200,0.24000,-10.65100,0.19800,-10.62000,0.27500,-10.65900,0.24400,-10.38100,0.17800,-10.40000,0.19800,-10.40200,0.23200,-10.21700,0.22700,-10.27500,0.23900,-10.38000,0.27800,-8.67500,0.21500,-8.72100,0.20800,-8.81900,0.23300,-8.81200,0.19600,-8.77600,0.23900,-8.72500,0.22400,-8.68300,0.20600,-8.81900,0.20500,-8.81300,0.18200,-8.76000,0.19300,-8.71900,0.16600,-8.74100,0.33500,-8.78700,0.21600,-8.73100,0.20100,0,0.00380,1.55240,0.23860,24299010,23.26000,5.46000
38.22500,23.62500,Athens,0,0.00000,0.00000,0.00000,0.00000,0.00020,0.00000,0.00030,0.00000,-8.54100,0.46600,-8.37500,0.19800,-8.26900,0.11700,-8.45200,0.26700,-8.32900,0.12800,-8.32000,0.17200,-8.35700,0.08700,-8.12500,0.19800,-11.02000,0.25000,-10.52800,0.24400,-10.60300,0.19900,-10.54700,0.28200,-10.57600,0.21200,-10.28400,0.18100,-10.30100,0.19900,-10.31000,0.21500,-10.09300,0.22000,-10.16600,0.24600,-10.23900,0.29400,-8.62000,0.20400,-8.66700,0.19300,-8.75400,0.23300,-8.74500,0.18800,-8.73200,0.23800,-8.66500,0.20300,-8.64000,0.20500,-8.77000,0.20300,-8.74900,0.18400,-8.71600,0.19000,-8.66000,0.15800,-8.68100,0.31900,-8.70600,0.22300,-8.66300,0.20700,0,0.00000,0.07150,0.00170,24299010,27.45000,6.20000
38.22500,23.67500,Athens,0,0.00060,1013.00000,0.00120,885.00000,0.00150,726.00000,0.00250,504.00000,-8.54800,0.46900,-8.37900,0.19800,-8.27400,0.11700,-8.45600,0.26600,-8.33300,0.12800,-8.32500,0.17100,-8.36200,0.08700,-8.12800,0.20100,-11.14900,0.23800,-10.63300,0.22900,-10.67000,0.22900,-10.62400,0.28100,-10.63100,0.20200,-10.34400,0.19700,-10.38300,0.23100,-10.39800,0.21700,-10.17800,0.22300,-10.24700,0.24600,-10.29500,0.29600,-8.55500,0.20600,-8.62200,0.20700,-8.68600,0.25500,-8.67000,0.16600,-8.70900,0.24100,-8.61900,0.22000,-8.60800,0.20200,-8.73400,0.22000,-8.69800,0.18000,-8.66800,0.20700,-8.60100,0.18400,-8.61600,0.35500,-8.64900,0.22700,-8.62700,0.22300,0,0.00170,0.90510,0.11840,24299010,31.25000,6.53000
38.22500,23.72500,Athens,0,0.00160,338.00000,0.00320,706.00000,0.00430,646.00000,0.00590,441.00000,-8.75900,0.58400,-8.49500,0.20200,-8.43600,0.10000,-8.58900,0.23800,-8.45200,0.14000,-8.48200,0.15300,-8.54300,0.10300,-8.20000,0.32600,-11.36100,0.24500,-10.80700,0.21900,-10.82700,0.22100,-10.81200,0.26700,-10.78500,0.22400,-10.52300,0.21200,-10.58000,0.22500,-10.60500,0.24600,-10.37400,0.22100,-10.43000,0.25700,-10.48000,0.29900,-8.55700,0.21000,-8.63200,0.21200,-8.68300,0.25000,-8.63900,0.17900,-8.72900,0.25000,-8.61300,0.21000,-8.61000,0.19800,-8.74800,0.23300,-8.65900,0.19700,-8.67000,0.22300,-8.58700,0.19800,-8.58600,0.38300,-8.64300,0.23000,-8.62900,0.21900,0,0.00250,1.20610,0.17850,24299010,30.55000,6.59000
38.22500,23.77500,Athens,0,0.00020,32.00000,0.00180,204.00000,0.00330,247.00000,0.00460,267.00000,-8.76500,0.58400,-8.50100,0.20200,-8.44200,0.10000,-8.59600,0.23900,-8.45700,0.14000,-8.48800,0.15300,-8.54900,0.10400,-8.20600,0.32500,-11.66200,0.25400,-11.09200,0.20000,-11.11000,0.20100,-11.14900,0.27300,-11.10500,0.23700,-10.84700,0.21600,-10.92700,0.22000,-10.94700,0.25700,-10.77000,0.21900,-10.78000,0.26900,-10.83800,0.27200,-8.66600,0.20500,-8.72100,0.20300,-8.78600,0.23800,-8.70400,0.18700,-8.83200,0.28000,-8.71100,0.19000,-8.73600,0.19900,-8.83300,0.28900,-8.72700,0.23900,-8.76700,0.25300,-8.66600,0.20200,-8.70800,0.39500,-8.75000,0.24800,-8.77300,0.19400,0,0.00710,2.94540,0.49810,24299010,35.33000,6.43000
38.22500,23.82500,Athens,1,0.00440,3387.00000,0.01410,1794.00000,0.01900,1606.00000,0.02160,1506.00000,-9.11800,0.63100,-8.83400,0.20500,-8.81500,0.11500,-8.98900,0.27500,-8.79200,0.16900,-8.85000,0.13600,-8.91600,0.19700,-8.54500,0.18800,-12.01200,0.25700,-11.44600,0.19800,-11.47300,0.20300,-11.55600,0.27400,-11.50400,0.25500,-11.23400,0.22300,-11.37000,0.23500,-11.36600,0.27900,-11.21800,0.22400,-11.18400,0.26200,-11.27900,0.29800,-8.87600,0.19500,-8.92000,0.22500,-8.96700,0.27900,-8.90100,0.22000,-9.03800,0.27400,-8.91700,0.23700,-8.98400,0.23700,-9.03400,0.31800,-8.93900,0.20800,-8.96800,0.27400,-8.91000,0.18100,-8.96500,0.42700,-8.92500,0.26900,-9.00000,0.27400,0,0.01320,4.97860,0.99050,24299010,26.37000,6.12000
38.22500,23.87500,Athens,1,0.01210,4641.00000,0.02910,5126.00000,0.03540,5500.00000,0.03940,5508.00000,-9.12000,0.63100,-8.83600,0.20500,-8.81700,0.11600,-8.99200,0.27600,-8.79300,0.17000,-8.85200,0.13600,-8.91800,0.19800,-8.54700,0.18800,-12.46800,0.26000,-11.93000,0.20700,-11.96800,0.20100,-12.11000,0.27300,-12.01900,0.26100,-11.78400,0.23800,-11.94400,0.22900,-11.90300,0.29500,-11.78900,0.22600,-11.75600,0.26600,-11.85100,0.33100,-9.20100,0.26200,-9.20600,0.24100,-9.26600,0.27100,-9.18800,0.27700,-9.27900,0.28400,-9.17900,0.23800,-9.26400,0.27000,-9.44600,0.38100,-9.32200,0.21600,-9.28900,0.25800,-9.20100,0.18100,-9.28700,0.40200,-9.22900,0.25300,-9.32700,0.30100,0,0.02240,5.84630,1.56480,24299010,11.80000,4.03000
38.22500,23.92500,Athens,1,0.00800,1768.00000,0.01190,1888.00000,0.01310,2044.00000,0.01440,1869.00000,-9.70500,0.65000,-9.46200,0.24900,-9.41700,0.17800,-9.64600,0.44600,-9.29900,0.22500,-9.41100,0.16400,-9.51800,0.30400,-9.22500,0.37800,-12.92200,0.27500,-12.46100,0.23400,-12.50800,0.17800,-12.69500,0.25500,-12.58000,0.28900,-12.34000,0.23300,-12.55000,0.22400,-12.50700,0.33800,-12.40100,0.24100,-12.36000,0.27600,-12.46300,0.37800,-9.66700,0.30500,-9.66700,0.28200,-9.64800,0.29000,-9.70300,0.29500,-9.74800,0.29600,-9.65200,0.25200,-9.77400,0.29300,-9.98100,0.41200,-9.72000,0.25200,-9.82700,0.25000,-9.67300,0.22800,-9.69100,0.41700,-9.81100,0.36000,-9.80400,0.27200,0,0.00830,3.12290,0.49280,24299010,10.69000,4.31000
