latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
34.07500,-84.62500,Atlanta,3,0.09920,14879.00000,0.23150,19927.00000,0.41450,24554.00000,0.51130,32427.00000,-9.45700,0.32900,-9.08300,0.37000,-9.39600,0.18100,-9.28500,0.20200,-9.18100,0.16300,-9.14900,0.20700,-9.18500,0.29500,-9.03200,0.15900,-10.97600,0.41600,-10.83500,0.24400,-10.49800,0.37700,-10.54700,0.41500,-10.31600,0.40100,-10.44100,0.29100,-10.26200,0.30200,-10.39100,0.28100,-10.59000,0.23400,-10.58300,0.30200,-10.40900,0.29000,-8.70100,0.23500,-8.73000,0.31900,-8.56200,0.26700,-8.67800,0.25100,-8.69600,0.33700,-8.63200,0.28800,-8.37400,0.40100,-8.52000,0.25600,-8.53200,0.34500,-8.54400,0.39300,-8.28500,0.49600,-7.93900,0.53400,-8.00000,0.73100,-8.21800,0.38500,0,0.07160,10.15560,7.46190,25596624,24.11000,6.69000
34.07500,-84.57500,Atlanta,2,0.16390,12730.00000,0.35280,17653.00000,0.42910,22196.00000,0.46080,31181.00000,-9.34300,0.33800,-8.97100,0.31600,-9.29800,0.18500,-9.22500,0.16700,-9.09700,0.14500,-9.04700,0.20100,-9.06800,0.27600,-8.92000,0.14700,-10.88300,0.40500,-10.68500,0.26300,-10.36800,0.36900,-10.43400,0.42200,-10.21100,0.39900,-10.32400,0.30300,-10.09700,0.30400,-10.24200,0.27400,-10.45200,0.23400,-10.43900,0.29000,-10.24600,0.27700,-8.54200,0.24100,-8.59200,0.30300,-8.37000,0.27600,-8.53700,0.23200,-8.50900,0.29900,-8.44000,0.30300,-8.17900,0.40500,-8.33300,0.23900,-8.37000,0.37000,-8.34900,0.41000,-8.12300,0.47200,-7.72700,0.54100,-7.67200,0.72200,-8.03500,0.45100,0,0.07250,8.03050,5.56570,25596624,30.16000,7.03000
34.07500,-84.52500,Atlanta,2,0.21410,8658.00000,0.38450,12557.00000,0.43990,16183.00000,0.49220,23157.00000,-9.29700,0.34500,-8.92700,0.28700,-9.26200,0.18800,-9.20600,0.14900,-9.06600,0.13700,-9.00900,0.19900,-9.02200,0.26700,-8.87800,0.14100,-10.76700,0.36800,-10.50400,0.26700,-10.22900,0.38400,-10.29300,0.39900,-10.06800,0.40200,-10.18900,0.31500,-9.92500,0.30000,-10.07500,0.27000,-10.28900,0.23700,-10.28100,0.27100,-10.08700,0.28000,-8.50000,0.25700,-8.56700,0.29400,-8.31000,0.30300,-8.50200,0.22600,-8.45700,0.26200,-8.36500,0.31100,-8.10800,0.39400,-8.24800,0.21800,-8.32600,0.39200,-8.21900,0.38900,-8.07500,0.43900,-7.59900,0.55600,-7.52200,0.74300,-7.94100,0.47900,0,0.07450,8.22640,7.61000,25596624,27.73000,6.95000
34.07500,-84.47500,Atlanta,2,0.11840,10307.00000,0.26950,15025.00000,0.32070,19677.00000,0.38950,28733.00000,-9.18400,0.41900,-8.83900,0.24600,-9.19000,0.19300,-9.16800,0.11900,-9.01400,0.12800,-8.93500,0.20900,-8.93500,0.25900,-8.78900,0.14500,-10.63300,0.33700,-10.32200,0.25900,-10.11000,0.38700,-10.16600,0.37100,-9.93500,0.39100,-10.03200,0.31700,-9.75000,0.29800,-9.92200,0.26700,-10.10800,0.25400,-10.12300,0.25300,-9.92300,0.28300,-8.48500,0.27100,-8.57500,0.26800,-8.35200,0.31900,-8.47000,0.23000,-8.53300,0.27700,-8.37500,0.32200,-8.12300,0.39000,-8.24400,0.22000,-8.26900,0.41000,-8.15800,0.37600,-8.05400,0.40700,-7.59900,0.60800,-7.55400,0.71800,-7.89700,0.49200,0,0.07310,8.50410,8.63510,25596624,33.09000,7.08000
34.07500,-84.42500,Atlanta,2,0.09300,7516.00000,0.21230,11264.00000,0.26290,13992.00000,0.31750,19528.00000,-9.15400,0.45400,-8.81900,0.22900,-9.17900,0.19800,-9.16900,0.10700,-9.00900,0.12500,-8.92100,0.21300,-8.91700,0.25700,-8.77300,0.14700,-10.55100,0.31700,-10.20200,0.26200,-10.00500,0.37900,-10.07800,0.35900,-9.86300,0.37200,-9.92300,0.32100,-9.63000,0.30200,-9.82700,0.27500,-9.97600,0.28500,-10.00400,0.23800,-9.82300,0.27400,-8.48300,0.27600,-8.54900,0.24700,-8.34900,0.33000,-8.42400,0.23100,-8.56100,0.30000,-8.38800,0.30400,-8.11900,0.37600,-8.25300,0.21900,-8.17500,0.40500,-8.07300,0.41300,-7.98600,0.38600,-7.64900,0.67600,-7.59500,0.67200,-7.86000,0.48100,0,0.06070,8.94590,7.34460,25596624,35.99000,7.36000
34.07500,-84.37500,Atlanta,2,0.15410,10769.00000,0.27960,13679.00000,0.37600,15974.00000,0.41340,18497.00000,-9.19800,0.35600,-8.77200,0.21800,-9.14600,0.20900,-9.24400,0.73100,-8.99300,0.12800,-8.88400,0.22700,-8.86700,0.25800,-8.71200,0.17000,-10.49200,0.30400,-10.11900,0.24800,-9.92100,0.35200,-9.99300,0.33900,-9.78700,0.32900,-9.83200,0.31400,-9.53100,0.30000,-9.75900,0.28200,-9.85900,0.31200,-9.92700,0.22000,-9.74100,0.27000,-8.50100,0.27800,-8.44700,0.25500,-8.29100,0.32800,-8.37900,0.22200,-8.52800,0.30500,-8.34600,0.27200,-8.10700,0.33500,-8.21700,0.23200,-8.07300,0.38400,-8.00800,0.42300,-7.91700,0.36100,-7.68300,0.70000,-7.54600,0.69700,-7.75100,0.51000,0,0.05860,8.74770,7.18600,25596624,28.77000,6.74000
34.07500,-84.32500,Atlanta,2,0.24690,11757.00000,0.40670,14767.00000,0.51280,17480.00000,0.53810,20686.00000,-9.20900,0.32800,-8.75800,0.21500,-9.13500,0.21200,-9.26300,0.90300,-8.98700,0.12900,-8.87200,0.23100,-8.85100,0.25800,-8.69300,0.17700,-10.43100,0.30100,-10.05200,0.24600,-9.87400,0.32900,-9.91200,0.31600,-9.72900,0.29700,-9.76300,0.30800,-9.46600,0.30400,-9.72100,0.28600,-9.77700,0.29300,-9.85800,0.21000,-9.67000,0.26000,-8.42200,0.26900,-8.32900,0.30400,-8.18200,0.31100,-8.25100,0.22900,-8.34300,0.29200,-8.24400,0.25900,-8.03100,0.30600,-8.08900,0.24500,-7.85900,0.34600,-7.86600,0.37300,-7.74300,0.34100,-7.41700,0.76000,-7.45100,0.68600,-7.52300,0.55500,0,0.07600,11.04210,10.45920,25596624,24.44000,6.53000
34.07500,-84.27500,Atlanta,3,0.22200,12392.00000,0.36320,15406.00000,0.53140,18450.00000,0.57080,21914.00000,-9.37800,0.46600,-8.76700,0.22000,-9.17100,0.22000,-9.26200,0.93600,-9.04000,0.13100,-8.89900,0.23400,-8.86800,0.25900,-8.69300,0.19700,-10.40200,0.30100,-10.02900,0.25700,-9.85900,0.32000,-9.86500,0.28800,-9.70900,0.28200,-9.71900,0.27400,-9.43000,0.31200,-9.70900,0.27000,-9.71200,0.27500,-9.81400,0.21400,-9.64500,0.24800,-8.29300,0.26400,-8.22700,0.34700,-8.06300,0.33100,-8.09200,0.24700,-8.17500,0.28600,-8.10600,0.23100,-7.90700,0.30500,-7.97100,0.25900,-7.72100,0.33200,-7.73600,0.34100,-7.58800,0.28500,-7.18900,0.76900,-7.36900,0.67500,-7.35400,0.56000,0,0.08120,13.26850,12.04020,25596624,24.38000,6.58000
34.07500,-84.22500,Atlanta,3,0.25320,18027.00000,0.46230,22460.00000,0.58300,26335.00000,0.60210,31725.00000,-9.41000,0.49200,-8.76900,0.22100,-9.17800,0.22100,-9.26200,0.94200,-9.05000,0.13100,-8.90400,0.23400,-8.87100,0.25900,-8.69400,0.20100,-10.41900,0.32400,-10.08900,0.28400,-9.91700,0.30700,-9.88900,0.26000,-9.74300,0.26600,-9.74800,0.24000,-9.47900,0.30200,-9.74800,0.26400,-9.72600,0.25900,-9.83500,0.23700,-9.67300,0.23600,-8.19800,0.26000,-8.15600,0.36600,-7.93800,0.33000,-7.98400,0.26600,-8.06700,0.29500,-8.02000,0.23800,-7.75400,0.30800,-7.86800,0.27900,-7.64500,0.33200,-7.68000,0.30700,-7.52100,0.26200,-7.15900,0.71000,-7.33500,0.67100,-7.26800,0.53200,0,0.08680,11.75590,10.14460,25596624,26.45000,6.58000
34.07500,-84.17500,Atlanta,3,0.08090,10411.00000,0.25660,14361.00000,0.56700,18830.00000,0.60150,28837.00000,-9.53400,0.52000,-8.84600,0.22600,-9.28700,0.21400,-9.40000,0.85100,-9.16200,0.13400,-9.00800,0.22300,-8.96400,0.24900,-8.77800,0.20400,-10.45400,0.34900,-10.15900,0.28200,-9.98200,0.31500,-9.93900,0.24500,-9.78200,0.27100,-9.81200,0.21600,-9.56100,0.29600,-9.80400,0.25000,-9.75400,0.26100,-9.87600,0.24600,-9.69900,0.22700,-8.13500,0.26100,-8.12300,0.38200,-7.88400,0.33700,-7.93800,0.26800,-8.02100,0.30900,-7.94800,0.25500,-7.67100,0.31300,-7.82000,0.29300,-7.59300,0.34800,-7.68900,0.27500,-7.46600,0.27800,-7.17900,0.67700,-7.32900,0.64300,-7.27300,0.49700,0,0.08370,10.00560,7.74030,25596624,21.31000,6.60000
