latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-36.62500,174.52500,Auckland,1,0.00080,634.00000,0.00080,765.00000,0.00130,853.00000,0.00190,978.00000,-11.37400,0.26200,-11.56400,0.21000,-11.37200,0.37900,-11.06600,0.20100,-11.33500,0.17600,-11.33200,0.29800,-11.29100,0.14600,-11.47400,0.18700,-9999.00000,-9999.00000,-12.78500,0.21200,-12.58500,0.24900,-12.42400,0.26200,-12.40700,0.25300,-12.38900,0.21700,-12.41300,0.21400,-12.49700,0.22200,-12.52600,0.28300,-12.46500,0.21100,-12.42800,0.24400,-11.38700,0.37900,-11.15100,0.34500,-11.17200,0.37900,-11.40100,0.28000,-10.98600,0.41400,-10.74800,0.37900,-11.37200,0.28500,-11.28000,0.24300,-11.17700,0.28300,-10.94900,0.34400,-10.92300,0.46900,-10.45300,0.39900,-10.92500,0.25200,-11.14400,0.27200,0,-9999,-9999,-9999,24814940,43.20000,8.09000
-36.62500,174.57500,Auckland,1,0.00320,765.00000,0.00320,926.00000,0.00470,1210.00000,0.00620,1287.00000,-11.23600,0.20200,-11.36400,0.25600,-11.15700,0.32700,-10.81700,0.21200,-11.08300,0.18800,-11.05500,0.30900,-11.02300,0.16800,-11.20600,0.15800,-9999.00000,-9999.00000,-12.62000,0.22800,-12.40100,0.26800,-12.23500,0.26200,-12.25600,0.23800,-12.23800,0.22500,-12.25600,0.19800,-12.31100,0.22000,-12.33300,0.29200,-12.22500,0.24000,-12.21100,0.25200,-11.25500,0.41400,-11.09000,0.32500,-11.10000,0.38600,-11.30500,0.26400,-10.87600,0.42400,-10.66500,0.39400,-11.27400,0.29700,-11.16900,0.22000,-11.07800,0.26200,-10.85600,0.34900,-10.82300,0.48500,-10.33400,0.37400,-10.79400,0.24100,-11.03200,0.29500,0,-9999,-9999,-9999,24814940,35.93000,8.08000
-36.62500,174.62500,Auckland,1,0.01530,555.00000,0.01530,672.00000,0.02190,831.00000,0.03580,1056.00000,-11.15800,0.19900,-11.26800,0.26000,-11.07400,0.32600,-10.74600,0.21000,-11.00600,0.18600,-10.98400,0.31100,-10.95100,0.16800,-11.11900,0.16000,-9999.00000,-9999.00000,-12.78700,0.27300,-12.55700,0.25700,-12.38400,0.19400,-12.39800,0.20600,-12.38300,0.21800,-12.39200,0.19100,-12.45300,0.24100,-12.46500,0.30200,-12.32000,0.27700,-12.29600,0.26300,-11.20000,0.43300,-11.04200,0.32000,-11.04800,0.39000,-11.24900,0.26500,-10.83000,0.42900,-10.61800,0.40100,-11.20500,0.29000,-11.08900,0.23000,-11.03100,0.26300,-10.80900,0.34500,-10.76600,0.48000,-10.28100,0.36200,-10.75200,0.24700,-10.96500,0.28900,0,-9999,-9999,-9999,24814940,37.30000,7.84000
-36.62500,174.67500,Auckland,1,0.09830,4356.00000,0.09830,5285.00000,0.11550,6301.00000,0.16070,7782.00000,-11.54600,0.20800,-11.73100,0.25500,-11.40200,0.30200,-11.07200,0.23600,-11.29000,0.22800,-11.34300,0.41400,-11.26100,0.22800,-11.42100,0.15500,-9999.00000,-9999.00000,-13.41200,0.31500,-13.16000,0.22900,-12.95800,0.21700,-13.00700,0.27200,-12.98100,0.23600,-13.04000,0.24600,-13.04100,0.28600,-13.02300,0.35200,-12.84900,0.31500,-12.81900,0.32700,-11.24200,0.43700,-11.13200,0.34400,-11.09500,0.37200,-11.33100,0.24000,-10.92000,0.40000,-10.67400,0.39500,-11.27500,0.27700,-11.16000,0.24400,-11.08300,0.26400,-10.86900,0.36300,-10.82900,0.47400,-10.33000,0.35900,-10.80600,0.23100,-11.02200,0.30200,0,-9999,-9999,-9999,24814940,29.13000,7.68000
-36.62500,174.72500,Auckland,1,0.18320,10645.00000,0.18320,12899.00000,0.19680,15395.00000,0.20490,19377.00000,-11.44900,0.20400,-11.61600,0.26400,-11.29300,0.30000,-10.97600,0.23500,-11.19600,0.22500,-11.26000,0.41800,-11.17200,0.22700,-11.31300,0.15700,-9999.00000,-9999.00000,-14.44200,0.38000,-14.16500,0.30100,-14.04400,0.26800,-14.03300,0.35500,-14.00200,0.32800,-14.10800,0.25600,-14.06200,0.35300,-14.05200,0.39800,-13.84600,0.38300,-13.79800,0.39900,-12.09800,0.61000,-11.84700,0.45000,-11.85500,0.38200,-12.02400,0.38300,-11.72300,0.48300,-11.65800,0.56200,-12.01500,0.40000,-11.57800,0.38300,-11.71500,0.40500,-11.44300,0.51700,-11.40700,0.55300,-11.01100,0.45800,-11.63000,0.48800,-11.54800,0.35800,13,-9999,-9999,-9999,24814940,25.97000,8.10000
-36.62500,174.77500,Auckland,1,0.12020,7332.00000,0.12020,8881.00000,0.14840,10498.00000,0.15760,13160.00000,-11.35100,0.20000,-11.50100,0.27300,-11.18300,0.29800,-10.88100,0.23500,-11.10200,0.22300,-11.17700,0.42300,-11.08400,0.22600,-11.20600,0.15900,-9999.00000,-9999.00000,-15.71300,0.53700,-15.43200,0.43000,-15.30600,0.37000,-15.31500,0.54800,-15.35600,0.52200,-15.48400,0.34300,-15.34800,0.51400,-15.35400,0.51500,-15.11200,0.51900,-15.10500,0.52600,-13.59200,0.75900,-13.28600,0.56000,-13.43600,0.62300,-13.58500,0.49100,-13.29300,0.51700,-13.29300,0.69000,-13.43700,0.50900,-13.07200,0.60700,-13.35600,0.51900,-13.08100,0.71500,-12.89100,0.77400,-12.65000,0.58500,-13.28600,0.66100,-13.07700,0.58300,81,-9999,-9999,-9999,24814940,17.24000,8.12000
-36.62500,174.82500,Auckland,1,0.02740,1231.00000,0.02740,1494.00000,0.04060,1935.00000,0.05590,2453.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-17.14500,0.74100,-16.82100,0.62100,-16.70900,0.55700,-16.79700,0.78400,-16.87200,0.78400,-16.99100,0.41600,-16.83500,0.77900,-16.80800,0.67600,-16.58800,0.63200,-16.54600,0.76900,-14.98400,0.94200,-14.77300,0.73900,-15.11900,0.80400,-14.83300,0.66000,-14.87600,0.69800,-14.58400,0.77600,-14.91200,0.63400,-14.59800,0.76900,-14.82200,0.78300,-14.54200,0.95500,-14.49900,1.03700,-14.12100,0.82700,-14.88600,0.67200,-14.72800,0.69700,97,-9999,-9999,-9999,24814940,31.52000,8.70000
-36.62500,174.87500,Auckland,0,0.00130,0.00000,0.00130,0.00000,0.00200,0.00000,0.00430,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-18.94500,1.00100,-18.52100,0.87800,-18.49100,0.80200,-18.61300,1.10400,-18.69400,1.10700,-18.91400,0.69000,-18.69100,1.08600,-18.60900,0.93700,-18.38800,0.83600,-18.31900,1.07800,-16.57400,1.19100,-16.39100,0.99200,-16.78300,0.96100,-16.42600,0.99700,-16.52900,0.99300,-16.11300,0.95600,-16.68100,0.94800,-16.19500,1.05900,-16.73600,1.10000,-16.18200,1.16700,-16.14400,1.40600,-15.85000,1.17100,-16.65400,0.85200,-16.55400,1.01300,100,-9999,-9999,-9999,24814940,-9999.00000,-9999.00000
-36.62500,174.92500,Auckland,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-20.78100,1.33100,-20.27300,1.22000,-20.28400,1.07500,-20.48800,1.41700,-20.55800,1.56200,-20.87200,0.97300,-20.57400,1.46300,-20.46500,1.28900,-20.28300,1.11200,-20.16300,1.44000,-17.72000,1.29400,-17.66700,1.12700,-18.20500,1.35900,-17.74700,1.23900,-17.80400,1.27400,-17.35300,1.30300,-18.07000,1.32300,-17.36000,1.31100,-18.09200,1.49200,-17.59000,1.34100,-17.34700,1.62700,-17.21700,1.56400,-18.06600,1.04200,-18.05700,1.44500,100,-9999,-9999,-9999,24814940,18.65000,10.37000
-36.62500,174.97500,Auckland,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-21.09900,1.38200,-20.57600,1.27500,-20.58500,1.11800,-20.80900,1.46300,-20.88800,1.64600,-21.21000,1.00700,-20.89300,1.52000,-20.78800,1.35700,-20.63000,1.15800,-20.48700,1.49500,-17.90800,1.30000,-17.89500,1.14300,-18.46200,1.45800,-17.98100,1.27500,-18.03500,1.31700,-17.57000,1.38100,-18.28600,1.38600,-17.55700,1.34200,-18.29700,1.57300,-17.85700,1.36900,-17.55700,1.65700,-17.45300,1.64100,-18.31700,1.08200,-18.31900,1.54300,100,-9999,-9999,-9999,24814940,-9999.00000,-9999.00000
