latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
20.12500,75.07500,Aurangabad,0,0.00030,101.00000,0.00050,1254.00000,0.00070,1626.00000,0.00110,1666.00000,-9.06000,0.76400,-9.40100,0.74300,-9.75200,0.52100,-8.96700,0.77600,-10.17000,0.63600,-9.40600,0.69100,-9.51100,0.56200,-9.73900,0.64300,-11.43300,0.49400,-11.56000,0.36100,-11.66300,0.58600,-11.36200,0.59200,-11.16900,0.67500,-11.29400,0.75300,-11.61400,0.73800,-11.05800,0.66400,-11.01300,0.73500,-11.62100,0.73800,-11.47400,0.74400,-9.18500,1.00800,-9.90900,1.18400,-9.57100,0.84800,-8.87000,0.78500,-9.18200,0.69400,-9.54100,0.80700,-8.69200,0.88600,-9.42300,0.64100,-9.51300,0.87600,-8.93300,0.64100,-8.56300,0.73400,-9.34100,0.74200,-8.66800,0.99300,-8.48800,0.95400,0,-9999,-9999,-9999,28939680,7.07000,1.95000
20.12500,75.12500,Aurangabad,0,0.00050,460.00000,0.00130,529.00000,0.00150,516.00000,0.00210,1543.00000,-9.07000,0.70600,-9.23300,0.70400,-9.64400,0.51300,-8.80500,0.68300,-9.86000,0.55000,-9.22600,0.59800,-9.33900,0.47100,-9.61300,0.60400,-11.29400,0.46100,-11.41100,0.39000,-11.51700,0.56600,-11.26200,0.61900,-11.04800,0.60900,-11.11200,0.68500,-11.40000,0.68300,-10.92900,0.62900,-10.89900,0.66100,-11.40800,0.73700,-11.35100,0.70900,-9.09600,0.93600,-9.62400,1.14800,-9.48000,0.82700,-8.76600,0.74900,-9.01800,0.61800,-9.34400,0.74600,-8.59400,0.81400,-9.29500,0.67200,-9.43100,0.83100,-8.85400,0.64000,-8.57600,0.70700,-9.23600,0.77500,-8.52200,0.91800,-8.40900,0.85500,0,-9999,-9999,-9999,28939680,7.70000,2.02000
20.12500,75.17500,Aurangabad,0,0.00000,181.00000,0.00020,2111.00000,0.00030,2159.00000,0.00080,2188.00000,-9.09200,0.69800,-9.20000,0.69900,-9.62600,0.51500,-8.81900,0.63500,-9.80700,0.52800,-9.11700,0.70500,-9.31100,0.46400,-9.59000,0.60700,-11.19300,0.43100,-11.30900,0.41300,-11.41600,0.59300,-11.18500,0.63000,-10.96900,0.53100,-10.97700,0.63000,-11.22300,0.65100,-10.84200,0.59600,-10.81300,0.59200,-11.22900,0.73900,-11.22100,0.66300,-9.01700,0.85900,-9.35300,1.09300,-9.39700,0.80300,-8.65600,0.71000,-8.87600,0.58800,-9.21700,0.69300,-8.54700,0.78700,-9.22900,0.72000,-9.38100,0.82600,-8.79100,0.63000,-8.56500,0.68400,-9.17000,0.82000,-8.45200,0.88400,-8.38300,0.78900,0,-9999,-9999,-9999,28939680,6.63000,1.68000
20.12500,75.22500,Aurangabad,0,0.00000,181.00000,0.00100,2295.00000,0.00140,2622.00000,0.00240,2862.00000,-9.12900,0.67900,-9.14200,0.68500,-9.58000,0.51500,-8.84500,0.54600,-9.70100,0.48900,-8.92100,0.88600,-9.25500,0.44900,-9.54800,0.60900,-11.12300,0.40100,-11.24300,0.42400,-11.35700,0.59800,-11.14600,0.62500,-10.92200,0.46300,-10.88400,0.62400,-11.10700,0.62700,-10.80100,0.57000,-10.74200,0.52300,-11.10000,0.75600,-11.10900,0.62200,-8.95700,0.81000,-9.23600,1.06600,-9.35500,0.80900,-8.57200,0.63500,-8.79800,0.59500,-9.16400,0.65600,-8.51800,0.78200,-9.20700,0.74800,-9.38900,0.82800,-8.76600,0.62700,-8.56900,0.66700,-9.14400,0.84500,-8.42100,0.84400,-8.36300,0.73000,0,-9999,-9999,-9999,28939680,5.08000,1.36000
20.12500,75.27500,Aurangabad,1,0.00040,0.00000,0.00160,498.00000,0.00250,1405.00000,0.00500,3658.00000,-9.18800,0.67000,-9.14200,0.67600,-9.56100,0.52000,-8.87200,0.51500,-9.69900,0.47200,-9.07000,0.67500,-9.22900,0.44300,-9.55700,0.59700,-11.10700,0.34900,-11.23100,0.42100,-11.36500,0.59400,-11.16300,0.61400,-10.91400,0.43900,-10.85400,0.64900,-11.06000,0.61700,-10.79800,0.54400,-10.70300,0.48900,-11.04000,0.77600,-11.06100,0.61600,-8.93600,0.80900,-9.24600,1.07100,-9.36800,0.82100,-8.54000,0.59900,-8.77100,0.60500,-9.17300,0.64700,-8.51900,0.78000,-9.23600,0.78200,-9.43600,0.83000,-8.77700,0.62600,-8.58400,0.66500,-9.16600,0.83100,-8.43500,0.82200,-8.35900,0.71300,0,-9999,-9999,-9999,28939680,6.56000,1.53000
20.12500,75.32500,Aurangabad,1,0.00040,1140.00000,0.00190,5237.00000,0.00280,6812.00000,0.00590,7944.00000,-9.21500,0.66400,-9.14000,0.66900,-9.54500,0.52100,-8.88600,0.50000,-9.69300,0.46200,-9.14600,0.56600,-9.21200,0.43900,-9.56100,0.59000,-11.13800,0.32400,-11.25900,0.41100,-11.40400,0.59300,-11.22100,0.62600,-10.94200,0.44100,-10.90600,0.69400,-11.07800,0.61900,-10.81500,0.53200,-10.67600,0.49000,-11.04300,0.81200,-11.05900,0.62300,-8.93900,0.83000,-9.28800,1.08700,-9.38200,0.83200,-8.53200,0.61400,-8.79200,0.63700,-9.22500,0.63900,-8.54700,0.78800,-9.25500,0.81200,-9.49300,0.85100,-8.80300,0.62500,-8.62100,0.69200,-9.22500,0.80400,-8.47200,0.81100,-8.36400,0.70900,3,-9999,-9999,-9999,28939680,7.00000,1.57000
20.12500,75.37500,Aurangabad,0,0.00010,3619.00000,0.00140,3822.00000,0.00190,4157.00000,0.00370,6235.00000,-9.32200,0.65600,-9.24600,0.64300,-9.57300,0.52700,-8.88200,0.47100,-9.82000,0.49200,-9.17100,0.62300,-9.24700,0.42600,-9.62600,0.57000,-11.21500,0.32300,-11.32300,0.40500,-11.49000,0.61200,-11.29900,0.64400,-11.02400,0.43500,-11.03300,0.73000,-11.15800,0.63600,-10.84100,0.54200,-10.69800,0.52000,-11.12600,0.85100,-11.11700,0.66200,-8.95300,0.86600,-9.31200,1.11500,-9.42700,0.85700,-8.52900,0.63600,-8.82100,0.68400,-9.30400,0.66300,-8.59600,0.78000,-9.27100,0.82500,-9.51700,0.88900,-8.80500,0.63800,-8.75200,0.78800,-9.25100,0.78200,-8.50700,0.80400,-8.34900,0.70900,0,-9999,-9999,-9999,28939680,7.63000,1.61000
20.12500,75.42500,Aurangabad,1,0.00010,0.00000,0.00070,438.00000,0.00120,800.00000,0.00280,3504.00000,-9.34300,0.65500,-9.26800,0.64000,-9.58500,0.52900,-8.88800,0.46600,-9.85300,0.50400,-9.18200,0.63800,-9.26000,0.42300,-9.64500,0.56800,-11.29700,0.33500,-11.37900,0.42200,-11.57500,0.65200,-11.38300,0.70500,-11.11300,0.46700,-11.15400,0.75700,-11.24000,0.67000,-10.89200,0.57600,-10.73200,0.56900,-11.22300,0.87700,-11.17400,0.69800,-8.98000,0.88800,-9.37000,1.17800,-9.44800,0.86300,-8.54800,0.64700,-8.84600,0.72300,-9.43800,0.69100,-8.63600,0.76400,-9.26700,0.81300,-9.50400,0.92200,-8.78500,0.63300,-8.85000,0.83000,-9.29700,0.79200,-8.52900,0.78800,-8.31800,0.73300,0,-9999,-9999,-9999,28939680,7.54000,1.63000
20.12500,75.47500,Aurangabad,1,0.00080,16806.00000,0.00270,8463.00000,0.00490,10739.00000,0.01550,23971.00000,-9.46900,0.65500,-9.40200,0.62300,-9.67000,0.54000,-8.93700,0.44000,-10.06300,0.59300,-9.25800,0.73000,-9.34800,0.40700,-9.76400,0.55300,-11.36300,0.36500,-11.45100,0.45400,-11.62600,0.68900,-11.44800,0.77100,-11.18600,0.49300,-11.28500,0.75700,-11.33100,0.70200,-10.93300,0.63100,-10.75400,0.62500,-11.31100,0.92400,-11.23300,0.73600,-9.02100,0.89900,-9.46200,1.21200,-9.48000,0.86500,-8.59000,0.65500,-8.88800,0.77400,-9.57700,0.70100,-8.67400,0.75500,-9.27500,0.83700,-9.49300,0.94800,-8.78100,0.63600,-8.94400,0.82500,-9.39200,0.79400,-8.55000,0.77900,-8.28500,0.73100,0,-9999,-9999,-9999,28939680,6.87000,1.59000
20.12500,75.52500,Aurangabad,1,0.00020,2316.00000,0.00100,6097.00000,0.00150,7315.00000,0.00280,6912.00000,-9.51800,0.66900,-9.46200,0.63700,-9.73000,0.56200,-8.96200,0.42700,-10.16800,0.66600,-9.30700,0.78700,-9.39800,0.40300,-9.82900,0.54300,-11.38800,0.37300,-11.51100,0.48000,-11.63500,0.72300,-11.46800,0.83700,-11.22100,0.51100,-11.36300,0.75200,-11.38700,0.74900,-10.96600,0.68300,-10.77700,0.65800,-11.34700,0.96900,-11.26000,0.75100,-9.05400,0.90300,-9.58700,1.25800,-9.50600,0.87900,-8.62700,0.63800,-8.95300,0.83900,-9.67700,0.70800,-8.70600,0.73600,-9.31300,0.85900,-9.48200,0.97700,-8.78600,0.62900,-9.01800,0.83200,-9.47200,0.79200,-8.57100,0.79400,-8.26500,0.72800,0,-9999,-9999,-9999,28939680,7.19000,1.65000
