latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
33.57500,44.12500,Baghdad,1,0.00000,0.00000,0.00290,902.00000,0.01020,6515.00000,0.02280,16775.00000,-11.39300,0.19300,-11.40700,0.12500,-11.22900,0.07000,-11.58500,0.14900,-11.48700,0.13500,-11.29900,0.12400,-11.61300,0.09400,-11.69300,0.17500,-13.30300,0.16200,-13.38000,0.15500,-13.34000,0.18300,-13.12300,0.18800,-13.45500,0.17500,-13.22300,0.13800,-13.18000,0.15100,-13.20700,0.15400,-13.38700,0.19600,-13.31500,0.19100,-13.06900,0.22700,-12.38600,0.27400,-12.24400,0.32800,-12.04800,0.28800,-11.74400,0.27100,-11.72500,0.31600,-11.71700,0.31100,-11.52100,0.34300,-11.98700,0.29100,-12.11600,0.28700,-11.72900,0.45500,-12.08900,0.41800,-11.68700,0.65200,-11.49400,0.83700,-11.43100,0.47300,0,-9999,-9999,-9999,25743954,-9999.00000,0.14000
33.57500,44.17500,Baghdad,0,0.00000,0.00000,0.00020,2384.00000,0.00160,7951.00000,0.00490,13560.00000,-11.04600,0.18300,-11.04500,0.11400,-10.87000,0.07900,-11.23600,0.13600,-11.16100,0.12500,-10.95700,0.11200,-11.29700,0.08400,-11.33900,0.16900,-12.81500,0.16600,-12.81400,0.16600,-12.82100,0.17900,-12.61200,0.19600,-12.86500,0.15700,-12.64100,0.14000,-12.55600,0.15300,-12.63300,0.14800,-12.74100,0.18300,-12.63900,0.19600,-12.37500,0.23400,-11.28400,0.23800,-11.21500,0.23700,-11.02800,0.24900,-10.82900,0.27300,-10.72400,0.24400,-10.73500,0.23000,-10.65800,0.30600,-10.99900,0.29000,-11.08800,0.26200,-10.92200,0.47300,-11.06800,0.46500,-10.78400,0.64000,-10.59000,0.72600,-10.66200,0.50100,0,-9999,-9999,-9999,25743954,1.00000,0.29000
33.57500,44.22500,Baghdad,1,0.00070,24537.00000,0.03620,186065.00000,0.03930,178433.00000,0.04850,184299.00000,-10.71500,0.17300,-10.70000,0.10500,-10.52500,0.08800,-10.90400,0.12400,-10.85200,0.11600,-10.63300,0.10100,-11.00000,0.07400,-11.00500,0.16300,-12.38300,0.15800,-12.31500,0.17200,-12.35100,0.16300,-12.15100,0.19100,-12.33600,0.14200,-12.12200,0.14400,-12.01600,0.15200,-12.13100,0.15800,-12.16800,0.16600,-12.04400,0.19200,-11.79500,0.21500,-10.78500,0.19300,-10.71800,0.18900,-10.45200,0.24400,-10.30700,0.22600,-10.19300,0.19500,-10.23100,0.20200,-10.11700,0.27600,-10.36600,0.25000,-10.41700,0.27000,-10.38500,0.39500,-10.41200,0.52400,-10.14200,0.62400,-9.95900,0.63500,-10.16100,0.56200,0,-9999,-9999,-9999,25743954,1.00000,0.29000
33.57500,44.27500,Baghdad,1,0.00020,364.00000,0.01320,4673.00000,0.01540,6046.00000,0.02910,12758.00000,-10.49400,0.15500,-10.47500,0.10700,-10.30100,0.09100,-10.70000,0.10200,-10.64400,0.10200,-10.41900,0.09100,-10.82900,0.06600,-10.80900,0.15700,-12.09400,0.15700,-11.98800,0.16300,-12.01200,0.16900,-11.83400,0.18300,-11.97400,0.14100,-11.75600,0.14200,-11.65600,0.15400,-11.79700,0.16400,-11.78900,0.16200,-11.67200,0.18200,-11.43400,0.20000,-10.71700,0.19500,-10.62300,0.18200,-10.32800,0.24400,-10.17200,0.21500,-10.06500,0.19100,-10.06600,0.20200,-9.89600,0.29500,-10.11300,0.22500,-10.09800,0.26500,-10.08300,0.36900,-10.06000,0.49400,-9.81100,0.65200,-9.66100,0.60500,-9.84800,0.63400,0,-9999,-9999,-9999,25743954,0.96000,0.32000
33.57500,44.32500,Baghdad,1,0.00080,20.00000,0.00290,2034.00000,0.00370,2724.00000,0.00600,6571.00000,-10.30400,0.14000,-10.28000,0.11000,-10.10500,0.09400,-10.52600,0.08300,-10.46700,0.09100,-10.23500,0.08200,-10.68600,0.05900,-10.64700,0.15300,-11.92600,0.15300,-11.80500,0.15600,-11.80400,0.19100,-11.63900,0.16700,-11.76100,0.14600,-11.51500,0.14200,-11.44100,0.16100,-11.59900,0.16800,-11.58800,0.16000,-11.47200,0.16800,-11.23600,0.19300,-10.77800,0.21000,-10.69200,0.16300,-10.39300,0.23400,-10.30000,0.20900,-10.18800,0.18800,-10.09100,0.21400,-9.86900,0.33700,-10.04300,0.22300,-10.00700,0.26900,-9.99400,0.38900,-9.93000,0.46600,-9.70700,0.68100,-9.64000,0.61500,-9.74500,0.62700,0,-9999,-9999,-9999,25743954,1.77000,0.68000
33.57500,44.37500,Baghdad,1,0.00420,7366.00000,0.03230,13019.00000,0.05270,20642.00000,0.06670,27044.00000,-10.23600,0.12400,-10.21000,0.12200,-10.04300,0.09300,-10.48200,0.06800,-10.40500,0.07700,-10.16200,0.07400,-10.68000,0.06100,-10.64500,0.13600,-11.87900,0.14500,-11.75300,0.16800,-11.72900,0.21100,-11.58500,0.16000,-11.69700,0.15400,-11.43400,0.14700,-11.38800,0.17700,-11.53900,0.17200,-11.57100,0.16300,-11.44600,0.15900,-11.23700,0.19700,-11.04700,0.22900,-10.92500,0.20700,-10.60700,0.22900,-10.57800,0.24600,-10.48400,0.19900,-10.30900,0.21900,-10.03500,0.33800,-10.17400,0.26000,-10.15700,0.28500,-10.11500,0.41200,-10.08200,0.45100,-9.81500,0.67400,-9.83300,0.59100,-9.84000,0.56600,0,-9999,-9999,-9999,25743954,1.15000,0.37000
33.57500,44.42500,Baghdad,1,0.00340,3462.00000,0.05220,15361.00000,0.09890,29436.00000,0.13830,50886.00000,-10.19000,0.11100,-10.16300,0.13100,-9.99900,0.09300,-10.45200,0.05600,-10.36400,0.06700,-10.11200,0.06700,-10.68600,0.06200,-10.65700,0.12400,-11.96100,0.13500,-11.85100,0.18500,-11.81800,0.22400,-11.69700,0.16900,-11.80400,0.18100,-11.54400,0.15100,-11.51000,0.20900,-11.66300,0.16800,-11.78200,0.17800,-11.63600,0.16400,-11.46500,0.21100,-11.52000,0.21100,-11.40400,0.26800,-11.16000,0.24400,-11.04900,0.25600,-10.90200,0.21200,-10.70600,0.26300,-10.27300,0.37000,-10.42900,0.28800,-10.36900,0.31700,-10.35600,0.39400,-10.30100,0.42400,-10.00900,0.58200,-9.96500,0.61700,-9.95300,0.54700,0,-9999,-9999,-9999,25743954,0.76000,0.14000
33.57500,44.47500,Baghdad,0,0.00020,0.00000,0.00300,307.00000,0.01050,1265.00000,0.02560,1902.00000,-10.29400,0.10700,-10.25100,0.15200,-10.10700,0.09700,-10.56200,0.04900,-10.45500,0.07000,-10.19400,0.06800,-10.85100,0.06400,-10.84400,0.11000,-12.15700,0.12700,-12.07200,0.20800,-12.05100,0.21800,-11.95700,0.17200,-12.04300,0.21200,-11.81200,0.15300,-11.80000,0.21600,-11.93200,0.15600,-12.16900,0.20500,-11.98400,0.16500,-11.87600,0.23100,-11.93100,0.21200,-11.88800,0.22600,-11.77200,0.20700,-11.56900,0.22100,-11.33700,0.18600,-11.17100,0.24600,-10.61100,0.44600,-10.77400,0.28700,-10.72900,0.33100,-10.63300,0.32200,-10.67500,0.38300,-10.31000,0.52000,-10.14400,0.54000,-10.16500,0.55800,0,-9999,-9999,-9999,25743954,-9999.00000,0.10000
33.57500,44.52500,Baghdad,1,0.00010,859.00000,0.02120,37205.00000,0.03020,47299.00000,0.04150,51778.00000,-10.34500,0.10300,-10.29300,0.16600,-10.16400,0.10000,-10.61800,0.04500,-10.49900,0.07200,-10.22900,0.06900,-10.94200,0.06600,-10.94900,0.09900,-12.41800,0.12100,-12.36800,0.23400,-12.39000,0.20000,-12.34800,0.15600,-12.38700,0.21500,-12.18700,0.13700,-12.19400,0.19500,-12.30200,0.15500,-12.64200,0.20800,-12.42600,0.16300,-12.41100,0.23100,-12.10200,0.22100,-12.16300,0.16500,-12.08000,0.19400,-11.84500,0.20000,-11.57600,0.16800,-11.44500,0.20600,-10.95500,0.43800,-11.10200,0.29300,-11.08800,0.34200,-10.91900,0.31900,-11.09400,0.39300,-10.65200,0.46700,-10.47200,0.51000,-10.48500,0.52800,0,-9999,-9999,-9999,25743954,1.00000,0.12000
33.57500,44.57500,Baghdad,1,0.00000,0.00000,0.00570,4584.00000,0.00830,10554.00000,0.01180,12810.00000,-10.56600,0.10700,-10.49400,0.18100,-10.38200,0.11500,-10.81900,0.04500,-10.68600,0.08500,-10.41900,0.07400,-11.17700,0.06700,-11.23500,0.09800,-12.72200,0.12200,-12.71300,0.25200,-12.78600,0.18100,-12.82200,0.15900,-12.79100,0.20600,-12.63800,0.13700,-12.65200,0.18100,-12.75100,0.17800,-13.15300,0.19900,-12.91600,0.16100,-13.03800,0.21300,-12.30000,0.24100,-12.36500,0.20400,-12.46400,0.27700,-12.21200,0.27100,-11.94700,0.23800,-11.84400,0.27800,-11.44000,0.37600,-11.60700,0.36700,-11.66000,0.41300,-11.44600,0.35400,-11.64200,0.46300,-11.10500,0.47900,-11.12500,0.56300,-11.09400,0.50400,0,-9999,-9999,-9999,25743954,1.00000,0.28000
