latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
39.52500,-76.87500,Baltimore,1,0.00810,1788.00000,0.03150,2241.00000,0.04220,2695.00000,0.05500,2905.00000,-9.77500,0.65400,-8.83900,0.54800,-9.29800,0.35600,-9.04900,0.36400,-9.90500,0.26300,-9.50800,0.21200,-9.54500,0.26200,-9.02600,0.16200,-10.47800,0.30300,-10.36800,0.36700,-10.39600,0.39100,-10.66500,0.28800,-10.23200,0.22000,-10.37300,0.27600,-10.34800,0.35200,-10.37700,0.29900,-10.50100,0.33800,-10.45400,0.30600,-10.41500,0.25400,-9.58600,0.32400,-9.23900,0.31600,-9.09200,0.29900,-9.20000,0.33600,-8.97100,0.39900,-8.90500,0.17700,-9.04800,0.27100,-9.06100,0.20100,-9.11200,0.18800,-8.96000,0.27100,-8.89900,0.29400,-8.45500,0.59400,-8.96700,0.32500,-8.91000,0.27800,0,0.00920,5.07670,0.48390,23865654,36.61000,7.58000
39.52500,-76.82500,Baltimore,1,0.00490,1156.00000,0.01540,1385.00000,0.02240,1412.00000,0.03240,1570.00000,-9.66300,0.63300,-8.74600,0.52900,-9.19600,0.35600,-8.98400,0.36500,-9.78700,0.25200,-9.40100,0.20800,-9.42900,0.24600,-8.93400,0.15900,-10.33800,0.27700,-10.26300,0.35400,-10.27600,0.38400,-10.53800,0.27200,-10.12700,0.22100,-10.30600,0.26700,-10.23900,0.33700,-10.25500,0.30500,-10.39500,0.34600,-10.34700,0.31600,-10.26800,0.24500,-9.55800,0.32800,-9.20600,0.30300,-9.07500,0.27900,-9.17600,0.32500,-8.94300,0.36800,-8.86900,0.16900,-9.01000,0.26400,-9.05300,0.20500,-9.08500,0.18300,-8.94900,0.26900,-8.89500,0.29100,-8.46600,0.57700,-8.95200,0.34600,-8.88000,0.30700,0,0.00640,4.40350,0.31360,23865654,32.01000,7.52000
39.52500,-76.77500,Baltimore,1,0.00040,269.00000,0.00270,414.00000,0.00440,439.00000,0.00800,456.00000,-9.47800,0.59800,-8.59100,0.49700,-9.02600,0.35500,-8.87700,0.36600,-9.59100,0.23400,-9.22400,0.20100,-9.23500,0.22000,-8.78000,0.15400,-10.19800,0.25500,-10.13300,0.33800,-10.14800,0.37200,-10.40900,0.25400,-10.01000,0.23200,-10.21700,0.26800,-10.11700,0.33000,-10.11800,0.31600,-10.28100,0.34700,-10.21600,0.29800,-10.09400,0.23800,-9.51000,0.34500,-9.18100,0.29100,-9.04700,0.26400,-9.14400,0.31400,-8.91900,0.33800,-8.82700,0.17100,-8.95900,0.26500,-9.05100,0.20900,-9.05600,0.18800,-8.94700,0.26400,-8.88300,0.30600,-8.47900,0.56700,-8.93300,0.35800,-8.85800,0.32600,0,0.00280,3.30200,0.14300,23865654,40.99000,7.45000
39.52500,-76.72500,Baltimore,1,0.00150,725.00000,0.00640,838.00000,0.01060,799.00000,0.01940,840.00000,-9.41100,0.56100,-8.62400,0.64100,-8.97900,0.35700,-8.85400,0.36200,-9.52900,0.23600,-9.17400,0.19500,-9.17900,0.21500,-8.74400,0.15900,-10.07100,0.23500,-9.99100,0.32300,-10.01700,0.35400,-10.28500,0.23900,-9.88000,0.24100,-10.09900,0.27900,-9.98300,0.32700,-9.97900,0.32300,-10.15200,0.35100,-10.08200,0.27400,-9.91400,0.25000,-9.43000,0.35800,-9.13300,0.29000,-8.97700,0.26200,-9.06800,0.30000,-8.87700,0.31500,-8.77400,0.18100,-8.90900,0.27700,-9.01100,0.21300,-9.00500,0.19900,-8.90800,0.26700,-8.84300,0.32200,-8.45900,0.56800,-8.87600,0.36900,-8.80500,0.34200,0,0.00420,5.59240,0.21960,23865654,28.45000,7.05000
39.52500,-76.67500,Baltimore,1,0.01500,1493.00000,0.04310,1605.00000,0.06460,1850.00000,0.08590,1890.00000,-9.23700,0.46000,-8.71300,1.02200,-8.85500,0.36000,-8.79300,0.35200,-9.36600,0.23900,-9.04200,0.17700,-9.03000,0.20300,-8.64700,0.17200,-9.96400,0.22000,-9.86000,0.30400,-9.89500,0.34400,-10.17400,0.23600,-9.76500,0.24300,-9.97000,0.28700,-9.85000,0.31700,-9.83600,0.33700,-10.02000,0.33800,-9.96200,0.26200,-9.78100,0.25800,-9.36000,0.34500,-9.08700,0.29600,-8.90600,0.26000,-9.00500,0.28500,-8.85600,0.30900,-8.75400,0.18800,-8.90300,0.28700,-8.96000,0.21900,-8.96600,0.21300,-8.87000,0.27000,-8.83800,0.30100,-8.44300,0.56400,-8.84800,0.36500,-8.77500,0.34800,0,0.00950,6.44970,0.64120,23865654,31.42000,7.23000
39.52500,-76.62500,Baltimore,1,0.00760,4616.00000,0.02740,5342.00000,0.04300,5807.00000,0.06180,6177.00000,-9.22300,0.45200,-8.73900,0.98400,-8.87800,0.36200,-8.78000,0.43800,-9.38300,0.24300,-9.06900,0.18100,-9.05300,0.20800,-8.67600,0.17300,-9.90000,0.21800,-9.76900,0.29200,-9.81500,0.34200,-10.11000,0.24100,-9.69100,0.24400,-9.87600,0.29000,-9.76400,0.31200,-9.73400,0.34400,-9.92200,0.32000,-9.87400,0.24500,-9.70300,0.24700,-9.35400,0.32300,-9.08200,0.29000,-8.91800,0.25400,-9.05100,0.28800,-8.91000,0.33200,-8.79200,0.18500,-8.93800,0.27700,-8.97600,0.23500,-8.97600,0.24400,-8.89300,0.27700,-8.90000,0.26500,-8.48000,0.57100,-8.90900,0.34200,-8.82900,0.35100,0,0.01100,6.22010,0.73350,23865654,47.57000,7.93000
39.52500,-76.57500,Baltimore,1,0.01150,2274.00000,0.02680,2684.00000,0.03740,2993.00000,0.06040,3265.00000,-9.13600,0.43400,-8.88000,0.96500,-8.92800,0.36500,-8.71400,0.73700,-9.39100,0.25300,-9.11500,0.18300,-9.08600,0.22100,-8.75000,0.18000,-9.87700,0.20000,-9.72500,0.27400,-9.76300,0.32900,-10.08500,0.25400,-9.65400,0.22600,-9.80500,0.28500,-9.69600,0.30800,-9.67200,0.33200,-9.85100,0.28600,-9.82500,0.23400,-9.66300,0.24500,-9.35600,0.31700,-9.05300,0.28000,-8.93600,0.24200,-9.06500,0.28300,-8.93500,0.34200,-8.82900,0.17900,-8.98300,0.26200,-8.99500,0.21000,-8.96000,0.23700,-8.89500,0.28800,-8.93000,0.26200,-8.48900,0.55500,-8.94000,0.34000,-8.83400,0.33700,0,0.00720,4.73800,0.42660,23865654,35.28000,7.52000
39.52500,-76.52500,Baltimore,1,0.00270,2315.00000,0.01400,3106.00000,0.01910,3470.00000,0.03620,4257.00000,-9.15500,0.44500,-8.90600,0.88600,-8.97400,0.36700,-8.79700,0.61300,-9.44400,0.25700,-9.17300,0.18900,-9.14500,0.22700,-8.80700,0.17700,-9.93300,0.22000,-9.74600,0.26800,-9.77600,0.33000,-10.11200,0.24400,-9.66500,0.20600,-9.79600,0.28600,-9.69400,0.30100,-9.68900,0.31500,-9.83300,0.26700,-9.82200,0.23900,-9.68500,0.25100,-9.33400,0.30700,-9.04600,0.27700,-8.93300,0.23000,-9.05900,0.28100,-8.90700,0.33700,-8.84400,0.18200,-8.98600,0.24800,-9.00400,0.19100,-8.93000,0.22600,-8.89500,0.30300,-8.89900,0.26800,-8.50600,0.50000,-8.97300,0.31700,-8.84000,0.26600,0,0.00730,4.23910,0.40330,23865654,41.12000,7.72000
39.52500,-76.47500,Baltimore,1,0.00290,2235.00000,0.01990,2858.00000,0.02620,3321.00000,0.04680,3713.00000,-9.20400,0.61700,-9.18600,0.79600,-9.15900,0.35500,-9.05100,0.32100,-9.61500,0.25800,-9.35000,0.17100,-9.30500,0.24200,-9.00800,0.17200,-10.02700,0.24200,-9.82200,0.28400,-9.83600,0.33800,-10.15400,0.24500,-9.71800,0.18500,-9.81200,0.27400,-9.74700,0.29400,-9.74600,0.28200,-9.85300,0.25700,-9.85700,0.23200,-9.74300,0.23700,-9.28300,0.29300,-9.01000,0.27300,-8.91400,0.22100,-9.03400,0.27000,-8.85800,0.32700,-8.83100,0.18300,-8.95700,0.24900,-8.97900,0.17800,-8.88600,0.22700,-8.86200,0.29600,-8.84600,0.27400,-8.50300,0.48100,-8.96500,0.28700,-8.81700,0.23200,0,0.00800,4.04900,0.43480,23865654,33.48000,7.44000
39.52500,-76.42500,Baltimore,1,0.01330,3975.00000,0.05510,5103.00000,0.07480,5868.00000,0.10740,7071.00000,-9.21800,0.63400,-9.24500,0.82100,-9.20400,0.35400,-9.09400,0.29000,-9.66500,0.26000,-9.40100,0.17200,-9.35900,0.24700,-9.06200,0.16800,-10.19000,0.24400,-9.94400,0.29400,-9.98700,0.34100,-10.25500,0.23200,-9.84200,0.20300,-9.91400,0.27500,-9.86900,0.29000,-9.88200,0.27000,-9.95700,0.26100,-9.94800,0.23800,-9.87000,0.22400,-9.20800,0.28000,-8.96600,0.28100,-8.87400,0.21800,-8.96800,0.27700,-8.79900,0.31900,-8.79200,0.20500,-8.90600,0.25300,-8.92300,0.16800,-8.81600,0.23000,-8.78900,0.28300,-8.74600,0.28700,-8.45800,0.45600,-8.91600,0.28000,-8.75300,0.23200,0,0.01880,6.72100,1.11930,23865654,35.53000,7.60000
