latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
12.92500,-8.27500,Bamako,0,0.00000,95.00000,0.00010,336.00000,0.00010,197.00000,0.00050,193.00000,-9.49000,0.67000,-9.45300,0.37600,-9.43200,0.56400,-9.81800,0.28900,-9.32800,0.39700,-9.35900,0.48200,-9.35200,0.54500,-9.16500,0.37900,-10.89300,0.38400,-10.85700,0.29100,-11.02900,0.27100,-11.03900,0.33400,-10.78800,0.28500,-10.91900,0.32300,-10.87900,0.23700,-11.09500,0.30600,-11.09800,0.51800,-10.76200,0.30000,-10.89800,0.35500,-9.27900,0.55300,-9.07900,0.34700,-9.22400,0.39400,-9.22500,0.46900,-9.23300,0.42100,-8.99400,0.26000,-9.29000,0.38800,-9.46400,0.45200,-9.24400,0.37600,-9.03100,0.33000,-9.25800,0.39100,-9.08300,0.41100,-9.30300,0.37900,-8.92000,0.44400,0,-9999,-9999,-9999,30013112,4.81000,0.91000
12.92500,-8.22500,Bamako,0,0.00000,0.00000,0.00010,598.00000,0.00020,568.00000,0.00150,1085.00000,-9.58000,0.70800,-9.56000,0.36200,-9.50800,0.56100,-9.89500,0.28700,-9.42500,0.43800,-9.44600,0.48800,-9.47600,0.58000,-9.25200,0.39600,-10.95800,0.37000,-10.92600,0.28700,-11.11800,0.28100,-11.14800,0.31600,-10.84700,0.25400,-11.03600,0.32900,-10.91100,0.24300,-11.15600,0.33300,-11.15300,0.52100,-10.82900,0.33100,-10.97500,0.35200,-9.43500,0.57700,-9.20100,0.39000,-9.31300,0.42900,-9.32900,0.48400,-9.34800,0.43300,-9.08800,0.28300,-9.44300,0.42100,-9.55900,0.49700,-9.39300,0.40800,-9.12500,0.36100,-9.36700,0.44400,-9.20300,0.47100,-9.39800,0.43200,-9.03300,0.48800,0,-9999,-9999,-9999,30013112,4.18000,0.86000
12.92500,-8.17500,Bamako,1,0.00000,0.00000,0.00040,862.00000,0.00060,849.00000,0.00420,1742.00000,-9.62300,0.70000,-9.60900,0.35100,-9.55200,0.55000,-9.91400,0.27400,-9.48500,0.45200,-9.47700,0.47800,-9.53000,0.58000,-9.31400,0.40100,-11.01700,0.29900,-10.97900,0.29600,-11.15700,0.29100,-11.22500,0.32400,-10.90800,0.23300,-11.10300,0.32400,-10.94300,0.25600,-11.21100,0.35000,-11.19800,0.51500,-10.89300,0.35400,-11.06400,0.34300,-9.57600,0.62900,-9.30000,0.42900,-9.40100,0.49400,-9.41500,0.52300,-9.42300,0.44300,-9.18200,0.30500,-9.59400,0.49600,-9.65700,0.54200,-9.51100,0.47500,-9.20200,0.40800,-9.47000,0.50500,-9.34100,0.56600,-9.48900,0.48500,-9.16000,0.56600,0,-9999,-9999,-9999,30013112,3.73000,0.78000
12.92500,-8.12500,Bamako,1,0.00010,0.00000,0.00050,1172.00000,0.00100,1558.00000,0.01150,1688.00000,-9.65200,0.68600,-9.64100,0.34000,-9.57800,0.54100,-9.92000,0.26300,-9.52500,0.45900,-9.49300,0.46600,-9.56500,0.57700,-9.35700,0.40500,-11.06200,0.23600,-11.01900,0.31600,-11.14800,0.30900,-11.25700,0.34400,-10.94200,0.22700,-11.14600,0.31400,-10.96800,0.26500,-11.26400,0.34600,-11.21600,0.50600,-10.94100,0.35300,-11.13500,0.32400,-9.65200,0.65200,-9.33500,0.43800,-9.43500,0.54200,-9.45100,0.53100,-9.48600,0.43800,-9.23900,0.29800,-9.65500,0.52800,-9.70500,0.53200,-9.58500,0.50700,-9.24900,0.43300,-9.51200,0.54200,-9.41900,0.61400,-9.52600,0.49200,-9.24100,0.62500,0,-9999,-9999,-9999,30013112,4.03000,0.84000
12.92500,-8.07500,Bamako,1,0.00060,12692.00000,0.00230,1555.00000,0.00310,1769.00000,0.01250,2187.00000,-9.75600,0.58600,-9.68600,0.33200,-9.66100,0.53400,-9.95300,0.25200,-9.61400,0.46100,-9.54000,0.45600,-9.59500,0.55300,-9.46400,0.42100,-11.08400,0.22000,-11.02200,0.32700,-11.12700,0.30800,-11.25800,0.38600,-10.96200,0.23300,-11.17500,0.30500,-10.99100,0.29800,-11.30500,0.32700,-11.21600,0.49800,-10.97000,0.32700,-11.17100,0.30000,-9.69800,0.65300,-9.35300,0.44800,-9.46600,0.59700,-9.46600,0.53400,-9.53800,0.43900,-9.27900,0.26700,-9.68100,0.55700,-9.73400,0.53300,-9.64900,0.51700,-9.27800,0.44300,-9.54200,0.56100,-9.45900,0.64200,-9.54700,0.49500,-9.27200,0.66400,0,-9999,-9999,-9999,30013112,4.02000,0.82000
12.92500,-8.02500,Bamako,0,0.00010,0.00000,0.00110,2.00000,0.00140,590.00000,0.00430,640.00000,-9.75900,0.56100,-9.67900,0.32300,-9.66300,0.52400,-9.93700,0.24300,-9.61700,0.45400,-9.53300,0.44300,-9.58700,0.54000,-9.46800,0.42000,-11.09800,0.22300,-11.02600,0.31400,-11.09700,0.29300,-11.24400,0.42300,-10.96500,0.26600,-11.20400,0.30000,-11.00800,0.31800,-11.33500,0.30000,-11.22500,0.47400,-10.97000,0.29200,-11.19100,0.26500,-9.70200,0.67600,-9.35500,0.44900,-9.48100,0.62200,-9.46600,0.52500,-9.54800,0.45200,-9.28600,0.24100,-9.67300,0.57400,-9.75500,0.53100,-9.67900,0.50800,-9.29000,0.44800,-9.55400,0.56600,-9.47000,0.65800,-9.55700,0.48700,-9.27500,0.67900,0,-9999,-9999,-9999,30013112,3.93000,0.79000
12.92500,-7.97500,Bamako,0,0.00000,0.00000,0.00020,753.00000,0.00040,1166.00000,0.00070,460.00000,-9.78700,0.52500,-9.67000,0.31500,-9.75600,0.51000,-9.96000,0.24100,-9.68500,0.45800,-9.58800,0.43900,-9.59500,0.52200,-9.52600,0.42200,-11.07100,0.25400,-11.03100,0.30900,-11.06500,0.28300,-11.19200,0.43100,-10.96400,0.27900,-11.21000,0.33200,-11.01100,0.33600,-11.34900,0.28000,-11.21400,0.44800,-10.96100,0.27200,-11.18500,0.26500,-9.66100,0.69800,-9.34200,0.44500,-9.47600,0.62300,-9.43800,0.51700,-9.49900,0.48700,-9.25200,0.24500,-9.62700,0.59000,-9.76700,0.51500,-9.67900,0.50000,-9.28100,0.45600,-9.54600,0.56500,-9.45800,0.66400,-9.56800,0.45300,-9.26600,0.68300,0,-9999,-9999,-9999,30013112,3.33000,0.75000
12.92500,-7.92500,Bamako,0,0.00000,0.00000,0.00020,580.00000,0.00040,674.00000,0.00260,561.00000,-9.76600,0.51800,-9.63800,0.31300,-9.78400,0.49900,-9.94800,0.24600,-9.69500,0.45300,-9.59500,0.43000,-9.58000,0.51500,-9.52200,0.41200,-11.05500,0.28500,-11.02700,0.28900,-11.04100,0.28700,-11.14400,0.42100,-10.94800,0.27000,-11.20400,0.36500,-10.98500,0.35500,-11.34800,0.26800,-11.21200,0.42800,-10.95100,0.26700,-11.14800,0.30000,-9.58800,0.72300,-9.30400,0.42700,-9.44900,0.61700,-9.38800,0.48500,-9.44400,0.47400,-9.19000,0.25900,-9.57700,0.59700,-9.74900,0.48500,-9.66200,0.48400,-9.25300,0.46200,-9.52700,0.54900,-9.41900,0.65900,-9.57400,0.45900,-9.24900,0.67000,0,-9999,-9999,-9999,30013112,3.62000,0.75000
12.92500,-7.87500,Bamako,1,0.00000,0.00000,0.00010,51.00000,0.00010,99.00000,0.00600,1748.00000,-9.74700,0.51400,-9.59800,0.31600,-9.83300,0.49000,-9.94600,0.26000,-9.71800,0.45200,-9.61500,0.42500,-9.56800,0.51200,-9.52400,0.39800,-11.03900,0.31400,-11.02100,0.28600,-11.01400,0.30800,-11.10400,0.40600,-10.94400,0.26300,-11.19100,0.38100,-10.94400,0.36100,-11.34500,0.27400,-11.19300,0.41700,-10.95900,0.27000,-11.12300,0.34300,-9.52600,0.70300,-9.25900,0.41200,-9.38700,0.59300,-9.32400,0.43400,-9.36300,0.45200,-9.13100,0.26000,-9.53700,0.59500,-9.67600,0.44300,-9.63400,0.46400,-9.23500,0.45700,-9.49000,0.51500,-9.35900,0.60200,-9.54700,0.46500,-9.20700,0.62500,0,-9999,-9999,-9999,30013112,3.48000,0.76000
12.92500,-7.82500,Bamako,0,0.00010,0.00000,0.00020,40.00000,0.00030,35.00000,0.00400,584.00000,-9.73800,0.52700,-9.55900,0.34900,-9.87900,0.49200,-9.94400,0.29400,-9.73900,0.45500,-9.64200,0.42800,-9.57200,0.53000,-9.51400,0.38700,-11.02800,0.31000,-11.02900,0.29600,-11.00700,0.31900,-11.08600,0.37600,-10.95200,0.25800,-11.18200,0.38000,-10.93300,0.35100,-11.34400,0.28500,-11.17300,0.41200,-10.94700,0.28400,-11.11800,0.37100,-9.51200,0.70000,-9.24400,0.42200,-9.33300,0.56000,-9.29000,0.40600,-9.31600,0.43000,-9.09800,0.24800,-9.48800,0.56000,-9.58700,0.37500,-9.60500,0.44400,-9.23400,0.44600,-9.45300,0.46400,-9.30500,0.50900,-9.53500,0.50000,-9.16800,0.58200,0,-9999,-9999,-9999,30013112,3.72000,0.79000
