latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
13.22500,77.32500,Bangalore,0,0.00140,3569.00000,0.00420,5952.00000,0.00470,4475.00000,0.00520,2834.00000,-9.96200,0.49500,-10.50600,0.47000,-9.90700,0.37600,-10.27500,0.94000,-10.18200,0.43400,-9.77000,0.40100,-9.89200,0.34000,-9.53300,0.40200,-11.62700,0.26800,-11.36600,0.33900,-11.67800,0.49900,-11.80700,0.26300,-11.87800,0.54500,-11.34900,0.29400,-11.34700,0.36400,-11.70700,0.27400,-11.33500,0.52500,-11.19000,0.42500,-11.31700,0.38700,-9.48000,0.70000,-9.60900,0.71500,-9.69100,0.52100,-9.29400,0.45300,-9.25600,0.46400,-10.21700,0.59700,-9.34200,0.48400,-9.57100,0.54900,-9.36700,0.55100,-9.16400,0.44500,-9.11700,0.70300,-8.86800,0.57500,-8.85500,0.62900,-8.60700,0.35400,0,-9999,-9999,-9999,29977564,4.28000,3.47000
13.22500,77.37500,Bangalore,0,0.00030,2190.00000,0.00050,1586.00000,0.00090,1670.00000,0.00230,2988.00000,-9.91400,0.50200,-10.48100,0.47100,-9.91900,0.34400,-10.25600,0.93800,-10.15400,0.43200,-9.73500,0.37400,-9.86400,0.33400,-9.48500,0.38000,-11.66700,0.24600,-11.39100,0.36400,-11.66100,0.50400,-11.82400,0.24100,-11.86500,0.52500,-11.33500,0.31400,-11.34500,0.38100,-11.67100,0.26000,-11.29300,0.50600,-11.16700,0.44500,-11.32800,0.38600,-9.46200,0.70700,-9.58300,0.70700,-9.73400,0.54400,-9.31300,0.46600,-9.26100,0.48600,-10.22000,0.60300,-9.39300,0.54400,-9.61100,0.55800,-9.40900,0.58700,-9.22500,0.46500,-9.19000,0.73800,-8.94500,0.59800,-8.90600,0.68700,-8.66000,0.34000,0,-9999,-9999,-9999,29977564,4.37000,3.62000
13.22500,77.42500,Bangalore,0,0.00000,0.00000,0.00020,1638.00000,0.00060,2574.00000,0.00130,3621.00000,-9.88000,0.52200,-10.41400,0.47200,-9.91200,0.32400,-10.23400,0.90200,-10.13600,0.43400,-9.68500,0.36700,-9.84600,0.32100,-9.42000,0.35200,-11.66200,0.26300,-11.36900,0.38800,-11.59200,0.51100,-11.80800,0.20800,-11.80700,0.51400,-11.25100,0.33900,-11.26500,0.38000,-11.56400,0.27200,-11.18800,0.51000,-11.05300,0.47900,-11.23400,0.40700,-9.43300,0.71500,-9.56100,0.70700,-9.76500,0.59700,-9.29200,0.48200,-9.24400,0.49600,-10.17900,0.61500,-9.43300,0.59500,-9.60900,0.56400,-9.40900,0.62000,-9.24800,0.48200,-9.20900,0.78800,-8.96600,0.62400,-8.92300,0.73900,-8.64400,0.35800,0,-9999,-9999,-9999,29977564,5.22000,4.13000
13.22500,77.47500,Bangalore,1,0.00000,0.00000,0.00040,1608.00000,0.00120,3756.00000,0.00270,3872.00000,-9.86300,0.52900,-10.38600,0.47200,-9.90500,0.32200,-10.22300,0.88600,-10.12900,0.43600,-9.66500,0.36800,-9.83200,0.31700,-9.39400,0.34100,-11.62000,0.31400,-11.30900,0.39800,-11.53300,0.53500,-11.77300,0.20000,-11.71500,0.52000,-11.15800,0.33700,-11.14700,0.37700,-11.42200,0.27000,-11.08200,0.51900,-10.93700,0.48700,-11.12500,0.40800,-9.40600,0.72300,-9.56100,0.71200,-9.78000,0.64200,-9.26300,0.48600,-9.24500,0.51100,-10.11600,0.61500,-9.45700,0.63600,-9.61500,0.59100,-9.41200,0.61600,-9.24500,0.49400,-9.21600,0.80400,-8.93600,0.66500,-8.91800,0.76500,-8.61800,0.39700,0,-9999,-9999,-9999,29977564,5.64000,4.19000
13.22500,77.52500,Bangalore,1,0.00020,0.00000,0.00220,3039.00000,0.00720,6689.00000,0.02260,13791.00000,-9.87200,0.55500,-10.32500,0.47900,-9.91800,0.32900,-10.23400,0.81400,-10.16700,0.44300,-9.63200,0.40800,-9.86300,0.31100,-9.35900,0.30500,-11.61200,0.36700,-11.26500,0.38900,-11.47400,0.53700,-11.78800,0.22700,-11.67300,0.54100,-11.11100,0.32800,-11.09400,0.34300,-11.33700,0.28000,-11.01200,0.52200,-10.86300,0.49600,-11.05600,0.40200,-9.41500,0.71700,-9.58000,0.70000,-9.82000,0.65800,-9.26900,0.47100,-9.30300,0.51200,-10.10500,0.62600,-9.46800,0.67800,-9.65600,0.63400,-9.41100,0.57500,-9.24200,0.50400,-9.20000,0.77900,-8.94300,0.71100,-8.91000,0.81800,-8.61300,0.42700,0,-9999,-9999,-9999,29977564,4.21000,3.61000
13.22500,77.57500,Bangalore,1,0.00010,38.00000,0.00200,6606.00000,0.00600,13235.00000,0.01510,14905.00000,-9.90300,0.56100,-10.31800,0.47900,-9.92800,0.33900,-10.24500,0.78500,-10.20800,0.44300,-9.63300,0.43100,-9.89100,0.31200,-9.37200,0.29100,-11.65100,0.39700,-11.22000,0.38200,-11.44500,0.54500,-11.83100,0.26700,-11.66400,0.55000,-11.11900,0.35000,-11.08400,0.34200,-11.32600,0.28100,-10.97900,0.53900,-10.82700,0.51200,-11.03300,0.43400,-9.49200,0.70100,-9.62800,0.70200,-9.88700,0.66300,-9.33100,0.46200,-9.41400,0.50000,-10.15500,0.64200,-9.52500,0.69400,-9.79400,0.61300,-9.47200,0.55100,-9.26700,0.52400,-9.21900,0.78200,-9.01100,0.68800,-8.92900,0.82200,-8.62100,0.43100,0,-9999,-9999,-9999,29977564,3.33000,2.78000
13.22500,77.62500,Bangalore,1,0.00760,22867.00000,0.01020,17192.00000,0.01860,18604.00000,0.03830,19156.00000,-9.94800,0.56900,-10.31400,0.47900,-9.94600,0.34900,-10.26200,0.74600,-10.26800,0.44500,-9.63800,0.46200,-9.93400,0.31200,-9.39400,0.27400,-11.74100,0.38400,-11.23500,0.37100,-11.48100,0.54700,-11.92700,0.26300,-11.72200,0.56100,-11.18900,0.36300,-11.16200,0.37200,-11.40600,0.29900,-11.02400,0.51400,-10.89000,0.50900,-11.13300,0.45200,-9.63700,0.67500,-9.71700,0.72600,-10.03100,0.68600,-9.45100,0.46000,-9.60700,0.48000,-10.25200,0.67300,-9.64200,0.67200,-9.98900,0.59200,-9.55900,0.56300,-9.32300,0.50500,-9.32000,0.78900,-9.16500,0.67000,-8.99400,0.79800,-8.68500,0.43500,0,-9999,-9999,-9999,29977564,3.10000,2.62000
13.22500,77.67500,Bangalore,2,0.00550,15887.00000,0.01220,23456.00000,0.02580,27725.00000,0.07490,49969.00000,-10.06400,0.56500,-10.35600,0.48600,-10.00500,0.35500,-10.30400,0.71400,-10.38800,0.45100,-9.68800,0.50000,-10.04100,0.31900,-9.48900,0.27700,-11.84200,0.38000,-11.32000,0.35500,-11.56900,0.55400,-12.05300,0.24800,-11.83100,0.57600,-11.31000,0.36100,-11.32400,0.40100,-11.55400,0.31200,-11.13200,0.44800,-11.02300,0.51300,-11.32900,0.46500,-9.75500,0.65900,-9.82600,0.73400,-10.16000,0.68400,-9.55500,0.46100,-9.74800,0.48200,-10.29900,0.68900,-9.73500,0.64700,-10.13300,0.58500,-9.67700,0.59200,-9.38800,0.49800,-9.43400,0.78700,-9.27600,0.69000,-9.09700,0.80100,-8.75800,0.45800,0,-9999,-9999,-9999,29977564,3.21000,2.52000
13.22500,77.72500,Bangalore,2,0.00210,34314.00000,0.00350,28898.00000,0.00960,32506.00000,0.08690,56517.00000,-10.10200,0.56300,-10.37500,0.48700,-10.02700,0.35900,-10.31700,0.70400,-10.43300,0.45600,-9.70700,0.51300,-10.07600,0.32200,-9.52300,0.28200,-11.97400,0.38300,-11.43800,0.34300,-11.69000,0.53700,-12.17300,0.20600,-11.97500,0.57200,-11.45000,0.34400,-11.47900,0.43600,-11.73700,0.32600,-11.28000,0.38200,-11.20300,0.49200,-11.55800,0.46700,-9.83600,0.67900,-9.87300,0.72900,-10.21700,0.68100,-9.61300,0.45700,-9.81300,0.48300,-10.29800,0.70000,-9.78700,0.64300,-10.21600,0.57600,-9.80500,0.63400,-9.42500,0.50300,-9.50300,0.78700,-9.32700,0.72100,-9.23100,0.80100,-8.84500,0.46500,0,-9999,-9999,-9999,29977564,2.65000,2.11000
13.22500,77.77500,Bangalore,0,0.00010,0.00000,0.00040,760.00000,0.00080,1081.00000,0.00140,1022.00000,-10.28000,0.55000,-10.48700,0.48000,-10.16000,0.38600,-10.41200,0.71600,-10.61500,0.49200,-9.83200,0.55700,-10.28500,0.34500,-9.70900,0.32800,-12.13000,0.39100,-11.59100,0.35400,-11.84400,0.51600,-12.27300,0.17800,-12.10200,0.56400,-11.60300,0.34700,-11.61900,0.46100,-11.91600,0.31700,-11.47800,0.36000,-11.42200,0.47400,-11.79100,0.46500,-9.88900,0.69500,-9.88300,0.74400,-10.27000,0.68700,-9.67200,0.45300,-9.86600,0.47100,-10.28900,0.71800,-9.85500,0.63200,-10.30500,0.54800,-9.92200,0.67100,-9.48300,0.49700,-9.59400,0.77600,-9.40000,0.73000,-9.37300,0.78700,-8.97700,0.45500,0,-9999,-9999,-9999,29977564,3.07000,2.51000
