latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
39.12500,115.22500,Baoding,1,0.00430,1934.00000,0.01690,3895.00000,0.02410,4939.00000,0.03210,5870.00000,-9.48400,0.47500,-8.89700,0.69000,-8.65500,0.46800,-9.02300,0.63100,-9.47900,0.42600,-9.45600,0.35100,-9.07800,0.50700,-9.10500,0.32200,-11.05300,0.35800,-11.06100,0.35800,-11.17600,0.40500,-10.94000,0.28000,-11.33900,0.32600,-10.73100,0.34000,-11.14800,0.27900,-10.89500,0.41000,-10.81000,0.32700,-10.71600,0.28300,-10.70000,0.35000,-9.03300,0.48100,-8.83300,0.31700,-8.90000,0.43200,-8.94800,0.43700,-8.57900,0.46100,-8.66900,0.47900,-8.64500,0.35300,-9.00400,0.43100,-8.68000,0.59000,-8.59200,0.74900,-8.48000,0.48000,-8.49200,0.67300,-8.67600,0.45900,-8.31200,0.35500,0,0.01150,3.51910,0.57910,24000332,9.45000,3.98000
39.12500,115.27500,Baoding,2,0.01660,11872.00000,0.05920,13181.00000,0.07540,15007.00000,0.08540,16165.00000,-9.49500,0.47600,-8.89600,0.68300,-8.64900,0.46900,-9.03400,0.65600,-9.48200,0.43200,-9.45500,0.34900,-9.08300,0.50300,-9.10300,0.32600,-10.91600,0.37800,-10.96200,0.38800,-11.05100,0.46300,-10.79200,0.34300,-11.21600,0.38300,-10.57800,0.34400,-10.96900,0.36100,-10.75800,0.42900,-10.62500,0.34900,-10.56500,0.29900,-10.52800,0.38700,-8.99100,0.45300,-8.84000,0.32300,-8.89700,0.44400,-8.92800,0.42900,-8.64300,0.45600,-8.66300,0.47700,-8.62300,0.35600,-9.10800,0.43300,-8.70600,0.60300,-8.61200,0.78200,-8.46400,0.46000,-8.47000,0.67100,-8.66400,0.46400,-8.28800,0.35600,0,0.02400,4.61790,1.51840,24000332,5.83000,2.79000
39.12500,115.32500,Baoding,1,0.01490,6391.00000,0.05530,6934.00000,0.07000,6650.00000,0.08010,6454.00000,-9.49700,0.49000,-8.86900,0.68100,-8.62000,0.46200,-9.08200,0.78500,-9.48100,0.45200,-9.43400,0.36200,-9.09400,0.48200,-9.10700,0.34500,-10.73100,0.40100,-10.81100,0.42400,-10.88600,0.54800,-10.63000,0.43400,-11.03100,0.47500,-10.39700,0.35900,-10.74400,0.44400,-10.59600,0.46400,-10.44500,0.36900,-10.39000,0.30300,-10.32500,0.41400,-8.99000,0.43800,-8.87700,0.32500,-8.92900,0.44900,-8.95500,0.42200,-8.76400,0.49000,-8.73100,0.49500,-8.60100,0.38500,-9.22000,0.39800,-8.78600,0.59900,-8.65900,0.84600,-8.53700,0.44100,-8.46900,0.68200,-8.72100,0.45100,-8.28400,0.37700,0,0.01020,2.61470,0.51080,24000332,9.17000,3.61000
39.12500,115.37500,Baoding,1,0.00460,4806.00000,0.02890,7462.00000,0.05060,9093.00000,0.07800,9562.00000,-9.50300,0.49900,-8.86200,0.68100,-8.61000,0.46000,-9.10500,0.83700,-9.48000,0.45700,-9.42900,0.36800,-9.10000,0.47500,-9.10900,0.35300,-10.52400,0.42500,-10.64300,0.47400,-10.70300,0.64000,-10.45400,0.54100,-10.80900,0.57200,-10.21800,0.37800,-10.49800,0.53900,-10.42500,0.52100,-10.26300,0.40300,-10.20900,0.32000,-10.13500,0.44000,-9.01400,0.43400,-8.92300,0.33300,-8.99100,0.44900,-8.99800,0.42500,-8.89600,0.52700,-8.80500,0.52400,-8.59200,0.41300,-9.28100,0.39700,-8.87100,0.57400,-8.70200,0.91000,-8.62300,0.43000,-8.49400,0.70900,-8.75600,0.45100,-8.28000,0.39600,0,0.01540,3.53360,0.77510,24000332,5.87000,2.73000
39.12500,115.42500,Baoding,1,0.00320,6315.00000,0.05660,7757.00000,0.08150,7703.00000,0.10680,7637.00000,-9.49900,0.51900,-8.84200,0.69600,-8.58800,0.45400,-9.12200,0.87200,-9.47900,0.46700,-9.39100,0.39800,-9.12100,0.47500,-9.13600,0.37000,-10.31600,0.45200,-10.47800,0.52900,-10.51100,0.72100,-10.27400,0.64600,-10.57200,0.66400,-10.02900,0.41300,-10.25700,0.64000,-10.25600,0.59500,-10.09200,0.44200,-10.03600,0.35000,-9.96500,0.47100,-9.04900,0.44200,-8.95800,0.34300,-9.03800,0.46300,-9.02900,0.42600,-8.98400,0.54000,-8.84500,0.56600,-8.57600,0.46100,-9.30300,0.41800,-8.91200,0.56400,-8.73800,0.94900,-8.66900,0.43600,-8.51700,0.75500,-8.74400,0.49800,-8.26600,0.40100,0,0.01290,2.83670,0.67450,24000332,5.26000,2.38000
39.12500,115.47500,Baoding,1,0.00200,5328.00000,0.07020,7995.00000,0.07920,9636.00000,0.09550,10772.00000,-9.50000,0.53200,-8.83300,0.70400,-8.57800,0.45100,-9.13200,0.89200,-9.47600,0.46900,-9.37200,0.41500,-9.13400,0.47700,-9.15100,0.38100,-10.13600,0.48700,-10.32800,0.58700,-10.31400,0.79100,-10.10400,0.73300,-10.33700,0.75700,-9.88100,0.44900,-10.04600,0.72900,-10.11000,0.66300,-9.94900,0.49300,-9.88600,0.38000,-9.82900,0.51400,-9.06700,0.45900,-8.96300,0.35000,-9.05800,0.49100,-9.02800,0.43500,-9.02300,0.55000,-8.85300,0.60800,-8.55300,0.50100,-9.28000,0.44500,-8.91100,0.55600,-8.74700,0.97300,-8.66500,0.46400,-8.51100,0.79500,-8.69600,0.55600,-8.21700,0.42600,0,0.01810,3.39830,1.08950,24000332,4.75000,2.25000
39.12500,115.52500,Baoding,2,0.00110,1498.00000,0.08510,11934.00000,0.09900,13246.00000,0.11150,14643.00000,-9.50200,0.54800,-8.82300,0.72200,-8.56900,0.45600,-9.01300,0.76500,-9.47000,0.46500,-9.33200,0.43800,-9.16900,0.48800,-9.18800,0.38500,-9.98500,0.52300,-10.19100,0.64400,-10.13400,0.83400,-9.96400,0.79700,-10.14700,0.83900,-9.75900,0.47500,-9.87800,0.80200,-9.98400,0.72300,-9.83800,0.55100,-9.76100,0.40800,-9.74200,0.55300,-9.05800,0.48400,-8.94600,0.35800,-9.05900,0.51200,-9.00400,0.45600,-9.02500,0.56600,-8.84100,0.66400,-8.50400,0.54900,-9.21800,0.48200,-8.87100,0.56100,-8.71400,1.00200,-8.58400,0.52200,-8.44800,0.81300,-8.60900,0.61300,-8.10000,0.49600,0,0.01640,4.23290,1.00880,24000332,6.68000,2.67000
39.12500,115.57500,Baoding,1,0.00130,11645.00000,0.06720,10918.00000,0.07970,11885.00000,0.08860,12503.00000,-9.50400,0.56100,-8.81500,0.73700,-8.56200,0.46100,-8.92000,0.67000,-9.46200,0.46000,-9.30200,0.45400,-9.19500,0.49600,-9.21600,0.38900,-9.87400,0.54200,-10.08800,0.69200,-9.98700,0.86400,-9.85000,0.83100,-10.01000,0.90100,-9.66200,0.48400,-9.76500,0.86000,-9.88400,0.76900,-9.75100,0.59400,-9.67700,0.43200,-9.70000,0.57100,-9.04700,0.50100,-8.93300,0.36800,-9.05500,0.51800,-8.98900,0.49100,-9.00600,0.58200,-8.82300,0.71500,-8.43600,0.60400,-9.15700,0.52700,-8.81800,0.56900,-8.66400,1.00900,-8.48800,0.57300,-8.33000,0.83200,-8.49900,0.64700,-7.98200,0.55500,0,0.01540,3.57260,0.98330,24000332,6.59000,2.57000
39.12500,115.62500,Baoding,1,0.00310,25841.00000,0.08520,15611.00000,0.11060,16896.00000,0.12740,17665.00000,-9.51200,0.58000,-8.81400,0.74900,-8.56000,0.46800,-8.90300,0.68200,-9.46000,0.45300,-9.27700,0.47400,-9.23500,0.50400,-9.26400,0.39500,-9.80200,0.54100,-10.02300,0.71800,-9.88200,0.87800,-9.76600,0.83500,-9.92400,0.93800,-9.59800,0.48800,-9.69100,0.90200,-9.80900,0.79400,-9.69600,0.61600,-9.62700,0.44700,-9.69300,0.56600,-9.04700,0.50100,-8.92600,0.38600,-9.06100,0.50500,-9.00100,0.51200,-8.97200,0.58600,-8.80400,0.75000,-8.39500,0.62900,-9.11800,0.55600,-8.78700,0.56300,-8.62200,1.01300,-8.44100,0.59100,-8.24700,0.84600,-8.42200,0.66500,-7.91800,0.56400,0,0.02560,4.08000,1.58950,24000332,5.91000,2.40000
39.12500,115.67500,Baoding,2,0.01250,28353.00000,0.12620,25180.00000,0.18290,30761.00000,0.21060,34683.00000,-9.51800,0.59800,-8.81000,0.76100,-8.55700,0.47400,-8.88600,0.69500,-9.46000,0.44700,-9.25100,0.49400,-9.27300,0.51000,-9.31100,0.40000,-9.77900,0.51400,-9.99700,0.72600,-9.82900,0.86100,-9.71500,0.81000,-9.88900,0.93500,-9.56900,0.49500,-9.64000,0.91800,-9.75900,0.79500,-9.65700,0.61500,-9.59700,0.43800,-9.70100,0.55300,-9.05200,0.48400,-8.91300,0.41200,-9.07500,0.48600,-9.02900,0.49500,-8.94800,0.57600,-8.78900,0.76500,-8.37500,0.62100,-9.09700,0.57700,-8.79100,0.56000,-8.61300,1.01700,-8.43200,0.58200,-8.23700,0.83900,-8.40400,0.68100,-7.86000,0.52400,0,0.02760,4.47380,1.77040,24000332,5.47000,2.33000
