latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
40.92500,109.57500,Baotou,0,0.00000,286.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.01900,0.88500,-10.46100,0.87500,-10.59500,0.59200,-10.54600,0.88900,-11.05000,0.64500,-11.10500,0.40700,-10.97600,0.43400,-11.05000,0.35400,-12.92000,0.48100,-13.03900,0.38100,-13.10100,0.66500,-12.96400,0.33200,-12.67900,0.49300,-12.66500,0.61100,-13.37400,0.34700,-13.17600,0.47500,-13.08100,0.31900,-12.91800,0.59100,-13.22300,0.42300,-11.74400,0.52700,-10.89300,0.93700,-11.70300,0.76800,-11.17000,0.75100,-11.72000,0.65300,-10.73600,0.56600,-11.42200,0.62100,-11.22000,0.78600,-11.50700,0.67400,-11.31900,0.75200,-11.61300,0.47700,-10.92100,0.78600,-11.08600,0.63500,-10.81000,0.79200,0,0.00170,0.59310,0.08810,23385002,1.00000,0.26000
40.92500,109.62500,Baotou,0,0.00000,286.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.03400,0.91800,-10.48800,0.90500,-10.57500,0.63100,-10.53800,0.88900,-11.04300,0.65500,-11.08800,0.42900,-10.95600,0.44300,-11.06100,0.35200,-12.91100,0.47800,-13.00700,0.39000,-13.09900,0.67200,-12.93400,0.34400,-12.66600,0.47900,-12.67700,0.62900,-13.38500,0.35500,-13.12400,0.50800,-13.03200,0.33300,-12.91700,0.59500,-13.20800,0.43200,-11.75100,0.53500,-11.06800,0.94500,-11.78400,0.79500,-11.26500,0.74100,-11.87200,0.71700,-10.73400,0.57300,-11.44900,0.65700,-11.24600,0.79400,-11.57400,0.71800,-11.27800,0.78200,-11.59300,0.50200,-10.89700,0.79700,-11.07300,0.64000,-10.80600,0.81600,0,0.00400,1.22630,0.19990,23385002,1.00000,0.26000
40.92500,109.67500,Baotou,0,0.00000,285.00000,0.00000,15419.00000,0.00000,15943.00000,0.00020,280.00000,-11.05100,0.95200,-10.51600,0.93600,-10.55600,0.67200,-10.53200,0.89100,-11.03800,0.66500,-11.07400,0.45200,-10.93900,0.45200,-11.07300,0.35000,-12.93200,0.47300,-12.99000,0.41400,-13.09700,0.67300,-12.91200,0.37300,-12.65200,0.46600,-12.69200,0.63000,-13.38500,0.36900,-13.08100,0.52000,-12.95400,0.35400,-12.87900,0.61200,-13.17600,0.44700,-11.66500,0.58100,-11.13900,0.97400,-11.80900,0.81600,-11.25900,0.75000,-11.87200,0.73600,-10.71800,0.58800,-11.40200,0.71100,-11.21200,0.79900,-11.57200,0.72200,-11.21800,0.82700,-11.53200,0.53200,-10.83000,0.80900,-11.02700,0.63700,-10.77600,0.83000,0,0.00610,1.89970,0.30370,23385002,1.00000,0.29000
40.92500,109.72500,Baotou,0,0.00000,285.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.05600,0.98500,-10.53900,0.95600,-10.55600,0.70600,-10.52400,0.89100,-11.03300,0.68500,-11.06500,0.46700,-10.93600,0.45800,-11.09300,0.35300,-12.96700,0.46500,-12.99400,0.44800,-13.09800,0.69000,-12.88600,0.42400,-12.63500,0.46400,-12.70600,0.62100,-13.39100,0.38600,-13.05000,0.53700,-12.88600,0.38400,-12.84100,0.62600,-13.14100,0.47700,-11.57400,0.64900,-11.10400,1.00500,-11.82300,0.84000,-11.21700,0.77700,-11.73800,0.74300,-10.69900,0.60400,-11.31800,0.74700,-11.14200,0.79500,-11.48200,0.72000,-11.14000,0.87100,-11.47200,0.55700,-10.74000,0.81700,-10.97600,0.62100,-10.70900,0.81300,0,0.00130,0.60190,0.01650,23385002,1.00000,0.22000
40.92500,109.77500,Baotou,0,0.00000,286.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.05700,1.03900,-10.56600,0.98600,-10.54900,0.76000,-10.50400,0.89100,-11.01700,0.71800,-11.04600,0.49000,-10.92400,0.46800,-11.11800,0.35900,-13.00100,0.45800,-13.00200,0.48100,-13.09600,0.71800,-12.87300,0.48500,-12.62500,0.47400,-12.71400,0.61400,-13.41100,0.39600,-13.02900,0.56000,-12.83500,0.41100,-12.81100,0.63400,-13.12100,0.50200,-11.55000,0.69200,-11.06600,1.01600,-11.85800,0.86200,-11.21300,0.79200,-11.58800,0.74900,-10.69700,0.62700,-11.26400,0.75700,-11.07900,0.78900,-11.38600,0.72000,-11.08500,0.89100,-11.43700,0.60200,-10.67200,0.83500,-10.96300,0.61000,-10.65300,0.79300,0,0.00350,1.48030,0.12540,23385002,1.00000,0.30000
40.92500,109.82500,Baotou,0,0.00000,248.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.05200,1.06200,-10.57400,1.00100,-10.54400,0.78700,-10.49500,0.89200,-11.00900,0.73900,-11.04500,0.49800,-10.93000,0.46400,-11.13600,0.36200,-13.01400,0.46000,-13.00500,0.50800,-13.06300,0.73400,-12.86100,0.53000,-12.61600,0.49500,-12.70400,0.61900,-13.42700,0.39900,-13.00900,0.55400,-12.76600,0.43800,-12.77100,0.64000,-13.11900,0.51300,-11.58100,0.72000,-11.06500,1.01700,-11.91500,0.87800,-11.24900,0.81400,-11.56200,0.76200,-10.72000,0.64900,-11.25900,0.76100,-11.06100,0.81200,-11.37600,0.72800,-11.07800,0.92100,-11.43100,0.67700,-10.63800,0.86400,-10.97700,0.63900,-10.64100,0.79400,0,0.00490,1.98930,0.17100,23385002,1.00000,0.47000
40.92500,109.87500,Baotou,0,0.00000,49.00000,0.00000,0.00000,0.00000,0.00000,0.00000,47.00000,-11.01000,1.12500,-10.56400,1.03700,-10.50100,0.85300,-10.44500,0.89200,-10.95600,0.79600,-11.02100,0.51300,-10.91900,0.45600,-11.16100,0.37100,-13.01600,0.46100,-13.01300,0.52300,-13.05400,0.75400,-12.84400,0.57200,-12.61300,0.52100,-12.71600,0.62700,-13.45800,0.39500,-13.03000,0.56200,-12.73100,0.45600,-12.75000,0.64500,-13.15900,0.52100,-11.62300,0.73800,-11.08800,1.01800,-11.97400,0.88800,-11.30500,0.83500,-11.58000,0.77700,-10.76800,0.66800,-11.28900,0.76600,-11.06000,0.84100,-11.41600,0.74500,-11.11000,0.95000,-11.46600,0.71400,-10.63500,0.91000,-11.01500,0.70200,-10.66700,0.82500,0,0.00470,1.38730,0.18970,23385002,1.00000,0.50000
40.92500,109.92500,Baotou,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.00400,1.13600,-10.56800,1.04600,-10.49500,0.86300,-10.44100,0.89600,-10.95300,0.80400,-11.02500,0.51700,-10.93000,0.45200,-11.16900,0.37500,-12.98200,0.46600,-13.00500,0.52500,-13.04100,0.78300,-12.81200,0.60300,-12.58600,0.54900,-12.69600,0.65800,-13.45700,0.36900,-13.05200,0.56100,-12.71100,0.46600,-12.70800,0.63000,-13.18900,0.51900,-11.67800,0.74700,-11.12800,1.02100,-12.05900,0.86900,-11.42500,0.85800,-11.63800,0.77900,-10.87100,0.68300,-11.36600,0.77200,-11.08200,0.86800,-11.52500,0.79400,-11.15600,0.97700,-11.51500,0.72900,-10.63500,0.97600,-11.08600,0.75300,-10.68700,0.85500,0,0.00160,0.60210,0.06040,23385002,1.00000,0.33000
40.92500,109.97500,Baotou,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-10.90000,1.19300,-10.49800,1.08200,-10.37900,0.90700,-10.34200,0.90200,-10.85300,0.84600,-10.97200,0.52900,-10.90900,0.43500,-11.14600,0.39100,-12.92900,0.47100,-12.99400,0.51300,-13.02800,0.79900,-12.75900,0.62800,-12.57400,0.56700,-12.68300,0.69700,-13.42100,0.34000,-13.07300,0.55000,-12.72900,0.45400,-12.68600,0.61800,-13.24500,0.53700,-11.74200,0.76900,-11.16100,1.03200,-12.14400,0.83400,-11.64500,0.90200,-11.73100,0.78400,-10.98100,0.67800,-11.44900,0.76800,-11.09500,0.89200,-11.62500,0.83200,-11.19600,0.99500,-11.55400,0.74700,-10.64400,1.00500,-11.11400,0.76700,-10.66200,0.89300,0,0.00200,1.05960,0.03390,23385002,1.00000,0.30000
40.92500,110.02500,Baotou,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00010,0.00000,-10.91000,1.19600,-10.50900,1.08600,-10.38900,0.90900,-10.35300,0.90500,-10.86300,0.84900,-10.98100,0.53200,-10.92500,0.43400,-11.15800,0.39500,-12.84900,0.47500,-12.92700,0.49300,-12.96200,0.79800,-12.69100,0.64100,-12.51900,0.58200,-12.60000,0.71000,-13.33700,0.31700,-13.03900,0.52800,-12.71200,0.43600,-12.61800,0.60000,-13.22500,0.52900,-11.74900,0.79500,-11.12400,1.04700,-12.16200,0.82400,-11.75600,0.93300,-11.72900,0.80600,-10.97900,0.68800,-11.47200,0.75900,-11.04200,0.89500,-11.64900,0.87800,-11.18900,1.00800,-11.54700,0.76900,-10.59800,0.99100,-11.10300,0.78700,-10.60100,0.90300,0,0.00100,0.52270,0.03160,23385002,1.00000,0.36000
