latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
40.17500,116.12500,Beijing,2,0.16330,3769.00000,0.33750,8347.00000,0.36130,12917.00000,0.40640,22210.00000,-9.14600,0.45100,-8.48000,0.74500,-8.33500,0.16300,-8.44400,0.30700,-8.74500,0.21300,-8.51500,0.49000,-8.51500,0.25100,-8.43800,0.27100,-10.71000,0.31800,-10.68700,0.27200,-10.67600,0.34900,-10.56000,0.38200,-10.44600,0.49800,-10.11700,0.46500,-10.20800,0.43700,-10.03400,0.53500,-10.04700,0.39300,-9.69200,0.37400,-9.87600,0.47100,-8.05400,0.55800,-7.61300,0.38300,-7.90200,0.50500,-7.60600,0.59000,-7.39800,0.40900,-7.06200,0.62100,-7.01100,0.33000,-7.11500,0.49100,-6.35400,0.82900,-6.52000,0.67100,-6.48900,0.57000,-6.24200,0.65000,-6.56400,0.57700,-6.20700,0.55900,0,0.06510,7.17440,5.08420,23644280,5.14000,2.56000
40.17500,116.17500,Beijing,3,0.11230,8480.00000,0.32350,17049.00000,0.34600,26041.00000,0.46770,44205.00000,-9.10600,0.44900,-8.45300,0.73700,-8.31500,0.16400,-8.41800,0.30000,-8.71700,0.20900,-8.48100,0.47300,-8.48700,0.25000,-8.41100,0.26000,-10.55600,0.33400,-10.55500,0.26800,-10.44200,0.36300,-10.31100,0.36400,-10.14300,0.50600,-9.71900,0.52000,-9.84900,0.49700,-9.61600,0.52100,-9.58000,0.41700,-9.19800,0.40900,-9.31400,0.43600,-7.72000,0.54500,-7.30200,0.41200,-7.52400,0.51200,-7.19400,0.59800,-6.94400,0.48900,-6.68900,0.64300,-6.59500,0.33100,-6.74200,0.53700,-5.81800,0.89700,-6.06700,0.74400,-6.03500,0.54900,-5.74600,0.62600,-6.05600,0.67000,-5.63800,0.57200,0,0.09220,8.98290,8.78500,23644280,6.54000,3.04000
40.17500,116.22500,Beijing,3,0.15930,11101.00000,0.42210,25069.00000,0.45170,37241.00000,0.60910,64823.00000,-8.91000,0.44200,-8.29800,0.68900,-8.15700,0.17800,-8.26000,0.28000,-8.52900,0.19800,-8.29600,0.41500,-8.31900,0.26400,-8.22700,0.24600,-10.40500,0.33900,-10.40700,0.30200,-10.22600,0.37000,-10.07100,0.35300,-9.89500,0.50300,-9.37500,0.53800,-9.55200,0.54400,-9.23200,0.51000,-9.14900,0.44500,-8.73200,0.40000,-8.81200,0.40000,-7.55900,0.54900,-7.14400,0.42800,-7.34300,0.52500,-6.98500,0.60900,-6.70600,0.54100,-6.46500,0.67200,-6.33800,0.32500,-6.49800,0.57900,-5.40600,0.93700,-5.71600,0.81600,-5.66500,0.56000,-5.38400,0.63900,-5.62300,0.70500,-5.20300,0.55600,0,0.11230,9.89710,11.37400,23644280,7.00000,3.18000
40.17500,116.27500,Beijing,3,0.15460,4983.00000,0.40900,12116.00000,0.45310,19374.00000,0.66410,37906.00000,-8.85400,0.44100,-8.26200,0.67400,-8.12000,0.18200,-8.22600,0.27100,-8.48700,0.19300,-8.25300,0.39600,-8.28400,0.26800,-8.18800,0.24200,-10.27000,0.34900,-10.28000,0.34500,-10.06500,0.36800,-9.88400,0.36800,-9.70800,0.48800,-9.10400,0.52400,-9.29800,0.56300,-8.90300,0.51100,-8.77800,0.46300,-8.35300,0.40000,-8.39800,0.36600,-7.53000,0.55300,-7.10000,0.43500,-7.27100,0.54400,-6.88300,0.62700,-6.60100,0.55400,-6.39300,0.69800,-6.24200,0.33400,-6.39800,0.61000,-5.31700,0.95300,-5.60300,0.81400,-5.57500,0.54800,-5.21100,0.67800,-5.49400,0.77200,-5.06600,0.59900,0,0.08110,8.97250,6.79080,23644280,6.81000,3.22000
40.17500,116.32500,Beijing,2,0.05260,2730.00000,0.18650,4949.00000,0.23020,8154.00000,0.38250,16784.00000,-8.76100,0.44600,-8.20500,0.64500,-8.04600,0.20200,-8.18400,0.23400,-8.41400,0.19600,-8.18100,0.37200,-8.22900,0.27500,-8.13100,0.26100,-10.16500,0.34400,-10.19200,0.37100,-9.96400,0.35600,-9.72600,0.37700,-9.60200,0.47300,-8.92200,0.49900,-9.12100,0.56800,-8.66800,0.51500,-8.50600,0.47600,-8.08700,0.41400,-8.09800,0.36400,-7.65300,0.53200,-7.19400,0.43200,-7.38700,0.56200,-7.04300,0.63500,-6.73600,0.57300,-6.55100,0.71200,-6.48600,0.36900,-6.60400,0.64400,-5.69300,0.96100,-5.84300,0.77100,-5.86100,0.55200,-5.42600,0.76000,-5.80400,0.85500,-5.36600,0.66400,0,0.05460,6.74160,4.42420,23644280,7.44000,3.59000
40.17500,116.37500,Beijing,2,0.05310,9904.00000,0.21740,18291.00000,0.27160,25553.00000,0.42200,41406.00000,-8.71500,0.44900,-8.18500,0.63000,-8.01600,0.21400,-8.17500,0.21000,-8.38800,0.19700,-8.15400,0.35900,-8.21500,0.27800,-8.11600,0.27400,-10.11200,0.32800,-10.14400,0.38400,-9.91300,0.34600,-9.64500,0.38300,-9.58000,0.46200,-8.85800,0.48100,-9.03900,0.56300,-8.55700,0.52100,-8.36800,0.50100,-7.94000,0.44300,-7.94500,0.37800,-7.81100,0.49700,-7.32100,0.42400,-7.54100,0.56200,-7.30200,0.61700,-6.93600,0.55800,-6.76100,0.69300,-6.72900,0.38300,-6.80900,0.64800,-6.17000,0.87600,-6.11000,0.71400,-6.12600,0.55000,-5.69300,0.78100,-6.08800,0.86500,-5.66600,0.67200,0,0.07630,7.90430,6.03750,23644280,7.38000,3.49000
40.17500,116.42500,Beijing,2,0.03070,4747.00000,0.14690,13070.00000,0.20560,19872.00000,0.32310,31367.00000,-8.70400,0.46400,-8.21100,0.62300,-8.01900,0.23300,-8.22500,0.18300,-8.40400,0.20600,-8.17400,0.35600,-8.26200,0.28400,-8.16400,0.30500,-10.08800,0.31700,-10.11800,0.39900,-9.89400,0.35100,-9.63400,0.39400,-9.58500,0.43900,-8.86500,0.46700,-9.01200,0.54800,-8.52200,0.52400,-8.31200,0.51900,-7.85400,0.47600,-7.85900,0.39100,-7.90400,0.46800,-7.38900,0.41200,-7.58500,0.54000,-7.44600,0.58000,-7.05200,0.52000,-6.88500,0.64600,-6.76400,0.38600,-6.84700,0.63400,-6.42300,0.76400,-6.20600,0.66700,-6.16800,0.53500,-5.74700,0.76100,-6.05900,0.81600,-5.68700,0.67200,0,0.05690,7.04080,4.29150,23644280,7.50000,3.59000
40.17500,116.47500,Beijing,3,0.05360,12028.00000,0.16760,20956.00000,0.20410,29923.00000,0.27120,50574.00000,-8.69000,0.47900,-8.23300,0.61600,-8.01900,0.25300,-8.26900,0.15900,-8.41500,0.21400,-8.18800,0.35400,-8.30400,0.29000,-8.20400,0.33500,-10.11700,0.31500,-10.15900,0.42100,-9.95700,0.36100,-9.71300,0.41000,-9.66800,0.40700,-8.98100,0.45000,-9.11000,0.54700,-8.61500,0.52000,-8.40700,0.51000,-7.92900,0.50500,-7.95400,0.42700,-7.96200,0.43800,-7.43600,0.38600,-7.59800,0.50500,-7.55200,0.52000,-7.13600,0.46000,-6.98400,0.57800,-6.79200,0.36100,-6.90900,0.59000,-6.55000,0.68100,-6.28100,0.61700,-6.18700,0.51900,-5.70900,0.74400,-5.96800,0.77500,-5.64600,0.66900,0,0.05260,7.40760,4.49130,23644280,7.82000,3.78000
40.17500,116.52500,Beijing,2,0.02130,7443.00000,0.10100,13649.00000,0.12210,19965.00000,0.15450,32425.00000,-8.69600,0.49200,-8.26600,0.61700,-8.03900,0.26900,-8.32100,0.19000,-8.44300,0.22200,-8.22600,0.36000,-8.36200,0.28900,-8.26900,0.35900,-10.16900,0.32400,-10.23500,0.43600,-10.04700,0.37900,-9.82000,0.41500,-9.78500,0.38700,-9.13100,0.43800,-9.24700,0.53300,-8.75500,0.51300,-8.57100,0.48300,-8.08400,0.52300,-8.12800,0.46700,-7.97500,0.43300,-7.45900,0.38300,-7.60000,0.50200,-7.58400,0.48500,-7.14200,0.41400,-7.03000,0.53700,-6.76900,0.33900,-6.91700,0.57900,-6.54500,0.65800,-6.28400,0.58000,-6.14600,0.54000,-5.61400,0.71200,-5.84100,0.76900,-5.61600,0.65200,0,0.03370,6.64970,2.90170,23644280,7.91000,3.89000
40.17500,116.57500,Beijing,1,0.03130,3216.00000,0.12570,4125.00000,0.14900,6449.00000,0.18520,10653.00000,-8.70400,0.51000,-8.31400,0.61700,-8.06700,0.29400,-8.39800,0.23600,-8.48300,0.23400,-8.28100,0.36900,-8.44800,0.28600,-8.36300,0.39500,-10.22800,0.34000,-10.33600,0.45200,-10.13500,0.40300,-9.92700,0.40900,-9.90600,0.37500,-9.30200,0.43400,-9.38200,0.51400,-8.91100,0.51000,-8.75600,0.46200,-8.27800,0.52800,-8.33500,0.48600,-7.93900,0.44600,-7.43300,0.42000,-7.55500,0.54200,-7.49800,0.53100,-7.08600,0.42500,-7.00600,0.53900,-6.69000,0.33900,-6.83900,0.61400,-6.45300,0.64300,-6.24300,0.56500,-6.05900,0.54600,-5.55200,0.68600,-5.77200,0.78000,-5.61000,0.65900,0,0.03090,5.91220,2.28830,23644280,7.29000,4.07000
