latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-5.97500,106.72500,Bekasi,0,0.00520,2762.00000,0.00520,3936.00000,0.00580,3984.00000,0.00690,4760.00000,-10.32800,0.73500,-7.27400,1.53800,-10.11900,0.28700,-10.07100,0.40600,-10.02000,0.34900,-9.91600,0.48300,-9.27000,0.45100,-9.69700,0.36800,-9999.00000,-9999.00000,-15.14800,0.81000,-14.90300,0.56100,-14.92700,0.91100,-14.99300,0.54600,-14.60100,0.50100,-14.66100,0.55900,-14.55500,0.73000,-14.32600,0.52100,-14.11000,0.83200,-14.02100,0.66600,-15.15900,1.35300,-14.96300,1.34800,-14.49700,1.39900,-15.53200,1.11700,-14.47600,1.06200,-14.67200,1.32100,-14.77800,1.25900,-14.53400,1.28600,-14.82900,1.14600,-14.99200,1.34700,-14.71000,1.06000,-14.58900,0.99600,-14.65800,1.09000,-14.71100,1.11000,100,-9999,-9999,-9999,30609944,3.93000,4.82000
-5.97500,106.77500,Bekasi,0,0.00000,0.00000,0.00000,0.00000,0.00020,0.00000,0.00040,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30609944,1.95000,4.12000
-5.97500,106.82500,Bekasi,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30609944,7.04000,3.38000
-5.97500,106.87500,Bekasi,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30609944,7.00000,3.67000
-5.97500,106.92500,Bekasi,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30609944,-9999.00000,-9999.00000
-5.97500,106.97500,Bekasi,0,0.00000,0.00000,0.00000,0.00000,0.00010,0.00000,0.00050,0.00000,-12.21900,1.56800,-11.65800,0.29500,-12.00900,0.76300,-11.26700,0.33400,-11.44200,0.40800,-11.75900,0.51300,-10.78900,0.46300,-11.40400,0.54700,-9999.00000,-9999.00000,-16.08600,0.57300,-15.90500,0.58300,-15.96700,0.51500,-16.08000,0.68400,-16.02700,0.39100,-15.96100,0.59100,-15.84300,0.64600,-15.71600,0.73800,-15.62300,0.69400,-15.73700,0.79600,-14.76900,0.88900,-14.54900,1.18900,-14.19600,1.01300,-14.68900,0.89800,-14.05600,0.77900,-13.84700,1.38600,-14.07000,0.84800,-14.06600,0.77100,-14.06900,0.90800,-14.05400,0.89100,-13.88100,1.09400,-13.46700,0.92700,-13.97200,0.71000,-13.89600,0.99300,100,-9999,-9999,-9999,30609944,-9999.00000,-9999.00000
-5.97500,107.02500,Bekasi,1,0.06110,3562.00000,0.06110,5073.00000,0.06420,7516.00000,0.08250,15979.00000,-12.27100,1.57800,-11.70900,0.29600,-12.06500,0.77100,-11.31600,0.33900,-11.48700,0.41200,-11.81300,0.51600,-10.83500,0.46900,-11.45100,0.55400,-9999.00000,-9999.00000,-16.17300,0.56400,-15.98000,0.57000,-16.09400,0.47000,-16.24000,0.62400,-16.20100,0.37900,-16.15500,0.52900,-16.06500,0.55200,-15.95900,0.65100,-15.94700,0.66000,-16.01500,0.69400,-13.62000,0.81400,-13.49000,0.87200,-13.33800,0.82900,-13.66600,0.73800,-13.05500,0.61600,-13.03200,1.05200,-13.37000,0.76100,-13.40000,0.71200,-13.23100,0.71500,-13.33300,0.77300,-12.96500,0.80600,-12.72700,0.69700,-13.12700,0.70500,-13.12400,0.80400,61,-9999,-9999,-9999,30609944,5.62000,3.40000
-5.97500,107.07500,Bekasi,1,0.08470,49363.00000,0.08470,7390.00000,0.08760,9979.00000,0.10550,18245.00000,-12.76300,1.60100,-12.33000,0.57200,-12.56500,0.67000,-12.01100,0.34100,-12.11800,0.45100,-12.46700,0.52500,-11.51600,0.54000,-12.06100,0.50100,-9999.00000,-9999.00000,-16.07400,0.51500,-15.89600,0.57100,-16.23400,0.43900,-16.23900,0.52700,-16.18600,0.39900,-16.18900,0.40500,-16.16900,0.46300,-16.14700,0.60500,-16.13800,0.58900,-16.18500,0.54200,-12.94500,0.71600,-12.93200,0.75400,-12.98500,0.63700,-13.13700,0.56900,-12.63000,0.56300,-12.76800,0.92800,-13.05700,0.71600,-13.23300,0.67700,-12.97400,0.64000,-13.04400,0.68100,-12.66000,0.66700,-12.51800,0.56400,-12.84700,0.67400,-12.83700,0.73700,18,-9999,-9999,-9999,30609944,7.01000,3.42000
-5.97500,107.12500,Bekasi,1,0.05070,146869.00000,0.05070,8267.00000,0.05790,9054.00000,0.07530,12739.00000,-12.98600,1.64900,-12.65300,0.64200,-12.83700,0.63100,-12.34100,0.37200,-12.38000,0.45000,-12.80200,0.51000,-11.84600,0.58300,-12.32300,0.50200,-9999.00000,-9999.00000,-16.13100,0.50500,-15.94600,0.55100,-16.44800,0.47600,-16.34600,0.51900,-16.28300,0.45500,-16.35100,0.45800,-16.41800,0.44600,-16.37400,0.60700,-16.30700,0.55200,-16.41600,0.49600,-13.38400,0.83200,-13.44900,0.82800,-13.44000,0.66300,-13.69400,0.59300,-13.18200,0.67100,-13.34100,1.05000,-13.58700,0.76400,-13.96100,0.76900,-13.71800,0.75400,-13.64600,0.72700,-13.40200,0.78200,-13.09900,0.62400,-13.45700,0.72800,-13.50900,0.90100,61,-9999,-9999,-9999,30609944,4.95000,3.11000
-5.97500,107.17500,Bekasi,0,0.01030,11229.00000,0.01070,632.00000,0.01350,656.00000,0.02710,2139.00000,-13.32800,1.73400,-13.18000,0.74900,-13.27000,0.55600,-12.87200,0.42700,-12.78700,0.44200,-13.34200,0.47600,-12.38200,0.65400,-12.73300,0.50000,-9999.00000,-9999.00000,-16.17100,0.54000,-16.00600,0.54400,-16.54800,0.46300,-16.39500,0.51300,-16.35300,0.48900,-16.48400,0.53300,-16.57400,0.47400,-16.43800,0.63200,-16.45900,0.54200,-16.53500,0.54700,-14.35200,0.90000,-14.32100,0.83400,-14.19200,0.63800,-14.66300,0.63100,-14.21300,0.85300,-14.25200,1.07600,-14.47400,0.77600,-14.86700,0.87400,-14.65900,0.77200,-14.49700,0.92300,-14.23800,0.84200,-13.97000,0.82100,-14.36200,0.84000,-14.06900,1.04400,83,-9999,-9999,-9999,30609944,1.90000,3.15000
