latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
45.07500,20.22500,Belgrade,0,0.00670,0.00000,0.00730,0.00000,0.00740,0.00000,0.00760,0.00000,-10.50300,0.93300,-10.00600,0.23400,-9.37600,0.60300,-10.00300,0.45800,-9.64400,0.36000,-9.52200,0.44500,-9.10600,1.04200,-10.82100,0.56300,-10.74900,0.63700,-12.37000,0.45700,-10.80400,0.29200,-11.34700,0.58000,-11.76000,0.76900,-10.84200,0.54800,-10.32300,0.35700,-10.66700,0.38000,-11.35000,0.47300,-11.19700,0.71300,-11.09200,1.01200,-9.98700,0.74300,-9.97200,0.96100,-10.08200,0.92400,-9.37600,0.54000,-10.32600,0.62000,-11.20700,0.59500,-10.15200,0.59500,-9.11800,0.58400,-9.98200,0.74700,-9.78000,0.55000,-10.78300,0.52600,-9.96500,1.12000,-10.03500,0.60300,-9.88000,0.86500,0,0.00010,0.06720,0.00280,21877660,4.62000,3.14000
45.07500,20.27500,Belgrade,0,0.00000,0.00000,0.00000,0.00000,0.00000,31.00000,0.00000,33.00000,-10.55300,0.90700,-9.94200,0.25600,-9.38400,0.61600,-9.94400,0.49600,-9.61000,0.39000,-9.49200,0.45100,-9.06100,1.02300,-10.78800,0.56800,-10.79300,0.60300,-12.34500,0.46500,-10.82100,0.29600,-11.36200,0.55800,-11.72800,0.75900,-10.86300,0.54400,-10.34400,0.35300,-10.70100,0.36900,-11.36400,0.46800,-11.21900,0.68500,-11.11900,0.98900,-10.05600,0.70200,-10.04900,0.92600,-10.15100,0.87400,-9.49400,0.53100,-10.38700,0.60300,-11.29900,0.58900,-10.22500,0.55900,-9.18300,0.58800,-10.11400,0.74700,-9.86700,0.53500,-10.88700,0.50500,-10.06500,1.05700,-10.08300,0.59400,-10.03000,0.78700,0,0.00000,0.00000,0.00000,21877660,4.12000,2.73000
45.07500,20.32500,Belgrade,0,0.01760,3541.00000,0.01810,3954.00000,0.01820,3847.00000,0.01830,3414.00000,-10.55800,0.89400,-9.90900,0.26400,-9.38000,0.61900,-9.91900,0.51100,-9.58700,0.40000,-9.47300,0.45400,-9.03700,1.01600,-10.76100,0.57300,-10.81800,0.56000,-12.30700,0.48400,-10.83100,0.29300,-11.35100,0.54000,-11.68600,0.75700,-10.85400,0.55400,-10.35100,0.34400,-10.71700,0.36400,-11.37500,0.45900,-11.25000,0.66600,-11.13800,0.98900,-10.09000,0.66900,-10.09600,0.91200,-10.17800,0.84000,-9.56600,0.51800,-10.40500,0.59500,-11.33100,0.57200,-10.26600,0.53500,-9.21500,0.58400,-10.19200,0.74700,-9.90800,0.52800,-10.94100,0.50200,-10.14300,0.99900,-10.10000,0.59200,-10.09300,0.74900,0,0.00590,1.43100,0.34450,21877660,7.83000,4.18000
45.07500,20.37500,Belgrade,0,0.00520,654.00000,0.00550,702.00000,0.00550,689.00000,0.00570,603.00000,-10.58800,0.87100,-9.85200,0.28300,-9.38800,0.62100,-9.90200,0.54800,-9.55300,0.42200,-9.45500,0.45900,-9.01700,1.00200,-10.74100,0.56800,-10.81100,0.52200,-12.25700,0.50000,-10.82400,0.28300,-11.33300,0.52000,-11.63600,0.75800,-10.82000,0.57100,-10.34200,0.34400,-10.70500,0.37000,-11.38000,0.45300,-11.28200,0.65900,-11.14900,1.00400,-10.08600,0.64800,-10.11200,0.91300,-10.16600,0.83100,-9.59100,0.50800,-10.37900,0.59400,-11.30400,0.56300,-10.26900,0.52200,-9.21500,0.58100,-10.23100,0.76400,-9.91100,0.52600,-10.96100,0.50500,-10.19000,0.96700,-10.09700,0.59400,-10.10600,0.74500,0,0.00210,1.21090,0.08870,21877660,13.09000,4.91000
45.07500,20.42500,Belgrade,0,0.01140,588.00000,0.01410,743.00000,0.01420,838.00000,0.01480,1093.00000,-10.63100,0.84400,-9.77700,0.30700,-9.39900,0.62400,-9.87600,0.59800,-9.51000,0.45300,-9.43100,0.46500,-8.99300,0.98100,-10.71900,0.55800,-10.77200,0.50700,-12.18700,0.51500,-10.79100,0.27500,-11.31400,0.49900,-11.57800,0.76600,-10.76900,0.59300,-10.30900,0.35600,-10.66100,0.39200,-11.37100,0.45900,-11.30000,0.65700,-11.14900,1.03400,-10.04600,0.64100,-10.11200,0.92100,-10.12400,0.84600,-9.57700,0.51000,-10.30700,0.59500,-11.23200,0.56300,-10.21900,0.50500,-9.18900,0.57500,-10.24200,0.79800,-9.87800,0.53100,-10.94400,0.51000,-10.22800,0.97500,-10.08200,0.59900,-10.10900,0.76900,0,0.01300,2.77250,0.79060,21877660,21.49000,5.84000
45.07500,20.47500,Belgrade,0,0.00380,39.00000,0.00750,55.00000,0.00760,61.00000,0.00850,61.00000,-10.61800,0.82400,-9.75300,0.31400,-9.39700,0.62300,-9.87300,0.60300,-9.48200,0.47300,-9.42500,0.46900,-8.98700,0.97900,-10.70900,0.55900,-10.70600,0.52200,-12.09900,0.54100,-10.72900,0.27600,-11.28200,0.48900,-11.51200,0.79500,-10.69500,0.62300,-10.24000,0.37100,-10.58600,0.43000,-11.33100,0.47900,-11.29700,0.65300,-11.12300,1.09100,-9.97100,0.64400,-10.10000,0.94100,-10.06000,0.89600,-9.52200,0.52600,-10.19500,0.60600,-11.13900,0.57600,-10.09500,0.48600,-9.14400,0.56600,-10.21400,0.82200,-9.81000,0.53900,-10.87000,0.53100,-10.29400,1.01800,-10.06700,0.61800,-10.10300,0.83500,0,0.00170,0.82420,0.08850,21877660,5.90000,3.39000
45.07500,20.52500,Belgrade,0,0.00000,83.00000,0.00000,89.00000,0.00000,85.00000,0.00000,0.00000,-10.62400,0.69900,-9.66800,0.36800,-9.44400,0.63800,-9.89300,0.63700,-9.36700,0.61500,-9.45400,0.49600,-9.01500,0.96000,-10.74400,0.54100,-10.62300,0.56700,-12.02700,0.56400,-10.67200,0.27400,-11.26000,0.49600,-11.46700,0.86300,-10.61400,0.66200,-10.16400,0.40000,-10.50800,0.49600,-11.29300,0.51600,-11.30900,0.68500,-11.10000,1.18100,-9.86500,0.63800,-10.04500,0.97200,-9.99600,0.99900,-9.39000,0.56300,-10.03800,0.67600,-11.03700,0.66100,-9.89400,0.51100,-9.08000,0.56600,-10.13900,0.83400,-9.70800,0.53100,-10.72800,0.57300,-10.33700,1.06900,-10.06600,0.67500,-10.09900,0.90900,0,0.00000,0.00000,0.00000,21877660,5.60000,3.46000
45.07500,20.57500,Belgrade,0,0.04490,3990.00000,0.05570,4447.00000,0.05620,4232.00000,0.06580,3484.00000,-10.61600,0.70700,-9.65300,0.36800,-9.43400,0.63400,-9.88500,0.63700,-9.35800,0.60500,-9.44200,0.49600,-9.00500,0.96000,-10.72700,0.54500,-10.51100,0.61400,-11.98300,0.59500,-10.59400,0.29100,-11.24600,0.55300,-11.44800,0.95000,-10.53400,0.72100,-10.07900,0.43500,-10.43600,0.58100,-11.26600,0.58800,-11.35000,0.75500,-11.08400,1.28700,-9.77800,0.67800,-9.97400,0.99400,-10.00400,1.09100,-9.24900,0.57400,-9.96500,0.70400,-10.91600,0.73300,-9.72000,0.56700,-9.04000,0.59000,-10.03100,0.85800,-9.55400,0.57800,-10.64200,0.56900,-10.36400,1.14100,-10.10200,0.74700,-10.13000,0.97400,0,0.00650,1.11460,0.48970,21877660,4.68000,3.12000
45.07500,20.62500,Belgrade,1,0.03490,4672.00000,0.04270,4440.00000,0.04630,4198.00000,0.05630,5893.00000,-10.65400,0.58800,-9.61800,0.42400,-9.49600,0.66100,-9.93500,0.67800,-9.45600,0.51300,-9.53900,0.54000,-9.07600,1.29100,-10.82700,0.56700,-10.42900,0.66700,-11.96400,0.61500,-10.53500,0.30300,-11.24000,0.60400,-11.43300,1.01200,-10.47700,0.75800,-10.01800,0.43300,-10.38500,0.65000,-11.26000,0.67100,-11.35400,0.84100,-11.08000,1.39400,-9.72500,0.73800,-9.95800,1.01400,-10.02200,1.14900,-9.19300,0.60200,-9.95700,0.73500,-10.90600,0.79200,-9.65200,0.63300,-9.04300,0.61800,-10.01700,0.88600,-9.52200,0.59900,-10.68600,0.58800,-10.40800,1.22500,-10.16000,0.80700,-10.25500,1.05600,0,0.01360,2.19650,1.03750,21877660,4.55000,2.81000
45.07500,20.67500,Belgrade,0,0.00080,0.00000,0.00100,0.00000,0.00110,0.00000,0.00140,0.00000,-10.64400,0.57900,-9.60200,0.42800,-9.49200,0.65900,-9.93100,0.68100,-9.44900,0.50700,-9.53600,0.54100,-9.05700,1.33700,-10.82000,0.57200,-10.39400,0.68800,-11.99100,0.62900,-10.50000,0.33300,-11.25500,0.66400,-11.45600,1.08000,-10.45400,0.77500,-9.99500,0.45600,-10.37500,0.70600,-11.28700,0.72900,-11.39000,0.93100,-11.11600,1.49600,-9.72600,0.77000,-9.99200,1.05800,-10.10500,1.22300,-9.19900,0.64700,-10.00600,0.80100,-10.96400,0.88400,-9.67300,0.71700,-9.06400,0.63800,-10.08400,0.95000,-9.54300,0.63400,-10.86600,0.67800,-10.51800,1.33800,-10.32000,0.93800,-10.52600,1.24500,0,0.00000,0.00000,0.00000,21877660,4.17000,2.78000
