latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-19.67500,-44.17500,BeloHorizonte,1,0.00410,1146.00000,0.01540,1718.00000,0.02530,2090.00000,0.02910,2772.00000,-8.63200,0.17300,-8.73500,0.28600,-8.84100,0.36300,-8.62000,0.27500,-8.75200,0.37400,-8.73600,0.26300,-8.68300,0.25600,-8.58000,0.43700,-9999.00000,-9999.00000,-10.22600,0.20900,-10.35000,0.28900,-10.22300,0.31100,-10.12800,0.26900,-10.10900,0.18200,-10.07900,0.19700,-10.11800,0.18800,-10.20100,0.25100,-10.18600,0.24300,-10.13700,0.23200,-8.46700,0.40300,-8.55200,0.31400,-8.54200,0.29400,-8.71000,0.21200,-8.58100,0.42300,-8.51000,0.43700,-8.65600,0.32900,-8.90200,0.30000,-8.64900,0.31900,-8.50900,0.33800,-8.66400,0.34100,-8.34000,0.43100,-8.42100,0.37600,-8.22700,0.26500,0,-9999,-9999,-9999,29020120,15.46000,5.99000
-19.67500,-44.12500,BeloHorizonte,0,0.00020,14.00000,0.00090,19.00000,0.00280,30.00000,0.00330,45.00000,-8.59300,0.16700,-8.71100,0.28000,-8.79500,0.36300,-8.58000,0.27500,-8.71100,0.37400,-8.68700,0.26500,-8.63600,0.25300,-8.53500,0.43300,-9999.00000,-9999.00000,-10.16200,0.29400,-10.33600,0.29100,-10.17500,0.29500,-10.05300,0.29700,-10.01500,0.22000,-10.02600,0.22700,-10.08200,0.23500,-10.09600,0.25000,-10.14300,0.24300,-10.06600,0.26800,-8.36600,0.44200,-8.47000,0.32400,-8.43900,0.29400,-8.59200,0.23000,-8.41700,0.43500,-8.38400,0.44400,-8.55200,0.32900,-8.79800,0.32200,-8.53200,0.37800,-8.39100,0.40200,-8.49600,0.34700,-8.15900,0.44700,-8.30900,0.37000,-8.02300,0.32600,0,-9999,-9999,-9999,29020120,20.41000,7.25000
-19.67500,-44.07500,BeloHorizonte,0,0.00040,2981.00000,0.00430,3359.00000,0.00500,3728.00000,0.00550,4171.00000,-8.49200,0.14900,-8.66100,0.26000,-8.67700,0.36200,-8.48200,0.26600,-8.61000,0.36900,-8.55600,0.27300,-8.51800,0.23600,-8.41900,0.41600,-9999.00000,-9999.00000,-10.09300,0.37000,-10.28100,0.30100,-10.10100,0.29800,-9.97600,0.31800,-9.92300,0.25900,-9.95600,0.25800,-10.04500,0.25200,-9.98800,0.25400,-10.08000,0.23300,-9.96800,0.30700,-8.27700,0.48200,-8.38800,0.34800,-8.34300,0.28700,-8.48600,0.28400,-8.30800,0.45900,-8.28600,0.42700,-8.43200,0.32800,-8.68700,0.33200,-8.46100,0.39600,-8.27000,0.46900,-8.36400,0.32600,-8.01700,0.47200,-8.15600,0.38500,-7.92800,0.36500,0,-9999,-9999,-9999,29020120,18.09000,6.67000
-19.67500,-44.02500,BeloHorizonte,1,0.00180,1474.00000,0.01500,1750.00000,0.01970,2320.00000,0.02230,3020.00000,-8.44800,0.14600,-8.63500,0.25300,-8.62500,0.35500,-8.43800,0.26400,-8.56800,0.36800,-8.50500,0.27700,-8.47000,0.23500,-8.37300,0.40500,-9999.00000,-9999.00000,-10.03800,0.37700,-10.21100,0.32700,-10.01400,0.30600,-9.90200,0.34100,-9.84500,0.29600,-9.88200,0.28300,-10.01100,0.26800,-9.89500,0.27100,-10.01100,0.23600,-9.88400,0.32400,-8.20900,0.50100,-8.31000,0.38700,-8.27700,0.28500,-8.44100,0.33300,-8.24300,0.47500,-8.21500,0.42500,-8.33100,0.35100,-8.60800,0.31400,-8.37300,0.43400,-8.16800,0.49100,-8.26200,0.37100,-7.89600,0.51900,-8.02400,0.42900,-7.86500,0.37500,0,-9999,-9999,-9999,29020120,17.28000,6.45000
-19.67500,-43.97500,BeloHorizonte,1,0.01520,1460.00000,0.08200,2841.00000,0.09530,3797.00000,0.10670,5504.00000,-8.39800,0.14300,-8.60500,0.24500,-8.56600,0.34800,-8.38800,0.26200,-8.52100,0.36700,-8.44700,0.28100,-8.41600,0.23400,-8.32000,0.39300,-9999.00000,-9999.00000,-10.01100,0.36800,-10.16200,0.33700,-9.95500,0.30700,-9.87800,0.33900,-9.82200,0.30100,-9.85100,0.31400,-10.01000,0.26600,-9.86500,0.27700,-9.98900,0.24900,-9.84800,0.30400,-8.16700,0.51200,-8.26900,0.41200,-8.23900,0.29300,-8.45000,0.34800,-8.22400,0.48900,-8.18900,0.42500,-8.28000,0.36500,-8.55000,0.28400,-8.30700,0.43200,-8.15500,0.47200,-8.21400,0.38600,-7.84900,0.53400,-7.98700,0.44400,-7.80200,0.39200,0,-9999,-9999,-9999,29020120,15.03000,5.88000
-19.67500,-43.92500,BeloHorizonte,1,0.02670,7991.00000,0.11330,15639.00000,0.13340,22313.00000,0.15120,34967.00000,-8.38000,0.14800,-8.59600,0.24400,-8.55000,0.33500,-8.37500,0.26200,-8.51500,0.36600,-8.44500,0.28600,-8.40900,0.23700,-8.31900,0.38100,-9999.00000,-9999.00000,-9.99300,0.32300,-10.10200,0.34000,-9.89000,0.31100,-9.88900,0.32000,-9.80800,0.28000,-9.84700,0.32500,-10.00400,0.26200,-9.87300,0.26800,-9.98100,0.26000,-9.82400,0.27500,-8.16700,0.48400,-8.23200,0.41500,-8.21200,0.29200,-8.44600,0.34000,-8.22300,0.49100,-8.21200,0.42400,-8.28600,0.33500,-8.51600,0.31000,-8.22000,0.43800,-8.20800,0.44800,-8.20400,0.36000,-7.86700,0.53000,-8.02000,0.40300,-7.74400,0.40100,0,-9999,-9999,-9999,29020120,11.74000,5.03000
-19.67500,-43.87500,BeloHorizonte,1,0.00890,1754.00000,0.01940,3606.00000,0.03300,5708.00000,0.04010,9008.00000,-8.36000,0.14900,-8.58000,0.24300,-8.53000,0.33100,-8.35500,0.26300,-8.49800,0.36600,-8.42800,0.28700,-8.39000,0.23900,-8.30200,0.37800,-9999.00000,-9999.00000,-10.00600,0.28300,-10.06300,0.31400,-9.88500,0.29700,-9.93900,0.29400,-9.84000,0.25400,-9.89000,0.31300,-10.04800,0.24900,-9.92200,0.23400,-10.01700,0.25000,-9.87800,0.25200,-8.22500,0.45600,-8.26700,0.38900,-8.27000,0.29100,-8.45700,0.34400,-8.28200,0.49100,-8.32000,0.41100,-8.36600,0.32600,-8.56500,0.33800,-8.25500,0.45200,-8.30900,0.44300,-8.31600,0.36200,-7.96900,0.44400,-8.11700,0.40100,-7.78200,0.39500,0,-9999,-9999,-9999,29020120,14.71000,5.75000
-19.67500,-43.82500,BeloHorizonte,1,0.00000,79.00000,0.00010,134.00000,0.00030,425.00000,0.00040,689.00000,-8.39100,0.16500,-8.61000,0.25800,-8.59700,0.31700,-8.42100,0.25200,-8.54700,0.36400,-8.49500,0.28500,-8.45100,0.23800,-8.38300,0.36200,-9999.00000,-9999.00000,-10.01400,0.27200,-10.06900,0.24700,-9.92100,0.26200,-9.98400,0.27100,-9.88500,0.20700,-9.93300,0.30600,-10.08700,0.22500,-9.99300,0.22400,-10.06400,0.24300,-9.95500,0.23700,-8.28800,0.45300,-8.34300,0.36000,-8.38200,0.28000,-8.51400,0.29800,-8.35900,0.50000,-8.41600,0.40400,-8.45400,0.32000,-8.68800,0.33700,-8.42200,0.38700,-8.40900,0.40700,-8.45000,0.34100,-8.10400,0.36500,-8.26400,0.39800,-7.92300,0.30600,0,-9999,-9999,-9999,29020120,25.38000,8.37000
-19.67500,-43.77500,BeloHorizonte,0,0.00010,425.00000,0.00020,932.00000,0.00030,1157.00000,0.00030,1295.00000,-8.39800,0.17200,-8.61200,0.26300,-8.62100,0.31600,-8.43700,0.25000,-8.55400,0.36500,-8.51100,0.28400,-8.46700,0.24500,-8.40400,0.36100,-9999.00000,-9999.00000,-10.03800,0.29400,-10.08700,0.19900,-9.97300,0.23900,-10.00400,0.25800,-9.92500,0.18100,-9.97600,0.28900,-10.14300,0.21000,-10.04900,0.21900,-10.11700,0.22700,-10.01100,0.20800,-8.32800,0.43700,-8.42000,0.33900,-8.42400,0.27700,-8.57900,0.25800,-8.40500,0.48600,-8.48900,0.38100,-8.51400,0.30300,-8.76100,0.32800,-8.55400,0.33400,-8.48400,0.39100,-8.55200,0.30600,-8.20900,0.34100,-8.34000,0.37500,-8.05600,0.26300,0,-9999,-9999,-9999,29020120,20.92000,7.15000
-19.67500,-43.72500,BeloHorizonte,0,0.00010,115.00000,0.00040,42.00000,0.00060,161.00000,0.00080,118.00000,-8.45700,0.19100,-8.65500,0.27800,-8.72300,0.31600,-8.52100,0.24200,-8.61200,0.36700,-8.59300,0.28100,-8.55500,0.25600,-8.50300,0.35900,-9999.00000,-9999.00000,-10.06100,0.31200,-10.12900,0.19100,-10.01700,0.21000,-10.01600,0.24400,-9.96000,0.19400,-10.01500,0.25200,-10.20600,0.20100,-10.09900,0.21400,-10.16900,0.20400,-10.06900,0.18700,-8.34100,0.40700,-8.46200,0.30300,-8.44200,0.28500,-8.59800,0.23900,-8.43800,0.44500,-8.50100,0.37000,-8.51900,0.26400,-8.79200,0.31200,-8.59200,0.31400,-8.50600,0.35800,-8.56800,0.29300,-8.22800,0.37400,-8.37500,0.36900,-8.10300,0.24900,0,-9999,-9999,-9999,29020120,18.85000,6.61000
