latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
6.57500,5.37500,BeninCity,0,0.00020,8058.00000,0.00100,7716.00000,0.00110,4588.00000,0.00140,5210.00000,-7.37900,0.12300,-7.32300,0.14000,-7.25400,0.14500,-7.57100,0.32000,-7.41400,0.15100,-7.49500,0.20700,-7.38200,0.05800,-7.48800,0.14000,-8.98100,0.28300,-9.00200,0.18400,-8.99000,0.24800,-8.92800,0.27800,-8.89300,0.23300,-8.85500,0.26600,-9.04500,0.31700,-8.96900,0.21600,-8.98300,0.17900,-8.88100,0.25500,-9.01400,0.22200,-7.36800,0.20700,-7.38700,0.22900,-7.44000,0.17600,-7.33100,0.21700,-7.36400,0.23100,-7.39100,0.20700,-7.36600,0.24500,-7.25400,0.13900,-7.30800,0.21500,-7.30500,0.25800,-7.27400,0.16000,-7.25200,0.28300,-7.14600,0.24200,-7.44300,0.33000,0,-9999,-9999,-9999,30575648,21.08000,8.20000
6.57500,5.42500,BeninCity,0,0.00000,0.00000,0.00000,15.00000,0.00010,58.00000,0.00040,169.00000,-7.34900,0.13500,-7.31000,0.14100,-7.24200,0.14100,-7.61800,0.54400,-7.38500,0.16200,-7.46700,0.20900,-7.36000,0.05800,-7.47000,0.15100,-9.03500,0.29100,-9.02100,0.18900,-9.00500,0.25800,-8.98000,0.29300,-8.96400,0.24300,-8.92400,0.27600,-9.09100,0.29400,-9.00200,0.22600,-9.01600,0.16500,-8.89100,0.24900,-9.02800,0.23200,-7.40100,0.20800,-7.40400,0.23200,-7.45100,0.18300,-7.36000,0.22700,-7.38700,0.24300,-7.39900,0.21300,-7.38800,0.23300,-7.26400,0.13100,-7.31400,0.20700,-7.32400,0.24700,-7.29500,0.17100,-7.29500,0.27000,-7.15900,0.25600,-7.47700,0.31300,0,-9999,-9999,-9999,30575648,22.39000,8.96000
6.57500,5.47500,BeninCity,0,0.00000,0.00000,0.00020,46.00000,0.00030,116.00000,0.00090,272.00000,-7.33400,0.13900,-7.29800,0.14200,-7.23300,0.13800,-7.61300,0.56700,-7.37300,0.16600,-7.45500,0.21100,-7.34700,0.05800,-7.46200,0.15400,-9.05400,0.31300,-9.03000,0.20300,-9.02500,0.27800,-9.01100,0.28700,-8.98600,0.24800,-8.95800,0.26600,-9.10500,0.30500,-9.00600,0.24300,-8.99800,0.16700,-8.90000,0.26900,-9.02000,0.21300,-7.39900,0.20000,-7.38000,0.22700,-7.43200,0.19800,-7.36100,0.23800,-7.38800,0.25300,-7.37400,0.21400,-7.38500,0.21200,-7.25100,0.13400,-7.29000,0.19500,-7.32900,0.24500,-7.29500,0.17700,-7.32000,0.28600,-7.16100,0.26300,-7.49600,0.29400,0,-9999,-9999,-9999,30575648,19.17000,6.98000
6.57500,5.52500,BeninCity,0,0.00000,54.00000,0.00140,542.00000,0.00140,556.00000,0.00260,763.00000,-7.30400,0.14600,-7.27400,0.14900,-7.21400,0.13200,-7.59400,0.57900,-7.34900,0.17200,-7.42600,0.21600,-7.32200,0.05800,-7.44600,0.16000,-9.03400,0.29800,-9.05700,0.21000,-9.03100,0.27400,-9.05100,0.25700,-8.98700,0.22300,-8.96500,0.25300,-9.11100,0.29700,-9.00400,0.24800,-8.96400,0.18200,-8.92800,0.26100,-9.01600,0.20200,-7.37700,0.19000,-7.36800,0.20100,-7.41600,0.20100,-7.34700,0.23500,-7.37800,0.25400,-7.33800,0.21000,-7.38000,0.19400,-7.23400,0.15600,-7.25400,0.18500,-7.32100,0.24900,-7.27200,0.17600,-7.34500,0.31000,-7.15200,0.25200,-7.50300,0.28100,0,-9999,-9999,-9999,30575648,17.80000,6.97000
6.57500,5.57500,BeninCity,0,0.00000,0.00000,0.00030,49.00000,0.00040,66.00000,0.00070,143.00000,-7.27800,0.14800,-7.24600,0.15100,-7.20000,0.12700,-7.58600,0.60500,-7.33600,0.17500,-7.40700,0.22000,-7.30300,0.05800,-7.43500,0.16100,-9.00600,0.23800,-9.06400,0.21500,-9.01600,0.24800,-9.05900,0.22100,-8.95000,0.20800,-8.94400,0.24400,-9.07100,0.30100,-8.98800,0.24700,-8.93100,0.22100,-8.94400,0.23600,-8.99800,0.21100,-7.34400,0.19100,-7.36400,0.17300,-7.39800,0.19100,-7.33500,0.22900,-7.36200,0.24900,-7.31400,0.20300,-7.37100,0.19500,-7.21900,0.17800,-7.22000,0.18000,-7.30500,0.24800,-7.24000,0.16900,-7.34400,0.32600,-7.14200,0.24700,-7.49800,0.27400,0,-9999,-9999,-9999,30575648,17.11000,6.65000
6.57500,5.62500,BeninCity,0,0.00030,35.00000,0.00210,230.00000,0.00240,704.00000,0.00390,959.00000,-7.26400,0.14900,-7.23200,0.15300,-7.19200,0.12500,-7.58800,0.64500,-7.33000,0.17600,-7.39700,0.22200,-7.29300,0.05800,-7.42800,0.16200,-8.95300,0.19600,-9.04400,0.22400,-8.97700,0.22100,-9.01700,0.18000,-8.89300,0.23200,-8.92100,0.22200,-9.02500,0.29200,-8.94800,0.26200,-8.90200,0.23000,-8.91300,0.23200,-8.95900,0.21800,-7.29800,0.20000,-7.34400,0.15100,-7.36100,0.17500,-7.30900,0.23200,-7.32500,0.24700,-7.28600,0.21100,-7.34800,0.21700,-7.20600,0.18800,-7.18900,0.18200,-7.28100,0.24600,-7.20000,0.17500,-7.31200,0.32000,-7.13400,0.24700,-7.48100,0.26700,0,-9999,-9999,-9999,30575648,18.22000,6.92000
6.57500,5.67500,BeninCity,0,0.00060,0.00000,0.00230,89.00000,0.00250,115.00000,0.00440,455.00000,-7.25800,0.14200,-7.20800,0.15600,-7.19500,0.10900,-7.73200,1.15600,-7.34200,0.17600,-7.40900,0.21000,-7.29700,0.06100,-7.43600,0.15900,-8.91900,0.20000,-9.00300,0.23900,-8.95100,0.21800,-8.94600,0.16800,-8.83700,0.25600,-8.88300,0.21400,-8.95600,0.28900,-8.90300,0.27700,-8.85900,0.25800,-8.86100,0.22600,-8.91100,0.21500,-7.24700,0.19900,-7.29700,0.14100,-7.31400,0.16200,-7.24800,0.24700,-7.25200,0.22900,-7.26000,0.22400,-7.30100,0.23800,-7.17800,0.19400,-7.16600,0.18400,-7.23900,0.25600,-7.15500,0.19200,-7.26500,0.30000,-7.11000,0.25700,-7.45200,0.25800,0,-9999,-9999,-9999,30575648,16.44000,6.56000
6.57500,5.72500,BeninCity,1,0.00010,0.00000,0.00180,572.00000,0.00190,709.00000,0.00460,1634.00000,-7.26800,0.13800,-7.20800,0.15800,-7.20200,0.10600,-7.61600,0.68800,-7.36200,0.17400,-7.42800,0.20200,-7.30700,0.06100,-7.44500,0.15900,-8.86200,0.21200,-8.93300,0.22200,-8.86500,0.21100,-8.84900,0.20000,-8.77100,0.26500,-8.83000,0.19600,-8.87300,0.28700,-8.85600,0.27500,-8.81000,0.25300,-8.76700,0.23200,-8.85200,0.21700,-7.21300,0.19500,-7.25700,0.14200,-7.26600,0.15800,-7.19900,0.25200,-7.21100,0.21400,-7.23300,0.21800,-7.26800,0.25500,-7.14100,0.19400,-7.15200,0.18900,-7.20900,0.26600,-7.12400,0.19000,-7.25100,0.28400,-7.09400,0.25700,-7.43500,0.26100,0,-9999,-9999,-9999,30575648,17.28000,6.57000
6.57500,5.77500,BeninCity,0,0.00000,0.00000,0.00020,187.00000,0.00020,183.00000,0.00100,537.00000,-7.28000,0.13300,-7.21000,0.16100,-7.21000,0.10200,-7.46900,0.09600,-7.38800,0.17100,-7.45100,0.19200,-7.32100,0.06100,-7.45600,0.15800,-8.81600,0.24700,-8.85600,0.19300,-8.79400,0.22700,-8.76700,0.22500,-8.71500,0.24400,-8.76200,0.18900,-8.80700,0.30500,-8.78800,0.24800,-8.76600,0.21300,-8.67300,0.25300,-8.78200,0.23200,-7.18100,0.18900,-7.22300,0.13800,-7.21900,0.15400,-7.16300,0.25100,-7.18400,0.20200,-7.19600,0.20100,-7.23200,0.25900,-7.10600,0.18700,-7.14200,0.19600,-7.19200,0.27100,-7.10200,0.17800,-7.19600,0.27700,-7.07300,0.25200,-7.42300,0.26500,0,-9999,-9999,-9999,30575648,16.13000,6.07000
6.57500,5.82500,BeninCity,0,0.00000,0.00000,0.00010,0.00000,0.00010,0.00000,0.00140,113.00000,-7.32700,0.12500,-7.23100,0.16300,-7.23000,0.10300,-7.51400,0.10000,-7.45300,0.16500,-7.48400,0.18300,-7.35700,0.05900,-7.47300,0.15600,-8.78100,0.27900,-8.80400,0.17600,-8.74900,0.23700,-8.70600,0.23900,-8.68100,0.21400,-8.69100,0.17800,-8.74300,0.33400,-8.73500,0.23100,-8.70400,0.19000,-8.60400,0.27900,-8.72100,0.22100,-7.14300,0.17900,-7.19600,0.13900,-7.18500,0.14600,-7.13300,0.23700,-7.16700,0.18300,-7.14600,0.17000,-7.19300,0.24300,-7.08000,0.18200,-7.12900,0.19800,-7.17400,0.27000,-7.08500,0.16200,-7.12900,0.28000,-7.04900,0.24600,-7.41000,0.25700,0,-9999,-9999,-9999,30575648,17.08000,6.36000
