latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-25.87500,28.07500,Benoni,2,0.08370,3404.00000,0.14350,6492.00000,0.22280,9553.00000,0.37710,15071.00000,-9.24600,0.37100,-9.54700,0.25200,-9.58100,0.20300,-9.13100,0.28900,-9.33000,0.49200,-9.32300,0.30500,-9.27400,0.26600,-9.04100,0.28100,-9999.00000,-9999.00000,-11.46900,0.35300,-11.88800,0.33300,-11.90700,0.20200,-11.59300,0.31400,-11.37900,0.44000,-11.41300,0.28900,-11.14700,0.33900,-11.53500,0.24500,-10.97200,0.51200,-10.96700,0.31100,-10.59300,0.43000,-9.85200,0.56000,-9.84100,0.46100,-9.69400,0.58200,-9.63700,0.55000,-9.98900,0.49800,-9.99500,0.47300,-9.17600,0.68900,-9.74800,0.42900,-9.36800,0.69000,-9.40400,0.57300,-9.22000,0.38900,-9.09000,0.46200,-9.02200,0.55300,0,-9999,-9999,-9999,27758400,4.92000,1.01000
-25.87500,28.12500,Benoni,3,0.18620,14983.00000,0.42320,28905.00000,0.58110,41977.00000,0.75560,64678.00000,-9.11500,0.38100,-9.41400,0.24200,-9.44700,0.22300,-9.02400,0.31200,-9.18400,0.47100,-9.16200,0.30200,-9.16100,0.28300,-8.87400,0.28000,-9999.00000,-9999.00000,-11.14700,0.32400,-11.53900,0.31900,-11.54800,0.20500,-11.26400,0.29600,-11.01500,0.42800,-11.05200,0.31400,-10.80500,0.32600,-11.18600,0.24200,-10.60600,0.50200,-10.57700,0.30400,-10.02000,0.43000,-9.34500,0.46100,-9.24200,0.44800,-9.13400,0.56400,-8.98300,0.49400,-9.23600,0.40900,-9.19800,0.45000,-8.57200,0.61500,-8.96100,0.33000,-8.68200,0.57900,-8.62500,0.50300,-8.50500,0.36700,-8.31000,0.47400,-8.26000,0.40200,0,-9999,-9999,-9999,27758400,4.94000,1.06000
-25.87500,28.17500,Benoni,3,0.16070,13472.00000,0.51510,26963.00000,0.68210,39759.00000,0.80610,61388.00000,-9.14500,0.39500,-9.39000,0.24400,-9.48800,0.22800,-9.06300,0.34800,-9.21700,0.45800,-9.18300,0.30100,-9.21600,0.29800,-8.86500,0.28400,-9999.00000,-9999.00000,-10.92800,0.29100,-11.32600,0.29200,-11.32100,0.21600,-11.08700,0.25300,-10.79500,0.40600,-10.82500,0.34500,-10.59500,0.31800,-11.00700,0.26100,-10.40700,0.46800,-10.35100,0.30500,-9.70900,0.39400,-9.14700,0.41700,-9.06000,0.42300,-8.88100,0.55800,-8.77000,0.47000,-8.97900,0.36100,-8.94800,0.36400,-8.38600,0.56300,-8.71300,0.30800,-8.42100,0.52800,-8.36700,0.47000,-8.35600,0.35700,-8.12000,0.44200,-8.06800,0.37400,0,-9999,-9999,-9999,27758400,5.59000,1.15000
-25.87500,28.22500,Benoni,2,0.06810,5923.00000,0.34190,11437.00000,0.43110,17149.00000,0.57890,26423.00000,-9.16700,0.40600,-9.37300,0.24500,-9.51900,0.23200,-9.09200,0.37600,-9.24200,0.44900,-9.19900,0.30100,-9.25800,0.30900,-8.85800,0.28600,-9999.00000,-9999.00000,-10.91300,0.27700,-11.32500,0.27100,-11.31800,0.23600,-11.13300,0.22100,-10.79900,0.39100,-10.82000,0.34200,-10.60700,0.31800,-11.08400,0.31300,-10.43800,0.43800,-10.38600,0.30400,-9.88200,0.47100,-9.27800,0.47300,-9.20200,0.41900,-8.94900,0.55400,-8.85800,0.50700,-9.03900,0.38200,-9.06300,0.38200,-8.47500,0.57100,-8.80100,0.31400,-8.53300,0.57300,-8.44300,0.50300,-8.44300,0.37900,-8.18700,0.46500,-8.17000,0.38500,0,-9999,-9999,-9999,27758400,6.05000,1.22000
-25.87500,28.27500,Benoni,1,0.02190,859.00000,0.10500,1806.00000,0.16110,2760.00000,0.21430,4331.00000,-9.37400,0.41900,-9.58200,0.28400,-9.81000,0.22600,-9.30500,0.44400,-9.49600,0.45800,-9.46000,0.31200,-9.54700,0.33600,-9.04500,0.31200,-9999.00000,-9999.00000,-11.08400,0.27900,-11.53000,0.25800,-11.51100,0.25200,-11.37000,0.21300,-11.00100,0.38400,-11.01200,0.33400,-10.81700,0.31500,-11.36600,0.37500,-10.66100,0.40400,-10.63400,0.30400,-10.34800,0.48300,-9.63400,0.53300,-9.59200,0.46000,-9.32600,0.53300,-9.31300,0.58100,-9.50900,0.43100,-9.53700,0.45600,-8.94700,0.57700,-9.32000,0.36600,-9.05900,0.69400,-8.96700,0.59200,-9.04600,0.45200,-8.72400,0.48600,-8.74900,0.42800,0,-9999,-9999,-9999,27758400,5.02000,1.12000
-25.87500,28.32500,Benoni,1,0.00190,400.00000,0.02240,878.00000,0.06740,1245.00000,0.17600,2123.00000,-9.44100,0.42200,-9.65200,0.29700,-9.90500,0.22500,-9.37200,0.46400,-9.57900,0.46100,-9.54600,0.31500,-9.64100,0.34500,-9.10800,0.32000,-9999.00000,-9999.00000,-11.42300,0.28900,-11.91500,0.26400,-11.92400,0.28300,-11.79700,0.24200,-11.41200,0.40300,-11.39800,0.30100,-11.23300,0.32600,-11.85800,0.41700,-11.10200,0.38500,-11.10600,0.29900,-11.06400,0.43800,-10.25600,0.56300,-10.15500,0.46300,-10.05500,0.52100,-10.05500,0.66400,-10.31600,0.47100,-10.32900,0.45200,-9.74400,0.62700,-10.20200,0.44900,-9.94600,0.74500,-9.78200,0.56200,-9.96000,0.45100,-9.73600,0.48400,-9.64800,0.43900,0,-9999,-9999,-9999,27758400,5.28000,1.12000
-25.87500,28.37500,Benoni,1,0.00100,484.00000,0.00920,917.00000,0.02550,1327.00000,0.08220,2034.00000,-9.85100,0.42500,-10.12700,0.38500,-10.50300,0.24100,-9.74100,0.52100,-10.08600,0.49200,-10.09200,0.33200,-10.22300,0.39500,-9.54400,0.35200,-9999.00000,-9999.00000,-11.87200,0.29600,-12.44500,0.28400,-12.47400,0.33700,-12.35400,0.30500,-11.96200,0.42200,-11.94200,0.29100,-11.81700,0.33700,-12.52600,0.45700,-11.69800,0.39800,-11.75300,0.29400,-11.78700,0.43800,-10.81000,0.60500,-10.77400,0.49900,-10.80800,0.53700,-10.67600,0.67200,-11.01400,0.47200,-11.09800,0.46100,-10.44500,0.64600,-10.96300,0.46900,-10.70600,0.74200,-10.47800,0.59900,-10.62500,0.50900,-10.48400,0.56500,-10.33100,0.36700,0,-9999,-9999,-9999,27758400,4.87000,1.05000
-25.87500,28.42500,Benoni,1,0.00230,323.00000,0.01930,500.00000,0.03120,692.00000,0.09240,1221.00000,-9.99500,0.42700,-10.27500,0.41100,-10.69200,0.25200,-9.85500,0.52400,-10.25200,0.50500,-10.27700,0.33400,-10.41700,0.41400,-9.69300,0.36000,-9999.00000,-9999.00000,-12.25400,0.29100,-12.89300,0.30600,-12.93600,0.37200,-12.81200,0.34200,-12.43100,0.44400,-12.43000,0.28000,-12.32600,0.36800,-13.08000,0.47500,-12.19200,0.41100,-12.27400,0.29500,-12.37400,0.51300,-11.18400,0.62100,-11.26200,0.53900,-11.38800,0.58900,-11.20100,0.62900,-11.61600,0.49900,-11.61000,0.52800,-10.97100,0.70100,-11.47100,0.46200,-11.19500,0.81600,-11.06600,0.64500,-11.16600,0.47800,-10.96300,0.54900,-10.79000,0.41000,0,-9999,-9999,-9999,27758400,5.64000,1.13000
-25.87500,28.47500,Benoni,1,0.00270,82.00000,0.01460,195.00000,0.02340,298.00000,0.04970,472.00000,-10.39500,0.43500,-10.68100,0.48100,-11.21300,0.28200,-10.17100,0.53300,-10.71000,0.54200,-10.78700,0.34100,-10.95200,0.46600,-10.10500,0.38100,-9999.00000,-9999.00000,-12.53400,0.29800,-13.24400,0.32200,-13.27200,0.39800,-13.12900,0.34900,-12.77500,0.46500,-12.81000,0.28100,-12.70800,0.41200,-13.52100,0.48200,-12.57700,0.42500,-12.65700,0.28900,-12.73400,0.58200,-11.41200,0.62300,-11.50200,0.54400,-11.71800,0.50900,-11.58900,0.65800,-12.00400,0.52900,-12.03300,0.57300,-11.37400,0.71600,-11.86600,0.48000,-11.76900,0.87800,-11.58000,0.65700,-11.69500,0.51000,-11.42800,0.56500,-11.23700,0.47100,0,-9999,-9999,-9999,27758400,5.21000,1.08000
-25.87500,28.52500,Benoni,1,0.00410,183.00000,0.01020,376.00000,0.01880,568.00000,0.04010,911.00000,-10.65500,0.43100,-10.92000,0.52000,-11.52900,0.30700,-10.35400,0.52700,-10.99800,0.58000,-11.12000,0.34800,-11.28200,0.50400,-10.36600,0.39500,-9999.00000,-9999.00000,-12.69700,0.28700,-13.49800,0.32100,-13.50100,0.41400,-13.33500,0.35000,-12.99000,0.48300,-13.08000,0.28300,-12.99000,0.43500,-13.84600,0.49500,-12.85000,0.44100,-12.93700,0.29900,-12.99500,0.58100,-11.50800,0.63200,-11.66700,0.51900,-11.87900,0.48800,-11.85000,0.70000,-12.32300,0.61500,-12.29300,0.58100,-11.61500,0.72600,-12.18900,0.46800,-12.07800,0.87200,-11.94200,0.68900,-12.07600,0.52100,-11.73500,0.54600,-11.59900,0.46300,0,-9999,-9999,-9999,27758400,4.57000,0.98000
