latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
41.57500,123.52500,Benxi,2,0.02060,16897.00000,0.09210,18034.00000,0.11510,19831.00000,0.16430,21138.00000,-9.04500,0.33100,-8.46500,0.27500,-8.60800,0.43200,-8.89400,0.54700,-9.27600,0.49200,-8.49000,0.22800,-8.87800,0.27900,-9.00300,0.33200,-10.61200,0.46000,-11.09100,0.37900,-10.28200,0.44600,-10.59800,0.64000,-10.08900,0.33600,-9.97000,0.33900,-9.88900,0.43900,-10.12300,0.28000,-9.87300,0.40700,-9.77800,0.60100,-9.95200,0.42400,-8.77800,0.48900,-8.88700,0.36000,-9.19300,0.42400,-8.29500,0.36600,-8.70900,0.42600,-8.11600,0.62300,-8.34800,0.36700,-9.21600,0.35600,-8.99500,0.61400,-8.36600,0.52700,-8.74300,0.42900,-8.41600,0.65300,-8.37500,0.51100,-8.20900,0.63700,0,0.02900,5.18140,2.33850,23156992,9.66000,3.70000
41.57500,123.57500,Benxi,1,0.00510,4124.00000,0.03620,5064.00000,0.05660,6248.00000,0.10610,9071.00000,-8.96000,0.35600,-8.43200,0.27500,-8.56600,0.44800,-8.80200,0.52400,-9.18000,0.46800,-8.39500,0.19900,-8.78800,0.24300,-8.94700,0.36900,-10.57700,0.48800,-11.11900,0.41800,-10.34900,0.46600,-10.66800,0.69800,-10.18400,0.35900,-10.06600,0.37000,-9.96300,0.48000,-10.21700,0.29800,-9.99100,0.41200,-9.92200,0.62800,-10.14400,0.43900,-8.76300,0.50400,-8.86200,0.34000,-9.17900,0.41800,-8.28500,0.34200,-8.72000,0.41600,-8.14600,0.59400,-8.34600,0.36100,-9.22600,0.35400,-8.98900,0.62400,-8.38800,0.51300,-8.75900,0.42600,-8.45000,0.61400,-8.41700,0.48300,-8.21600,0.61900,0,0.01650,5.21160,1.00770,23156992,5.74000,3.22000
41.57500,123.62500,Benxi,1,0.00240,1061.00000,0.01830,3949.00000,0.02790,5293.00000,0.05550,7202.00000,-8.93100,0.35700,-8.41800,0.27600,-8.54600,0.45200,-8.77500,0.52000,-9.15300,0.46800,-8.35900,0.19700,-8.76400,0.23900,-8.92500,0.37800,-10.59500,0.51200,-11.17500,0.45400,-10.46300,0.48500,-10.75300,0.71800,-10.31600,0.36500,-10.21900,0.38600,-10.10400,0.50500,-10.35700,0.33000,-10.15600,0.41100,-10.12400,0.64000,-10.38300,0.45700,-8.76300,0.51100,-8.85500,0.32400,-9.18800,0.39700,-8.32700,0.31600,-8.78200,0.39300,-8.27600,0.53700,-8.40200,0.32900,-9.25400,0.34600,-9.02100,0.61900,-8.43200,0.51600,-8.79500,0.43200,-8.53800,0.57600,-8.50800,0.47800,-8.27900,0.58500,0,0.01540,5.11230,0.92270,23156992,7.10000,3.83000
41.57500,123.67500,Benxi,1,0.00130,1180.00000,0.01790,2810.00000,0.02610,3422.00000,0.04020,4608.00000,-8.89000,0.38800,-8.42600,0.28900,-8.52900,0.46600,-8.74900,0.50000,-9.10200,0.44400,-8.34400,0.18800,-8.70500,0.25800,-8.92100,0.39500,-10.66500,0.52600,-11.25500,0.47800,-10.59700,0.49900,-10.84600,0.71300,-10.45700,0.37600,-10.38300,0.39000,-10.25700,0.50300,-10.50200,0.35400,-10.31900,0.41600,-10.33000,0.65100,-10.60400,0.45100,-8.78300,0.50800,-8.86600,0.30900,-9.21500,0.34900,-8.40000,0.29400,-8.86200,0.38600,-8.46800,0.44500,-8.51100,0.28900,-9.29300,0.33400,-9.08700,0.61200,-8.50800,0.51000,-8.84100,0.43000,-8.65200,0.51100,-8.63300,0.46600,-8.42100,0.54600,0,0.00920,3.74680,0.58480,23156992,13.38000,5.06000
41.57500,123.72500,Benxi,1,0.00030,321.00000,0.01130,2432.00000,0.01440,2674.00000,0.01820,2882.00000,-8.87000,0.40000,-8.42800,0.29700,-8.51800,0.47400,-8.73500,0.49300,-9.08200,0.43800,-8.33100,0.18700,-8.68100,0.26700,-8.91800,0.40600,-10.74400,0.54300,-11.32100,0.50100,-10.71000,0.50900,-10.93600,0.68400,-10.59100,0.39300,-10.52800,0.39900,-10.39400,0.50300,-10.60300,0.37200,-10.45200,0.43100,-10.49900,0.65400,-10.78800,0.41600,-8.79300,0.50300,-8.88300,0.29900,-9.23300,0.32000,-8.46400,0.29300,-8.90500,0.39500,-8.57100,0.39400,-8.58400,0.26900,-9.32000,0.33300,-9.16200,0.58800,-8.57400,0.49300,-8.88100,0.42000,-8.71000,0.46800,-8.70200,0.45100,-8.54300,0.51800,0,0.00480,2.27340,0.23270,23156992,25.27000,6.74000
41.57500,123.77500,Benxi,1,0.00080,2288.00000,0.00670,3323.00000,0.00740,3231.00000,0.01000,2924.00000,-8.86100,0.41500,-8.44500,0.31300,-8.51800,0.48200,-8.74900,0.49000,-9.06000,0.41600,-8.36500,0.19400,-8.65100,0.31200,-8.92600,0.40400,-10.80300,0.54500,-11.34000,0.49400,-10.79200,0.50800,-10.98000,0.64300,-10.68200,0.39500,-10.62400,0.41500,-10.49500,0.50500,-10.66500,0.38900,-10.53100,0.44000,-10.59700,0.64300,-10.88500,0.40300,-8.78600,0.49800,-8.88600,0.31300,-9.21300,0.31100,-8.48900,0.30000,-8.91600,0.40300,-8.60200,0.38700,-8.61100,0.25600,-9.32200,0.34400,-9.19300,0.56000,-8.60700,0.47700,-8.89300,0.41700,-8.71600,0.45300,-8.70600,0.42700,-8.58800,0.50200,0,0.00760,3.20100,0.35730,23156992,15.00000,5.42000
41.57500,123.82500,Benxi,1,0.00060,1173.00000,0.00260,889.00000,0.00260,791.00000,0.00360,780.00000,-8.85800,0.42700,-8.46000,0.32600,-8.52100,0.48900,-8.76300,0.48800,-9.04400,0.39600,-8.40000,0.19900,-8.62900,0.34900,-8.93600,0.40100,-10.83500,0.54400,-11.29400,0.46900,-10.83300,0.50000,-10.97600,0.60200,-10.72700,0.39500,-10.66400,0.40900,-10.54900,0.50400,-10.68300,0.39200,-10.56000,0.44900,-10.63400,0.63100,-10.89600,0.39900,-8.74900,0.50000,-8.84200,0.33800,-9.14500,0.32200,-8.45000,0.30000,-8.89400,0.41500,-8.58200,0.36900,-8.60300,0.26100,-9.27200,0.34300,-9.13300,0.53900,-8.58600,0.44400,-8.86600,0.41100,-8.69200,0.45600,-8.66400,0.40700,-8.58500,0.48700,0,0.00260,1.18090,0.12050,23156992,25.52000,6.93000
41.57500,123.87500,Benxi,0,0.00020,1498.00000,0.00220,1154.00000,0.00270,1179.00000,0.00360,1101.00000,-8.84700,0.43400,-8.46200,0.33800,-8.51800,0.49200,-8.77300,0.48900,-9.02100,0.38300,-8.43300,0.21200,-8.61000,0.38300,-8.92500,0.39600,-10.83700,0.54100,-11.20900,0.44600,-10.82600,0.49400,-10.93700,0.56900,-10.73700,0.40700,-10.67100,0.39400,-10.55700,0.49400,-10.65200,0.36900,-10.54700,0.45700,-10.61800,0.61800,-10.86300,0.38800,-8.65800,0.49600,-8.76200,0.36600,-9.01600,0.33000,-8.36700,0.30400,-8.82600,0.42000,-8.50800,0.35400,-8.55900,0.27000,-9.16000,0.34600,-8.99300,0.51100,-8.51300,0.40000,-8.80600,0.39500,-8.63500,0.45900,-8.56100,0.39700,-8.53500,0.46800,0,0.00190,0.60880,0.08800,23156992,25.98000,7.36000
41.57500,123.92500,Benxi,0,0.00060,1.00000,0.00360,1.00000,0.00470,28.00000,0.00610,20.00000,-8.83100,0.44400,-8.46600,0.35700,-8.51400,0.49700,-8.78800,0.49100,-8.98600,0.36200,-8.48400,0.23200,-8.58000,0.43700,-8.90800,0.38700,-10.81200,0.52600,-11.11500,0.43200,-10.78200,0.49500,-10.87800,0.54500,-10.71200,0.42600,-10.64600,0.38000,-10.53500,0.47700,-10.59800,0.33600,-10.51200,0.45600,-10.56400,0.60200,-10.80500,0.38100,-8.52100,0.48300,-8.65300,0.39100,-8.86100,0.33200,-8.24100,0.31700,-8.70900,0.41000,-8.39600,0.35300,-8.47700,0.28000,-9.00200,0.36900,-8.82300,0.48200,-8.41400,0.35400,-8.71900,0.37500,-8.54900,0.45200,-8.42800,0.38600,-8.45000,0.44800,0,0.00050,0.30450,0.02020,23156992,37.28000,8.23000
41.57500,123.97500,Benxi,0,0.00030,170.00000,0.00130,199.00000,0.00220,262.00000,0.00320,275.00000,-8.81900,0.44300,-8.46200,0.36300,-8.50700,0.49900,-8.79000,0.49400,-8.97000,0.35900,-8.49500,0.23800,-8.57000,0.45500,-8.89000,0.38400,-10.76400,0.50400,-11.01100,0.43000,-10.71700,0.49200,-10.80900,0.53100,-10.67500,0.43500,-10.59500,0.35800,-10.48900,0.46800,-10.54500,0.30900,-10.46200,0.44600,-10.50000,0.58800,-10.73600,0.38500,-8.36100,0.44700,-8.53800,0.38500,-8.70500,0.32000,-8.09600,0.31900,-8.55300,0.38200,-8.28300,0.36100,-8.35100,0.30600,-8.81600,0.39700,-8.66500,0.46900,-8.31100,0.32400,-8.61000,0.36100,-8.44700,0.44000,-8.32000,0.38700,-8.34000,0.42100,0,0.00200,1.03180,0.09820,23156992,34.41000,8.14000
