latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
52.77500,13.17500,Berlin,1,0.02150,639.00000,0.02950,784.00000,0.03140,898.00000,0.03600,836.00000,-9.45300,1.05800,-10.47000,1.64600,-10.08800,0.40300,-9.92200,0.47100,-9.79900,0.50000,-9.64600,0.32700,-9.93100,0.33200,-9.65400,0.33100,-12.59700,0.27500,-12.20400,0.32000,-11.94700,0.33200,-11.90100,0.24900,-12.58700,0.24900,-11.85900,0.28600,-11.85700,0.26300,-12.14800,0.28400,-11.84500,0.26300,-12.04200,0.25000,-12.35000,0.31300,-9.64100,0.33600,-9.92700,0.27000,-9.98300,0.29900,-9.55000,0.33400,-9.33600,0.33200,-9.60200,0.37500,-9.43900,0.27300,-9.49600,0.27300,-9.58500,0.27600,-9.55300,0.31400,-9.12200,0.27100,-9.69700,0.42300,-9.58400,0.43100,-9.48700,0.40400,0,0.00690,2.69760,0.36770,18774868,31.76000,5.75000
52.77500,13.22500,Berlin,1,0.14400,9426.00000,0.18310,10235.00000,0.19130,10548.00000,0.20440,10830.00000,-9.38000,1.09000,-10.40600,1.57800,-9.99300,0.39200,-9.79100,0.47300,-9.69500,0.47900,-9.53900,0.31900,-9.80500,0.32200,-9.50800,0.29500,-12.45600,0.28000,-12.08900,0.31800,-11.81900,0.33900,-11.78000,0.25400,-12.43600,0.24500,-11.72600,0.28700,-11.72900,0.27000,-12.01800,0.27700,-11.72300,0.26200,-11.90300,0.24700,-12.19400,0.30500,-9.55300,0.30400,-9.81100,0.25600,-9.83800,0.28500,-9.45700,0.32700,-9.24400,0.32200,-9.48800,0.34200,-9.35700,0.26600,-9.36200,0.27000,-9.47600,0.25100,-9.40600,0.30100,-9.03800,0.27500,-9.52900,0.40400,-9.42700,0.39500,-9.29600,0.36600,0,0.03370,4.80300,2.54190,18774868,28.64000,6.06000
52.77500,13.27500,Berlin,1,0.12870,7828.00000,0.16400,8301.00000,0.17320,9126.00000,0.18430,8834.00000,-9.33300,1.10100,-10.39000,1.62500,-9.92200,0.38800,-9.70800,0.48000,-9.61600,0.47400,-9.46200,0.31700,-9.71800,0.31900,-9.42900,0.28500,-12.35100,0.28700,-12.01600,0.31500,-11.72000,0.35500,-11.69500,0.27100,-12.31500,0.24300,-11.62400,0.28100,-11.62900,0.27700,-11.91700,0.27100,-11.62600,0.27000,-11.80100,0.24500,-12.06300,0.30300,-9.53000,0.25500,-9.74800,0.25400,-9.75900,0.27300,-9.44000,0.33600,-9.22500,0.31700,-9.45300,0.30000,-9.36200,0.25800,-9.29900,0.27200,-9.43900,0.23700,-9.33300,0.30000,-9.02700,0.28300,-9.43600,0.38700,-9.32300,0.35100,-9.16500,0.32900,0,0.02840,5.20190,2.08710,18774868,34.01000,6.10000
52.77500,13.32500,Berlin,1,0.01850,772.00000,0.03160,1194.00000,0.03760,1544.00000,0.05250,1982.00000,-9.68200,1.89300,-10.20000,1.06000,-9.83400,0.38400,-9.42800,0.67800,-9.54300,0.39600,-9.33900,0.28800,-9.52500,0.29200,-9.29800,0.17900,-12.29200,0.27500,-11.99800,0.33800,-11.66500,0.36800,-11.67000,0.28000,-12.22100,0.25600,-11.58700,0.28500,-11.56800,0.28000,-11.86600,0.27300,-11.57400,0.26900,-11.72500,0.26500,-11.95500,0.28900,-9.72000,0.27700,-9.96200,0.32700,-10.02500,0.33200,-9.63500,0.38200,-9.44400,0.35500,-9.71000,0.32800,-9.64600,0.25300,-9.59600,0.31500,-9.74800,0.29200,-9.63800,0.36900,-9.30600,0.31200,-9.77900,0.45800,-9.58400,0.44900,-9.45000,0.38700,0,0.00960,3.23000,0.57160,18774868,37.91000,5.25000
52.77500,13.37500,Berlin,1,0.02160,1334.00000,0.03150,1628.00000,0.03440,1771.00000,0.04930,2573.00000,-9.62500,1.90000,-10.18000,1.10000,-9.76300,0.38100,-9.35800,0.67300,-9.46800,0.39100,-9.26400,0.28500,-9.43900,0.29000,-9.21600,0.17900,-12.35900,0.26300,-12.09300,0.35200,-11.73100,0.36800,-11.74800,0.28600,-12.27400,0.26800,-11.67800,0.28300,-11.63000,0.28300,-11.94700,0.26700,-11.64800,0.26900,-11.80800,0.28400,-11.99600,0.27800,-9.76500,0.26800,-10.03400,0.31200,-10.06900,0.32700,-9.70900,0.35300,-9.50600,0.35200,-9.77200,0.35000,-9.72700,0.24800,-9.68000,0.31500,-9.84900,0.29500,-9.69100,0.35000,-9.41200,0.30500,-9.88700,0.44900,-9.65000,0.42000,-9.53500,0.39300,0,0.01240,3.97550,0.65930,18774868,24.67000,4.98000
52.77500,13.42500,Berlin,1,0.00860,869.00000,0.01400,925.00000,0.01610,983.00000,0.01950,1097.00000,-9.55800,1.69100,-10.15600,1.06000,-9.72900,0.37600,-9.33700,0.64700,-9.44000,0.37700,-9.22500,0.27900,-9.37400,0.29600,-9.17300,0.20700,-12.37700,0.25800,-12.13100,0.35900,-11.75100,0.37000,-11.77900,0.28800,-12.28500,0.27500,-11.70500,0.28000,-11.64900,0.28000,-11.97300,0.26200,-11.67600,0.26400,-11.83300,0.29000,-11.99300,0.27100,-9.76600,0.26400,-10.04700,0.30200,-10.05700,0.32000,-9.71700,0.33900,-9.50800,0.34700,-9.78500,0.35400,-9.74400,0.24700,-9.69300,0.30200,-9.87800,0.28900,-9.68800,0.33500,-9.43900,0.29900,-9.91200,0.44200,-9.64500,0.39700,-9.55000,0.39200,0,0.01320,4.23430,0.72520,18774868,20.94000,5.30000
52.77500,13.47500,Berlin,1,0.05830,5145.00000,0.09620,5040.00000,0.10370,5295.00000,0.11930,5614.00000,-9.46600,1.06700,-10.12200,0.85500,-9.76400,0.36900,-9.41400,0.58500,-9.50600,0.35000,-9.26000,0.26700,-9.35200,0.31700,-9.20900,0.29000,-12.43400,0.25500,-12.21800,0.37100,-11.82100,0.37000,-11.85500,0.28800,-12.34100,0.28800,-11.77700,0.27900,-11.71900,0.26900,-12.04200,0.24900,-11.76200,0.24800,-11.89400,0.28900,-12.02000,0.26600,-9.74100,0.27400,-10.03500,0.28000,-9.99600,0.31300,-9.70700,0.31800,-9.46900,0.34000,-9.77600,0.35300,-9.72700,0.23400,-9.68400,0.27400,-9.87700,0.26600,-9.66800,0.31100,-9.43800,0.28600,-9.91600,0.42900,-9.62300,0.35900,-9.55300,0.39000,0,0.02510,5.12220,1.45290,18774868,33.98000,6.00000
52.77500,13.52500,Berlin,1,0.00660,487.00000,0.01470,565.00000,0.01640,667.00000,0.02170,903.00000,-9.40300,1.04700,-10.09700,0.87700,-9.70000,0.36600,-9.35500,0.58300,-9.44100,0.34400,-9.19400,0.26600,-9.27300,0.31900,-9.13400,0.29200,-12.61400,0.24800,-12.42300,0.39300,-12.00900,0.38000,-12.04800,0.29500,-12.53800,0.29300,-11.98100,0.28500,-11.91700,0.29000,-12.21600,0.23400,-11.97600,0.23200,-12.10100,0.27900,-12.17500,0.27700,-9.71500,0.29700,-9.97000,0.28500,-9.80900,0.29500,-9.61900,0.31200,-9.37800,0.30600,-9.72300,0.37000,-9.67600,0.22300,-9.62100,0.26000,-9.78100,0.20300,-9.63800,0.29400,-9.37500,0.30000,-9.86100,0.40900,-9.59700,0.34100,-9.48900,0.37400,0,0.00400,4.13180,0.22460,18774868,46.27000,5.87000
52.77500,13.57500,Berlin,1,0.00680,698.00000,0.01790,972.00000,0.02000,1093.00000,0.02340,1482.00000,-9.50500,0.71700,-10.12600,0.73400,-9.82100,0.35400,-9.54000,0.52900,-9.59400,0.34400,-9.35600,0.27500,-9.38300,0.37000,-9.27700,0.40800,-12.64500,0.24400,-12.44000,0.39000,-12.03900,0.38600,-12.06300,0.29600,-12.54300,0.27700,-12.00200,0.28600,-11.96400,0.28800,-12.23500,0.23500,-12.01800,0.24600,-12.13600,0.27900,-12.17800,0.27500,-9.69700,0.30200,-9.94100,0.28300,-9.75100,0.30800,-9.58400,0.32000,-9.34900,0.30400,-9.69000,0.37000,-9.65300,0.21800,-9.60300,0.25700,-9.73300,0.19100,-9.61600,0.29500,-9.34600,0.30600,-9.82600,0.41300,-9.56900,0.33000,-9.46700,0.36900,0,0.00450,2.88740,0.25450,18774868,48.19000,5.92000
52.77500,13.62500,Berlin,1,0.02610,2240.00000,0.03790,2479.00000,0.04030,2711.00000,0.04360,2808.00000,-9.54000,0.57400,-10.12800,0.67000,-9.85200,0.34800,-9.60400,0.50600,-9.64300,0.34300,-9.40900,0.27900,-9.40200,0.39800,-9.31400,0.46800,-12.66300,0.23400,-12.45100,0.38900,-12.06200,0.38900,-12.07800,0.29700,-12.54600,0.26800,-12.01600,0.28800,-11.99700,0.28400,-12.24900,0.23800,-12.04400,0.25700,-12.16800,0.28000,-12.17900,0.27300,-9.69500,0.30500,-9.93500,0.28500,-9.73200,0.31900,-9.57200,0.32400,-9.34700,0.30400,-9.68500,0.37100,-9.64500,0.22000,-9.60600,0.25500,-9.72000,0.19000,-9.61800,0.30100,-9.34200,0.31000,-9.82100,0.42000,-9.57600,0.33000,-9.46900,0.36300,0,0.01000,2.93320,0.53400,18774868,43.19000,6.06000
