latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
21.47500,81.17500,Bhilai,0,0.00000,0.00000,0.00000,0.00000,0.00020,317.00000,0.00040,541.00000,-8.65600,0.89400,-8.68600,0.67400,-8.88600,0.75400,-9.27100,1.38400,-8.74800,0.78500,-8.52100,0.75200,-8.25400,0.80600,-8.76100,0.70100,-11.17500,0.35000,-12.00800,0.65300,-11.62200,0.65600,-11.85900,0.81400,-11.29100,0.50700,-11.70400,0.57700,-11.47700,0.45100,-11.40700,0.76100,-11.35400,0.46900,-11.71600,0.54900,-12.06700,0.53300,-8.10000,0.80300,-8.37600,0.65400,-9.13600,0.54600,-8.10500,0.57900,-7.91600,0.73500,-7.84200,0.63100,-7.97100,0.65300,-8.51100,0.85800,-8.57900,0.62900,-8.14700,0.64000,-8.58400,0.51200,-8.34600,0.86100,-8.25200,0.78100,-8.42600,0.90000,0,-9999.00000,-9999.00000,-9999.00000,28687814,9.24000,4.51000
21.47500,81.22500,Bhilai,0,0.00010,0.00000,0.00020,0.00000,0.00040,0.00000,0.00050,6.00000,-8.75500,0.99800,-8.90700,0.78000,-9.04600,0.81000,-9.42900,1.42600,-8.83200,0.89500,-8.53300,0.79500,-8.41000,0.89800,-8.90900,0.68900,-11.22500,0.35700,-12.05800,0.61100,-11.61200,0.67800,-11.85600,0.79500,-11.32200,0.48800,-11.68700,0.59300,-11.47800,0.42500,-11.43400,0.81500,-11.37900,0.45600,-11.69400,0.54400,-12.04000,0.55000,-8.23800,0.79100,-8.45800,0.66900,-9.13000,0.57300,-8.19400,0.58100,-7.96400,0.71300,-7.88200,0.63900,-8.04200,0.65300,-8.58200,0.91200,-8.59700,0.61300,-8.20100,0.62700,-8.59700,0.48600,-8.32500,0.82200,-8.30400,0.75200,-8.46200,0.88700,0,-9999.00000,-9999.00000,-9999.00000,28687814,9.22000,4.64000
21.47500,81.27500,Bhilai,0,0.00000,187.00000,0.00020,337.00000,0.00020,392.00000,0.00230,1428.00000,-8.77300,1.02300,-8.94600,0.79800,-9.07000,0.81800,-9.45400,1.43400,-8.83100,0.91100,-8.52200,0.80100,-8.45100,0.91700,-8.94700,0.66400,-11.27600,0.35700,-12.07900,0.58100,-11.58200,0.68600,-11.85300,0.79000,-11.34200,0.47500,-11.65300,0.62000,-11.45700,0.39500,-11.45200,0.82500,-11.40300,0.43700,-11.67500,0.51600,-12.02700,0.55800,-8.38000,0.79900,-8.52100,0.70200,-9.14700,0.59400,-8.34000,0.63200,-8.02600,0.71700,-7.94400,0.66600,-8.09600,0.67500,-8.61000,0.94100,-8.61900,0.60000,-8.26700,0.63000,-8.61900,0.46200,-8.28800,0.78400,-8.37100,0.75100,-8.49700,0.87000,0,-9999.00000,-9999.00000,-9999.00000,28687814,8.23000,3.92000
21.47500,81.32500,Bhilai,0,0.00180,1922.00000,0.00440,3665.00000,0.00520,3868.00000,0.00830,4601.00000,-8.80800,1.06800,-9.02100,0.82800,-9.11600,0.83000,-9.49600,1.44300,-8.82500,0.93700,-8.49900,0.80900,-8.52700,0.95000,-9.02000,0.61700,-11.32300,0.35200,-12.09200,0.56100,-11.55600,0.67600,-11.84500,0.77900,-11.32300,0.48700,-11.59200,0.64800,-11.44000,0.39600,-11.45700,0.82200,-11.41900,0.43300,-11.64900,0.48200,-12.01300,0.57500,-8.50800,0.83600,-8.56900,0.72100,-9.17700,0.59200,-8.50600,0.75400,-8.10100,0.72600,-8.05800,0.68500,-8.18000,0.72700,-8.64000,0.94700,-8.63000,0.58900,-8.35300,0.64100,-8.64800,0.46000,-8.27800,0.76000,-8.45000,0.77700,-8.51300,0.84300,0,-9999.00000,-9999.00000,-9999.00000,28687814,8.48000,4.35000
21.47500,81.37500,Bhilai,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,91.00000,-8.80800,1.06900,-9.03500,0.82600,-9.10900,0.81600,-9.47000,1.40400,-8.80200,0.91700,-8.48400,0.80100,-8.57200,0.93300,-9.05700,0.56100,-11.38300,0.34000,-12.07200,0.54600,-11.54700,0.65000,-11.83300,0.79500,-11.28900,0.50400,-11.51400,0.67000,-11.41500,0.41700,-11.45100,0.79000,-11.42000,0.43400,-11.62500,0.43500,-11.98300,0.59600,-8.60400,0.85600,-8.61400,0.71300,-9.22600,0.58900,-8.62800,0.84600,-8.18700,0.74800,-8.20600,0.71400,-8.27300,0.76600,-8.66600,0.93700,-8.65100,0.57200,-8.44400,0.64000,-8.68400,0.46200,-8.33300,0.73500,-8.52000,0.81100,-8.51600,0.79900,0,-9999.00000,-9999.00000,-9999.00000,28687814,8.22000,4.77000
21.47500,81.42500,Bhilai,0,0.00000,0.00000,0.00000,74.00000,0.00000,312.00000,0.00010,720.00000,-8.80600,1.06700,-9.03900,0.82000,-9.10300,0.80500,-9.45700,1.38300,-8.78900,0.90300,-8.47700,0.79400,-8.59900,0.92100,-9.07800,0.52500,-11.42200,0.35800,-12.04000,0.54100,-11.53000,0.64000,-11.80900,0.81200,-11.23400,0.52300,-11.42200,0.68500,-11.37300,0.45500,-11.41800,0.76400,-11.40700,0.44900,-11.59900,0.39900,-11.95100,0.62000,-8.66400,0.86500,-8.67000,0.69100,-9.27700,0.57100,-8.68400,0.87700,-8.27900,0.78800,-8.31700,0.74100,-8.32100,0.76300,-8.67700,0.92100,-8.69600,0.56200,-8.49100,0.63000,-8.72800,0.45700,-8.40100,0.70100,-8.55000,0.81900,-8.52800,0.75200,0,-9999.00000,-9999.00000,-9999.00000,28687814,6.10000,4.22000
21.47500,81.47500,Bhilai,0,0.00000,0.00000,0.00020,368.00000,0.00020,355.00000,0.00040,241.00000,-8.79800,1.03600,-9.02200,0.78500,-9.07300,0.75100,-9.36500,1.24200,-8.75200,0.82700,-8.49600,0.75200,-8.62900,0.86300,-9.11600,0.46000,-11.44500,0.38700,-11.99500,0.53400,-11.50000,0.65100,-11.74300,0.82700,-11.15200,0.50700,-11.34600,0.71800,-11.30500,0.47600,-11.35600,0.75200,-11.36500,0.47100,-11.56300,0.38200,-11.89800,0.64200,-8.67300,0.86300,-8.70300,0.67400,-9.29200,0.57400,-8.68000,0.88200,-8.31200,0.82200,-8.36600,0.76000,-8.33800,0.75800,-8.65600,0.90500,-8.72400,0.57800,-8.48500,0.64700,-8.76600,0.45600,-8.40000,0.67000,-8.53700,0.85100,-8.51200,0.74300,0,-9999.00000,-9999.00000,-9999.00000,28687814,6.90000,4.07000
21.47500,81.52500,Bhilai,0,0.00000,182.00000,0.00010,363.00000,0.00020,246.00000,0.00030,190.00000,-8.79400,1.02300,-9.01300,0.76900,-9.06500,0.73800,-9.35200,1.22100,-8.74900,0.80700,-8.50600,0.73700,-8.63300,0.84800,-9.12300,0.44700,-11.42500,0.42300,-11.93500,0.54000,-11.48200,0.66700,-11.65000,0.83600,-11.06300,0.47400,-11.27900,0.75500,-11.24100,0.49300,-11.28600,0.73700,-11.27300,0.49900,-11.51600,0.39400,-11.79400,0.66600,-8.62300,0.88300,-8.64300,0.68600,-9.22000,0.62300,-8.61900,0.88100,-8.27600,0.86900,-8.35900,0.79500,-8.31100,0.77500,-8.62400,0.90800,-8.70600,0.60400,-8.42500,0.64400,-8.77700,0.47900,-8.31300,0.65200,-8.45600,0.87200,-8.42600,0.78200,0,-9999.00000,-9999.00000,-9999.00000,28687814,7.60000,5.03000
21.47500,81.57500,Bhilai,0,0.00000,0.00000,0.00000,149.00000,0.00000,152.00000,0.00010,132.00000,-8.77800,0.98100,-8.99700,0.70700,-9.03600,0.71100,-9.27300,1.12100,-8.74300,0.73500,-8.55200,0.68300,-8.64700,0.79700,-9.16300,0.41700,-11.40600,0.43400,-11.88200,0.56200,-11.44700,0.68800,-11.56700,0.84300,-11.03500,0.43800,-11.24700,0.76900,-11.20100,0.51000,-11.23100,0.72900,-11.19600,0.51900,-11.47100,0.41000,-11.70600,0.68100,-8.56000,0.90400,-8.51900,0.71600,-9.11500,0.70200,-8.49400,0.87200,-8.22200,0.90700,-8.27300,0.83500,-8.23300,0.79000,-8.59900,0.93900,-8.64700,0.66200,-8.32400,0.65500,-8.76500,0.49500,-8.21400,0.65500,-8.36200,0.81500,-8.38900,0.80800,0,-9999.00000,-9999.00000,-9999.00000,28687814,8.76000,4.98000
21.47500,81.62500,Bhilai,0,0.00000,419.00000,0.00070,1423.00000,0.00070,1490.00000,0.00140,1647.00000,-8.76200,0.95700,-8.99200,0.67200,-9.02800,0.71000,-9.24600,1.07700,-8.75800,0.72800,-8.58600,0.65700,-8.65500,0.77800,-9.17900,0.41800,-11.38600,0.42600,-11.84200,0.58700,-11.43100,0.71900,-11.50600,0.83100,-11.06100,0.44500,-11.25100,0.78000,-11.18800,0.51700,-11.20800,0.72700,-11.14100,0.51600,-11.43900,0.44400,-11.63700,0.68400,-8.50900,0.92700,-8.42800,0.74200,-9.03900,0.75400,-8.40100,0.84900,-8.18800,0.92700,-8.21400,0.87300,-8.13000,0.78100,-8.57600,0.99600,-8.60000,0.70300,-8.19900,0.66900,-8.74700,0.50100,-8.13100,0.65300,-8.28300,0.77700,-8.35500,0.81900,0,-9999.00000,-9999.00000,-9999.00000,28687814,8.84000,5.67000
