latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
42.57500,-71.32500,Boston,2,0.09930,8090.00000,0.21240,8559.00000,0.23200,9076.00000,0.26890,9406.00000,-8.88000,0.11000,-8.84400,0.29300,-8.74800,0.30500,-9.37800,1.04700,-8.87200,0.38700,-8.60700,0.20200,-8.57800,0.14100,-8.42400,0.17400,-10.48100,0.35000,-10.37300,0.31400,-10.28000,0.25400,-10.22700,0.31500,-10.07100,0.30200,-10.16200,0.38100,-10.21200,0.29000,-10.16700,0.27900,-10.16900,0.34700,-9.91900,0.41700,-10.02100,0.36300,-8.21500,0.33500,-7.97700,0.36200,-8.11600,0.26900,-8.20000,0.22600,-8.00000,0.45800,-8.15700,0.24700,-8.04000,0.28600,-8.11100,0.27500,-8.14000,0.27900,-8.08800,0.29900,-7.88500,0.32700,-7.58000,0.40900,-7.87800,0.25800,-7.79200,0.26300,0,0.03630,7.73350,2.68840,22800278,42.59000,5.90000
42.57500,-71.27500,Boston,2,0.14990,14501.00000,0.27630,15567.00000,0.30120,16326.00000,0.34330,16789.00000,-8.72800,0.10800,-8.81000,0.28900,-8.63600,0.31000,-9.28600,1.17700,-8.76800,0.39200,-8.46400,0.19300,-8.43200,0.14400,-8.27100,0.16300,-10.25800,0.31700,-10.12400,0.31300,-10.00500,0.24600,-9.96400,0.29200,-9.77600,0.30900,-9.90200,0.34100,-9.94500,0.28300,-9.87200,0.25400,-9.90000,0.31300,-9.65100,0.41700,-9.75300,0.34500,-8.10100,0.32600,-7.89600,0.34800,-8.01500,0.22300,-8.10000,0.22100,-7.88700,0.43800,-8.07100,0.24600,-7.96000,0.28500,-8.01400,0.28100,-8.03200,0.25200,-7.97300,0.26400,-7.76200,0.28800,-7.48800,0.44100,-7.78800,0.25900,-7.70800,0.25400,0,0.05510,7.65920,3.47990,22800278,35.86000,5.78000
42.57500,-71.22500,Boston,2,0.12630,15743.00000,0.26030,16779.00000,0.29330,17779.00000,0.34390,18203.00000,-8.71300,0.10700,-8.83600,0.29000,-8.65400,0.34600,-9.27700,1.16600,-8.78500,0.41800,-8.46500,0.19000,-8.43200,0.15200,-8.26900,0.16200,-10.08400,0.26500,-9.91100,0.30600,-9.76800,0.22900,-9.73800,0.27400,-9.51500,0.31100,-9.67700,0.30900,-9.71500,0.28900,-9.61400,0.23200,-9.65900,0.28500,-9.42700,0.40800,-9.51400,0.32100,-8.07800,0.31900,-7.87800,0.34600,-7.99600,0.22800,-8.06900,0.22800,-7.84900,0.44100,-8.03800,0.24900,-7.92700,0.28800,-7.99500,0.28300,-7.99800,0.26000,-7.95400,0.26500,-7.73400,0.28300,-7.49100,0.46500,-7.77300,0.26100,-7.68600,0.25500,0,0.04900,7.20020,2.50540,22800278,39.51000,6.03000
42.57500,-71.17500,Boston,2,0.14140,14580.00000,0.25800,15589.00000,0.28590,16445.00000,0.33220,16984.00000,-8.65300,0.10400,-8.94400,0.29600,-8.72600,0.48900,-9.23800,1.12200,-8.85700,0.52300,-8.46900,0.17500,-8.43400,0.18300,-8.26000,0.15700,-9.97600,0.23300,-9.76600,0.28700,-9.59300,0.21300,-9.57700,0.25900,-9.34000,0.29600,-9.50000,0.26400,-9.54000,0.30200,-9.42700,0.22100,-9.49200,0.27500,-9.27100,0.39100,-9.33800,0.30300,-8.10100,0.30600,-7.91000,0.33800,-8.01600,0.23400,-8.08400,0.24600,-7.85500,0.44500,-8.03800,0.26000,-7.93400,0.30000,-8.02000,0.28900,-8.00800,0.26800,-7.97800,0.27300,-7.75400,0.28200,-7.56500,0.45700,-7.81000,0.28900,-7.71900,0.25900,0,0.05050,7.50630,3.22230,22800278,38.96000,5.96000
42.57500,-71.12500,Boston,2,0.17820,9171.00000,0.24420,10241.00000,0.26850,10791.00000,0.30430,11124.00000,-8.67500,0.10200,-8.97900,0.29100,-8.76000,0.50400,-9.25400,1.08000,-8.89000,0.50800,-8.50500,0.17500,-8.46900,0.18500,-8.29300,0.15800,-9.98000,0.21800,-9.72700,0.28400,-9.53800,0.20600,-9.54800,0.23700,-9.30000,0.29200,-9.43800,0.24700,-9.48700,0.32100,-9.37400,0.20300,-9.46100,0.25900,-9.22200,0.38600,-9.28800,0.30500,-8.25300,0.30400,-8.05100,0.34700,-8.15200,0.20700,-8.22200,0.21700,-8.01100,0.41000,-8.15500,0.25800,-8.07400,0.30000,-8.16000,0.29300,-8.15600,0.26800,-8.12800,0.27000,-7.92200,0.28900,-7.75200,0.41200,-7.96200,0.31300,-7.92500,0.30700,0,0.04580,7.55640,2.76850,22800278,39.85000,5.98000
42.57500,-71.07500,Boston,2,0.05110,7340.00000,0.08840,8128.00000,0.11170,8714.00000,0.14070,8912.00000,-8.93300,0.10700,-9.38900,0.30000,-9.11200,0.58400,-9.43700,0.77000,-9.35800,0.64400,-8.89300,0.18600,-8.84800,0.23800,-8.65200,0.16400,-10.07800,0.21400,-9.81200,0.27500,-9.61200,0.21000,-9.63700,0.23800,-9.39000,0.29700,-9.49900,0.23600,-9.54600,0.33200,-9.46000,0.20100,-9.56800,0.27400,-9.30800,0.39500,-9.38400,0.30900,-8.36200,0.28700,-8.13400,0.35800,-8.23500,0.23000,-8.29600,0.19900,-8.06500,0.40600,-8.23400,0.26100,-8.14400,0.29300,-8.22600,0.30100,-8.24700,0.26200,-8.23200,0.24500,-8.00100,0.30600,-7.83400,0.37100,-8.00300,0.34300,-8.03800,0.32500,0,0.02850,7.06460,1.56850,22800278,46.52000,6.03000
42.57500,-71.02500,Boston,2,0.13190,9730.00000,0.18020,10639.00000,0.20410,11170.00000,0.23420,11447.00000,-9.08800,0.10700,-9.59000,0.29800,-9.30100,0.61100,-9.57800,0.65600,-9.59200,0.65500,-9.11000,0.19300,-9.05700,0.25600,-8.85500,0.16600,-10.32900,0.23800,-10.06500,0.28700,-9.87100,0.21700,-9.91100,0.23800,-9.66900,0.28900,-9.76700,0.25000,-9.79500,0.32400,-9.74600,0.22800,-9.86600,0.29300,-9.57500,0.39000,-9.65700,0.33700,-8.44800,0.28800,-8.20800,0.35000,-8.31200,0.25900,-8.35800,0.20300,-8.12100,0.39800,-8.29900,0.26700,-8.22200,0.28700,-8.28100,0.28300,-8.31600,0.26700,-8.28800,0.23400,-8.04700,0.31100,-7.88300,0.34100,-8.04300,0.32600,-8.12300,0.31000,0,0.04120,6.97950,2.36180,22800278,41.51000,5.83000
42.57500,-70.97500,Boston,2,0.29460,15130.00000,0.35730,16296.00000,0.38150,17092.00000,0.41910,17064.00000,-9.59600,0.12500,-10.15900,0.33400,-9.87800,0.61200,-9.97600,0.61200,-10.22300,0.72600,-9.71900,0.22000,-9.66400,0.27900,-9.42500,0.17700,-10.76400,0.27100,-10.52000,0.30300,-10.35000,0.23700,-10.39500,0.25000,-10.17000,0.29700,-10.25600,0.28400,-10.26300,0.30800,-10.24600,0.27200,-10.37600,0.29600,-10.05200,0.38300,-10.13800,0.36100,-8.58300,0.30300,-8.33700,0.33400,-8.46500,0.29100,-8.47500,0.22500,-8.24000,0.40500,-8.41900,0.27600,-8.36800,0.29000,-8.40400,0.27100,-8.43800,0.26400,-8.39100,0.24500,-8.14600,0.32700,-7.98800,0.31900,-8.18100,0.31100,-8.27500,0.31600,0,0.06140,7.50950,4.28410,22800278,32.01000,5.53000
42.57500,-70.92500,Boston,2,0.36990,19762.00000,0.42920,21474.00000,0.45340,22704.00000,0.48550,23193.00000,-10.05000,0.14400,-10.67600,0.37700,-10.40500,0.61500,-10.32000,0.58600,-10.78300,0.80100,-10.26400,0.24300,-10.21000,0.29900,-9.93500,0.18600,-11.38300,0.31100,-11.15700,0.34600,-11.04800,0.27800,-11.07800,0.26000,-10.86400,0.31800,-10.95100,0.30700,-10.94100,0.29600,-10.94000,0.29300,-11.08200,0.29800,-10.72400,0.38900,-10.82000,0.37200,-8.81700,0.31200,-8.59400,0.36400,-8.71700,0.28200,-8.72300,0.25500,-8.51900,0.38200,-8.68600,0.28300,-8.66800,0.34700,-8.70600,0.30100,-8.70700,0.27500,-8.69500,0.25900,-8.50700,0.33300,-8.32600,0.34900,-8.54700,0.33300,-8.60300,0.34200,0,0.07260,7.09740,4.67150,22800278,33.28000,5.38000
42.57500,-70.87500,Boston,2,0.25520,20510.00000,0.31610,22331.00000,0.33650,23496.00000,0.36550,24281.00000,-10.49900,0.18000,-11.15000,0.44400,-10.89100,0.68000,-10.77100,0.60600,-11.35500,0.91700,-10.78400,0.27800,-10.72500,0.34600,-10.40000,0.22300,-12.24700,0.34900,-12.03700,0.39000,-12.03400,0.31900,-12.03800,0.25400,-11.81700,0.34800,-11.92300,0.32700,-11.90200,0.30500,-11.92000,0.29700,-12.06500,0.31800,-11.67600,0.42700,-11.80000,0.37500,-9.22100,0.33100,-9.01100,0.41000,-9.09700,0.29300,-9.17300,0.28800,-8.97500,0.39300,-9.10500,0.32700,-9.11400,0.39500,-9.18000,0.33600,-9.12000,0.30500,-9.15000,0.26800,-9.01700,0.33300,-8.92500,0.47000,-9.06000,0.36900,-9.03500,0.39100,15,0.06200,7.06640,4.28640,22800278,34.49000,5.57000
