latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
41.42500,-73.42500,Bridgeport,2,0.35430,18915.00000,0.41120,20566.00000,0.44380,21877.00000,0.45900,22695.00000,-9.14500,0.28500,-8.87400,0.26400,-9.00800,0.37900,-9.16200,0.41600,-9.07000,0.38000,-8.97300,0.22700,-8.96100,0.22500,-8.89700,0.18600,-10.48800,0.35400,-10.26200,0.31300,-10.21700,0.31500,-10.30400,0.24000,-10.11500,0.36400,-10.10900,0.32200,-10.15200,0.29900,-10.10200,0.31900,-10.22100,0.32000,-10.18500,0.34100,-9.97100,0.33600,-8.57400,0.23800,-8.44100,0.31800,-8.37100,0.31300,-8.46500,0.30500,-8.35300,0.25800,-8.34700,0.29800,-8.39500,0.26200,-8.45800,0.30600,-8.54800,0.27300,-8.45100,0.30300,-8.35300,0.29500,-8.06100,0.45100,-8.46000,0.29600,-8.28700,0.35700,0,0.06400,8.01670,5.16680,23209880,31.92000,6.60000
41.42500,-73.37500,Bridgeport,1,0.10710,6900.00000,0.13860,7824.00000,0.16100,8538.00000,0.17830,8935.00000,-9.16000,0.29500,-8.91000,0.24500,-9.00200,0.37100,-9.17200,0.40700,-9.04800,0.39100,-8.97200,0.22100,-8.96900,0.21600,-8.88600,0.19500,-10.44200,0.37200,-10.20500,0.28400,-10.15800,0.31800,-10.26900,0.23500,-10.06500,0.36800,-10.04900,0.31900,-10.08200,0.29900,-10.03800,0.32800,-10.18100,0.31900,-10.12200,0.32900,-9.90900,0.33100,-8.58300,0.24100,-8.43100,0.31000,-8.36100,0.30100,-8.43600,0.29800,-8.35900,0.23500,-8.33900,0.26900,-8.39500,0.26800,-8.47200,0.30100,-8.53900,0.26000,-8.45700,0.28700,-8.36200,0.28100,-8.04400,0.44500,-8.44700,0.26500,-8.26100,0.33900,0,0.02420,7.15400,1.49950,23209880,45.68000,7.27000
41.42500,-73.32500,Bridgeport,1,0.05230,4437.00000,0.08700,5129.00000,0.12130,5264.00000,0.17240,5463.00000,-9.17200,0.30400,-8.93900,0.22900,-8.99700,0.36400,-9.18000,0.40000,-9.03000,0.40000,-8.97100,0.21600,-8.97600,0.21000,-8.87700,0.20300,-10.40100,0.37400,-10.14700,0.26200,-10.08900,0.31700,-10.21100,0.22800,-10.00300,0.36500,-9.98700,0.30600,-10.00300,0.30100,-9.96600,0.33200,-10.11700,0.32900,-10.04700,0.31500,-9.84700,0.32200,-8.63400,0.23000,-8.46700,0.29000,-8.40200,0.29000,-8.48200,0.30900,-8.38700,0.21100,-8.38700,0.24700,-8.43600,0.27500,-8.52400,0.29600,-8.59400,0.26900,-8.51700,0.28000,-8.40700,0.26600,-8.06800,0.42900,-8.46300,0.24300,-8.31400,0.32100,0,0.01340,5.80400,0.69770,23209880,50.48000,7.66000
41.42500,-73.27500,Bridgeport,1,0.08510,5196.00000,0.13170,5503.00000,0.18920,6397.00000,0.24610,6625.00000,-9.17500,0.29600,-8.96300,0.22500,-8.98400,0.35700,-9.17200,0.39000,-9.00700,0.39500,-8.96800,0.22000,-8.99000,0.21500,-8.86300,0.21000,-10.34800,0.35800,-10.07300,0.24500,-10.00700,0.31600,-10.13600,0.21400,-9.91600,0.36100,-9.90000,0.27800,-9.91800,0.31000,-9.88200,0.33500,-10.03200,0.34400,-9.95900,0.30800,-9.76500,0.32000,-8.68000,0.21600,-8.50100,0.26700,-8.45300,0.29000,-8.56600,0.32300,-8.40900,0.19500,-8.43700,0.23500,-8.47900,0.28800,-8.56500,0.28600,-8.65500,0.28200,-8.57200,0.28400,-8.44700,0.25500,-8.10200,0.42300,-8.50600,0.25400,-8.38900,0.31800,0,0.01760,5.66010,1.05220,23209880,44.73000,7.28000
41.42500,-73.22500,Bridgeport,1,0.02420,4262.00000,0.04850,4758.00000,0.09760,5356.00000,0.15180,5670.00000,-9.17300,0.28500,-8.99100,0.21500,-8.95900,0.34000,-9.15200,0.37100,-8.96300,0.40000,-8.95500,0.22200,-8.99700,0.22000,-8.83300,0.21700,-10.28300,0.33500,-10.00000,0.24800,-9.92500,0.32400,-10.05700,0.20600,-9.82200,0.35700,-9.80400,0.25000,-9.84700,0.31400,-9.79000,0.34200,-9.93100,0.34200,-9.84900,0.29600,-9.67300,0.31900,-8.68500,0.20900,-8.50300,0.26400,-8.46500,0.28700,-8.60200,0.32500,-8.41600,0.19100,-8.44800,0.23900,-8.48900,0.29500,-8.57700,0.28000,-8.67400,0.27900,-8.58800,0.29100,-8.46100,0.25300,-8.09800,0.43300,-8.52000,0.27100,-8.41800,0.32000,0,0.01120,4.39870,0.57220,23209880,57.08000,6.94000
41.42500,-73.17500,Bridgeport,1,0.00560,3066.00000,0.01490,3651.00000,0.03220,3421.00000,0.05690,3721.00000,-9.14200,0.27400,-8.98500,0.21800,-8.94500,0.33500,-9.12300,0.36400,-8.93500,0.38800,-8.93200,0.22300,-8.98400,0.22500,-8.80400,0.21800,-10.20900,0.31000,-9.92200,0.25800,-9.84800,0.34100,-9.96700,0.21000,-9.73500,0.34000,-9.70900,0.23700,-9.77600,0.30500,-9.68700,0.33100,-9.81500,0.32500,-9.73000,0.28500,-9.57500,0.30900,-8.65800,0.20300,-8.48100,0.26400,-8.44600,0.28300,-8.58300,0.33300,-8.40200,0.18900,-8.43400,0.24500,-8.47000,0.30300,-8.56600,0.27600,-8.66900,0.27300,-8.57300,0.29300,-8.44500,0.25100,-8.06400,0.46800,-8.49000,0.28300,-8.40700,0.31400,0,0.00760,4.72480,0.42640,23209880,58.43000,7.17000
41.42500,-73.12500,Bridgeport,1,0.01990,4359.00000,0.04660,4780.00000,0.07180,5216.00000,0.10540,5422.00000,-9.15700,0.24100,-9.03700,0.20800,-8.94000,0.31200,-9.12700,0.36100,-8.92200,0.38300,-8.93900,0.22000,-8.99400,0.23400,-8.78000,0.21400,-10.12300,0.28200,-9.82900,0.26100,-9.76800,0.34700,-9.86400,0.21700,-9.64400,0.31700,-9.61500,0.22900,-9.71600,0.28800,-9.59300,0.31700,-9.68000,0.32000,-9.61100,0.27400,-9.46600,0.29500,-8.59700,0.20400,-8.43700,0.27000,-8.39100,0.28100,-8.52800,0.35400,-8.36900,0.18900,-8.38700,0.25000,-8.43000,0.30700,-8.52500,0.27500,-8.64400,0.26600,-8.53800,0.29200,-8.39200,0.24800,-8.04600,0.46000,-8.43300,0.29900,-8.36100,0.30500,0,0.01160,5.03300,0.66600,23209880,54.38000,7.27000
41.42500,-73.07500,Bridgeport,1,0.09500,6930.00000,0.14130,7721.00000,0.17880,8265.00000,0.22850,8605.00000,-9.10100,0.23700,-9.00100,0.21300,-8.91700,0.30700,-9.08400,0.35600,-8.89300,0.38200,-8.89800,0.22000,-8.95600,0.23400,-8.74200,0.21300,-10.06700,0.25500,-9.76000,0.27100,-9.70400,0.35500,-9.78100,0.21500,-9.55900,0.31700,-9.54000,0.23800,-9.65400,0.27900,-9.52600,0.30500,-9.57900,0.32400,-9.50900,0.27100,-9.37200,0.29800,-8.52300,0.21700,-8.37600,0.29100,-8.31000,0.28900,-8.44700,0.37800,-8.32000,0.19300,-8.33600,0.24500,-8.37000,0.30800,-8.45800,0.28600,-8.58600,0.25600,-8.48000,0.28500,-8.30500,0.22300,-7.99700,0.47200,-8.34700,0.31800,-8.28200,0.28100,0,0.02330,6.92770,1.40660,23209880,47.62000,6.93000
41.42500,-73.02500,Bridgeport,1,0.03550,4058.00000,0.06020,4484.00000,0.08250,4976.00000,0.11520,5677.00000,-9.21400,0.21400,-9.15700,0.20600,-8.98900,0.30200,-9.20600,0.37500,-9.10600,0.31400,-9.00400,0.21300,-9.04500,0.24800,-8.82400,0.21200,-10.03400,0.23800,-9.71600,0.29600,-9.65900,0.35700,-9.72600,0.21300,-9.50300,0.32000,-9.49000,0.25400,-9.61700,0.27800,-9.48200,0.29000,-9.50800,0.31700,-9.43600,0.25700,-9.31600,0.31900,-8.41700,0.21800,-8.29500,0.28400,-8.22300,0.26700,-8.36200,0.36700,-8.24400,0.20500,-8.25800,0.21800,-8.25800,0.29500,-8.39000,0.29300,-8.47100,0.24800,-8.38000,0.26100,-8.21800,0.19700,-7.93500,0.50300,-8.21900,0.32300,-8.16900,0.28700,0,0.00960,5.83830,0.52930,23209880,57.61000,6.81000
41.42500,-72.97500,Bridgeport,1,0.00490,1753.00000,0.01710,1933.00000,0.02710,2347.00000,0.03960,2478.00000,-9.23600,0.20900,-9.18800,0.20400,-9.00300,0.30100,-9.23000,0.37800,-9.14800,0.30100,-9.02500,0.21200,-9.06300,0.25000,-8.84100,0.21200,-10.01500,0.23300,-9.70100,0.28400,-9.63800,0.36000,-9.71300,0.21100,-9.49400,0.32600,-9.48800,0.25800,-9.60300,0.27000,-9.49100,0.28300,-9.48300,0.29600,-9.40100,0.24600,-9.29000,0.33600,-8.35700,0.22400,-8.22100,0.27300,-8.17200,0.24800,-8.28700,0.33300,-8.17600,0.21800,-8.19800,0.19000,-8.17100,0.28800,-8.32500,0.28600,-8.38900,0.26200,-8.28400,0.24800,-8.12300,0.19700,-7.84800,0.51400,-8.08200,0.29500,-8.07400,0.29000,0,0.00460,3.78210,0.23690,23209880,59.68000,6.73000
