latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
51.07500,4.07500,Brussels,2,0.09110,7425.00000,0.18260,9867.00000,0.21380,9967.00000,0.26340,10830.00000,-7.94700,0.34000,-8.00600,0.32800,-8.00300,0.29300,-7.90400,0.45700,-7.79700,0.39500,-7.59800,0.37200,-7.80700,0.51000,-7.26200,0.34800,-9.63000,0.23800,-9.43600,0.27800,-9.22700,0.33600,-9.24400,0.32000,-9.48200,0.30500,-9.02700,0.29200,-9.03100,0.23800,-9.09600,0.34000,-8.95900,0.21900,-8.97000,0.23900,-9.11400,0.36600,-7.27900,0.33500,-7.46200,0.27900,-7.59300,0.36700,-7.27800,0.31600,-7.18400,0.28900,-7.24100,0.40700,-7.19000,0.37100,-6.92900,0.38700,-7.17000,0.27400,-7.13800,0.32200,-6.96600,0.33900,-6.98600,0.46900,-6.86900,0.41200,-6.87900,0.50300,0,0.03000,6.94900,2.10950,19492184,12.22000,4.90000
51.07500,4.12500,Brussels,2,0.14190,14370.00000,0.24670,13896.00000,0.28650,14037.00000,0.34280,15237.00000,-7.94400,0.33400,-7.98600,0.31800,-7.98700,0.29100,-7.89000,0.45700,-7.78800,0.39000,-7.58400,0.37400,-7.80200,0.50800,-7.24800,0.35300,-9.43900,0.23300,-9.21800,0.27100,-8.99700,0.37200,-9.04300,0.31000,-9.24200,0.29000,-8.79700,0.29000,-8.82100,0.23500,-8.85000,0.34400,-8.69200,0.21200,-8.68900,0.26100,-8.85900,0.36800,-7.21000,0.31300,-7.33700,0.28300,-7.47100,0.38300,-7.19000,0.30800,-7.09200,0.30400,-7.14500,0.38800,-7.08500,0.37400,-6.80700,0.41300,-7.02300,0.27000,-7.00200,0.32200,-6.79400,0.29300,-6.83500,0.51000,-6.74700,0.39600,-6.70100,0.49100,0,0.03900,7.00040,2.37760,19492184,12.32000,4.90000
51.07500,4.17500,Brussels,2,0.13570,9680.00000,0.23990,9942.00000,0.27920,10460.00000,0.34430,11784.00000,-7.77100,0.36200,-7.85900,0.34400,-7.83700,0.34700,-7.66200,0.47500,-7.56100,0.41400,-7.35200,0.38700,-7.65200,0.55300,-6.99800,0.37300,-9.16100,0.25900,-8.90300,0.28200,-8.65200,0.40700,-8.72500,0.30700,-8.90100,0.25300,-8.47700,0.26700,-8.51000,0.24100,-8.50600,0.35100,-8.34400,0.23200,-8.31100,0.27000,-8.49500,0.35500,-7.12400,0.30900,-7.14300,0.27000,-7.29500,0.40600,-7.02300,0.30200,-6.92500,0.32800,-6.97100,0.39900,-6.94000,0.36500,-6.66200,0.41700,-6.85000,0.27600,-6.85300,0.31000,-6.60600,0.26600,-6.67400,0.51300,-6.55200,0.42900,-6.47200,0.50300,0,0.02450,6.42090,1.55000,19492184,17.87000,6.44000
51.07500,4.22500,Brussels,2,0.10750,13350.00000,0.19860,11934.00000,0.23960,11392.00000,0.28300,11458.00000,-7.76500,0.35700,-7.83900,0.33500,-7.82000,0.34800,-7.64300,0.47400,-7.54600,0.40700,-7.33400,0.38800,-7.64200,0.55500,-6.98100,0.37800,-9.06200,0.26600,-8.78700,0.28400,-8.53700,0.42700,-8.62000,0.31100,-8.78100,0.24000,-8.37300,0.26200,-8.41900,0.24400,-8.39600,0.34800,-8.23400,0.24400,-8.19100,0.25800,-8.37900,0.35400,-7.01200,0.35100,-7.02500,0.29100,-7.12800,0.38400,-6.87200,0.31300,-6.74800,0.34400,-6.84200,0.40300,-6.78800,0.37400,-6.54300,0.42000,-6.70100,0.28800,-6.70400,0.30400,-6.49400,0.25800,-6.53800,0.51500,-6.40500,0.43200,-6.35000,0.49700,0,0.03370,7.14860,2.56990,19492184,15.86000,5.68000
51.07500,4.27500,Brussels,2,0.14660,9483.00000,0.25520,10337.00000,0.30780,11158.00000,0.34770,12087.00000,-7.76500,0.35600,-7.83600,0.33500,-7.81800,0.34800,-7.64100,0.47400,-7.54500,0.40700,-7.33200,0.38800,-7.64100,0.55500,-6.97900,0.37900,-8.90400,0.26400,-8.60600,0.28900,-8.35900,0.45500,-8.45100,0.32000,-8.59600,0.22400,-8.20600,0.26200,-8.25900,0.24700,-8.22000,0.35100,-8.04800,0.25800,-7.99300,0.24600,-8.18400,0.35200,-6.86100,0.41000,-6.86900,0.32100,-6.89500,0.36100,-6.66900,0.31600,-6.51000,0.36100,-6.64600,0.42700,-6.58700,0.39700,-6.35800,0.42900,-6.49200,0.30900,-6.49600,0.29100,-6.33500,0.25700,-6.34800,0.52300,-6.19000,0.43000,-6.17200,0.49700,0,0.03600,8.05350,3.62380,19492184,13.59000,5.35000
51.07500,4.32500,Brussels,2,0.18820,14319.00000,0.32380,15463.00000,0.37030,16394.00000,0.42610,18623.00000,-7.77200,0.39000,-7.84600,0.33800,-7.81800,0.40100,-7.61800,0.47800,-7.42800,0.48800,-7.29800,0.38500,-7.62200,0.55600,-6.90500,0.37200,-8.70800,0.26500,-8.39500,0.31200,-8.13500,0.47900,-8.22700,0.32500,-8.36700,0.20100,-8.00500,0.27000,-8.05400,0.27600,-7.99600,0.36200,-7.82000,0.28600,-7.77100,0.23900,-7.92400,0.34000,-6.51600,0.36800,-6.54700,0.29700,-6.51200,0.32700,-6.27600,0.33200,-6.11400,0.32700,-6.23500,0.36300,-6.16700,0.36000,-5.98800,0.39500,-6.13300,0.25600,-6.10000,0.29500,-5.94900,0.22500,-5.96400,0.50300,-5.87900,0.46400,-5.86000,0.46400,0,0.05120,9.24670,5.39480,19492184,18.24000,5.98000
51.07500,4.37500,Brussels,3,0.35110,25122.00000,0.47010,25968.00000,0.52010,27725.00000,0.57610,32311.00000,-7.78400,0.39200,-7.84600,0.33100,-7.82300,0.39900,-7.62600,0.47600,-7.43500,0.48300,-7.30500,0.38700,-7.63200,0.55600,-6.91400,0.37500,-8.66700,0.28800,-8.36900,0.32800,-8.08700,0.48900,-8.18600,0.31300,-8.32500,0.17800,-7.98200,0.28300,-8.02400,0.27000,-7.96600,0.38000,-7.78500,0.31300,-7.75200,0.23700,-7.85400,0.32900,-6.45400,0.35200,-6.53100,0.29300,-6.46500,0.33800,-6.23500,0.32800,-6.07700,0.30300,-6.19200,0.35800,-6.09900,0.35200,-5.91200,0.40500,-6.08100,0.23600,-6.06600,0.28900,-5.88300,0.23600,-5.90600,0.50600,-5.80000,0.47300,-5.75700,0.42700,0,0.07420,9.63080,8.70590,19492184,16.93000,5.90000
51.07500,4.42500,Brussels,2,0.17480,13490.00000,0.28600,15520.00000,0.32280,16507.00000,0.37020,18951.00000,-7.85700,0.40300,-7.90000,0.31100,-7.87800,0.39400,-7.68600,0.47700,-7.49900,0.48600,-7.36500,0.38300,-7.68700,0.54400,-6.95900,0.37400,-8.74700,0.28800,-8.47100,0.32200,-8.18600,0.50000,-8.28500,0.31300,-8.42600,0.17100,-8.08100,0.27600,-8.13100,0.27000,-8.07700,0.38000,-7.90900,0.32900,-7.88700,0.23600,-7.96500,0.32800,-6.49400,0.35500,-6.57000,0.29600,-6.50900,0.33400,-6.27100,0.33200,-6.11600,0.30500,-6.21400,0.35400,-6.14500,0.34500,-5.95200,0.39600,-6.10500,0.23700,-6.08600,0.29200,-5.92400,0.23900,-5.94800,0.51600,-5.83400,0.48300,-5.79800,0.44500,0,0.03220,7.77890,2.90910,19492184,21.56000,7.10000
51.07500,4.47500,Brussels,2,0.22480,20238.00000,0.39280,19586.00000,0.42930,19410.00000,0.47570,21227.00000,-8.00300,0.42000,-8.02400,0.28400,-7.99400,0.38800,-7.80900,0.48200,-7.63100,0.50200,-7.48900,0.36900,-7.79100,0.51700,-7.04300,0.36500,-8.84200,0.28800,-8.61200,0.31900,-8.32000,0.51100,-8.41000,0.31200,-8.56500,0.16900,-8.20900,0.26900,-8.26600,0.27500,-8.22300,0.38800,-8.05900,0.35600,-8.05600,0.24300,-8.09500,0.32400,-6.52500,0.35500,-6.60000,0.29300,-6.55100,0.32800,-6.30600,0.33700,-6.15700,0.30000,-6.23600,0.34800,-6.18500,0.33700,-5.97900,0.38100,-6.12400,0.23900,-6.10200,0.29100,-5.95400,0.23800,-5.96000,0.53900,-5.84800,0.49200,-5.81500,0.46400,0,0.04980,9.08220,4.95260,19492184,18.30000,6.39000
51.07500,4.52500,Brussels,2,0.19790,16625.00000,0.35050,16034.00000,0.38830,15783.00000,0.43610,16234.00000,-8.02400,0.42000,-8.03200,0.27800,-8.00300,0.38400,-7.82400,0.47900,-7.64600,0.49300,-7.50500,0.37300,-7.80800,0.51500,-7.05900,0.36700,-9.12300,0.32200,-8.91600,0.32900,-8.65000,0.51200,-8.72800,0.30800,-8.91000,0.18300,-8.53900,0.25800,-8.59500,0.27400,-8.56500,0.40100,-8.40600,0.35100,-8.42900,0.26300,-8.44000,0.31700,-6.82900,0.34000,-6.90300,0.31000,-6.93400,0.33200,-6.69900,0.32500,-6.54300,0.29700,-6.61800,0.33800,-6.56600,0.32100,-6.28700,0.38400,-6.48500,0.30700,-6.43200,0.28600,-6.25300,0.24500,-6.24600,0.56400,-6.13200,0.53500,-6.13000,0.45000,0,0.04840,8.80560,4.53450,19492184,14.86000,5.27000
51.07500,4.57500,Brussels,2,0.06640,3787.00000,0.18010,6944.00000,0.22370,8048.00000,0.27530,9530.00000,-8.35900,0.43400,-8.34900,0.26100,-8.30400,0.33900,-8.15100,0.48500,-7.93800,0.55300,-7.82800,0.35100,-8.12800,0.47600,-7.34500,0.34800,-9.47100,0.34700,-9.29900,0.31500,-9.04300,0.49200,-9.12100,0.31800,-9.32600,0.20900,-8.94200,0.23100,-8.99900,0.27300,-8.98600,0.40300,-8.84400,0.33200,-8.87500,0.28900,-8.87100,0.31700,-7.30600,0.37800,-7.40100,0.27900,-7.41100,0.37500,-7.25500,0.37500,-7.03000,0.29600,-7.17400,0.35700,-7.14300,0.38100,-6.85800,0.41400,-7.04600,0.33900,-6.96100,0.28900,-6.75600,0.28400,-6.86200,0.42600,-6.60400,0.55400,-6.54200,0.40400,0,0.02220,7.16470,1.68460,19492184,17.05000,5.61000
51.02500,4.07500,Brussels,2,0.18950,19707.00000,0.28310,16959.00000,0.31890,15886.00000,0.35920,16129.00000,-7.93700,0.32000,-7.94300,0.29700,-7.95500,0.28500,-7.86000,0.45800,-7.76800,0.37900,-7.55500,0.37700,-7.79100,0.50400,-7.22000,0.36500,-9.65500,0.25300,-9.47100,0.25900,-9.25200,0.32500,-9.29400,0.31000,-9.49100,0.29700,-9.07100,0.28800,-9.08200,0.24600,-9.12600,0.31700,-9.01100,0.22100,-9.00000,0.24200,-9.17000,0.33900,-7.25100,0.31500,-7.40100,0.28500,-7.54200,0.35800,-7.24100,0.30900,-7.13600,0.29100,-7.20200,0.34700,-7.13100,0.36900,-6.88100,0.37700,-7.08600,0.24700,-7.05800,0.31500,-6.85000,0.28600,-6.92000,0.49400,-6.85200,0.38300,-6.79800,0.47200,0,0.03760,7.35470,2.38140,19513014,13.51000,5.17000
51.02500,4.12500,Brussels,2,0.27180,22691.00000,0.42840,21215.00000,0.50120,21826.00000,0.55280,21731.00000,-7.94300,0.32200,-7.94400,0.29400,-7.95800,0.28400,-7.86300,0.45700,-7.77400,0.37700,-7.55800,0.37800,-7.79800,0.50400,-7.22700,0.36800,-9.50700,0.25500,-9.28800,0.26000,-9.06000,0.36200,-9.12400,0.31600,-9.30400,0.27300,-8.88700,0.27700,-8.92900,0.24700,-8.92700,0.31800,-8.80600,0.22500,-8.79000,0.24600,-8.96200,0.34000,-7.21200,0.30600,-7.30000,0.27800,-7.46200,0.35900,-7.17200,0.30200,-7.05900,0.30000,-7.13000,0.34600,-7.04700,0.35100,-6.79900,0.38700,-6.99500,0.26100,-6.96400,0.31000,-6.75600,0.25600,-6.83300,0.50600,-6.75000,0.40900,-6.66500,0.47100,0,0.04820,7.11970,2.83990,19513014,11.50000,4.71000
51.02500,4.17500,Brussels,2,0.14540,16351.00000,0.28040,14654.00000,0.34540,15007.00000,0.40250,16521.00000,-7.93500,0.33100,-7.93200,0.29100,-7.94600,0.28800,-7.84400,0.45800,-7.76100,0.37500,-7.53700,0.38200,-7.79500,0.50800,-7.21300,0.37600,-9.44000,0.25500,-9.20800,0.25900,-8.97300,0.37800,-9.04600,0.32000,-9.21400,0.25900,-8.80900,0.27200,-8.86200,0.24800,-8.84200,0.31300,-8.72700,0.23400,-8.70400,0.24200,-8.87500,0.33500,-7.20300,0.30300,-7.27000,0.27300,-7.43800,0.35300,-7.14900,0.30300,-7.03000,0.30400,-7.11200,0.34300,-7.02000,0.34000,-6.78200,0.38000,-6.96900,0.26700,-6.93600,0.30600,-6.73300,0.24800,-6.81000,0.51400,-6.72100,0.42500,-6.62400,0.47100,0,0.03730,6.56550,2.99880,19513014,12.53000,5.25000
51.02500,4.22500,Brussels,2,0.09330,10285.00000,0.18300,10179.00000,0.20770,9967.00000,0.24270,10193.00000,-7.80000,0.36800,-7.83500,0.31000,-7.82800,0.33800,-7.66100,0.46900,-7.57400,0.39000,-7.35000,0.39500,-7.67600,0.55400,-7.01000,0.39400,-9.20200,0.25800,-8.93600,0.26500,-8.68700,0.42400,-8.76800,0.30900,-8.92000,0.23000,-8.53600,0.25900,-8.60600,0.25000,-8.55200,0.31800,-8.44600,0.25700,-8.40200,0.23700,-8.57400,0.33500,-7.17500,0.30100,-7.22300,0.25800,-7.38500,0.34400,-7.10100,0.31100,-6.97500,0.31900,-7.06200,0.35000,-6.97600,0.33400,-6.74000,0.38700,-6.91600,0.27300,-6.89200,0.30900,-6.68700,0.24100,-6.75800,0.52900,-6.66900,0.43100,-6.57400,0.47700,0,0.02720,6.83790,1.86080,19513014,15.56000,5.69000
51.02500,4.27500,Brussels,1,0.05240,7137.00000,0.13300,6520.00000,0.16040,6596.00000,0.19270,7486.00000,-7.81500,0.37300,-7.83500,0.30100,-7.83200,0.33400,-7.66900,0.46700,-7.58600,0.38300,-7.35700,0.39800,-7.69000,0.55400,-7.02300,0.40000,-8.95300,0.24900,-8.65300,0.27400,-8.41200,0.47100,-8.49800,0.31200,-8.63000,0.20400,-8.26500,0.26000,-8.35500,0.25200,-8.27600,0.32400,-8.15300,0.27700,-8.10200,0.22700,-8.24800,0.33800,-7.08900,0.33500,-7.13700,0.27700,-7.21300,0.30800,-6.96300,0.30000,-6.81700,0.31600,-6.90300,0.37500,-6.85900,0.33600,-6.61000,0.39700,-6.76100,0.31300,-6.71600,0.29500,-6.57400,0.22100,-6.63600,0.52700,-6.50500,0.43500,-6.44200,0.48200,0,0.01820,6.93930,1.37650,19513014,17.70000,5.90000
51.02500,4.32500,Brussels,2,0.07120,12975.00000,0.19750,13937.00000,0.23730,13993.00000,0.27690,14871.00000,-7.84600,0.39800,-7.84600,0.29000,-7.84700,0.36800,-7.67300,0.46500,-7.51300,0.43200,-7.35400,0.39900,-7.69500,0.55400,-6.98700,0.39700,-8.86800,0.26000,-8.56300,0.28500,-8.31200,0.48900,-8.39600,0.31500,-8.53000,0.18600,-8.17200,0.26500,-8.26400,0.25500,-8.17300,0.33600,-8.05000,0.29700,-8.01000,0.21000,-8.13200,0.33000,-6.97800,0.35400,-7.02800,0.28700,-7.08200,0.30800,-6.82400,0.31200,-6.68100,0.32700,-6.75400,0.38300,-6.72800,0.33800,-6.49300,0.39400,-6.62900,0.31000,-6.57700,0.28500,-6.46500,0.21700,-6.47500,0.56500,-6.37800,0.46000,-6.31500,0.47200,0,0.03550,8.08430,3.42100,19513014,14.20000,5.29000
