latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
7.37500,-73.37500,Bucaramanga,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00020,0.00000,-8.36500,0.11800,-8.22300,0.15900,-8.06800,0.06700,-8.25300,0.37900,-8.21800,0.26000,-7.93900,0.16700,-7.99000,0.13700,-8.15600,0.11700,-9.47200,0.17500,-9.48400,0.17400,-9.61900,0.25700,-9.59300,0.22800,-9.56700,0.28200,-9.59400,0.21900,-9.52300,0.20800,-9.49100,0.20200,-9.60300,0.23600,-9.52300,0.22400,-9.60400,0.20300,-8.00800,0.21800,-7.96000,0.17700,-8.16700,0.15300,-7.77700,0.14900,-7.99500,0.19000,-8.03300,0.18700,-7.99000,0.17400,-8.09100,0.22800,-8.20900,0.16600,-7.93600,0.19000,-7.84800,0.15200,-7.96600,0.26200,-7.97900,0.22100,-7.81300,0.16800,0,-9999,-9999,-9999,30524838,45.63000,10.40000
7.37500,-73.32500,Bucaramanga,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00070,1632.00000,-8.29700,0.11100,-8.15200,0.15700,-7.98900,0.06800,-8.20100,0.37600,-8.13000,0.26000,-7.86000,0.16800,-7.91100,0.14500,-8.08000,0.12600,-9.28000,0.13700,-9.29400,0.17500,-9.44200,0.25400,-9.40400,0.25200,-9.35500,0.25700,-9.36400,0.18300,-9.31900,0.24700,-9.24900,0.17000,-9.39200,0.19900,-9.29500,0.23300,-9.45400,0.18500,-7.89100,0.20100,-7.82000,0.17800,-8.09300,0.15200,-7.64600,0.15000,-7.88800,0.17900,-7.95500,0.14900,-7.88600,0.18200,-7.96500,0.20800,-8.14400,0.16100,-7.88500,0.16200,-7.79800,0.15900,-7.87200,0.28900,-7.91900,0.22400,-7.74500,0.17400,0,-9999,-9999,-9999,30524838,46.58000,10.34000
7.37500,-73.27500,Bucaramanga,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.18900,0.09700,-8.04500,0.15400,-7.86500,0.07000,-8.12200,0.37100,-7.99600,0.25800,-7.74100,0.16900,-7.78900,0.15500,-7.96400,0.14100,-9.10100,0.10400,-9.12600,0.18900,-9.26200,0.23000,-9.24000,0.26400,-9.14300,0.20700,-9.16400,0.17200,-9.12600,0.24800,-9.06200,0.15300,-9.17000,0.19100,-9.10200,0.23700,-9.29100,0.20000,-7.78600,0.20500,-7.73800,0.18800,-8.02200,0.15400,-7.50100,0.16000,-7.77100,0.16600,-7.88000,0.14700,-7.80500,0.19800,-7.88400,0.20800,-8.07600,0.16300,-7.83600,0.16800,-7.71700,0.15900,-7.75900,0.32900,-7.85800,0.22500,-7.66900,0.19200,0,-9999,-9999,-9999,30524838,36.85000,10.38000
7.37500,-73.22500,Bucaramanga,0,0.00000,0.00000,0.00000,0.00000,0.00010,0.00000,0.00020,0.00000,-8.10100,0.10100,-8.00700,0.14100,-7.78100,0.07900,-8.07200,0.35700,-7.91700,0.24200,-7.66600,0.16500,-7.71400,0.16400,-7.88900,0.16100,-8.96100,0.10200,-9.00200,0.19400,-9.08800,0.20500,-9.10800,0.25400,-8.94300,0.17400,-8.99700,0.15700,-8.93500,0.22700,-8.88900,0.14900,-8.95200,0.20400,-8.94100,0.22400,-9.12300,0.22900,-7.63700,0.25100,-7.61200,0.18500,-7.83000,0.17800,-7.34800,0.15300,-7.59600,0.18200,-7.74200,0.14400,-7.64800,0.22100,-7.75600,0.20500,-7.96400,0.17000,-7.74300,0.17700,-7.56500,0.16200,-7.58200,0.37300,-7.71900,0.25400,-7.56800,0.20000,0,-9999,-9999,-9999,30524838,43.06000,10.29000
7.37500,-73.17500,Bucaramanga,0,0.00010,409.00000,0.00010,335.00000,0.00020,779.00000,0.00030,433.00000,-8.07800,0.10800,-8.01100,0.13800,-7.76600,0.08700,-8.07000,0.34700,-7.90800,0.23300,-7.65700,0.16200,-7.70700,0.16900,-7.88000,0.17000,-8.88500,0.11000,-8.92700,0.20800,-8.97100,0.17800,-9.00100,0.23800,-8.80500,0.16500,-8.90700,0.15500,-8.78200,0.20200,-8.79000,0.16500,-8.77300,0.22100,-8.84300,0.21000,-8.99100,0.22300,-7.47500,0.25100,-7.45400,0.16600,-7.64300,0.18000,-7.27000,0.14000,-7.47900,0.17300,-7.58300,0.13100,-7.51000,0.20600,-7.64400,0.18500,-7.76600,0.18300,-7.60000,0.17100,-7.44500,0.15800,-7.46800,0.33800,-7.59600,0.29100,-7.43500,0.21000,0,-9999,-9999,-9999,30524838,45.63000,10.87000
7.37500,-73.12500,Bucaramanga,0,0.00020,0.00000,0.00020,0.00000,0.00020,0.00000,0.00020,0.00000,-8.08700,0.13100,-8.07200,0.13900,-7.80000,0.10700,-8.12400,0.32400,-7.96200,0.21700,-7.70300,0.15500,-7.76300,0.17900,-7.93100,0.18200,-8.93500,0.11600,-8.97900,0.23600,-9.00600,0.19000,-9.02800,0.21000,-8.81600,0.17200,-8.93100,0.16600,-8.79300,0.19100,-8.83300,0.17800,-8.77400,0.21300,-8.86000,0.20700,-8.98700,0.20800,-7.45800,0.24200,-7.44500,0.16600,-7.59300,0.15900,-7.27400,0.13800,-7.46700,0.17100,-7.54500,0.12300,-7.48400,0.19800,-7.64900,0.19100,-7.76000,0.17800,-7.57000,0.17600,-7.43500,0.14900,-7.45600,0.31800,-7.60200,0.31100,-7.41700,0.21500,0,-9999,-9999,-9999,30524838,47.45000,10.67000
7.37500,-73.07500,Bucaramanga,0,0.00010,1694.00000,0.00010,1388.00000,0.00010,993.00000,0.00010,388.00000,-8.19400,0.14200,-8.19100,0.15300,-7.92100,0.12000,-8.25300,0.29400,-8.11100,0.19800,-7.89000,0.14300,-7.92600,0.17300,-8.08200,0.19000,-9.11500,0.14100,-9.15600,0.26800,-9.18500,0.19700,-9.17100,0.18600,-8.98900,0.19400,-9.11600,0.17300,-8.94700,0.19600,-9.01800,0.19700,-8.93300,0.21400,-9.01000,0.21900,-9.11900,0.20800,-7.53200,0.24300,-7.52000,0.17900,-7.62900,0.16000,-7.34200,0.13800,-7.53900,0.18700,-7.59400,0.13400,-7.53800,0.21800,-7.74100,0.22500,-7.84100,0.17400,-7.64300,0.20600,-7.50100,0.15000,-7.51300,0.30700,-7.66800,0.33100,-7.48600,0.23400,0,-9999,-9999,-9999,30524838,50.29000,11.50000
7.37500,-73.02500,Bucaramanga,0,0.00090,0.00000,0.00090,0.00000,0.00100,0.00000,0.00100,0.00000,-8.27100,0.14800,-8.27400,0.16200,-8.00600,0.12800,-8.34400,0.27300,-8.21600,0.18600,-8.02300,0.13500,-8.04100,0.16800,-8.19000,0.19500,-9.40600,0.17600,-9.48100,0.28900,-9.54500,0.22800,-9.48800,0.18800,-9.34100,0.23000,-9.43300,0.19800,-9.28100,0.19100,-9.34400,0.21000,-9.26200,0.24100,-9.29900,0.23500,-9.41400,0.22600,-7.70200,0.28700,-7.71000,0.22700,-7.82200,0.19500,-7.49100,0.16900,-7.70700,0.25400,-7.76000,0.18600,-7.70200,0.28500,-7.94200,0.27800,-8.00200,0.19300,-7.79400,0.21900,-7.65300,0.18200,-7.70500,0.33300,-7.81900,0.36000,-7.66500,0.28800,0,-9999,-9999,-9999,30524838,57.54000,10.81000
7.37500,-72.97500,Bucaramanga,0,0.00300,3430.00000,0.00300,3397.00000,0.00310,2807.00000,0.00320,1490.00000,-8.51000,0.14400,-8.51800,0.17300,-8.26200,0.14200,-8.61000,0.22600,-8.52900,0.16600,-8.44100,0.13100,-8.38700,0.15100,-8.52000,0.20000,-9.83800,0.19900,-9.97400,0.28000,-10.07200,0.25300,-9.96600,0.23300,-9.86200,0.29000,-9.89300,0.20600,-9.79100,0.18000,-9.81600,0.21600,-9.78300,0.28400,-9.75400,0.27100,-9.89700,0.25100,-8.09500,0.29900,-8.14300,0.30400,-8.34300,0.29000,-7.89000,0.22500,-8.10800,0.30200,-8.22200,0.28000,-8.18200,0.34200,-8.48200,0.34600,-8.39900,0.24800,-8.29800,0.26300,-8.00200,0.24200,-8.21100,0.35500,-8.34800,0.37000,-8.17900,0.35000,0,-9999,-9999,-9999,30524838,32.74000,10.18000
7.37500,-72.92500,Bucaramanga,0,0.00060,28.00000,0.00060,44.00000,0.00070,110.00000,0.00090,537.00000,-8.62600,0.14100,-8.63500,0.17300,-8.38400,0.14900,-8.73800,0.22000,-8.67700,0.17300,-8.63100,0.14000,-8.55000,0.14500,-8.67700,0.19700,-10.19700,0.20300,-10.39400,0.28000,-10.52500,0.24500,-10.39300,0.26600,-10.30000,0.32500,-10.30300,0.23500,-10.25500,0.17800,-10.23700,0.22800,-10.21400,0.31700,-10.14900,0.26800,-10.32700,0.25100,-8.54800,0.29300,-8.55600,0.26700,-8.83400,0.29400,-8.36700,0.21000,-8.58500,0.25500,-8.67800,0.25800,-8.65600,0.30600,-9.00000,0.30500,-8.95400,0.23600,-8.81800,0.22800,-8.50700,0.24900,-8.73600,0.29500,-8.85500,0.32800,-8.62100,0.26800,0,-9999,-9999,-9999,30524838,53.13000,10.38000
