latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
44.67500,25.82500,Bucharest,0,0.00010,0.00000,0.00570,312.00000,0.00580,290.00000,0.00660,154.00000,-10.37300,0.39800,-9.44900,0.57500,-9.84800,0.33600,-9.51300,0.97500,-9.15900,0.42400,-9.67800,0.70700,-9.01300,0.46300,-10.21000,0.42700,-10.78000,0.33500,-12.13600,0.41600,-11.67500,0.62100,-11.39300,0.44500,-11.80800,0.44400,-11.22300,0.50500,-10.99800,0.27200,-11.68400,0.39900,-12.29300,0.37200,-12.16400,0.43900,-11.60500,0.40700,-10.90400,0.64900,-10.77400,0.70800,-10.07400,0.52500,-10.22000,0.60000,-10.38200,0.63900,-10.64400,0.43500,-10.15100,0.66100,-9.58900,0.52200,-9.99500,0.64300,-9.91700,0.61300,-9.71700,0.51700,-9.51300,0.69600,-10.12100,0.62800,-10.25200,0.70900,0,0.00110,0.65760,0.04440,22028196,7.79000,3.65000
44.67500,25.87500,Bucharest,0,0.00070,2212.00000,0.00970,1958.00000,0.01010,1880.00000,0.01190,1640.00000,-10.26700,0.39200,-9.39200,0.56500,-9.75400,0.32900,-9.44800,0.94600,-9.11500,0.40700,-9.60800,0.69600,-8.92900,0.48100,-10.16800,0.37500,-10.74100,0.32600,-12.09400,0.38200,-11.66300,0.64300,-11.31900,0.46400,-11.74700,0.44300,-11.19200,0.52700,-10.94300,0.30200,-11.60300,0.39700,-12.14600,0.38800,-12.01600,0.46500,-11.49300,0.43000,-10.82100,0.64200,-10.68200,0.69100,-10.06400,0.53200,-10.18200,0.57300,-10.34300,0.61400,-10.59800,0.42800,-10.12100,0.67200,-9.54700,0.52500,-9.93600,0.63500,-9.87200,0.59200,-9.68900,0.52800,-9.46700,0.70100,-10.06800,0.66800,-10.20900,0.72400,0,0.00860,2.35290,0.45680,22028196,4.80000,3.17000
44.67500,25.92500,Bucharest,1,0.00310,1829.00000,0.02130,2931.00000,0.02200,2828.00000,0.02630,2301.00000,-10.22600,0.39500,-9.38000,0.56900,-9.71900,0.33300,-9.44400,0.90400,-9.10200,0.39800,-9.57500,0.69300,-8.89600,0.48500,-10.15700,0.35900,-10.70200,0.31700,-12.02900,0.36300,-11.62100,0.66000,-11.22400,0.47500,-11.66900,0.44500,-11.13300,0.54100,-10.86200,0.32700,-11.47900,0.39400,-11.97400,0.40400,-11.83200,0.49000,-11.36500,0.44800,-10.70900,0.61100,-10.57800,0.67600,-10.04300,0.53300,-10.11100,0.53100,-10.28300,0.57600,-10.50700,0.42600,-10.07900,0.67400,-9.48300,0.52800,-9.84800,0.61100,-9.80600,0.56000,-9.64100,0.53000,-9.38900,0.71200,-10.00400,0.66600,-10.13000,0.70800,0,0.00800,2.30110,0.41230,22028196,5.90000,3.45000
44.67500,25.97500,Bucharest,1,0.01220,4620.00000,0.05090,5195.00000,0.05210,5546.00000,0.05650,5731.00000,-10.12500,0.40300,-9.35300,0.57700,-9.63100,0.34200,-9.43600,0.79400,-9.06900,0.37300,-9.49600,0.68400,-8.81300,0.49300,-10.13200,0.32100,-10.66800,0.32800,-11.96100,0.36200,-11.55000,0.67600,-11.12700,0.48000,-11.58900,0.44600,-11.04300,0.54600,-10.76400,0.33400,-11.33400,0.38400,-11.80300,0.42100,-11.64600,0.50500,-11.23000,0.46600,-10.59400,0.57600,-10.46700,0.66000,-10.00800,0.53700,-10.01600,0.49200,-10.21200,0.54700,-10.39100,0.41200,-10.03100,0.66500,-9.41200,0.52600,-9.76100,0.57700,-9.73100,0.53400,-9.59200,0.53200,-9.31300,0.71800,-9.93200,0.64700,-10.00100,0.66600,0,0.01340,3.31670,0.66370,22028196,6.95000,3.74000
44.67500,26.02500,Bucharest,1,0.00760,845.00000,0.04640,1960.00000,0.04770,2558.00000,0.05060,3047.00000,-10.12500,0.40500,-9.35500,0.57900,-9.63200,0.34200,-9.43900,0.78900,-9.07100,0.37300,-9.49600,0.68400,-8.81200,0.49400,-10.13400,0.32200,-10.65600,0.35100,-11.89100,0.38000,-11.47400,0.68200,-11.04200,0.47900,-11.50300,0.45600,-10.94200,0.55200,-10.66700,0.34400,-11.20500,0.37800,-11.66200,0.44300,-11.49700,0.51900,-11.10700,0.44900,-10.48000,0.56600,-10.31200,0.62100,-9.96700,0.54100,-9.91600,0.48700,-10.12800,0.53600,-10.26900,0.42000,-9.97600,0.65500,-9.35700,0.51900,-9.67100,0.55200,-9.65300,0.52700,-9.52800,0.54100,-9.26100,0.70100,-9.85400,0.62500,-9.86800,0.62800,0,0.01290,2.77410,0.71320,22028196,9.67000,4.18000
44.67500,26.07500,Bucharest,1,0.00320,1047.00000,0.03160,1127.00000,0.03660,1596.00000,0.04430,2227.00000,-10.09800,0.44500,-9.39600,0.62200,-9.62800,0.35300,-9.51100,0.67500,-9.10500,0.37200,-9.47700,0.69700,-8.76500,0.51800,-10.18100,0.33100,-10.65100,0.38000,-11.86700,0.40200,-11.42400,0.66900,-10.97900,0.47600,-11.46000,0.46900,-10.86100,0.56500,-10.59800,0.33100,-11.11000,0.37400,-11.56500,0.44800,-11.40600,0.50700,-11.04800,0.44800,-10.32300,0.54700,-10.21900,0.59900,-9.87300,0.52000,-9.80400,0.51300,-10.03300,0.52600,-10.16600,0.43500,-9.88800,0.62900,-9.26900,0.50000,-9.52200,0.52200,-9.54000,0.51400,-9.41400,0.52200,-9.22800,0.64600,-9.73900,0.61900,-9.75500,0.62700,0,0.01130,3.62620,0.57860,22028196,14.17000,4.46000
44.67500,26.12500,Bucharest,1,0.00060,703.00000,0.02470,2263.00000,0.02850,3087.00000,0.03390,4023.00000,-10.09900,0.44600,-9.39600,0.62200,-9.62900,0.35300,-9.51200,0.67500,-9.10600,0.37200,-9.47800,0.69700,-8.76500,0.51800,-10.18100,0.33100,-10.67700,0.41100,-11.90500,0.42300,-11.44100,0.69300,-10.95500,0.49400,-11.46900,0.49200,-10.80000,0.59000,-10.57900,0.32300,-11.08200,0.38100,-11.57400,0.43400,-11.41800,0.50500,-11.05300,0.45900,-10.22500,0.53000,-10.15100,0.58700,-9.80200,0.53700,-9.70200,0.58300,-9.97800,0.53400,-10.08900,0.48300,-9.81300,0.63100,-9.24300,0.48400,-9.42800,0.51500,-9.43100,0.55900,-9.36300,0.51200,-9.21600,0.64600,-9.68000,0.62600,-9.71200,0.63600,0,0.01830,2.74470,1.16140,22028196,31.84000,5.23000
44.67500,26.17500,Bucharest,0,0.00040,205.00000,0.00910,531.00000,0.00970,710.00000,0.01410,1199.00000,-10.14700,0.48300,-9.51300,0.67800,-9.70700,0.37600,-9.71000,0.55600,-9.17900,0.38900,-9.52500,0.72400,-8.79500,0.54500,-10.29600,0.33700,-10.72700,0.44600,-11.98700,0.43800,-11.51600,0.71400,-10.95900,0.52400,-11.52900,0.51300,-10.78900,0.60900,-10.60800,0.31800,-11.11500,0.39300,-11.63400,0.44900,-11.50900,0.50700,-11.12800,0.49300,-10.22000,0.54500,-10.14400,0.58800,-9.77800,0.54800,-9.66000,0.61900,-9.96300,0.54500,-10.06500,0.50300,-9.78400,0.65100,-9.26300,0.48400,-9.39800,0.51900,-9.41100,0.58500,-9.36600,0.50500,-9.23400,0.65600,-9.67700,0.62300,-9.71500,0.63800,0,0.00640,1.83250,0.36720,22028196,39.12000,6.25000
44.67500,26.22500,Bucharest,0,0.00010,0.00000,0.00210,103.00000,0.00230,139.00000,0.01320,791.00000,-10.16100,0.49300,-9.54400,0.69300,-9.72800,0.38200,-9.76200,0.52500,-9.19800,0.39300,-9.53800,0.73100,-8.80300,0.55200,-10.32700,0.33900,-10.78700,0.46900,-12.10600,0.45300,-11.64100,0.74100,-11.00300,0.54600,-11.62000,0.53100,-10.81000,0.63700,-10.67200,0.32100,-11.20000,0.40400,-11.77400,0.46200,-11.66800,0.52200,-11.26400,0.54100,-10.28400,0.58500,-10.18800,0.60600,-9.80800,0.56600,-9.65800,0.65300,-9.97900,0.56200,-10.08500,0.52300,-9.77800,0.70700,-9.33800,0.51500,-9.41700,0.52700,-9.45800,0.62700,-9.41100,0.50000,-9.32000,0.67500,-9.72700,0.60300,-9.77700,0.58600,0,0.00220,1.35910,0.09620,22028196,30.38000,5.90000
44.67500,26.27500,Bucharest,0,0.00070,254.00000,0.01350,836.00000,0.01400,1126.00000,0.01560,1611.00000,-10.23900,0.51600,-9.66700,0.73200,-9.83300,0.41500,-9.89600,0.45500,-9.26500,0.41100,-9.60500,0.75900,-8.86300,0.56500,-10.45300,0.34300,-10.84600,0.49400,-12.22000,0.45800,-11.80600,0.76900,-11.06600,0.56900,-11.71800,0.53600,-10.85900,0.67500,-10.75800,0.32200,-11.31900,0.41000,-11.94600,0.48800,-11.87200,0.54200,-11.43000,0.60000,-10.37700,0.64100,-10.28700,0.62900,-9.87000,0.58900,-9.69100,0.68500,-10.04500,0.60700,-10.15100,0.54900,-9.80900,0.74400,-9.46600,0.57500,-9.48700,0.54900,-9.56300,0.67400,-9.51400,0.53700,-9.47500,0.69700,-9.85700,0.62800,-9.94600,0.60500,0,0.00640,1.64190,0.34220,22028196,23.74000,6.07000
