latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
47.77500,18.82500,Budapest,0,0.00010,0.00000,0.00050,21.00000,0.00060,14.00000,0.00190,25.00000,-9.84800,0.32100,-9.59700,0.45700,-9.64000,0.33200,-9.43000,0.51500,-9.79800,0.42700,-9.60000,0.36400,-9.27800,0.39100,-9.95400,0.32900,-11.37600,0.29400,-11.95900,0.27700,-11.40500,0.27500,-11.54100,0.35200,-12.07800,0.42300,-11.68600,0.36300,-11.28100,0.26600,-11.41400,0.30400,-11.66500,0.35200,-11.44300,0.33000,-11.56500,0.35600,-9.54700,0.31900,-9.27900,0.38000,-9.40700,0.31900,-8.77700,0.31700,-9.31200,0.40200,-9.48100,0.36500,-9.41000,0.28500,-8.99200,0.25600,-9.32300,0.32200,-9.03700,0.24700,-9.19200,0.36900,-9.15700,0.50700,-9.21900,0.34300,-9.11000,0.37200,0,0.00070,0.31560,0.03990,20833258,60.71000,6.79000
47.77500,18.87500,Budapest,1,0.00520,3919.00000,0.01720,3115.00000,0.01850,2277.00000,0.02220,1295.00000,-9.79900,0.27500,-9.55000,0.35700,-9.56100,0.31000,-9.37300,0.49600,-9.79100,0.42800,-9.53500,0.33200,-9.20000,0.42500,-9.83800,0.33200,-11.35000,0.25800,-11.89600,0.27700,-11.36400,0.25300,-11.47500,0.33800,-12.00400,0.43000,-11.63800,0.36800,-11.24600,0.25100,-11.35000,0.28200,-11.61500,0.32300,-11.39900,0.32000,-11.49400,0.34800,-9.55400,0.31000,-9.27700,0.34900,-9.39400,0.30700,-8.81900,0.29900,-9.31100,0.39300,-9.47300,0.34800,-9.40200,0.28000,-9.01100,0.24700,-9.33300,0.31400,-9.07100,0.23400,-9.19700,0.33600,-9.20300,0.47100,-9.23000,0.34200,-9.16600,0.36400,0,0.00790,2.34610,0.46100,20833258,33.89000,6.22000
47.77500,18.92500,Budapest,1,0.01460,3602.00000,0.03100,2978.00000,0.03670,2743.00000,0.03990,2589.00000,-9.77400,0.26600,-9.52900,0.33500,-9.53500,0.30400,-9.35300,0.49300,-9.77600,0.42700,-9.51000,0.32400,-9.17500,0.42800,-9.80300,0.33400,-11.33000,0.25700,-11.84400,0.27200,-11.33800,0.23700,-11.42800,0.33100,-11.94800,0.42600,-11.59500,0.36600,-11.21900,0.24000,-11.29800,0.26800,-11.57600,0.31200,-11.36200,0.31400,-11.43400,0.33700,-9.58800,0.32000,-9.28100,0.34500,-9.42000,0.30900,-8.87300,0.30600,-9.32200,0.39000,-9.47700,0.33500,-9.43500,0.28300,-9.03500,0.23700,-9.34200,0.32000,-9.09800,0.22900,-9.22500,0.31900,-9.22800,0.44500,-9.25600,0.34100,-9.20700,0.36600,0,0.00830,2.71520,0.56240,20833258,36.45000,6.31000
47.77500,18.97500,Budapest,1,0.02580,6461.00000,0.04180,6268.00000,0.04480,6047.00000,0.04900,5600.00000,-9.77800,0.26400,-9.53500,0.30900,-9.52100,0.29400,-9.34700,0.49400,-9.78400,0.43900,-9.49200,0.31700,-9.15000,0.45500,-9.80500,0.27800,-11.30600,0.26900,-11.80000,0.26500,-11.32700,0.23200,-11.38400,0.32300,-11.89700,0.41800,-11.55000,0.35900,-11.19200,0.23700,-11.25200,0.25900,-11.53700,0.30500,-11.32700,0.31000,-11.37300,0.32700,-9.63200,0.32700,-9.30000,0.35300,-9.45600,0.32300,-8.92200,0.31800,-9.36200,0.40300,-9.50800,0.32900,-9.49000,0.27500,-9.06000,0.23500,-9.36900,0.33300,-9.12700,0.22400,-9.26500,0.30700,-9.23800,0.42700,-9.28600,0.33800,-9.23500,0.37500,0,0.01590,3.34600,1.07710,20833258,42.72000,6.69000
47.77500,19.02500,Budapest,0,0.00910,3192.00000,0.02870,2984.00000,0.03160,2738.00000,0.04070,2168.00000,-9.79800,0.26400,-9.55500,0.26900,-9.50500,0.27800,-9.34400,0.49600,-9.80500,0.46100,-9.47200,0.30600,-9.11600,0.50400,-9.82000,0.18300,-11.27200,0.28700,-11.76400,0.26000,-11.32900,0.24100,-11.34300,0.32000,-11.84700,0.41000,-11.50300,0.34800,-11.15900,0.24100,-11.21200,0.25500,-11.50100,0.30300,-11.29200,0.30700,-11.30800,0.31900,-9.66900,0.32500,-9.33400,0.36300,-9.48800,0.34600,-8.95400,0.32800,-9.41900,0.42600,-9.56400,0.33100,-9.54500,0.25600,-9.08400,0.24500,-9.41300,0.35000,-9.15700,0.21900,-9.30900,0.29200,-9.23500,0.42000,-9.30800,0.33700,-9.24300,0.38500,0,0.00950,2.07230,0.66760,20833258,43.17000,7.18000
47.77500,19.07500,Budapest,1,0.02410,4757.00000,0.05510,4902.00000,0.06030,4820.00000,0.07660,4667.00000,-9.77800,0.26300,-9.54000,0.26700,-9.49100,0.27800,-9.33100,0.49500,-9.78700,0.46000,-9.45600,0.30300,-9.10200,0.50100,-9.80500,0.18200,-11.22900,0.31100,-11.74700,0.26000,-11.33600,0.26400,-11.32900,0.33800,-11.79800,0.40700,-11.47100,0.32500,-11.12700,0.25200,-11.19600,0.26500,-11.48300,0.32000,-11.26400,0.30800,-11.25400,0.31500,-9.70100,0.32700,-9.37900,0.37300,-9.51700,0.36000,-8.97600,0.33700,-9.46600,0.43700,-9.63000,0.34100,-9.57600,0.25300,-9.10700,0.26200,-9.46800,0.36800,-9.20700,0.23200,-9.35600,0.26800,-9.24500,0.44700,-9.33100,0.34700,-9.24800,0.39700,0,0.01050,2.85260,0.69610,20833258,9.93000,5.27000
47.77500,19.12500,Budapest,2,0.20540,30698.00000,0.25070,30004.00000,0.26740,28895.00000,0.28590,26807.00000,-9.93100,0.28000,-9.68200,0.24100,-9.59300,0.25800,-9.43000,0.56100,-9.89800,0.51000,-9.50900,0.30700,-9.11000,0.57800,-9.91500,0.14900,-11.25000,0.33100,-11.81200,0.27900,-11.38400,0.30500,-11.40100,0.34900,-11.83200,0.41700,-11.50300,0.31400,-11.18200,0.27400,-11.25700,0.29800,-11.54800,0.34300,-11.33000,0.32300,-11.30400,0.32600,-9.75200,0.34600,-9.42500,0.39200,-9.55800,0.37200,-8.99700,0.34600,-9.51400,0.44300,-9.69600,0.35100,-9.61600,0.26100,-9.12800,0.27900,-9.53200,0.39200,-9.27100,0.25200,-9.39800,0.26700,-9.30300,0.49000,-9.39600,0.36900,-9.28600,0.43300,0,0.04680,5.75900,3.78010,20833258,8.23000,4.69000
47.77500,19.17500,Budapest,1,0.05070,2760.00000,0.06290,4277.00000,0.07330,5355.00000,0.07930,5105.00000,-9.91200,0.28000,-9.66800,0.24000,-9.58000,0.25900,-9.41800,0.56100,-9.88200,0.50900,-9.49500,0.30400,-9.09700,0.57700,-9.89900,0.14900,-11.27800,0.35900,-11.90900,0.29400,-11.45200,0.32200,-11.47600,0.36800,-11.89300,0.42900,-11.55200,0.30400,-11.24700,0.28900,-11.32400,0.32400,-11.63900,0.36200,-11.40500,0.32600,-11.38500,0.32700,-9.81100,0.35900,-9.48900,0.43400,-9.61000,0.38300,-9.03200,0.36500,-9.61600,0.47200,-9.80400,0.39400,-9.70800,0.31600,-9.16000,0.29700,-9.64200,0.43900,-9.35400,0.29000,-9.45600,0.28200,-9.35400,0.52600,-9.47200,0.39200,-9.32300,0.46000,0,0.01360,3.98990,0.88180,20833258,7.93000,4.39000
47.77500,19.22500,Budapest,1,0.00450,2889.00000,0.01240,2656.00000,0.01390,2630.00000,0.01850,2528.00000,-10.17600,0.53800,-9.80800,0.22900,-9.69000,0.26300,-9.55000,0.63800,-10.00600,0.55400,-9.57300,0.32200,-9.13300,0.61000,-9.99200,0.17500,-11.32000,0.38300,-12.00800,0.31500,-11.52800,0.33700,-11.54500,0.39600,-11.97700,0.44900,-11.62800,0.31700,-11.31900,0.29600,-11.40500,0.34900,-11.73200,0.36900,-11.49800,0.33500,-11.48200,0.32800,-9.91900,0.39700,-9.57200,0.48700,-9.70000,0.40900,-9.06800,0.38800,-9.73400,0.48800,-9.95800,0.45600,-9.81100,0.36300,-9.21400,0.31600,-9.75900,0.47100,-9.44000,0.32100,-9.54700,0.31400,-9.41200,0.54400,-9.56400,0.40300,-9.41100,0.49800,0,0.00710,2.20610,0.41550,20833258,9.60000,4.51000
47.77500,19.27500,Budapest,0,0.00100,288.00000,0.00430,132.00000,0.00470,130.00000,0.00580,107.00000,-10.33300,0.68900,-9.89100,0.22300,-9.75600,0.26600,-9.62900,0.68200,-10.08100,0.58000,-9.62100,0.33200,-9.15600,0.62900,-10.04800,0.19000,-11.36700,0.39700,-12.11400,0.32900,-11.60300,0.34500,-11.62300,0.42300,-12.06700,0.46800,-11.71300,0.33300,-11.39600,0.29300,-11.49500,0.38000,-11.83500,0.36500,-11.59400,0.34800,-11.59500,0.33600,-10.02300,0.43300,-9.64600,0.53900,-9.79500,0.42700,-9.10500,0.41300,-9.82800,0.50900,-10.10300,0.50200,-9.90900,0.40000,-9.27000,0.33600,-9.86400,0.48500,-9.52900,0.35000,-9.62700,0.34800,-9.48000,0.58500,-9.64400,0.41500,-9.50700,0.53200,0,0.00080,0.20110,0.04290,20833258,31.66000,6.91000
