latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-34.37500,-58.62500,BuenosAires,1,0.01760,268.00000,0.04530,2414.00000,0.10110,8589.00000,0.12540,14495.00000,-8.20700,0.33400,-7.54400,0.30500,-8.39500,0.26600,-8.09500,0.14400,-8.30400,0.08700,-8.04500,0.13800,-7.88900,0.23400,-8.31600,0.40600,-9999.00000,-9999.00000,-9.48600,0.26500,-9.20500,0.35600,-9.20600,0.22300,-9.19400,0.27800,-9.29000,0.15000,-9.11100,0.29700,-9.10700,0.33300,-9.04000,0.30300,-9.11300,0.25900,-9.00200,0.31000,-8.31100,0.41900,-8.40100,0.34500,-8.30500,0.55400,-8.05200,0.34400,-8.11000,0.43500,-8.13200,0.46500,-7.97900,0.43600,-7.79800,0.43900,-7.86000,0.50400,-7.93200,0.43400,-7.60900,0.46800,-7.77400,0.58500,-7.60800,0.48600,-7.72200,0.67400,0,-9999,-9999,-9999,25507286,25.36000,6.51000
-34.37500,-58.57500,BuenosAires,0,0.01360,11.00000,0.02520,51.00000,0.02910,76.00000,0.03690,162.00000,-8.18100,0.33200,-7.52800,0.30300,-8.38100,0.27400,-8.08800,0.13500,-8.30000,0.07900,-8.06300,0.14200,-7.89200,0.23600,-8.29800,0.41800,-9999.00000,-9999.00000,-9.61100,0.26000,-9.40900,0.35100,-9.38700,0.24900,-9.36700,0.29800,-9.47600,0.19000,-9.32700,0.26400,-9.27800,0.36600,-9.19300,0.33700,-9.27800,0.26600,-9.21100,0.33000,-8.59000,0.29000,-8.59000,0.36100,-8.56200,0.43300,-8.38700,0.27100,-8.50000,0.31100,-8.51200,0.35800,-8.38600,0.31700,-8.22500,0.35500,-8.32800,0.41700,-8.42500,0.29400,-8.13800,0.29600,-8.32500,0.42000,-8.19400,0.33900,-8.30000,0.53400,0,-9999,-9999,-9999,25507286,34.25000,7.95000
-34.37500,-58.52500,BuenosAires,0,0.00010,12.00000,0.00020,24.00000,0.00170,89.00000,0.00260,222.00000,-8.37700,0.33900,-7.89900,0.33400,-8.70400,0.33500,-8.43700,0.17900,-8.64800,0.12500,-8.52000,0.20500,-8.25400,0.29200,-8.62200,0.51900,-9999.00000,-9999.00000,-10.11500,0.27800,-9.93700,0.36700,-9.94300,0.34300,-9.92600,0.30400,-10.01500,0.22600,-9.85800,0.27500,-9.82600,0.44400,-9.72400,0.32600,-9.83700,0.31800,-9.76900,0.38800,-9.20700,0.25500,-9.09800,0.34700,-9.18200,0.37300,-9.09500,0.30900,-9.17000,0.30100,-9.19400,0.35100,-9.06700,0.33300,-8.91900,0.32200,-9.06300,0.34600,-9.06600,0.29000,-8.93100,0.33400,-9.15800,0.27500,-8.97500,0.35800,-9.03000,0.47600,0,-9999,-9999,-9999,25507286,28.43000,7.51000
-34.37500,-58.47500,BuenosAires,0,0.00000,0.00000,0.00000,4.00000,0.00020,214.00000,0.00040,325.00000,-8.40900,0.34000,-7.95500,0.33800,-8.75300,0.34300,-8.49000,0.18500,-8.70000,0.13100,-8.58700,0.21400,-8.30900,0.30000,-8.67200,0.53200,-9999.00000,-9999.00000,-11.03800,0.30700,-10.91300,0.41700,-10.92900,0.49300,-10.88700,0.34700,-10.99000,0.22400,-10.85000,0.31400,-10.74300,0.54700,-10.68600,0.39900,-10.82700,0.39300,-10.68800,0.42500,-10.59000,0.34800,-10.45900,0.31700,-10.53000,0.34200,-10.43900,0.32200,-10.45500,0.38800,-10.38700,0.37800,-10.48300,0.31300,-10.30400,0.32000,-10.43300,0.37600,-10.44200,0.37200,-10.29600,0.35900,-10.54800,0.33600,-10.49400,0.45400,-10.43600,0.54800,51,-9999,-9999,-9999,25507286,21.07000,7.13000
-34.37500,-58.42500,BuenosAires,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.41600,0.34000,-7.96300,0.33700,-8.76000,0.34200,-8.49800,0.18500,-8.70800,0.13100,-8.59500,0.21500,-8.31700,0.30000,-8.67900,0.53200,-9999.00000,-9999.00000,-12.71900,0.38600,-12.71600,0.48000,-12.65500,0.66700,-12.59300,0.40700,-12.71400,0.27000,-12.56000,0.44200,-12.44700,0.66100,-12.39700,0.48300,-12.46700,0.53000,-12.36000,0.56600,-12.75900,0.52000,-12.51300,0.41900,-12.60100,0.50100,-12.58700,0.49900,-12.51200,0.48000,-12.50600,0.45000,-12.48100,0.44400,-12.35400,0.48700,-12.45100,0.62200,-12.53800,0.49900,-12.57100,0.53600,-12.72500,0.60700,-12.85500,0.52600,-12.70600,0.78200,100,-9999,-9999,-9999,25507286,13.20000,7.01000
-34.37500,-58.37500,BuenosAires,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-12.81500,0.39100,-12.82000,0.48300,-12.75400,0.67700,-12.69100,0.41000,-12.81200,0.27300,-12.65700,0.45000,-12.54400,0.66800,-12.49500,0.48700,-12.56000,0.53800,-12.45600,0.57400,-12.88300,0.53000,-12.63000,0.42500,-12.71900,0.51100,-12.71000,0.51000,-12.62900,0.48500,-12.62800,0.45500,-12.59400,0.45200,-12.47100,0.49800,-12.56600,0.63700,-12.65800,0.50600,-12.70100,0.54600,-12.84900,0.62300,-12.98900,0.53000,-12.83600,0.79600,100,-9999,-9999,-9999,25507286,-9999.00000,-9999.00000
-34.37500,-58.32500,BuenosAires,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,25507286,-9999.00000,9.96000
-34.37500,-58.27500,BuenosAires,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,25507286,-9999.00000,10.12000
-34.37500,-58.22500,BuenosAires,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,25507286,-9999.00000,-9999.00000
-34.37500,-58.17500,BuenosAires,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,25507286,-9999.00000,-9999.00000
