latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
43.12500,-79.12500,Buffalo,2,0.31950,23513.00000,0.46760,25030.00000,0.52200,25546.00000,0.54290,25897.00000,-11.62400,0.87000,-12.68900,3.20000,-10.78900,0.34700,-11.25100,1.39500,-10.93700,0.33000,-11.06900,0.38400,-11.11900,0.41500,-10.63800,0.25800,-10.92400,0.30200,-10.72500,0.25600,-10.84200,0.26700,-10.74700,0.28400,-10.60400,0.31500,-10.52500,0.34900,-10.57700,0.24300,-10.33900,0.32600,-10.71900,0.26300,-10.39900,0.31100,-10.34300,0.29000,-9.20200,0.36100,-8.84200,0.35500,-8.67700,0.33000,-8.87900,0.27500,-8.93700,0.38000,-9.05700,0.21400,-8.64900,0.39000,-8.66000,0.29200,-8.83300,0.19900,-9.01300,0.30600,-8.60000,0.28300,-8.84600,0.41400,-8.55500,0.44400,-8.75400,0.42100,0,0.00000,0.00000,0.00000,22601054,16.14000,5.09000
43.12500,-79.07500,Buffalo,2,0.43740,20396.00000,0.50040,21525.00000,0.51120,21894.00000,0.52680,21979.00000,-11.51700,0.84800,-12.26100,2.57600,-10.74700,0.35400,-11.21400,1.34500,-10.93100,0.34600,-11.03900,0.38500,-11.11000,0.41700,-10.63000,0.24400,-10.78300,0.30600,-10.60400,0.26800,-10.73700,0.25700,-10.62000,0.25900,-10.48300,0.31400,-10.42100,0.35100,-10.44000,0.23400,-10.20300,0.31400,-10.57200,0.26900,-10.25500,0.28600,-10.20700,0.29200,-9.14900,0.36900,-8.81600,0.34500,-8.69100,0.34700,-8.86600,0.26300,-8.92600,0.36600,-9.05200,0.22400,-8.66200,0.39400,-8.67000,0.28700,-8.84500,0.19800,-9.03000,0.29100,-8.61700,0.27600,-8.85600,0.42700,-8.58800,0.44500,-8.75100,0.42900,0,0.01070,0.56800,0.54680,22601054,18.57000,6.16000
43.12500,-79.02500,Buffalo,2,0.44920,18079.00000,0.51570,18425.00000,0.52450,18684.00000,0.53560,18144.00000,-11.22200,0.84700,-11.66600,1.80100,-10.55800,0.34800,-11.02800,1.21800,-10.76400,0.36900,-10.83400,0.37800,-10.93400,0.40600,-10.45600,0.22900,-10.64400,0.30300,-10.49300,0.28800,-10.65000,0.25200,-10.52900,0.24300,-10.35900,0.30000,-10.31800,0.35400,-10.32600,0.22100,-10.08400,0.30000,-10.45200,0.25800,-10.13000,0.25700,-10.09300,0.29500,-9.16000,0.38600,-8.84500,0.33800,-8.78000,0.36100,-8.92800,0.25500,-8.98600,0.35600,-9.14600,0.25200,-8.75800,0.40100,-8.75900,0.31100,-8.93900,0.21800,-9.12900,0.29100,-8.70900,0.27400,-8.92200,0.43800,-8.68100,0.45300,-8.82200,0.45200,0,0.06790,4.19580,3.36430,22601054,15.63000,5.10000
43.12500,-78.97500,Buffalo,1,0.21000,5768.00000,0.29230,5922.00000,0.30630,6014.00000,0.31680,5785.00000,-10.96500,0.85000,-11.42500,1.65000,-10.37700,0.33900,-10.84700,1.10200,-10.59600,0.38500,-10.63300,0.36900,-10.75600,0.39300,-10.28000,0.21600,-10.53400,0.30400,-10.41900,0.31000,-10.58400,0.25900,-10.49000,0.24300,-10.27300,0.28800,-10.23700,0.34700,-10.24300,0.21100,-10.00100,0.28100,-10.38200,0.26100,-10.03800,0.23500,-10.02200,0.30000,-9.40900,0.42000,-9.09200,0.33200,-9.04200,0.36000,-9.17000,0.27100,-9.24100,0.36000,-9.44700,0.27300,-9.01300,0.37800,-8.99200,0.35400,-9.21100,0.25500,-9.39500,0.35200,-8.91700,0.28000,-9.14300,0.48000,-8.84600,0.46600,-9.06000,0.50600,0,0.03470,3.77470,1.65460,22601054,17.46000,6.06000
43.12500,-78.92500,Buffalo,1,0.10620,2220.00000,0.16630,2376.00000,0.17980,2352.00000,0.20410,2291.00000,-10.78800,0.87100,-11.39500,1.90000,-10.23600,0.34200,-10.70600,1.03400,-10.43400,0.38700,-10.45300,0.37500,-10.58700,0.36400,-10.11600,0.21500,-10.53100,0.30400,-10.42600,0.33200,-10.58800,0.27700,-10.54100,0.25600,-10.27400,0.28500,-10.23600,0.33500,-10.24200,0.21700,-10.00900,0.27100,-10.40900,0.29100,-10.03400,0.22400,-10.03400,0.30600,-9.84800,0.42200,-9.47200,0.29300,-9.37500,0.36000,-9.49400,0.28400,-9.63400,0.39800,-9.83400,0.28500,-9.30300,0.34400,-9.29400,0.37400,-9.55600,0.25400,-9.74600,0.41900,-9.21500,0.28800,-9.47100,0.53000,-9.11000,0.49100,-9.44400,0.54100,0,0.01920,3.49140,0.87040,22601054,15.90000,5.67000
43.12500,-78.87500,Buffalo,1,0.01560,3236.00000,0.04410,3407.00000,0.05100,3460.00000,0.07960,3234.00000,-10.45700,0.90900,-11.33800,2.36800,-9.97200,0.34800,-10.44000,0.90700,-10.13200,0.39200,-10.11600,0.38800,-10.27100,0.31100,-9.80800,0.21400,-10.53700,0.29800,-10.41700,0.35600,-10.58000,0.29200,-10.57500,0.27100,-10.26000,0.27500,-10.23000,0.32900,-10.24600,0.23300,-10.02400,0.27300,-10.42800,0.30700,-10.04500,0.22000,-10.05300,0.29200,-10.01600,0.39000,-9.58100,0.24500,-9.47100,0.37000,-9.58400,0.26300,-9.78900,0.42500,-9.95000,0.29200,-9.36000,0.34400,-9.40400,0.36200,-9.64300,0.21700,-9.85000,0.40000,-9.35700,0.28700,-9.62200,0.53500,-9.28100,0.49000,-9.61900,0.50600,0,0.01260,3.11030,0.55490,22601054,16.59000,6.00000
43.12500,-78.82500,Buffalo,1,0.01270,2091.00000,0.03540,2019.00000,0.04140,2014.00000,0.06860,2069.00000,-10.39800,0.92500,-11.34300,2.46800,-9.93500,0.35300,-10.38900,0.87400,-10.07700,0.39000,-10.05900,0.38900,-10.21800,0.30100,-9.75600,0.21200,-10.54500,0.29200,-10.44600,0.38500,-10.58300,0.29900,-10.61700,0.28400,-10.27800,0.25700,-10.24500,0.32600,-10.27300,0.24700,-10.07400,0.26500,-10.47000,0.31300,-10.07900,0.22200,-10.10500,0.27600,-10.02200,0.39100,-9.59100,0.24000,-9.48300,0.36300,-9.59700,0.25500,-9.80300,0.40400,-9.96400,0.28200,-9.35900,0.34100,-9.43700,0.34600,-9.64300,0.21300,-9.85300,0.37200,-9.36800,0.27300,-9.66200,0.53200,-9.31900,0.47600,-9.64100,0.48300,0,0.00900,3.34790,0.41500,22601054,19.91000,6.39000
43.12500,-78.77500,Buffalo,1,0.01220,1565.00000,0.03530,1490.00000,0.04400,1520.00000,0.06220,1538.00000,-10.09100,1.00600,-11.36700,2.97900,-9.74300,0.38100,-10.12400,0.70300,-9.79700,0.38200,-9.76600,0.39600,-9.94700,0.25100,-9.48900,0.19900,-10.60100,0.30000,-10.52900,0.40400,-10.62600,0.31900,-10.67800,0.29600,-10.30600,0.25600,-10.29000,0.32100,-10.33600,0.27800,-10.16400,0.26500,-10.55600,0.31900,-10.15900,0.23700,-10.19500,0.26800,-10.01200,0.38700,-9.58100,0.23600,-9.48000,0.35900,-9.60000,0.25000,-9.79400,0.38500,-9.96000,0.27200,-9.34900,0.33800,-9.45400,0.33800,-9.63700,0.21300,-9.84800,0.34100,-9.36500,0.26600,-9.66400,0.51700,-9.33100,0.46300,-9.63600,0.45700,0,0.00680,3.28240,0.27820,22601054,19.69000,6.39000
43.12500,-78.72500,Buffalo,1,0.04450,1980.00000,0.08790,2230.00000,0.10130,2292.00000,0.11390,2211.00000,-10.08000,1.00900,-11.36800,2.99700,-9.73600,0.38200,-10.11500,0.69700,-9.78800,0.38100,-9.75600,0.39600,-9.93800,0.24900,-9.48000,0.19900,-10.68000,0.30600,-10.60700,0.41800,-10.69000,0.32300,-10.74900,0.30600,-10.33900,0.25500,-10.34300,0.33400,-10.40500,0.28600,-10.23900,0.27500,-10.64800,0.33800,-10.25800,0.24100,-10.27400,0.27300,-10.01300,0.38500,-9.57800,0.23500,-9.48500,0.35200,-9.61500,0.24400,-9.78700,0.36500,-9.96900,0.26700,-9.35100,0.33900,-9.47600,0.33500,-9.64200,0.21500,-9.85200,0.32500,-9.37100,0.25700,-9.67700,0.49300,-9.34100,0.45800,-9.66300,0.38400,0,0.01020,2.67390,0.46380,22601054,24.96000,7.04000
43.12500,-78.67500,Buffalo,1,0.08260,9925.00000,0.16730,10132.00000,0.19660,10360.00000,0.21050,10037.00000,-9.93800,1.08300,-11.44900,3.59400,-9.66300,0.40900,-9.92200,0.50700,-9.64600,0.37000,-9.62300,0.39100,-9.85500,0.25500,-9.36200,0.18100,-10.79200,0.32600,-10.72200,0.43200,-10.79400,0.32700,-10.85600,0.30300,-10.41800,0.27300,-10.42700,0.35500,-10.49600,0.29200,-10.34000,0.29400,-10.78800,0.35700,-10.36500,0.22700,-10.36800,0.28100,-10.04300,0.37800,-9.59700,0.23100,-9.51900,0.34700,-9.66200,0.22300,-9.80800,0.34600,-9.98900,0.25900,-9.38200,0.34700,-9.52000,0.32100,-9.66500,0.22000,-9.89400,0.29700,-9.40900,0.24400,-9.72000,0.48300,-9.42100,0.45900,-9.67900,0.37400,0,0.03020,3.21300,1.29700,22601054,20.85000,6.19000
