latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
35.32500,128.77500,Busan,2,0.02570,9738.00000,0.05760,11824.00000,0.08980,16666.00000,0.15240,27590.00000,-8.23300,0.25100,-8.46700,0.28400,-8.07700,0.24700,-8.31100,0.20600,-7.89900,0.38300,-7.58500,0.29600,-7.43800,0.25600,-7.47900,0.38500,-9.63400,0.39400,-9.55300,0.39600,-9.51100,0.30000,-8.98600,0.59000,-8.66300,0.48900,-8.78400,0.41700,-8.56400,0.44800,-8.30900,0.48700,-8.06200,0.53000,-8.42400,0.32700,-8.16000,0.35700,-6.61600,0.58600,-6.97200,0.42800,-6.58800,0.53600,-6.42700,0.65400,-6.51400,0.51100,-6.16200,0.64900,-6.44700,0.47000,-5.99800,0.54400,-6.22600,0.53200,-6.01500,0.53700,-6.14200,0.40200,-5.85700,0.65900,-5.62000,0.71600,-5.27800,0.85300,0,-9999.00000,-9999.00000,-9999.00000,25219742,11.29000,5.48000
35.32500,128.82500,Busan,2,0.01130,3513.00000,0.03160,6163.00000,0.05140,9585.00000,0.08170,20529.00000,-8.18100,0.24700,-8.40200,0.27800,-8.02800,0.24500,-8.24900,0.21400,-7.85800,0.39600,-7.52400,0.29400,-7.39200,0.25700,-7.44800,0.37800,-9.61200,0.39100,-9.49300,0.35500,-9.42400,0.31700,-8.90200,0.61100,-8.56900,0.50700,-8.67000,0.43700,-8.48800,0.44500,-8.23300,0.48500,-7.95300,0.54100,-8.37200,0.28700,-8.11900,0.35300,-6.44300,0.48000,-6.64600,0.35100,-6.42200,0.46200,-6.19100,0.49300,-6.29600,0.51200,-5.94600,0.57000,-6.22100,0.47000,-5.81300,0.48400,-6.01300,0.50200,-5.85000,0.54000,-6.07900,0.41900,-5.77100,0.67100,-5.62700,0.70300,-5.28100,0.89800,0,-9999.00000,-9999.00000,-9999.00000,25219742,28.94000,6.01000
35.32500,128.87500,Busan,1,0.00470,555.00000,0.01550,2433.00000,0.04250,7488.00000,0.06450,15337.00000,-8.10500,0.24200,-8.29500,0.26900,-7.90000,0.22900,-8.11000,0.25400,-7.71700,0.42400,-7.39900,0.28600,-7.27900,0.28300,-7.34600,0.36000,-9.54800,0.39800,-9.42600,0.33200,-9.34500,0.33700,-8.84300,0.63100,-8.51700,0.51200,-8.59700,0.45700,-8.44400,0.42500,-8.19100,0.48100,-7.89500,0.52900,-8.33200,0.24600,-8.13000,0.37700,-6.47600,0.40900,-6.68600,0.34300,-6.51000,0.45800,-6.31800,0.42100,-6.34000,0.44700,-6.05500,0.51500,-6.27400,0.47100,-5.93500,0.47200,-6.11800,0.43900,-5.86100,0.50900,-6.16600,0.41000,-5.84900,0.60500,-5.75900,0.65600,-5.36100,0.83800,0,-9999.00000,-9999.00000,-9999.00000,25219742,52.76000,5.81000
35.32500,128.92500,Busan,1,0.00100,56.00000,0.00620,1100.00000,0.01840,4144.00000,0.02910,8891.00000,-8.07400,0.24000,-8.25100,0.26600,-7.84800,0.22300,-8.05300,0.27000,-7.66000,0.43600,-7.34700,0.28300,-7.23400,0.29400,-7.30400,0.35300,-9.38700,0.37700,-9.29000,0.33300,-9.19400,0.37400,-8.70800,0.65000,-8.37300,0.52600,-8.49900,0.44900,-8.33700,0.42400,-8.09800,0.48400,-7.79200,0.50800,-8.21900,0.22400,-8.07800,0.39200,-6.52600,0.39900,-6.82000,0.37700,-6.59500,0.47300,-6.47700,0.46200,-6.46500,0.41600,-6.22800,0.48000,-6.36100,0.44800,-6.04400,0.47000,-6.17300,0.41400,-5.82000,0.46300,-6.15200,0.36300,-5.84700,0.54900,-5.69400,0.63400,-5.28000,0.80400,0,-9999.00000,-9999.00000,-9999.00000,25219742,41.87000,6.48000
35.32500,128.97500,Busan,1,0.00780,9998.00000,0.03090,10353.00000,0.06800,12393.00000,0.09690,23828.00000,-8.09700,0.24500,-8.28500,0.25900,-7.85500,0.22000,-8.04800,0.31300,-7.63200,0.43100,-7.35800,0.28100,-7.27000,0.29500,-7.31700,0.32800,-9.21600,0.37200,-9.15600,0.37000,-9.08100,0.37800,-8.61200,0.65600,-8.24300,0.53800,-8.44300,0.46600,-8.26500,0.43700,-8.02900,0.49900,-7.71700,0.50000,-8.13600,0.21700,-8.02500,0.40700,-6.57800,0.38900,-6.88500,0.40500,-6.65000,0.46700,-6.53800,0.49100,-6.53800,0.40800,-6.28600,0.44500,-6.42900,0.41200,-6.08800,0.43500,-6.20200,0.40100,-5.82000,0.42900,-6.14900,0.31900,-5.82400,0.53200,-5.61900,0.63000,-5.23500,0.78900,0,-9999.00000,-9999.00000,-9999.00000,25219742,31.75000,6.10000
35.32500,129.02500,Busan,2,0.02190,18017.00000,0.08980,39925.00000,0.15700,56655.00000,0.18530,87842.00000,-8.09200,0.24900,-8.29300,0.25500,-7.86000,0.22000,-8.04700,0.33200,-7.61800,0.42300,-7.36100,0.27700,-7.28700,0.28900,-7.31700,0.31200,-9.08900,0.37100,-9.10600,0.40700,-9.04000,0.34900,-8.59400,0.67300,-8.20400,0.56700,-8.46300,0.48200,-8.29400,0.45600,-8.02900,0.50300,-7.70500,0.49000,-8.10900,0.21500,-8.02000,0.41700,-6.61700,0.37600,-6.91700,0.40900,-6.69000,0.46200,-6.56800,0.48500,-6.57500,0.40600,-6.32000,0.43600,-6.46900,0.40500,-6.12400,0.42100,-6.23700,0.40200,-5.87600,0.42500,-6.18100,0.31100,-5.84000,0.52800,-5.64300,0.64000,-5.27700,0.78200,0,-9999.00000,-9999.00000,-9999.00000,25219742,20.25000,4.66000
35.32500,129.07500,Busan,1,0.01660,374.00000,0.05200,1519.00000,0.07240,1792.00000,0.07330,2039.00000,-8.24300,0.27400,-8.47300,0.25500,-8.03400,0.22500,-8.17600,0.37200,-7.72700,0.38200,-7.50000,0.27500,-7.44200,0.27500,-7.39400,0.27900,-9.12300,0.39800,-9.18600,0.43400,-9.14800,0.32800,-8.71100,0.67200,-8.32500,0.58600,-8.60000,0.47800,-8.43200,0.46300,-8.15400,0.50500,-7.78300,0.47800,-8.14600,0.23000,-8.07900,0.43900,-6.66100,0.37100,-6.97100,0.41700,-6.74700,0.45700,-6.61100,0.48200,-6.62500,0.39600,-6.37700,0.42900,-6.53400,0.39400,-6.17900,0.41800,-6.29000,0.39800,-5.95200,0.43200,-6.23600,0.31300,-5.88700,0.51800,-5.70700,0.62900,-5.35900,0.75500,0,-9999.00000,-9999.00000,-9999.00000,25219742,49.15000,6.18000
35.32500,129.12500,Busan,1,0.00520,7396.00000,0.01090,13800.00000,0.01140,12613.00000,0.01150,9602.00000,-8.29600,0.28500,-8.54500,0.25200,-8.10300,0.21700,-8.22300,0.38900,-7.74700,0.35500,-7.54200,0.26600,-7.48100,0.26600,-7.37500,0.25500,-9.34500,0.44000,-9.40300,0.45900,-9.38400,0.32300,-8.95600,0.65500,-8.58200,0.57400,-8.86400,0.45700,-8.63400,0.46800,-8.37200,0.48700,-7.93000,0.44400,-8.24600,0.25200,-8.16300,0.41200,-6.89000,0.40600,-7.21300,0.40900,-6.97200,0.46700,-6.77900,0.48800,-6.78500,0.36700,-6.52200,0.43500,-6.70500,0.41300,-6.31900,0.41700,-6.44400,0.41300,-6.09700,0.43400,-6.37700,0.35800,-6.00100,0.52900,-5.84500,0.65100,-5.57700,0.69900,0,-9999.00000,-9999.00000,-9999.00000,25219742,46.12000,5.93000
35.32500,129.17500,Busan,1,0.00300,479.00000,0.02430,4567.00000,0.05230,10395.00000,0.08650,19224.00000,-8.61100,0.31600,-8.86400,0.24700,-8.41400,0.23300,-8.47000,0.41900,-7.96400,0.32300,-7.82500,0.27900,-7.75100,0.30500,-7.52900,0.22700,-9.69300,0.48400,-9.74200,0.47900,-9.73100,0.35000,-9.26000,0.60700,-8.96400,0.53300,-9.22500,0.43300,-8.89800,0.43300,-8.64200,0.44800,-8.13200,0.39500,-8.39000,0.27500,-8.26900,0.33800,-7.64600,0.48200,-7.83700,0.45500,-7.58900,0.51200,-7.36500,0.47400,-7.20500,0.35800,-6.95200,0.49500,-7.09300,0.44800,-6.67800,0.46400,-6.83200,0.42700,-6.46900,0.49200,-6.85500,0.41200,-6.31700,0.57100,-6.17500,0.73400,-5.98200,0.73600,0,-9999.00000,-9999.00000,-9999.00000,25219742,50.59000,5.35000
35.32500,129.22500,Busan,1,0.00610,1556.00000,0.01560,3655.00000,0.02810,6418.00000,0.05320,12096.00000,-8.89600,0.34000,-9.14200,0.24500,-8.67700,0.25200,-8.67900,0.45100,-8.16300,0.30500,-8.07400,0.29700,-8.00000,0.33900,-7.70200,0.21200,-10.13200,0.50500,-10.18900,0.48500,-10.12800,0.35400,-9.64900,0.55500,-9.48200,0.46900,-9.64200,0.43600,-9.22500,0.37000,-9.00100,0.42500,-8.43200,0.36200,-8.60600,0.31200,-8.43800,0.29800,-8.47400,0.56100,-8.56500,0.48600,-8.28900,0.52300,-8.07400,0.49200,-7.87400,0.41400,-7.54500,0.58100,-7.74000,0.53400,-7.31000,0.54500,-7.44100,0.47900,-7.12700,0.58700,-7.43000,0.47300,-6.92200,0.61900,-6.72000,0.81700,-6.58800,0.83200,0,-9999.00000,-9999.00000,-9999.00000,25219742,42.62000,6.24000
