latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
3.62500,-76.72500,Cali,0,0.00060,0.00000,0.00060,0.00000,0.00060,0.00000,0.00060,0.00000,-7.18800,0.47500,-7.16400,0.08600,-6.96800,0.12900,-7.29600,0.29000,-7.35700,0.14500,-7.14500,0.17500,-7.20900,0.16100,-7.05100,0.17600,-8.30500,0.17600,-8.30700,0.21000,-8.31900,0.22100,-8.21400,0.18700,-8.20600,0.19300,-8.30200,0.16800,-8.20100,0.18600,-8.28000,0.24300,-8.20400,0.16600,-8.24900,0.19700,-8.34900,0.19200,-7.09900,0.29700,-7.13800,0.22900,-7.20400,0.25600,-7.05200,0.21500,-7.13600,0.26600,-7.25500,0.28300,-7.07400,0.26600,-7.26800,0.26600,-7.32300,0.21800,-7.13100,0.28000,-7.04100,0.23200,-6.95900,0.37300,-7.16500,0.28900,-6.94900,0.30200,0,-9999,-9999,-9999,30712754,38.63000,11.85000
3.62500,-76.67500,Cali,0,0.00040,0.00000,0.00040,0.00000,0.00050,122.00000,0.00050,62.00000,-7.43300,0.44300,-7.45500,0.08700,-7.20100,0.15600,-7.55100,0.28400,-7.63400,0.15000,-7.42100,0.19600,-7.46200,0.17000,-7.29300,0.19000,-8.84300,0.18400,-8.85700,0.20500,-8.96300,0.23300,-8.86000,0.21400,-8.78100,0.22000,-8.89900,0.15000,-8.76800,0.20100,-8.85800,0.23700,-8.75000,0.16800,-8.76600,0.21600,-8.96900,0.19100,-7.62200,0.30400,-7.61800,0.24600,-7.91200,0.23800,-7.60400,0.21800,-7.77300,0.24000,-7.91900,0.25400,-7.75900,0.24100,-7.90900,0.26800,-8.07900,0.19900,-7.77700,0.25000,-7.69300,0.26700,-7.52800,0.33000,-7.76500,0.26300,-7.56900,0.27200,0,-9999,-9999,-9999,30712754,23.08000,9.31000
3.62500,-76.62500,Cali,0,0.00000,53.00000,0.00000,68.00000,0.00000,65.00000,0.00000,80.00000,-7.73300,0.40800,-7.80800,0.09000,-7.48600,0.19000,-7.86300,0.27600,-7.97300,0.15500,-7.75200,0.22300,-7.77100,0.18100,-7.59100,0.20600,-9.40400,0.21600,-9.41900,0.18000,-9.60300,0.23500,-9.51800,0.24300,-9.37500,0.24200,-9.49600,0.16400,-9.33600,0.23700,-9.43200,0.20700,-9.29400,0.18300,-9.28800,0.23600,-9.57200,0.21300,-7.88000,0.28200,-7.80800,0.25700,-8.17500,0.22900,-7.85100,0.23400,-8.04000,0.22000,-8.14800,0.22700,-8.02600,0.28700,-8.20000,0.23700,-8.36400,0.20000,-8.10200,0.22500,-7.94700,0.22600,-7.79000,0.32700,-8.03400,0.27900,-7.86000,0.28600,0,-9999,-9999,-9999,30712754,27.81000,11.33000
3.62500,-76.57500,Cali,0,0.00010,2673.00000,0.00010,3287.00000,0.00020,5400.00000,0.00020,3321.00000,-8.20500,0.30200,-8.40000,0.10500,-7.96800,0.22600,-8.32300,0.33500,-8.46300,0.16600,-8.19500,0.26700,-8.21400,0.16600,-8.05900,0.20200,-9.96100,0.23500,-9.93500,0.16900,-10.20100,0.25000,-10.11300,0.27400,-9.95900,0.25100,-10.07100,0.17500,-9.89600,0.23900,-9.99900,0.18300,-9.81700,0.20400,-9.78300,0.22500,-10.11000,0.22200,-8.11500,0.30900,-8.00500,0.29200,-8.38400,0.21600,-7.99500,0.26100,-8.22800,0.24400,-8.33100,0.25700,-8.21200,0.25100,-8.39300,0.26400,-8.53500,0.21100,-8.29600,0.20100,-8.11100,0.21300,-8.02200,0.34700,-8.21500,0.32600,-8.07300,0.30700,0,-9999,-9999,-9999,30712754,33.22000,10.82000
3.62500,-76.52500,Cali,0,0.00330,0.00000,0.00330,0.00000,0.00350,0.00000,0.00360,0.00000,-8.41900,0.28200,-8.66000,0.11400,-8.18900,0.23200,-8.52700,0.35600,-8.67400,0.17700,-8.36200,0.28700,-8.40600,0.16000,-8.27100,0.19600,-10.40600,0.25400,-10.36300,0.18500,-10.67700,0.27300,-10.55700,0.27800,-10.40100,0.23300,-10.53600,0.18400,-10.33300,0.23400,-10.48900,0.18100,-10.25100,0.18200,-10.19000,0.22200,-10.51200,0.21300,-8.50800,0.31000,-8.40100,0.31100,-8.79200,0.21400,-8.30400,0.32200,-8.58900,0.28000,-8.67800,0.25000,-8.61100,0.25500,-8.74300,0.25700,-8.89400,0.24800,-8.63400,0.20300,-8.41300,0.21100,-8.41300,0.39500,-8.50000,0.38200,-8.43700,0.29200,0,-9999,-9999,-9999,30712754,17.96000,7.61000
3.62500,-76.47500,Cali,1,0.01860,1913.00000,0.01860,3357.00000,0.02190,7553.00000,0.02330,9092.00000,-8.78100,0.25600,-9.10200,0.13100,-8.57200,0.23400,-8.87400,0.38800,-9.02700,0.19800,-8.64100,0.31800,-8.72300,0.15000,-8.62700,0.18200,-10.69200,0.26500,-10.63000,0.22300,-10.94800,0.31400,-10.78000,0.25300,-10.65400,0.23700,-10.79100,0.19300,-10.61100,0.26200,-10.79400,0.20800,-10.52700,0.17500,-10.42600,0.23600,-10.74100,0.22400,-8.91200,0.34300,-8.86900,0.35000,-9.25900,0.22700,-8.77200,0.33400,-9.03000,0.26600,-9.10500,0.25600,-9.05000,0.25200,-9.16000,0.22500,-9.33600,0.31700,-9.06100,0.27600,-8.79100,0.22900,-8.79400,0.43800,-8.85600,0.38600,-8.77700,0.29500,0,-9999,-9999,-9999,30712754,14.81000,6.39000
3.62500,-76.42500,Cali,1,0.00710,1160.00000,0.00710,1614.00000,0.01400,6092.00000,0.02520,8918.00000,-9.05300,0.29000,-9.36800,0.16000,-8.84300,0.22600,-9.10200,0.39300,-9.25300,0.22300,-8.80000,0.33400,-8.93900,0.16600,-8.88300,0.16800,-10.86400,0.27900,-10.79000,0.24200,-11.07200,0.32500,-10.87900,0.24000,-10.77100,0.25200,-10.90200,0.21500,-10.76200,0.26800,-10.95400,0.21900,-10.66800,0.18400,-10.54700,0.25500,-10.85900,0.23000,-9.21600,0.37200,-9.16200,0.36700,-9.52000,0.20900,-9.04400,0.29500,-9.26400,0.26500,-9.42800,0.21200,-9.24700,0.27500,-9.39700,0.21100,-9.50800,0.29100,-9.25400,0.27500,-9.00800,0.23500,-9.02400,0.42900,-9.10000,0.40700,-8.95400,0.32900,0,-9999,-9999,-9999,30712754,20.83000,6.79000
3.62500,-76.37500,Cali,1,0.00690,4251.00000,0.00690,5904.00000,0.01070,8893.00000,0.02110,16957.00000,-9.20600,0.30700,-9.51400,0.18000,-8.99600,0.22300,-9.22400,0.39700,-9.37400,0.23600,-8.88200,0.33900,-9.05700,0.17600,-9.02500,0.16000,-10.85500,0.27400,-10.79800,0.26500,-11.01100,0.31000,-10.82600,0.22200,-10.71200,0.23600,-10.85400,0.21000,-10.76900,0.25500,-10.92800,0.23300,-10.65700,0.21400,-10.51900,0.26000,-10.84100,0.24600,-9.32600,0.37300,-9.25500,0.34400,-9.62400,0.18800,-9.14500,0.30100,-9.34800,0.27300,-9.57200,0.19400,-9.33800,0.29700,-9.49600,0.24500,-9.59700,0.29300,-9.33000,0.27600,-9.11300,0.25200,-9.14200,0.45400,-9.21600,0.42300,-9.10100,0.39400,0,-9999,-9999,-9999,30712754,23.41000,7.00000
3.62500,-76.32500,Cali,0,0.00200,44.00000,0.00200,58.00000,0.00310,360.00000,0.00380,409.00000,-9.40400,0.31200,-9.66800,0.23500,-9.19400,0.22400,-9.34300,0.41400,-9.48000,0.26300,-8.91700,0.31400,-9.18400,0.20500,-9.19200,0.15300,-10.68600,0.24900,-10.63000,0.26500,-10.81200,0.29700,-10.65800,0.21500,-10.52900,0.20400,-10.66400,0.20500,-10.60700,0.26800,-10.74100,0.25700,-10.50100,0.23300,-10.34600,0.22800,-10.67700,0.25000,-9.29400,0.37500,-9.24000,0.33600,-9.61500,0.18300,-9.12900,0.30600,-9.33700,0.27400,-9.57500,0.21800,-9.30700,0.30700,-9.47900,0.26800,-9.56400,0.30900,-9.30400,0.31300,-9.12500,0.28100,-9.13000,0.54300,-9.20200,0.44000,-9.07900,0.42700,0,-9999,-9999,-9999,30712754,23.93000,7.11000
3.62500,-76.27500,Cali,1,0.02220,10243.00000,0.02220,13738.00000,0.02470,15019.00000,0.03070,14252.00000,-9.42900,0.25700,-9.63500,0.24500,-9.20600,0.23600,-9.33100,0.41400,-9.44000,0.26600,-8.85100,0.28000,-9.17400,0.20300,-9.18300,0.15600,-10.44500,0.25700,-10.37400,0.27400,-10.55900,0.28700,-10.44400,0.21300,-10.30200,0.18600,-10.43900,0.17400,-10.36800,0.28200,-10.48000,0.27300,-10.27700,0.23200,-10.09800,0.21300,-10.42600,0.26600,-9.09800,0.39700,-9.06000,0.33200,-9.46500,0.21800,-8.98500,0.29900,-9.16700,0.25400,-9.41600,0.27700,-9.13000,0.33100,-9.33400,0.27700,-9.41700,0.31700,-9.13200,0.31700,-9.00800,0.28000,-8.94400,0.63100,-9.01300,0.45800,-8.84600,0.46600,0,-9999,-9999,-9999,30712754,22.79000,7.12000
