latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-22.67500,-47.37500,Campinas,1,0.01030,991.00000,0.03020,1325.00000,0.03340,1402.00000,0.05040,1671.00000,-9.42200,0.38100,-9.38900,0.24900,-8.95300,0.26400,-9.01400,0.27200,-9.37400,0.55500,-9.15000,0.16000,-9.02400,0.26900,-9.39700,0.51700,-9999.00000,-9999.00000,-10.68500,0.32400,-10.62600,0.36900,-10.40100,0.29600,-10.45300,0.25700,-10.40000,0.30600,-10.36900,0.34000,-10.31300,0.27300,-10.28500,0.28500,-10.19300,0.23900,-10.11100,0.25700,-8.83200,0.49500,-8.66900,0.53300,-8.79900,0.40700,-8.69700,0.35500,-8.57900,0.38800,-8.74000,0.46900,-8.57100,0.41700,-8.94300,0.45400,-8.58900,0.41700,-8.45900,0.48800,-8.48800,0.47500,-8.43400,0.51400,-8.43400,0.58500,-8.17600,0.60600,0,-9999,-9999,-9999,28450728,12.80000,5.07000
-22.67500,-47.32500,Campinas,1,0.04110,894.00000,0.10920,1205.00000,0.11850,1476.00000,0.14460,2025.00000,-9.37700,0.37300,-9.34200,0.24200,-8.92400,0.27200,-8.99100,0.26300,-9.35400,0.54700,-9.11700,0.15800,-8.99000,0.27500,-9.37700,0.54100,-9999.00000,-9999.00000,-10.66200,0.32800,-10.59200,0.40400,-10.40000,0.30900,-10.39300,0.29200,-10.38100,0.29200,-10.34700,0.33100,-10.27200,0.27900,-10.24700,0.29900,-10.14300,0.23300,-10.07800,0.22800,-8.72200,0.53200,-8.61500,0.53800,-8.69700,0.38700,-8.65400,0.35700,-8.48900,0.40500,-8.61700,0.52600,-8.44400,0.44900,-8.80300,0.46600,-8.45500,0.40400,-8.28900,0.49100,-8.37300,0.46300,-8.40100,0.50800,-8.25500,0.77300,-8.02200,0.59000,0,-9999,-9999,-9999,28450728,13.48000,5.10000
-22.67500,-47.27500,Campinas,1,0.01570,2326.00000,0.05010,3413.00000,0.05680,4117.00000,0.06830,5028.00000,-9.32700,0.36500,-9.29100,0.23600,-8.89200,0.28000,-8.96400,0.25400,-9.32900,0.53700,-9.07900,0.15500,-8.95100,0.28100,-9.35400,0.56700,-9999.00000,-9999.00000,-10.62500,0.34300,-10.54400,0.42600,-10.36800,0.31900,-10.33300,0.29100,-10.33100,0.30500,-10.31100,0.32800,-10.20500,0.29600,-10.19200,0.30700,-10.09000,0.24600,-10.04100,0.21400,-8.69700,0.53700,-8.58000,0.52900,-8.67500,0.37200,-8.60800,0.37900,-8.47200,0.44000,-8.56500,0.54800,-8.41700,0.41500,-8.78600,0.44400,-8.46400,0.40400,-8.32700,0.44200,-8.33100,0.44900,-8.42100,0.50400,-8.20000,0.92700,-8.03500,0.65600,0,-9999,-9999,-9999,28450728,13.36000,5.29000
-22.67500,-47.22500,Campinas,1,0.01880,185.00000,0.05700,510.00000,0.06540,746.00000,0.08880,1050.00000,-9.27000,0.36300,-9.23100,0.22600,-8.86400,0.27600,-8.93700,0.24600,-9.29900,0.50800,-9.04000,0.15000,-8.90300,0.27400,-9.32500,0.58700,-9999.00000,-9999.00000,-10.58900,0.36600,-10.50900,0.42900,-10.34400,0.31800,-10.28000,0.28600,-10.29600,0.31800,-10.26000,0.32600,-10.15200,0.31200,-10.13000,0.31800,-10.04300,0.26100,-10.01300,0.21700,-8.78100,0.53700,-8.61500,0.49000,-8.74000,0.38000,-8.62100,0.40900,-8.55900,0.47000,-8.63000,0.50700,-8.53800,0.36300,-8.94100,0.48000,-8.56800,0.43800,-8.42500,0.42800,-8.45700,0.50100,-8.49200,0.50200,-8.28700,0.94400,-8.11900,0.72200,0,-9999,-9999,-9999,28450728,11.37000,4.52000
-22.67500,-47.17500,Campinas,1,0.04460,786.00000,0.10400,1324.00000,0.12270,1836.00000,0.13110,2305.00000,-9.24900,0.36300,-9.20600,0.22300,-8.85000,0.27500,-8.92400,0.24200,-9.28400,0.49700,-9.02300,0.14900,-8.88300,0.27100,-9.31000,0.59100,-9999.00000,-9999.00000,-10.53800,0.36800,-10.45400,0.39700,-10.29100,0.31400,-10.22600,0.27900,-10.26100,0.31700,-10.21400,0.32400,-10.11200,0.34100,-10.07300,0.31100,-10.00600,0.25400,-9.97900,0.24100,-8.76700,0.55900,-8.61400,0.45000,-8.73800,0.39100,-8.64200,0.40200,-8.61000,0.48500,-8.68500,0.52000,-8.55000,0.38100,-9.00200,0.49800,-8.61000,0.43500,-8.40400,0.48300,-8.43000,0.58600,-8.37900,0.72300,-8.27200,0.89600,-8.08100,0.74400,0,-9999,-9999,-9999,28450728,10.74000,4.35000
-22.67500,-47.12500,Campinas,1,0.00090,193.00000,0.01660,339.00000,0.02120,482.00000,0.05860,1067.00000,-9.18800,0.35100,-9.14800,0.21100,-8.83000,0.25400,-8.90000,0.23800,-9.25300,0.44700,-8.98900,0.14700,-8.83100,0.24600,-9.28900,0.59400,-9999.00000,-9999.00000,-10.50600,0.35800,-10.40600,0.36300,-10.27400,0.29800,-10.22100,0.24600,-10.25100,0.32000,-10.19600,0.33200,-10.12300,0.31700,-10.08500,0.29100,-10.01900,0.24500,-9.97300,0.27000,-8.73100,0.55400,-8.61800,0.42700,-8.73100,0.38500,-8.63300,0.38700,-8.57700,0.46300,-8.68900,0.50200,-8.52500,0.38200,-8.97300,0.47300,-8.54900,0.42300,-8.35600,0.49400,-8.40400,0.57800,-8.43800,0.60900,-8.21500,0.76300,-8.09000,0.72100,0,-9999,-9999,-9999,28450728,12.64000,4.71000
-22.67500,-47.07500,Campinas,1,0.00340,246.00000,0.01170,456.00000,0.01870,767.00000,0.02960,1429.00000,-9.16700,0.34500,-9.13300,0.20900,-8.82300,0.25100,-8.88900,0.23700,-9.24300,0.43300,-8.97900,0.14800,-8.81800,0.24000,-9.28000,0.58600,-9999.00000,-9999.00000,-10.47500,0.33200,-10.36800,0.31200,-10.29100,0.28000,-10.24700,0.20900,-10.26600,0.31100,-10.20400,0.35600,-10.17100,0.28700,-10.14200,0.27400,-10.05300,0.23300,-10.02200,0.29200,-8.85000,0.50600,-8.70900,0.39400,-8.77200,0.38800,-8.67400,0.32700,-8.67300,0.41200,-8.67900,0.47000,-8.59900,0.35100,-8.98500,0.42700,-8.55200,0.40100,-8.48900,0.46800,-8.51000,0.45600,-8.50700,0.59600,-8.26800,0.72000,-8.20400,0.64500,0,-9999,-9999,-9999,28450728,11.70000,4.44000
-22.67500,-47.02500,Campinas,1,0.04270,1348.00000,0.09050,3060.00000,0.11480,4862.00000,0.13220,8787.00000,-9.11000,0.32200,-9.10300,0.20200,-8.81900,0.24300,-8.87200,0.23700,-9.23000,0.39000,-8.96300,0.15300,-8.78900,0.21900,-9.27000,0.56400,-9999.00000,-9999.00000,-10.47100,0.30600,-10.35000,0.27400,-10.36100,0.26900,-10.30300,0.20100,-10.30700,0.26600,-10.24900,0.36800,-10.25100,0.25000,-10.23600,0.28000,-10.12200,0.21000,-10.11300,0.28300,-8.89100,0.45900,-8.74300,0.37400,-8.80000,0.37100,-8.69200,0.30000,-8.71700,0.37100,-8.67900,0.42200,-8.64200,0.29100,-8.94400,0.37600,-8.60100,0.38400,-8.50900,0.49000,-8.53500,0.38900,-8.48500,0.60800,-8.30500,0.71000,-8.23500,0.58400,0,-9999,-9999,-9999,28450728,11.88000,4.61000
-22.67500,-46.97500,Campinas,1,0.04350,5147.00000,0.09690,11360.00000,0.12740,17984.00000,0.14820,32972.00000,-9.07500,0.30400,-9.09300,0.19700,-8.81500,0.24500,-8.86000,0.23400,-9.22300,0.36300,-8.95700,0.16000,-8.78500,0.20800,-9.26400,0.52900,-9999.00000,-9999.00000,-10.46800,0.27900,-10.31700,0.27200,-10.42200,0.26700,-10.33400,0.20000,-10.32600,0.20900,-10.28600,0.36200,-10.31600,0.22400,-10.29500,0.28400,-10.18000,0.19600,-10.20200,0.24900,-8.89700,0.42900,-8.76700,0.34300,-8.82300,0.36500,-8.72700,0.27900,-8.74200,0.34100,-8.70400,0.37300,-8.69200,0.27200,-8.93700,0.35900,-8.63900,0.37000,-8.54400,0.46000,-8.52800,0.36200,-8.47800,0.58100,-8.33400,0.71600,-8.28300,0.54000,0,-9999,-9999,-9999,28450728,11.51000,4.40000
-22.67500,-46.92500,Campinas,1,0.00270,183.00000,0.01060,487.00000,0.01990,775.00000,0.02890,1216.00000,-9.04100,0.28600,-9.08400,0.19200,-8.81200,0.24600,-8.84900,0.23200,-9.21800,0.33700,-8.95200,0.16700,-8.78200,0.19700,-9.25800,0.49500,-9999.00000,-9999.00000,-10.46100,0.26200,-10.30400,0.28700,-10.44700,0.26600,-10.36600,0.20900,-10.33400,0.18600,-10.31100,0.33800,-10.35100,0.21300,-10.33100,0.28000,-10.23300,0.20300,-10.27100,0.22500,-8.87400,0.41000,-8.77600,0.32100,-8.83500,0.34900,-8.75200,0.26600,-8.74400,0.32700,-8.72500,0.33200,-8.71900,0.25800,-8.95700,0.33100,-8.66900,0.35300,-8.56900,0.42600,-8.50700,0.38700,-8.47700,0.54800,-8.37000,0.71800,-8.33800,0.50000,0,-9999,-9999,-9999,28450728,18.61000,5.81000
