latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
10.27500,105.52500,CanTho,2,0.00100,28939.00000,0.03830,57725.00000,0.07430,60617.00000,0.08990,76270.00000,-8.95600,0.75200,-10.04600,1.06300,-9.53200,1.04900,-9.94800,1.00900,-10.16300,1.03600,-8.29200,0.27900,-9.09900,0.90300,-9.69700,1.20000,-11.14000,0.22100,-11.89400,1.06900,-11.29200,1.21100,-11.27300,0.88100,-10.50500,0.58100,-10.97800,0.75800,-11.13100,0.60700,-10.84100,0.60100,-10.26900,0.40700,-10.75000,0.58300,-10.40900,0.48400,-7.90500,0.57600,-8.04600,0.64100,-8.01600,0.61400,-7.41800,0.42100,-7.97400,0.58700,-7.78700,0.39600,-7.91500,0.48300,-8.00300,0.44000,-7.84800,0.34600,-7.69800,0.40200,-7.69900,0.31800,-7.38400,0.45200,-7.31200,0.53600,-7.18100,0.44700,0,-9999,-9999,-9999,30292078,15.68000,6.42000
10.27500,105.57500,CanTho,2,0.00080,67978.00000,0.01230,55438.00000,0.02200,45381.00000,0.03240,52905.00000,-8.75400,0.57300,-9.59500,0.86000,-9.25100,0.86400,-9.52000,0.78400,-9.67100,0.77200,-8.29400,0.22500,-8.88900,0.78400,-9.41000,0.94200,-10.98400,0.21900,-11.47800,0.89600,-11.07100,0.89500,-10.98300,0.65200,-10.33300,0.46500,-10.77700,0.65400,-10.90900,0.49500,-10.65500,0.43100,-10.19300,0.35300,-10.58400,0.50000,-10.31300,0.38800,-7.87200,0.51300,-8.03700,0.56200,-8.01900,0.57300,-7.51300,0.42800,-8.00300,0.58700,-7.80900,0.40800,-7.91200,0.47700,-7.98200,0.43900,-7.91000,0.37900,-7.70000,0.42600,-7.68400,0.33500,-7.34400,0.49400,-7.32500,0.51500,-7.17400,0.44500,4,-9999,-9999,-9999,30292078,16.90000,6.53000
10.27500,105.62500,CanTho,2,0.00000,0.00000,0.00290,23911.00000,0.00890,33189.00000,0.01300,32314.00000,-8.65600,0.48400,-9.40000,0.77600,-9.13300,0.79500,-9.33500,0.71000,-9.45200,0.67800,-8.30000,0.20400,-8.75700,0.76300,-9.26900,0.84500,-10.87900,0.27800,-11.19100,0.79700,-10.91200,0.70800,-10.78100,0.51400,-10.20900,0.43000,-10.62600,0.59200,-10.74900,0.44700,-10.53600,0.37000,-10.13800,0.33700,-10.49300,0.47400,-10.26300,0.36000,-7.86400,0.53000,-8.06500,0.56100,-8.07200,0.60300,-7.59900,0.48500,-8.08800,0.63300,-7.85800,0.44200,-7.95800,0.52200,-7.99800,0.44600,-7.97300,0.38500,-7.73000,0.44600,-7.70200,0.37400,-7.36300,0.58900,-7.39200,0.55500,-7.21400,0.44200,0,-9999,-9999,-9999,30292078,20.70000,6.71000
10.27500,105.67500,CanTho,1,0.00000,1444.00000,0.00360,31583.00000,0.00900,32262.00000,0.01600,32263.00000,-8.52900,0.37000,-9.14700,0.66800,-8.98000,0.70500,-9.09700,0.61300,-9.16900,0.55600,-8.30700,0.17800,-8.58600,0.73500,-9.08600,0.72000,-10.82700,0.34400,-10.97400,0.72300,-10.76700,0.61200,-10.61200,0.41900,-10.12700,0.40800,-10.51400,0.54800,-10.61400,0.41700,-10.42000,0.33700,-10.07000,0.32600,-10.41600,0.44900,-10.21800,0.35900,-7.84400,0.54200,-8.04400,0.56600,-8.06100,0.60600,-7.64200,0.50200,-8.10100,0.66600,-7.87400,0.46500,-7.97700,0.55300,-7.98700,0.45500,-7.98100,0.39300,-7.74200,0.45900,-7.68900,0.41300,-7.35400,0.67900,-7.42400,0.58000,-7.24400,0.45800,0,-9999,-9999,-9999,30292078,16.36000,6.50000
10.27500,105.72500,CanTho,1,0.00370,0.00000,0.02210,5274.00000,0.03670,12482.00000,0.04730,18433.00000,-8.39800,0.24800,-8.87700,0.56500,-8.83100,0.62300,-8.86600,0.54600,-8.88600,0.46800,-8.33800,0.15600,-8.48500,0.68000,-8.88800,0.61300,-10.79100,0.39000,-10.80400,0.67500,-10.62500,0.55300,-10.49600,0.34500,-10.08300,0.37500,-10.44300,0.49900,-10.49200,0.39700,-10.29900,0.33500,-10.01900,0.31400,-10.33500,0.40000,-10.15200,0.37000,-7.79200,0.49200,-7.92000,0.55400,-7.94000,0.55500,-7.64900,0.48800,-8.04100,0.66900,-7.83200,0.46200,-7.93800,0.54500,-7.89300,0.47200,-7.91500,0.40600,-7.70900,0.46700,-7.61000,0.43700,-7.29800,0.71800,-7.38300,0.57300,-7.21600,0.46100,0,-9999,-9999,-9999,30292078,17.78000,6.49000
10.27500,105.77500,CanTho,2,0.00750,76268.00000,0.04190,102388.00000,0.07060,109226.00000,0.08800,95296.00000,-8.34900,0.20300,-8.76500,0.52400,-8.77600,0.58600,-8.77500,0.51400,-8.77200,0.43400,-8.35000,0.14900,-8.45200,0.64600,-8.80400,0.56800,-10.71800,0.41300,-10.67000,0.63500,-10.50900,0.50000,-10.42400,0.28600,-10.09400,0.34100,-10.39800,0.43800,-10.39500,0.37900,-10.18100,0.33600,-9.98400,0.31500,-10.23100,0.36600,-10.06800,0.36000,-7.69800,0.37100,-7.71800,0.43300,-7.72000,0.43900,-7.59400,0.43600,-7.85900,0.54700,-7.70300,0.42700,-7.76900,0.47300,-7.73800,0.45000,-7.78600,0.39800,-7.58200,0.42900,-7.40400,0.45100,-7.19300,0.66700,-7.29300,0.48700,-7.10600,0.43700,3,-9999,-9999,-9999,30292078,14.41000,6.18000
10.27500,105.82500,CanTho,2,0.00180,35623.00000,0.00930,36875.00000,0.01810,42532.00000,0.02560,45841.00000,-8.28100,0.14800,-8.58300,0.46000,-8.70300,0.51500,-8.64200,0.44800,-8.59700,0.38900,-8.37000,0.14300,-8.42200,0.56500,-8.66500,0.49600,-10.64500,0.39200,-10.57600,0.60300,-10.40400,0.44800,-10.36800,0.25300,-10.13000,0.31500,-10.34000,0.37600,-10.31200,0.34200,-10.08500,0.32600,-9.96600,0.31600,-10.14500,0.33300,-9.98800,0.34800,-7.65400,0.28700,-7.64000,0.35100,-7.60900,0.33500,-7.50800,0.35200,-7.71500,0.42600,-7.55500,0.33900,-7.57500,0.41000,-7.60100,0.41000,-7.64000,0.35600,-7.43400,0.36500,-7.22200,0.47000,-7.05200,0.62100,-7.19200,0.42400,-6.99900,0.38700,3,-9999,-9999,-9999,30292078,17.67000,6.30000
10.27500,105.87500,CanTho,2,0.00220,30322.00000,0.01860,77325.00000,0.03100,59644.00000,0.03920,61666.00000,-8.25600,0.14800,-8.50700,0.41700,-8.66400,0.45700,-8.56500,0.39000,-8.49700,0.35900,-8.35600,0.14900,-8.37800,0.50700,-8.57600,0.44100,-10.56200,0.36000,-10.49100,0.54500,-10.32200,0.39900,-10.30500,0.22900,-10.17400,0.28800,-10.26900,0.33100,-10.22000,0.31000,-10.00900,0.31000,-9.97200,0.33200,-10.07700,0.32100,-9.92300,0.33000,-7.63600,0.24100,-7.61200,0.30100,-7.54600,0.27900,-7.45900,0.32000,-7.60300,0.33400,-7.46900,0.30200,-7.44500,0.35800,-7.47000,0.34400,-7.54300,0.32800,-7.34000,0.31700,-7.11100,0.47000,-6.99600,0.61100,-7.06600,0.38600,-6.92200,0.35300,6,-9999,-9999,-9999,30292078,16.71000,6.29000
10.27500,105.92500,CanTho,2,0.00610,27084.00000,0.02730,49266.00000,0.04350,49029.00000,0.06420,49854.00000,-8.23500,0.14900,-8.44400,0.38100,-8.63100,0.40900,-8.50000,0.34100,-8.41400,0.33300,-8.34400,0.15400,-8.34200,0.45900,-8.50200,0.39400,-10.47200,0.33300,-10.40100,0.46300,-10.26700,0.34700,-10.23000,0.23600,-10.19300,0.27300,-10.16800,0.28600,-10.12300,0.28200,-9.95500,0.28200,-9.99200,0.34700,-10.00100,0.32700,-9.85900,0.30700,-7.65000,0.22000,-7.62800,0.25300,-7.54400,0.25600,-7.44800,0.30000,-7.55700,0.28700,-7.43600,0.29300,-7.40700,0.32600,-7.41900,0.29400,-7.50100,0.30300,-7.31500,0.26900,-7.09000,0.45400,-6.99000,0.59400,-6.98500,0.37300,-6.89300,0.34900,10,-9999,-9999,-9999,30292078,15.64000,6.08000
10.27500,105.97500,CanTho,1,0.02150,84375.00000,0.07940,76240.00000,0.11940,60785.00000,0.14230,49984.00000,-8.20100,0.15700,-8.36000,0.29600,-8.52500,0.27600,-8.39900,0.26400,-8.28600,0.27500,-8.28200,0.17200,-8.25400,0.39300,-8.36300,0.30300,-10.35500,0.27200,-10.28000,0.36700,-10.19700,0.28600,-10.12800,0.23800,-10.15000,0.27800,-10.03300,0.23700,-9.99800,0.25000,-9.88700,0.27900,-9.94200,0.33100,-9.89900,0.32400,-9.79000,0.27900,-7.71500,0.21100,-7.69400,0.21100,-7.58700,0.24900,-7.50300,0.26500,-7.58500,0.23400,-7.46300,0.28800,-7.42400,0.30600,-7.42900,0.26200,-7.51100,0.28800,-7.32700,0.23800,-7.13700,0.41800,-7.01500,0.59400,-6.98300,0.37200,-6.89600,0.34300,0,-9999,-9999,-9999,30292078,18.48000,6.25000
