latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
44.12500,125.07500,Changchun,1,0.00020,114.00000,0.01540,2580.00000,0.01660,2670.00000,0.01950,2635.00000,-8.45000,0.55800,-7.76700,0.31700,-9.03100,0.58700,-8.98100,1.06900,-8.63900,0.56300,-7.94000,0.23500,-9.13500,0.41100,-9.03000,0.69100,-10.66800,0.95700,-10.87100,0.70200,-10.73400,0.84000,-10.33800,0.68000,-10.10600,0.69000,-10.13200,0.70400,-9.80300,0.60800,-10.15500,0.36600,-10.48600,0.60000,-10.51900,0.88700,-10.84200,0.91600,-9.50600,1.01900,-9.08200,0.73500,-10.03200,1.00800,-9.08400,0.37800,-9.39700,0.58000,-8.94700,0.77300,-9.35800,0.65400,-9.83100,0.64500,-9.58300,0.64700,-9.00900,0.63700,-8.78500,0.33800,-8.68400,0.54100,-8.60000,0.57400,-8.55500,1.06600,0,0.00750,3.04560,0.23200,22233382,2.97000,1.51000
44.12500,125.12500,Changchun,1,0.00010,93.00000,0.02160,3126.00000,0.02520,3306.00000,0.03760,3866.00000,-8.44500,0.55800,-7.76400,0.31800,-9.02400,0.58400,-8.97800,1.06800,-8.63300,0.56300,-7.93300,0.23900,-9.12700,0.41000,-9.02800,0.69100,-10.53100,0.92700,-10.79800,0.70100,-10.61700,0.84200,-10.26100,0.64700,-10.01800,0.64200,-10.02800,0.68800,-9.72900,0.60900,-10.02300,0.36200,-10.32300,0.57300,-10.39900,0.86100,-10.66600,0.87400,-9.46400,1.00700,-9.05100,0.75100,-9.95500,1.01500,-9.07600,0.39100,-9.39100,0.57400,-8.88700,0.77200,-9.27400,0.63800,-9.75500,0.63100,-9.57300,0.65200,-8.97600,0.63300,-8.76900,0.34300,-8.57800,0.56300,-8.56100,0.58000,-8.37000,1.06200,0,0.00780,3.03610,0.29230,22233382,3.32000,1.72000
44.12500,125.17500,Changchun,1,0.00020,733.00000,0.03050,4757.00000,0.04190,6551.00000,0.06340,8551.00000,-8.36500,0.54600,-7.70800,0.32600,-8.87800,0.54500,-8.88500,1.03200,-8.50000,0.51100,-7.86700,0.26800,-8.99700,0.38700,-8.94400,0.65400,-10.41300,0.88300,-10.71700,0.69200,-10.51300,0.84200,-10.18400,0.62400,-9.93000,0.58800,-9.93800,0.68500,-9.66400,0.61700,-9.91200,0.36300,-10.17900,0.54600,-10.28100,0.84600,-10.51900,0.83800,-9.44300,0.98900,-9.01700,0.74600,-9.89400,1.03700,-9.09200,0.42200,-9.38800,0.56700,-8.81300,0.76700,-9.17800,0.62400,-9.73400,0.63100,-9.60300,0.67300,-8.98200,0.62600,-8.78000,0.33000,-8.56000,0.59300,-8.55400,0.56400,-8.27700,1.04600,0,0.01110,3.73810,0.44630,22233382,3.60000,1.71000
44.12500,125.22500,Changchun,1,0.00120,592.00000,0.01730,3518.00000,0.02140,3975.00000,0.02530,3668.00000,-8.34400,0.54300,-7.69300,0.32800,-8.84000,0.53500,-8.86000,1.02300,-8.46500,0.49700,-7.85000,0.27500,-8.96300,0.38100,-8.92200,0.64500,-10.30500,0.84500,-10.65900,0.67900,-10.41600,0.84800,-10.11700,0.60700,-9.84100,0.54700,-9.84500,0.67300,-9.61100,0.62200,-9.81900,0.34100,-10.04800,0.52500,-10.16900,0.82300,-10.37700,0.80100,-9.44400,0.95800,-8.98400,0.73200,-9.84500,1.05300,-9.10800,0.45000,-9.39200,0.55100,-8.74900,0.76300,-9.05300,0.59900,-9.69200,0.60200,-9.65900,0.71000,-9.00300,0.60500,-8.82400,0.32000,-8.55200,0.60500,-8.57100,0.55200,-8.25900,1.04100,0,0.00800,3.03710,0.34020,22233382,3.74000,1.72000
44.12500,125.27500,Changchun,1,0.00130,684.00000,0.01480,1366.00000,0.01700,1529.00000,0.02110,1471.00000,-8.30300,0.53500,-7.67800,0.34500,-8.75300,0.51000,-8.81200,1.00300,-8.37800,0.46400,-7.83400,0.30100,-8.88400,0.36500,-8.88400,0.63100,-10.21400,0.80900,-10.63300,0.67400,-10.33200,0.85400,-10.07900,0.61300,-9.77100,0.51700,-9.79300,0.66700,-9.60300,0.62800,-9.77800,0.33500,-9.97100,0.51100,-10.10500,0.80200,-10.30000,0.77800,-9.44700,0.92500,-8.96100,0.72300,-9.81500,1.06700,-9.11000,0.46300,-9.37100,0.52200,-8.67300,0.74200,-8.94200,0.57700,-9.61400,0.57100,-9.67800,0.74100,-8.97700,0.60200,-8.83000,0.32800,-8.49300,0.61800,-8.54500,0.54300,-8.22800,1.03000,0,0.00890,2.77440,0.37770,22233382,4.50000,2.05000
44.12500,125.32500,Changchun,1,0.00160,1199.00000,0.02800,3644.00000,0.03350,3880.00000,0.04310,3879.00000,-8.27200,0.52900,-7.66700,0.35700,-8.68800,0.49100,-8.77600,0.98800,-8.31300,0.44000,-7.82200,0.32000,-8.82600,0.35300,-8.85500,0.62000,-10.15100,0.78200,-10.63000,0.66100,-10.26800,0.86000,-10.07000,0.61700,-9.72300,0.50100,-9.75900,0.66600,-9.63000,0.63600,-9.76800,0.34700,-9.93800,0.49200,-10.07500,0.77900,-10.27700,0.76700,-9.43700,0.89400,-8.93000,0.73300,-9.79200,1.07400,-9.09100,0.47400,-9.31900,0.49100,-8.56000,0.72300,-8.83200,0.56100,-9.50500,0.53600,-9.64600,0.76000,-8.91000,0.60700,-8.78100,0.34100,-8.38300,0.63200,-8.43700,0.55100,-8.13200,0.99900,0,0.01230,3.00170,0.58470,22233382,4.71000,2.07000
44.12500,125.37500,Changchun,1,0.00220,1355.00000,0.04580,3531.00000,0.05820,4011.00000,0.07310,3789.00000,-8.27000,0.52700,-7.67500,0.36300,-8.67300,0.47900,-8.77200,0.98400,-8.29800,0.43400,-7.82600,0.35100,-8.81300,0.35000,-8.87300,0.62800,-10.12900,0.78200,-10.63300,0.65500,-10.23100,0.88100,-10.08600,0.61600,-9.70000,0.50500,-9.74300,0.66400,-9.68200,0.64600,-9.76500,0.37600,-9.93200,0.48900,-10.07800,0.77100,-10.29400,0.76700,-9.39700,0.87200,-8.89800,0.74800,-9.76700,1.07000,-9.05700,0.47800,-9.25000,0.46700,-8.42400,0.71900,-8.74600,0.55100,-9.39600,0.49900,-9.58500,0.78300,-8.84100,0.60900,-8.68800,0.36600,-8.22100,0.64600,-8.24300,0.56400,-7.96100,0.97600,0,0.01040,3.84660,0.52760,22233382,3.89000,1.78000
44.12500,125.42500,Changchun,1,0.00170,1672.00000,0.05060,8951.00000,0.06770,12469.00000,0.13780,10642.00000,-8.25500,0.51800,-7.68600,0.37700,-8.62400,0.45500,-8.75100,0.97100,-8.24800,0.41600,-7.84200,0.40000,-8.77300,0.33700,-8.88800,0.63100,-10.13500,0.77800,-10.64900,0.66500,-10.22500,0.91000,-10.11800,0.62200,-9.71600,0.52700,-9.75600,0.66100,-9.76000,0.65800,-9.79600,0.40600,-9.96100,0.49200,-10.12200,0.77900,-10.34700,0.77400,-9.35800,0.84800,-8.88300,0.74800,-9.74200,1.06900,-9.02500,0.46300,-9.18900,0.44400,-8.34400,0.72500,-8.72400,0.54500,-9.35700,0.48300,-9.53700,0.78300,-8.82600,0.60500,-8.63800,0.39300,-8.13100,0.67200,-8.09100,0.55200,-7.85600,0.99400,0,0.01480,4.47330,0.82230,22233382,4.30000,1.87000
44.12500,125.47500,Changchun,2,0.00390,25382.00000,0.06650,23757.00000,0.08070,25406.00000,0.23960,28981.00000,-8.25800,0.52400,-7.68600,0.37300,-8.62500,0.45600,-8.75200,0.97500,-8.25500,0.41700,-7.84200,0.41800,-8.78200,0.34100,-8.90500,0.63700,-10.16200,0.77200,-10.70100,0.67800,-10.24100,0.91600,-10.15300,0.62900,-9.75500,0.54300,-9.78000,0.66400,-9.83400,0.67300,-9.83900,0.42000,-10.01400,0.48100,-10.17700,0.79800,-10.40300,0.78300,-9.34100,0.81300,-8.88200,0.75200,-9.72800,1.07300,-9.00400,0.43900,-9.15600,0.45200,-8.32600,0.76400,-8.73900,0.55100,-9.38100,0.49700,-9.55800,0.74400,-8.90900,0.59800,-8.68600,0.37200,-8.20400,0.66700,-8.13600,0.51500,-7.94800,1.00500,0,0.02710,4.36600,1.88780,22233382,4.73000,1.98000
44.12500,125.52500,Changchun,1,0.00070,3149.00000,0.01880,4274.00000,0.02270,4815.00000,0.08980,7560.00000,-8.27400,0.51700,-7.72100,0.37900,-8.59500,0.43500,-8.74800,0.95800,-8.23600,0.41100,-7.90300,0.44100,-8.77500,0.32600,-8.95700,0.63600,-10.21500,0.76800,-10.76900,0.68300,-10.27200,0.91200,-10.20000,0.64000,-9.80400,0.54900,-9.82000,0.67600,-9.90200,0.68200,-9.89600,0.44500,-10.08000,0.46300,-10.24600,0.81400,-10.47200,0.79100,-9.34000,0.79400,-8.91300,0.75400,-9.71900,1.08000,-9.01100,0.42800,-9.13100,0.46600,-8.38100,0.83200,-8.77600,0.54000,-9.46800,0.50900,-9.70500,0.70600,-9.11900,0.59800,-8.87400,0.35700,-8.41500,0.62600,-8.38300,0.53100,-8.22600,1.05100,0,0.00740,3.39130,0.29370,22233382,4.76000,2.10000
