latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
32.02500,119.72500,Changzhou,2,0.02510,14505.00000,0.06170,18515.00000,0.07680,20334.00000,0.10850,20149.00000,-9.60600,0.44700,-10.14300,0.37700,-9.88100,0.52300,-11.83800,3.07700,-9.55800,0.58600,-9.60700,0.65300,-9.39600,0.50100,-9.72100,0.40100,-12.30000,0.43000,-11.96200,0.82700,-11.87900,0.52300,-11.62700,0.67300,-11.10600,0.87300,-11.21900,0.63900,-10.81500,0.56800,-10.74200,0.62500,-10.20500,0.90000,-10.26700,0.57000,-9.79200,0.66300,-8.01700,0.96300,-7.99300,0.71200,-7.73900,0.77800,-7.62200,0.67100,-7.26300,0.72600,-7.50200,0.88600,-7.43800,0.47500,-6.83500,0.41800,-6.89600,0.61300,-6.68800,0.83200,-6.62300,0.65700,-6.48500,0.86400,-6.63100,0.71700,-6.07800,0.78500,0,0.02620,5.81950,3.13340,26188098,15.15000,4.49000
32.02500,119.77500,Changzhou,2,0.02970,11098.00000,0.07030,17441.00000,0.08410,16818.00000,0.11930,14821.00000,-9.55300,0.44900,-10.07000,0.38700,-9.80800,0.54800,-11.72600,3.06500,-9.50400,0.59100,-9.52300,0.65400,-9.27400,0.52900,-9.62400,0.37300,-12.34000,0.41700,-11.98800,0.84800,-11.93000,0.54700,-11.64000,0.66500,-11.07000,0.88900,-11.10500,0.60500,-10.63200,0.57100,-10.52000,0.62700,-10.02000,0.88100,-9.98900,0.53800,-9.46700,0.66300,-7.81300,0.95900,-7.79700,0.72500,-7.46200,0.81600,-7.27800,0.68700,-6.87500,0.67200,-7.08600,0.86300,-7.02400,0.46200,-6.37900,0.49100,-6.28600,0.59200,-6.16700,0.79100,-6.13700,0.65600,-6.03500,0.85800,-6.10400,0.76100,-5.63900,0.81600,0,0.03600,7.60460,4.96790,26188098,14.59000,4.29000
32.02500,119.82500,Changzhou,2,0.04010,11921.00000,0.08730,21828.00000,0.11600,23814.00000,0.19790,27039.00000,-9.52500,0.44200,-10.03200,0.38300,-9.76900,0.54500,-11.70300,3.09200,-9.47600,0.59000,-9.47600,0.65500,-9.22600,0.53600,-9.57900,0.37300,-12.39100,0.40300,-12.03900,0.84500,-11.97800,0.57300,-11.64800,0.66100,-11.04200,0.89300,-10.99600,0.56500,-10.41400,0.56400,-10.30700,0.60700,-9.81700,0.83700,-9.69500,0.50000,-9.11400,0.64700,-7.55500,0.87300,-7.55500,0.66900,-7.16700,0.75900,-6.76300,0.66200,-6.25100,0.52800,-6.39500,0.85100,-6.21300,0.41700,-5.52100,0.48500,-5.29700,0.54000,-5.28700,0.70500,-5.43600,0.56300,-5.51600,0.77800,-5.37000,0.76600,-5.09000,0.75700,0,0.07000,9.56750,10.26960,26188098,13.55000,4.20000
32.02500,119.87500,Changzhou,2,0.06020,13640.00000,0.09920,19295.00000,0.14470,18773.00000,0.23610,16972.00000,-9.46700,0.43800,-9.95800,0.39600,-9.69200,0.55400,-11.64100,3.09600,-9.43600,0.59500,-9.39300,0.66200,-9.12600,0.56400,-9.50300,0.36400,-12.45200,0.38800,-12.09600,0.82300,-12.01800,0.58200,-11.66600,0.65700,-11.03700,0.89100,-10.91900,0.54100,-10.23200,0.55800,-10.15000,0.59300,-9.62900,0.79100,-9.42700,0.46700,-8.80000,0.61400,-7.40800,0.82400,-7.46000,0.64300,-6.99000,0.70000,-6.29900,0.58000,-5.56800,0.43900,-5.75300,0.80100,-5.53000,0.37000,-4.85200,0.44000,-4.52900,0.47800,-4.48300,0.62000,-4.90200,0.51300,-5.17000,0.70900,-4.76300,0.76100,-4.70500,0.70100,0,0.06870,9.63870,10.62950,26188098,13.81000,4.21000
32.02500,119.92500,Changzhou,1,0.01070,8987.00000,0.01760,11180.00000,0.03240,11567.00000,0.05870,12428.00000,-9.43500,0.42800,-9.92000,0.39700,-9.64800,0.54400,-11.32100,2.94500,-9.41600,0.59500,-9.35200,0.66500,-9.08900,0.56800,-9.46500,0.37500,-12.49900,0.36600,-12.14400,0.79300,-12.01700,0.57600,-11.67900,0.64900,-11.04300,0.87700,-10.88900,0.53700,-10.09500,0.56200,-10.02900,0.57800,-9.46700,0.74300,-9.20100,0.42500,-8.53500,0.57100,-7.39300,0.80500,-7.43400,0.62700,-6.92900,0.68200,-6.09800,0.51800,-5.23600,0.48400,-5.49800,0.77900,-5.26500,0.39600,-4.61800,0.45800,-4.16300,0.46700,-4.18800,0.61700,-4.63900,0.50100,-4.85100,0.71900,-4.42500,0.75400,-4.54900,0.71400,33,0.04580,6.61030,7.45800,26188098,12.28000,4.17000
32.02500,119.97500,Changzhou,1,0.00480,348.00000,0.01040,1970.00000,0.04020,11256.00000,0.10040,17255.00000,-9.37700,0.42100,-9.85800,0.41500,-9.57600,0.53700,-10.66500,2.60100,-9.39100,0.59900,-9.28900,0.67300,-9.02200,0.57900,-9.40800,0.39100,-12.49300,0.32400,-12.13700,0.76200,-11.98000,0.55300,-11.67800,0.61000,-11.05100,0.86200,-10.91900,0.54300,-10.07400,0.56700,-10.01900,0.55800,-9.41400,0.69200,-9.09300,0.39800,-8.38400,0.54600,-7.44100,0.79100,-7.43600,0.62000,-6.85300,0.64800,-6.05100,0.53100,-5.11000,0.48700,-5.32500,0.78100,-5.12400,0.40200,-4.42300,0.45100,-3.90000,0.45100,-3.90000,0.63800,-4.38200,0.46100,-4.44800,0.72300,-4.17000,0.70900,-4.28400,0.69300,46,0.03010,4.35900,4.46520,26188098,7.41000,3.99000
32.02500,120.02500,Changzhou,2,0.00430,19617.00000,0.01260,24315.00000,0.04020,26959.00000,0.11340,21087.00000,-9.33700,0.42000,-9.82400,0.42900,-9.52900,0.52500,-10.44400,2.50500,-9.36500,0.59400,-9.24800,0.68100,-8.98200,0.57500,-9.36800,0.40700,-12.41300,0.28500,-12.04500,0.72100,-11.85600,0.53800,-11.59900,0.57800,-11.00100,0.84200,-10.90900,0.53900,-10.05300,0.57200,-9.98000,0.53400,-9.34800,0.64700,-8.98000,0.36600,-8.24400,0.54500,-7.51500,0.83400,-7.46500,0.62800,-6.76000,0.65500,-6.09900,0.59400,-5.16700,0.60000,-5.31600,0.75400,-5.09100,0.44900,-4.33300,0.47500,-3.82400,0.46000,-3.74400,0.60700,-4.13700,0.44300,-4.17200,0.66500,-3.93200,0.66500,-3.96300,0.66300,0,0.07040,6.28990,8.01510,26188098,14.87000,4.22000
32.02500,120.07500,Changzhou,1,0.02040,37986.00000,0.04670,31552.00000,0.05430,27881.00000,0.09250,18475.00000,-9.27600,0.41800,-9.77300,0.45000,-9.45900,0.50800,-10.11200,2.36200,-9.32700,0.58500,-9.18800,0.69300,-8.92200,0.56900,-9.30900,0.43200,-12.25300,0.25200,-11.87800,0.70300,-11.67900,0.52000,-11.45400,0.56500,-10.85800,0.82800,-10.85700,0.54200,-10.01600,0.57100,-9.91500,0.53600,-9.25600,0.62900,-8.87500,0.33400,-8.12300,0.54400,-7.64200,0.93100,-7.51400,0.66300,-6.77300,0.76100,-6.39100,0.73600,-5.59800,0.75700,-5.74300,0.78700,-5.43900,0.51100,-4.59300,0.52000,-4.30600,0.56700,-4.06800,0.56800,-4.42300,0.43500,-4.34600,0.69200,-4.16900,0.67400,-4.28100,0.64600,0,0.06440,6.55290,7.28760,26188098,15.66000,4.42000
32.02500,120.12500,Changzhou,1,0.00080,3696.00000,0.00590,11438.00000,0.01150,11357.00000,0.02410,11274.00000,-9.22600,0.41600,-9.73100,0.45000,-9.40800,0.48700,-9.95400,2.20600,-9.28800,0.56500,-9.15000,0.69600,-8.88600,0.55500,-9.25700,0.45400,-12.02200,0.23000,-11.66700,0.68900,-11.46300,0.51000,-11.24500,0.55800,-10.64700,0.80200,-10.73700,0.53100,-9.95500,0.55500,-9.80400,0.54600,-9.12700,0.61900,-8.75300,0.31700,-8.00900,0.54600,-7.74800,1.05000,-7.56000,0.69800,-6.87600,0.87200,-6.75800,0.87000,-6.09800,0.78600,-6.23100,0.87200,-5.93400,0.54400,-5.03200,0.54400,-5.09200,0.64300,-4.68200,0.63900,-4.97300,0.43400,-4.66800,0.80800,-4.68900,0.67800,-4.73100,0.83100,0,0.04430,5.96420,4.39410,26188098,16.15000,4.50000
32.02500,120.17500,Changzhou,1,0.00270,29586.00000,0.01580,33227.00000,0.02400,29759.00000,0.04990,27766.00000,-9.17000,0.41500,-9.68400,0.45100,-9.35100,0.46400,-9.77700,2.03200,-9.24400,0.54300,-9.10600,0.69900,-8.84400,0.53800,-9.19900,0.47800,-11.76500,0.23800,-11.46100,0.67600,-11.23500,0.51900,-11.00000,0.55700,-10.38200,0.76800,-10.50200,0.52500,-9.80500,0.53000,-9.57800,0.54800,-8.93000,0.60000,-8.50900,0.29600,-7.80700,0.54900,-7.54400,1.00200,-7.32300,0.72300,-6.76100,0.88700,-6.60900,0.86600,-6.15600,0.81700,-6.28200,0.93800,-6.17600,0.58200,-5.31300,0.57800,-5.47200,0.57500,-5.04700,0.68800,-5.08200,0.51700,-4.78100,0.91900,-4.79500,0.77200,-4.66900,1.06200,0,0.05810,7.60790,7.39190,26188098,15.39000,4.42000
