latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
30.92500,103.82500,Chengdu,1,0.04580,19856.00000,0.07490,30492.00000,0.08410,38074.00000,0.08440,51083.00000,-8.66200,0.48100,-8.52300,0.63500,-8.60700,0.38700,-8.69900,1.00100,-8.57500,0.40400,-8.37000,0.50400,-8.20900,0.50000,-8.15200,0.25000,-11.14400,0.76000,-11.61900,0.60000,-11.30200,0.86600,-11.34100,0.44900,-10.97400,0.52400,-10.85700,0.39900,-10.84700,0.41100,-10.67600,0.25400,-10.44600,0.46200,-10.02300,0.47600,-9.80500,0.44300,-7.79500,0.41700,-7.59700,0.43400,-7.34600,0.38900,-7.04800,0.36200,-7.03200,0.36800,-6.89200,0.34000,-6.70800,0.41100,-6.67100,0.30500,-6.71400,0.46300,-6.61100,0.34400,-6.56200,0.31400,-6.36500,0.46000,-6.29500,0.35600,-5.95000,0.42100,0,0.02300,5.37150,2.22730,26491650,19.64000,6.85000
30.92500,103.87500,Chengdu,1,0.03370,16270.00000,0.05670,24531.00000,0.07060,30987.00000,0.07070,41824.00000,-8.76900,0.52800,-8.63400,0.74600,-8.73300,0.42000,-8.72900,0.92400,-8.72100,0.45100,-8.48800,0.61400,-8.29000,0.56200,-8.23400,0.30500,-11.17000,0.81600,-11.68400,0.64200,-11.32600,0.99000,-11.37100,0.47800,-10.99000,0.54800,-10.89600,0.45900,-10.85100,0.47000,-10.68200,0.30500,-10.38900,0.52000,-10.00700,0.53500,-9.73500,0.51500,-7.79000,0.49500,-7.62500,0.46700,-7.30100,0.42400,-7.01500,0.37900,-7.00300,0.39400,-6.86800,0.34400,-6.64500,0.42100,-6.56400,0.30300,-6.53500,0.48000,-6.49400,0.36900,-6.41200,0.36300,-6.23500,0.48500,-6.16600,0.44100,-5.69500,0.52900,0,0.01860,5.33370,1.65370,26491650,19.86000,6.81000
30.92500,103.92500,Chengdu,2,0.05640,12119.00000,0.09510,16372.00000,0.11960,24695.00000,0.11980,35466.00000,-8.77600,0.52900,-8.64600,0.76000,-8.74700,0.42600,-8.72800,0.91500,-8.73600,0.45000,-8.50400,0.62900,-8.30100,0.56800,-8.24200,0.31300,-11.14700,0.85800,-11.66700,0.67800,-11.26300,1.11300,-11.37000,0.52200,-10.97400,0.60600,-10.88800,0.50500,-10.82400,0.54700,-10.65700,0.37100,-10.32200,0.58600,-9.95700,0.59100,-9.65300,0.55900,-7.79000,0.51600,-7.66100,0.49900,-7.28800,0.44100,-6.99300,0.40800,-6.98400,0.41600,-6.85100,0.35100,-6.61300,0.44400,-6.51500,0.30900,-6.43800,0.53400,-6.38400,0.40600,-6.33100,0.35800,-6.15300,0.51400,-6.07200,0.45000,-5.57900,0.53000,0,0.03870,8.31590,4.71490,26491650,16.27000,6.31000
30.92500,103.97500,Chengdu,2,0.07320,9639.00000,0.11920,15920.00000,0.14670,22844.00000,0.14670,30542.00000,-8.80100,0.53200,-8.69800,0.81700,-8.80500,0.45100,-8.72300,0.86900,-8.80500,0.44400,-8.57600,0.69500,-8.35300,0.59200,-8.27700,0.34500,-11.11800,0.89200,-11.63600,0.70900,-11.22000,1.19500,-11.38500,0.53600,-10.99100,0.66200,-10.88800,0.54700,-10.82500,0.61200,-10.65700,0.43000,-10.31500,0.66100,-9.96700,0.65300,-9.66600,0.58800,-7.81600,0.52600,-7.72600,0.52500,-7.32800,0.45200,-7.01500,0.42600,-7.01900,0.43800,-6.87400,0.36200,-6.62800,0.46300,-6.52500,0.31900,-6.42800,0.55300,-6.37400,0.41800,-6.32700,0.36900,-6.12100,0.55200,-6.02700,0.47000,-5.56200,0.53800,0,0.04180,8.54790,4.92170,26491650,14.13000,5.97000
30.92500,104.02500,Chengdu,1,0.03920,10605.00000,0.04910,17663.00000,0.05190,22661.00000,0.05190,31131.00000,-8.78900,0.53000,-8.70100,0.81800,-8.79800,0.45000,-8.72000,0.85200,-8.82400,0.42400,-8.59300,0.70400,-8.36900,0.59200,-8.29100,0.34800,-11.11600,0.92000,-11.60500,0.77100,-11.15900,1.27400,-11.39600,0.56600,-11.00800,0.71700,-10.86400,0.58200,-10.80700,0.66300,-10.63100,0.50200,-10.26000,0.74200,-9.93800,0.72000,-9.65700,0.62400,-7.87200,0.55900,-7.83900,0.57500,-7.47500,0.48300,-7.15500,0.49000,-7.16400,0.50000,-6.98700,0.40100,-6.72700,0.49700,-6.62500,0.34600,-6.50000,0.58800,-6.46000,0.45600,-6.39200,0.40400,-6.15800,0.53700,-6.05000,0.49700,-5.61000,0.55000,0,0.01790,5.86610,1.42480,26491650,15.09000,5.82000
30.92500,104.07500,Chengdu,1,0.02130,12325.00000,0.02630,14943.00000,0.03620,17739.00000,0.03980,23371.00000,-8.76300,0.52300,-8.70600,0.81800,-8.78500,0.44800,-8.71500,0.81600,-8.86500,0.38100,-8.63100,0.72100,-8.40400,0.59000,-8.32300,0.35200,-11.14600,0.93900,-11.56600,0.82300,-11.10600,1.34400,-11.43000,0.59400,-11.05900,0.77100,-10.89100,0.62300,-10.81900,0.70100,-10.63200,0.54000,-10.24600,0.80900,-9.93300,0.75900,-9.65400,0.66300,-7.93500,0.58800,-7.94300,0.62500,-7.64800,0.51900,-7.35800,0.58500,-7.35600,0.57100,-7.12400,0.46300,-6.84700,0.53800,-6.77700,0.38300,-6.61000,0.64700,-6.55600,0.50800,-6.44700,0.45200,-6.15000,0.51100,-6.05700,0.53900,-5.66500,0.57300,0,0.01670,5.28010,1.17480,26491650,13.60000,5.47000
30.92500,104.12500,Chengdu,2,0.00750,9880.00000,0.02740,23246.00000,0.06270,42693.00000,0.11160,57101.00000,-8.72200,0.50300,-8.70200,0.79400,-8.76000,0.43500,-8.69800,0.78200,-8.89300,0.33900,-8.63900,0.70100,-8.43100,0.57900,-8.35300,0.34300,-11.17800,0.93500,-11.52300,0.84700,-11.08300,1.37600,-11.48800,0.62300,-11.14900,0.81000,-10.93700,0.64500,-10.86800,0.72500,-10.67300,0.53800,-10.26700,0.83800,-9.96800,0.77900,-9.69500,0.68400,-7.88200,0.61600,-7.89800,0.62100,-7.61100,0.53600,-7.35000,0.62600,-7.28700,0.58800,-7.05000,0.49300,-6.69200,0.55400,-6.68600,0.39900,-6.47900,0.65900,-6.36900,0.48600,-6.24300,0.49200,-5.85600,0.57000,-5.73400,0.58600,-5.44700,0.60400,0,0.04010,8.34590,4.31710,26491650,14.18000,5.77000
30.92500,104.17500,Chengdu,1,0.00450,11157.00000,0.04020,8892.00000,0.04840,8916.00000,0.05930,10334.00000,-8.67300,0.47900,-8.69800,0.76500,-8.73000,0.41900,-8.67900,0.74100,-8.92700,0.29000,-8.64800,0.67800,-8.46400,0.56500,-8.38900,0.33200,-11.19500,0.89400,-11.48800,0.84900,-11.07800,1.36900,-11.54900,0.63100,-11.24400,0.81200,-10.97400,0.63200,-10.91400,0.70900,-10.74900,0.52800,-10.30800,0.82100,-10.02200,0.79100,-9.75700,0.68300,-7.66900,0.60600,-7.66800,0.56600,-7.36500,0.53600,-7.05900,0.58900,-6.86100,0.55500,-6.60700,0.50500,-6.19300,0.57200,-6.14100,0.39300,-5.96600,0.62100,-5.83700,0.44400,-5.64800,0.51300,-5.31600,0.64900,-5.10900,0.63800,-4.83200,0.60000,0,0.02160,5.46250,2.08500,26491650,15.50000,5.96000
30.92500,104.22500,Chengdu,2,0.01780,46448.00000,0.27990,59834.00000,0.29100,64288.00000,0.29500,70330.00000,-8.60700,0.42800,-8.69000,0.71900,-8.69100,0.39900,-8.65800,0.68800,-8.96300,0.24600,-8.64500,0.63400,-8.50400,0.53200,-8.43200,0.31000,-11.20500,0.79600,-11.43900,0.79900,-11.06500,1.31200,-11.55900,0.60700,-11.31300,0.76700,-11.00800,0.58600,-10.94100,0.64800,-10.83200,0.49900,-10.35100,0.77500,-10.10200,0.77600,-9.85000,0.66400,-7.56200,0.55400,-7.50400,0.51000,-7.18900,0.52500,-6.84300,0.50700,-6.52900,0.51400,-6.22600,0.53700,-5.87800,0.59500,-5.73700,0.38700,-5.61200,0.57900,-5.48400,0.46000,-5.24300,0.49700,-4.97300,0.69200,-4.75100,0.62400,-4.41100,0.56100,0,0.05680,9.89780,7.50150,26491650,11.67000,5.51000
30.92500,104.27500,Chengdu,2,0.00790,10553.00000,0.20360,25983.00000,0.22570,26313.00000,0.22680,24145.00000,-8.56100,0.39300,-8.68500,0.68800,-8.66300,0.38500,-8.64400,0.65200,-8.98500,0.21600,-8.64100,0.60400,-8.52900,0.51000,-8.46000,0.29400,-11.18300,0.65600,-11.35300,0.70900,-11.02900,1.21900,-11.50400,0.56400,-11.33100,0.68500,-11.00700,0.50900,-10.93900,0.57200,-10.90300,0.44600,-10.41400,0.69200,-10.19200,0.74100,-9.96900,0.63700,-7.72600,0.54000,-7.65600,0.50100,-7.30900,0.51700,-6.97700,0.47500,-6.64500,0.52900,-6.29300,0.53000,-6.04500,0.63100,-5.89800,0.42600,-5.79000,0.54600,-5.59800,0.50600,-5.40500,0.44200,-5.06500,0.68500,-4.85400,0.57400,-4.50400,0.57300,0,0.05220,8.30600,6.17220,26491650,13.41000,5.97000
