latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
13.32500,80.02500,Chennai,1,0.00140,8797.00000,0.00140,15512.00000,0.00230,16730.00000,0.01270,15293.00000,-10.76000,0.21900,-10.42600,0.31800,-9.87200,0.22800,-10.32000,0.30700,-10.51400,0.58900,-9.86400,0.31400,-10.56800,0.40500,-10.03600,0.29100,-12.42000,0.39800,-11.88700,0.32700,-12.06600,0.39400,-11.87000,0.31900,-11.85300,0.37500,-11.96600,0.42900,-12.06300,0.61600,-11.86500,0.34800,-11.34300,0.41200,-11.73500,0.41300,-12.06300,0.43400,-9.85300,0.52100,-10.31400,0.43500,-10.48800,0.57500,-9.38700,0.32500,-9.87800,0.40500,-10.00500,0.41000,-9.51300,0.49900,-9.73100,0.51700,-9.94900,0.55900,-9.81600,0.37200,-9.47100,0.52000,-9.62200,0.71700,-9.50500,0.66900,-9.16500,0.41800,0,-9999,-9999,-9999,29965536,5.84000,2.79000
13.32500,80.07500,Chennai,1,0.00310,3766.00000,0.00310,2367.00000,0.00490,3596.00000,0.01840,4763.00000,-11.14900,0.23900,-10.75100,0.32600,-10.15900,0.23800,-10.64600,0.27500,-10.85200,0.59700,-10.16800,0.36400,-10.86800,0.41800,-10.36900,0.29800,-12.47900,0.46400,-11.93900,0.38100,-12.13700,0.43600,-11.94900,0.33300,-11.90200,0.38400,-12.04900,0.45700,-12.11300,0.65400,-11.91000,0.40500,-11.31600,0.45400,-11.76600,0.44700,-12.02900,0.46200,-9.81400,0.51100,-10.29500,0.45700,-10.44900,0.60700,-9.32000,0.34000,-9.83400,0.44800,-9.97400,0.41000,-9.43900,0.51400,-9.70500,0.52400,-9.88200,0.56700,-9.74500,0.38700,-9.41000,0.51500,-9.57400,0.75900,-9.46800,0.67700,-9.11900,0.43600,0,-9999,-9999,-9999,29965536,5.61000,2.61000
13.32500,80.12500,Chennai,1,0.01570,7657.00000,0.01570,7549.00000,0.02450,11156.00000,0.08440,27900.00000,-11.29000,0.24700,-10.86600,0.32800,-10.26100,0.24000,-10.76100,0.25700,-10.97700,0.60000,-10.27500,0.38400,-10.97100,0.42200,-10.48500,0.29900,-12.48200,0.54900,-11.94000,0.42600,-12.17800,0.43100,-11.99200,0.36200,-11.90800,0.38200,-12.08800,0.51100,-12.09500,0.65500,-11.84500,0.44100,-11.24000,0.50900,-11.73400,0.45900,-11.91900,0.49300,-9.74200,0.51200,-10.24800,0.45100,-10.39000,0.61100,-9.21400,0.35900,-9.77500,0.48600,-9.92500,0.42800,-9.35200,0.52500,-9.66800,0.53000,-9.81500,0.59400,-9.68400,0.41300,-9.35900,0.52600,-9.48700,0.83200,-9.43900,0.69200,-9.09400,0.47500,0,-9999,-9999,-9999,29965536,6.97000,3.02000
13.32500,80.17500,Chennai,1,0.00630,6275.00000,0.00740,3852.00000,0.01700,9423.00000,0.04700,19693.00000,-11.90600,0.26900,-11.54800,0.35900,-10.88500,0.25500,-11.46700,0.22600,-11.63200,0.50600,-10.93100,0.42800,-11.60400,0.41500,-11.20900,0.29100,-12.69600,0.65900,-12.12400,0.44000,-12.40500,0.42800,-12.26400,0.39800,-12.18700,0.38600,-12.39100,0.55700,-12.27500,0.64200,-11.99200,0.44400,-11.43900,0.54900,-11.89700,0.46800,-12.00800,0.48400,-9.75700,0.52300,-10.28700,0.47200,-10.36200,0.58500,-9.19200,0.39900,-9.76300,0.52000,-9.89300,0.43600,-9.29500,0.49800,-9.64900,0.53700,-9.75600,0.65700,-9.67200,0.47800,-9.30000,0.53700,-9.45200,0.89000,-9.41400,0.66500,-9.08800,0.54200,0,-9999,-9999,-9999,29965536,7.58000,3.39000
13.32500,80.22500,Chennai,1,0.00000,16.00000,0.00030,284.00000,0.00160,1437.00000,0.01180,4568.00000,-12.18200,0.27400,-11.88200,0.39400,-11.19400,0.27100,-11.79500,0.27300,-11.90400,0.47200,-11.25300,0.43000,-11.90900,0.42100,-11.54400,0.31800,-13.17700,0.66900,-12.62100,0.45800,-12.95900,0.43200,-12.81100,0.47500,-12.77200,0.38700,-12.98300,0.58900,-12.76500,0.66000,-12.45600,0.45500,-11.93500,0.59600,-12.35200,0.48400,-12.42300,0.49600,-10.07100,0.55600,-10.54500,0.51800,-10.60700,0.61000,-9.40100,0.44600,-10.02300,0.58000,-10.08000,0.46100,-9.53300,0.48600,-9.83400,0.56700,-9.96600,0.67300,-9.94700,0.54800,-9.48600,0.57000,-9.67100,0.95900,-9.56600,0.66700,-9.30200,0.57100,0,-9999,-9999,-9999,29965536,8.07000,3.47000
13.32500,80.27500,Chennai,0,0.00020,0.00000,0.00220,0.00000,0.00620,20.00000,0.01830,1250.00000,-12.65700,0.28100,-12.46000,0.45800,-11.72100,0.30100,-12.35900,0.35900,-12.36800,0.41200,-11.80700,0.42900,-12.43700,0.42900,-12.12400,0.36200,-14.16400,0.67000,-13.55600,0.51700,-13.96300,0.40400,-13.82500,0.49200,-13.82200,0.44900,-14.00800,0.59800,-13.74200,0.66900,-13.40600,0.47900,-12.97400,0.63400,-13.27200,0.51200,-13.30200,0.51800,-10.89400,0.62400,-11.30800,0.60300,-11.57900,0.68000,-10.15100,0.54500,-10.85600,0.60700,-10.73800,0.55100,-10.13700,0.47300,-10.45000,0.60600,-10.59600,0.67500,-10.57500,0.60000,-10.07200,0.60400,-10.18100,1.06400,-9.99000,0.70900,-9.82500,0.61100,0,-9999,-9999,-9999,29965536,6.04000,2.81000
13.32500,80.32500,Chennai,2,0.00060,96.00000,0.00780,983.00000,0.02210,3441.00000,0.06740,18766.00000,-12.62600,0.28300,-12.42400,0.45700,-11.68800,0.30200,-12.32300,0.35100,-12.33800,0.41000,-11.77200,0.42700,-12.40000,0.42800,-12.08700,0.35800,-15.90400,0.62200,-15.25400,0.62700,-15.69400,0.46600,-15.65700,0.50300,-15.59200,0.55700,-15.77100,0.56900,-15.45500,0.73000,-15.15400,0.52000,-14.82600,0.69200,-14.95500,0.54100,-14.99100,0.52900,-12.23600,0.70800,-12.63600,0.71400,-13.02300,0.80300,-11.47200,0.72800,-12.12900,0.67000,-11.99600,0.67700,-11.19200,0.52300,-11.51800,0.67900,-11.69400,0.71100,-11.57900,0.65800,-11.08300,0.62800,-11.13500,1.20900,-10.98600,0.81300,-10.71600,0.73900,0,-9999,-9999,-9999,29965536,4.38000,2.35000
13.32500,80.37500,Chennai,0,0.00010,0.00000,0.00110,0.00000,0.00310,0.00000,0.02650,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-18.08800,0.67200,-17.52600,0.87600,-17.85800,0.60900,-17.93200,0.59700,-17.88700,0.71800,-17.97100,0.68800,-17.62100,0.88100,-17.31500,0.70900,-17.24900,0.83400,-17.10400,0.62100,-17.22400,0.67900,-14.87700,0.97600,-14.93200,0.55700,-15.36100,0.80900,-14.13900,0.91200,-14.31000,0.74400,-14.11400,0.75900,-13.37800,0.62000,-13.47300,0.98500,-13.82300,0.83700,-13.44300,0.69400,-13.15700,0.64400,-12.95400,1.35900,-13.05900,0.83800,-12.55300,0.85300,100,-9999,-9999,-9999,29965536,-9999.00000,-9999.00000
13.32500,80.42500,Chennai,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,29965536,-9999.00000,-9999.00000
13.32500,80.47500,Chennai,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,29965536,-9999.00000,-9999.00000
