latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
22.57500,91.52500,Chittagong,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.43200,0.41400,-11.57500,0.64300,-11.59400,0.26400,-12.04200,0.38100,-11.17600,0.43400,-11.52200,0.58900,-11.89500,0.25800,-11.91200,1.00100,-14.37400,0.32100,-14.31300,0.31800,-14.20100,0.33100,-14.08300,0.33400,-14.10800,0.28800,-14.00400,0.28200,-14.10500,0.29900,-14.03600,0.32300,-13.92000,0.37900,-13.92500,0.25600,-13.94100,0.34700,-12.07800,0.41600,-11.83100,0.56300,-11.82000,0.48600,-11.92900,0.47100,-11.69200,0.58900,-11.50900,0.50300,-11.54100,0.47200,-11.64000,0.67000,-11.67500,0.64300,-11.40100,0.61000,-11.28600,0.48300,-11.41700,0.68000,-11.05900,0.76300,-11.38000,0.63300,86,-9999.00000,-9999.00000,-9999.00000,28470958,0.81000,1.36000
22.57500,91.57500,Chittagong,0,0.00000,0.00000,0.00000,0.00000,0.00010,0.00000,0.00010,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-14.15000,0.31400,-14.11200,0.32000,-13.90300,0.34000,-13.86300,0.29200,-13.95100,0.31100,-13.77100,0.30100,-13.93100,0.33000,-13.84700,0.27900,-13.74900,0.34700,-13.67700,0.25500,-13.58400,0.34300,-12.05700,0.53500,-11.79000,0.68700,-11.66000,0.57100,-11.80600,0.59400,-11.59300,0.73200,-11.35800,0.57100,-11.36700,0.55200,-11.58200,0.81800,-11.60900,0.76200,-11.13800,0.76100,-11.09400,0.55400,-11.32200,0.80500,-10.88300,0.94900,-11.32000,0.75300,100,-9999.00000,-9999.00000,-9999.00000,28470958,1.05000,1.46000
22.57500,91.62500,Chittagong,0,0.00000,0.00000,0.00010,303.00000,0.00040,1426.00000,0.00050,1874.00000,-9.49000,0.31100,-9.48800,0.35700,-9.64400,0.16700,-9.66900,0.21600,-9.02300,0.26700,-9.52200,0.33800,-9.51200,0.22700,-9.86500,0.47400,-12.06300,0.31800,-12.18300,0.28500,-11.87800,0.31100,-11.90300,0.26100,-11.96900,0.22400,-11.82200,0.19700,-11.94000,0.22600,-11.86000,0.23400,-11.77400,0.20200,-11.60200,0.27900,-11.44000,0.28200,-9.62500,0.65900,-9.50200,0.68500,-9.62300,0.75500,-10.07900,0.72000,-9.52600,0.72200,-9.45600,0.77500,-9.63600,0.75700,-9.60600,0.81500,-9.48900,0.81400,-9.52700,0.72800,-9.38100,0.93100,-9.28600,1.34300,-8.99000,0.80200,-8.88400,0.81100,64,-9999.00000,-9999.00000,-9999.00000,28470958,10.04000,3.11000
22.57500,91.67500,Chittagong,1,0.00070,12028.00000,0.00290,21990.00000,0.00530,30799.00000,0.00780,43199.00000,-9.41400,0.30700,-9.41400,0.34200,-9.56700,0.17100,-9.58600,0.21500,-8.95900,0.27500,-9.44500,0.34000,-9.43300,0.22600,-9.78700,0.45900,-11.34200,0.25800,-11.50200,0.33200,-11.06000,0.29900,-11.20300,0.27000,-11.23600,0.22200,-11.05900,0.20200,-11.17100,0.22200,-11.12200,0.21600,-11.05600,0.23900,-10.81700,0.26800,-10.56000,0.25600,-8.30700,0.53800,-8.22200,0.49800,-8.13600,0.53300,-8.22100,0.53900,-7.99400,0.49000,-7.88500,0.51700,-7.94900,0.55200,-8.03300,0.54400,-7.91800,0.58600,-7.92900,0.53600,-7.68000,0.61500,-7.61900,0.87900,-7.44400,0.52300,-7.57300,0.59000,0,-9999.00000,-9999.00000,-9999.00000,28470958,24.15000,6.42000
22.57500,91.72500,Chittagong,0,0.00030,0.00000,0.00110,0.00000,0.00200,0.00000,0.00300,839.00000,-8.77200,0.26700,-8.78200,0.20600,-8.91900,0.19900,-8.88400,0.20100,-8.41400,0.31900,-8.79600,0.35000,-8.76600,0.21700,-9.11600,0.31500,-10.68800,0.21500,-10.85000,0.35000,-10.39000,0.28600,-10.54500,0.28000,-10.55800,0.20800,-10.41900,0.22700,-10.48700,0.24300,-10.44800,0.22100,-10.40400,0.27700,-10.17900,0.23900,-9.89100,0.26500,-7.83100,0.36500,-7.69500,0.34700,-7.63400,0.32700,-7.66200,0.33300,-7.50300,0.28700,-7.51700,0.30800,-7.42200,0.32800,-7.48100,0.31400,-7.44400,0.31300,-7.28700,0.37000,-7.28900,0.38300,-7.31100,0.71000,-7.10600,0.38500,-7.30500,0.38100,0,-9999.00000,-9999.00000,-9999.00000,28470958,45.49000,6.06000
22.57500,91.77500,Chittagong,1,0.00050,3275.00000,0.00290,16197.00000,0.00350,17480.00000,0.00450,27037.00000,-8.54800,0.24300,-8.58900,0.20600,-8.69200,0.18600,-8.65700,0.18600,-8.24400,0.30800,-8.59200,0.39400,-8.56900,0.21100,-8.88400,0.29700,-10.19700,0.17000,-10.31000,0.33300,-9.89800,0.27800,-10.04300,0.31500,-10.04200,0.22100,-9.94300,0.26100,-9.97900,0.27400,-9.94500,0.22700,-9.92700,0.30700,-9.72000,0.22500,-9.44700,0.27100,-7.78700,0.31300,-7.63400,0.30500,-7.55600,0.28700,-7.61200,0.28500,-7.46500,0.26400,-7.45800,0.28400,-7.33500,0.27700,-7.42400,0.27000,-7.43800,0.29000,-7.14600,0.39600,-7.23500,0.37600,-7.26900,0.59700,-7.09200,0.36100,-7.31200,0.31600,0,-9999.00000,-9999.00000,-9999.00000,28470958,27.68000,7.48000
22.57500,91.82500,Chittagong,1,0.00020,20722.00000,0.00140,29845.00000,0.00170,34452.00000,0.00240,34608.00000,-8.19400,0.20700,-8.28200,0.20500,-8.33500,0.16500,-8.29800,0.16300,-7.97300,0.28900,-8.27000,0.46300,-8.25700,0.20000,-8.51700,0.26600,-9.90400,0.17400,-9.91400,0.29200,-9.59700,0.27900,-9.72000,0.33400,-9.70300,0.23900,-9.67900,0.28600,-9.67300,0.28000,-9.65100,0.25400,-9.64600,0.30700,-9.46400,0.22900,-9.21800,0.26700,-7.79800,0.29800,-7.62200,0.28900,-7.55000,0.28800,-7.61400,0.26500,-7.46400,0.25100,-7.46500,0.27200,-7.32100,0.24600,-7.43000,0.25500,-7.44500,0.27300,-7.18400,0.32800,-7.24300,0.35200,-7.27800,0.52200,-7.17500,0.33800,-7.32300,0.30800,0,-9999.00000,-9999.00000,-9999.00000,28470958,26.01000,7.67000
22.57500,91.87500,Chittagong,2,0.00020,27590.00000,0.00290,43886.00000,0.00360,56803.00000,0.00450,83438.00000,-7.95800,0.17400,-8.06500,0.20200,-8.08900,0.13300,-8.08200,0.14400,-7.79000,0.25500,-8.06800,0.56900,-8.05800,0.17800,-8.23700,0.23200,-9.78100,0.22200,-9.63800,0.24600,-9.42200,0.25400,-9.52100,0.32100,-9.47600,0.25700,-9.55100,0.31700,-9.49500,0.26900,-9.49600,0.28100,-9.49300,0.30000,-9.34000,0.24700,-9.13100,0.26400,-7.73500,0.27500,-7.58800,0.27900,-7.52900,0.29700,-7.60800,0.24800,-7.44500,0.24800,-7.46600,0.26000,-7.31700,0.22500,-7.43300,0.23200,-7.42800,0.26600,-7.24800,0.25300,-7.25000,0.33100,-7.27600,0.45100,-7.21700,0.30500,-7.29200,0.31400,0,-9999.00000,-9999.00000,-9999.00000,28470958,23.91000,7.80000
22.57500,91.92500,Chittagong,0,0.00000,4897.00000,0.00060,4069.00000,0.00080,5077.00000,0.00130,8247.00000,-7.84100,0.15700,-7.95700,0.20000,-7.96600,0.11700,-7.97400,0.13400,-7.69700,0.23700,-7.96700,0.62400,-7.95800,0.16700,-8.09600,0.21500,-9.73300,0.25100,-9.47800,0.24600,-9.35800,0.21800,-9.41700,0.31100,-9.37200,0.26600,-9.51800,0.31000,-9.42300,0.26000,-9.45500,0.29700,-9.41900,0.29000,-9.29100,0.26100,-9.13900,0.25400,-7.59200,0.23800,-7.47300,0.26500,-7.46600,0.29100,-7.54600,0.22700,-7.33800,0.24300,-7.43700,0.25500,-7.28000,0.21000,-7.39700,0.21500,-7.37200,0.26300,-7.26500,0.22800,-7.23600,0.31000,-7.24500,0.40800,-7.22000,0.29300,-7.23600,0.29900,0,-9999.00000,-9999.00000,-9999.00000,28470958,27.12000,7.22000
22.57500,91.97500,Chittagong,0,0.00000,2431.00000,0.00000,3804.00000,0.00000,0.00000,0.00090,13796.00000,-7.73400,0.12300,-7.78500,0.17100,-7.86100,0.11000,-7.85700,0.13500,-7.62700,0.21900,-7.73500,0.26200,-7.86400,0.15200,-7.93800,0.17100,-9.70700,0.25100,-9.40100,0.24700,-9.37600,0.18900,-9.37700,0.32000,-9.33200,0.27100,-9.54700,0.27900,-9.38700,0.24800,-9.46400,0.28800,-9.38100,0.29500,-9.28000,0.26200,-9.18200,0.23700,-7.39800,0.22100,-7.33500,0.24100,-7.37800,0.24600,-7.40400,0.19400,-7.20600,0.20400,-7.32800,0.25900,-7.21300,0.20600,-7.30200,0.19100,-7.26600,0.24600,-7.25600,0.20700,-7.15800,0.25400,-7.18800,0.36800,-7.19200,0.27400,-7.17400,0.25100,0,-9999.00000,-9999.00000,-9999.00000,28470958,42.58000,5.76000
