latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
29.82500,106.32500,Chongqing,1,0.00100,4619.00000,0.00580,10667.00000,0.00770,11290.00000,0.01120,10083.00000,-8.01100,0.42700,-8.41100,0.64000,-8.21000,0.39800,-8.42700,0.31700,-8.66300,0.30100,-7.93100,0.43800,-8.13000,0.31200,-8.12900,0.39800,-10.31800,0.50100,-10.46300,0.53100,-10.69100,0.43000,-10.46000,0.41800,-10.54900,0.34900,-10.44900,0.56400,-10.21400,0.48600,-11.05800,0.37400,-10.26400,0.43000,-10.21000,0.43900,-10.18100,0.37000,-7.79600,0.32900,-7.97700,0.40100,-7.83700,0.24300,-7.78300,0.31800,-8.18800,0.36800,-7.56600,0.40200,-7.67000,0.49700,-7.34700,0.43300,-7.29000,0.34800,-7.44400,0.31600,-7.39700,0.36600,-7.20200,0.44800,-7.11900,0.41000,-7.18300,0.42000,0,0.00720,3.50860,0.41830,26785426,26.00000,6.38000
29.82500,106.37500,Chongqing,1,0.00790,378.00000,0.02420,22005.00000,0.03010,34557.00000,0.08370,52986.00000,-7.98600,0.41300,-8.39800,0.63000,-8.21000,0.36300,-8.38300,0.31000,-8.58400,0.32300,-7.89600,0.41000,-8.10500,0.27100,-8.06900,0.37100,-10.30100,0.48100,-10.41400,0.52000,-10.68800,0.39800,-10.47400,0.38000,-10.53600,0.32400,-10.37600,0.53400,-10.16700,0.44800,-10.93300,0.38100,-10.12500,0.43400,-10.08400,0.38400,-10.03100,0.37400,-7.70100,0.34500,-7.81000,0.32000,-7.73600,0.24100,-7.64000,0.30500,-7.87100,0.42100,-7.27400,0.41200,-7.35900,0.45100,-7.00000,0.46200,-6.94600,0.31700,-7.10500,0.35800,-6.85900,0.37400,-6.83600,0.47800,-6.74700,0.43800,-6.69900,0.46500,0,0.02040,3.70500,3.73090,26785426,42.86000,7.17000
29.82500,106.42500,Chongqing,3,0.06370,295140.00000,0.16230,319958.00000,0.19010,296432.00000,0.27820,230989.00000,-7.97400,0.40600,-8.38800,0.62400,-8.20300,0.35400,-8.37000,0.30800,-8.55900,0.33000,-7.88300,0.39700,-8.09600,0.26300,-8.05600,0.36200,-10.28100,0.45700,-10.35700,0.51000,-10.67800,0.36000,-10.46500,0.36700,-10.51000,0.30700,-10.31400,0.53100,-10.11400,0.42400,-10.80100,0.38500,-9.95900,0.41000,-9.93300,0.34300,-9.87100,0.36500,-7.67500,0.34400,-7.77500,0.32700,-7.71400,0.26500,-7.58100,0.32400,-7.77500,0.40400,-7.15800,0.43200,-7.20500,0.48800,-6.80200,0.50000,-6.77700,0.37200,-6.93300,0.40300,-6.65500,0.39600,-6.60300,0.49800,-6.49700,0.40400,-6.33400,0.51800,0,0.08210,12.52040,14.83570,26785426,21.04000,6.39000
29.82500,106.47500,Chongqing,1,0.04370,26780.00000,0.06290,22521.00000,0.07210,23534.00000,0.14660,27437.00000,-7.94400,0.39000,-8.36400,0.61000,-8.18400,0.33100,-8.33600,0.30300,-8.49100,0.34600,-7.84900,0.36500,-8.07000,0.24100,-8.02100,0.33700,-10.26800,0.43000,-10.30500,0.52000,-10.67000,0.33500,-10.45000,0.36900,-10.50900,0.30800,-10.27200,0.49200,-10.08600,0.40000,-10.70800,0.38800,-9.82500,0.37900,-9.82600,0.33800,-9.74900,0.33900,-7.69700,0.34000,-7.80900,0.33700,-7.76100,0.28000,-7.61100,0.31500,-7.82200,0.40300,-7.24000,0.44100,-7.25300,0.48600,-6.79500,0.51100,-6.76600,0.40100,-6.91300,0.40400,-6.60100,0.44100,-6.47000,0.53500,-6.33800,0.38700,-6.14700,0.55100,0,0.00950,4.18760,1.55560,26785426,29.25000,7.19000
29.82500,106.52500,Chongqing,2,0.00150,11327.00000,0.00890,22461.00000,0.01880,29471.00000,0.15640,46312.00000,-7.92800,0.38100,-8.34900,0.60100,-8.17000,0.32400,-8.33000,0.30600,-8.46200,0.34800,-7.83300,0.34700,-8.06300,0.23600,-8.01600,0.32600,-10.28300,0.42200,-10.28800,0.52100,-10.70100,0.32100,-10.42900,0.37400,-10.52300,0.31600,-10.26700,0.44700,-10.08400,0.37500,-10.67800,0.40000,-9.75900,0.35100,-9.77500,0.34100,-9.70100,0.30900,-7.75400,0.33400,-7.89900,0.35600,-7.88600,0.28600,-7.73500,0.31100,-7.99100,0.44900,-7.44800,0.43900,-7.47100,0.50300,-6.93000,0.49600,-6.91900,0.42900,-7.07500,0.38200,-6.75500,0.48000,-6.57800,0.54800,-6.39800,0.36300,-6.17000,0.59900,0,0.02920,8.22460,4.46800,26785426,18.64000,5.93000
29.82500,106.57500,Chongqing,1,0.00120,21880.00000,0.00380,16855.00000,0.00650,11694.00000,0.06490,7047.00000,-7.90800,0.36900,-8.33000,0.59100,-8.15100,0.31400,-8.32200,0.31000,-8.42600,0.35000,-7.81300,0.32500,-8.05500,0.22900,-8.00900,0.31300,-10.33200,0.41600,-10.30400,0.52600,-10.77300,0.31700,-10.44100,0.37900,-10.56600,0.33300,-10.31800,0.41500,-10.14400,0.36200,-10.74800,0.39800,-9.80700,0.32700,-9.83900,0.34400,-9.77400,0.27600,-7.82300,0.32700,-8.02300,0.39400,-8.03700,0.28200,-7.91100,0.31300,-8.22500,0.46200,-7.62900,0.41800,-7.73800,0.49500,-7.16200,0.46600,-7.23900,0.40400,-7.34900,0.41000,-7.08600,0.48000,-6.87000,0.56700,-6.64400,0.37600,-6.48700,0.60400,0,0.01100,4.17280,1.11710,26785426,25.85000,6.99000
29.82500,106.62500,Chongqing,0,0.00130,17416.00000,0.00270,10880.00000,0.00360,10578.00000,0.00630,923.00000,-7.89900,0.37400,-8.32700,0.58100,-8.14400,0.30800,-8.33400,0.31800,-8.41000,0.35000,-7.79900,0.32000,-8.05700,0.22900,-8.02100,0.31000,-10.38600,0.41300,-10.33700,0.52100,-10.87000,0.32800,-10.45900,0.37000,-10.64000,0.34900,-10.39400,0.39000,-10.24600,0.36500,-10.89600,0.38800,-9.94600,0.30100,-9.97500,0.35400,-9.94700,0.26000,-7.89300,0.32100,-8.11800,0.41400,-8.13300,0.26200,-8.04200,0.30400,-8.42800,0.43800,-7.75700,0.39800,-7.98500,0.46700,-7.42400,0.42000,-7.51000,0.33100,-7.64500,0.42900,-7.39100,0.46500,-7.17500,0.56000,-6.92300,0.40600,-6.78400,0.54300,0,0.00200,1.47490,0.11580,26785426,30.69000,7.60000
29.82500,106.67500,Chongqing,0,0.00010,0.00000,0.00030,4108.00000,0.00040,3500.00000,0.00310,1296.00000,-7.89300,0.37800,-8.32500,0.57400,-8.13900,0.30500,-8.34100,0.32300,-8.39900,0.35000,-7.78900,0.31600,-8.05900,0.22900,-8.02900,0.30900,-10.45100,0.40700,-10.40900,0.49700,-10.98300,0.35300,-10.49300,0.35900,-10.71500,0.34100,-10.48600,0.38800,-10.36200,0.35700,-11.08000,0.38400,-10.12200,0.29200,-10.15800,0.37200,-10.16300,0.24700,-7.95400,0.31900,-8.18300,0.40800,-8.18200,0.24500,-8.12400,0.29100,-8.59500,0.42400,-7.85500,0.38300,-8.17300,0.46200,-7.62900,0.40200,-7.68600,0.29900,-7.87300,0.38400,-7.61400,0.43700,-7.43600,0.48900,-7.26800,0.39400,-7.14300,0.54300,0,0.00440,2.21210,0.37310,26785426,24.10000,6.93000
29.82500,106.72500,Chongqing,1,0.00000,0.00000,0.00130,18734.00000,0.00180,18710.00000,0.00370,9365.00000,-7.89900,0.41200,-8.35400,0.57200,-8.14500,0.30600,-8.36100,0.34400,-8.40400,0.34500,-7.77900,0.32100,-8.07200,0.23800,-8.05800,0.32900,-10.48300,0.41400,-10.47300,0.47200,-11.10500,0.38400,-10.52500,0.37500,-10.77900,0.30200,-10.56900,0.39600,-10.48200,0.37600,-11.26000,0.38600,-10.28900,0.29400,-10.35200,0.37300,-10.38100,0.21900,-7.98500,0.30800,-8.20600,0.39400,-8.21000,0.22500,-8.16500,0.27500,-8.66000,0.42000,-7.91300,0.36900,-8.28700,0.49000,-7.74700,0.40600,-7.80500,0.27600,-8.02900,0.30100,-7.77900,0.40500,-7.62200,0.40700,-7.61700,0.29100,-7.48800,0.45100,0,0.00510,2.98960,0.32830,26785426,22.59000,6.89000
29.82500,106.77500,Chongqing,0,0.00000,17700.00000,0.00020,564.00000,0.00040,535.00000,0.00250,9852.00000,-7.90100,0.42200,-8.36400,0.57100,-8.14600,0.30600,-8.36800,0.35100,-8.40500,0.34400,-7.77600,0.32300,-8.07700,0.24100,-8.06700,0.33500,-10.47200,0.44100,-10.51700,0.45200,-11.18800,0.39300,-10.54800,0.41600,-10.81100,0.26200,-10.59500,0.42400,-10.57000,0.40400,-11.34600,0.39900,-10.38700,0.27900,-10.46300,0.34500,-10.51900,0.21600,-7.98700,0.29900,-8.18300,0.38600,-8.21200,0.22100,-8.17100,0.26900,-8.60200,0.43300,-7.88900,0.41500,-8.31300,0.52300,-7.75200,0.42200,-7.80700,0.28600,-8.05700,0.28000,-7.80600,0.40600,-7.64300,0.40000,-7.71600,0.27100,-7.56300,0.40100,0,0.00050,0.28420,0.02410,26785426,36.65000,7.57000
