latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
39.42500,-84.72500,Cincinnati,1,0.00280,474.00000,0.00460,620.00000,0.00520,662.00000,0.00580,789.00000,-9.15100,0.57500,-9.61400,0.31600,-9.36500,0.40700,-9.73800,0.20500,-9.72000,0.33100,-9.65500,0.46600,-9.95900,0.45700,-9.40000,0.23000,-11.34300,0.84200,-10.54900,0.37400,-10.47500,0.36700,-11.27300,0.40500,-10.52800,0.27900,-10.78500,0.54400,-10.45300,0.29900,-10.60300,0.25500,-11.31600,0.60800,-11.05100,0.58500,-10.52300,0.30300,-10.35100,0.47700,-10.00100,0.47200,-9.43100,0.35800,-10.00200,0.53100,-9.91200,0.30200,-9.97300,0.60300,-9.56600,0.30200,-9.42500,0.29000,-9.37000,0.40000,-9.21800,0.49000,-9.38800,0.39400,-9.14600,0.65700,-9.85000,0.51200,-9.65800,0.44600,0,0.00330,3.10470,0.14290,23899434,18.18000,5.67000
39.42500,-84.67500,Cincinnati,1,0.00470,1240.00000,0.00900,1454.00000,0.01070,1635.00000,0.01170,1849.00000,-9.00300,0.66300,-9.44500,0.30600,-9.31000,0.38200,-9.59600,0.22200,-9.59800,0.29700,-9.54900,0.45200,-9.81800,0.42300,-9.30700,0.24200,-11.22000,0.75900,-10.47300,0.35200,-10.40900,0.32700,-11.14000,0.37900,-10.43800,0.26600,-10.66900,0.46400,-10.39400,0.26000,-10.51400,0.25100,-11.18300,0.54000,-10.93100,0.51900,-10.41500,0.28600,-10.27300,0.45600,-9.95700,0.46000,-9.37600,0.35800,-9.90900,0.49800,-9.82700,0.30500,-9.90200,0.55600,-9.53200,0.30100,-9.39400,0.29000,-9.32500,0.34800,-9.18800,0.48300,-9.33100,0.37900,-9.08500,0.61800,-9.73000,0.44700,-9.60600,0.43900,0,0.00820,4.84040,0.41970,23899434,20.99000,5.85000
39.42500,-84.62500,Cincinnati,1,0.10270,6051.00000,0.12330,7286.00000,0.14760,8355.00000,0.15190,9354.00000,-9.00000,0.65900,-9.41600,0.30500,-9.30000,0.37700,-9.56500,0.23600,-9.57300,0.29100,-9.53000,0.44900,-9.79100,0.41600,-9.28900,0.24200,-11.03700,0.65800,-10.36700,0.32400,-10.29200,0.29100,-10.95000,0.36000,-10.29600,0.28500,-10.51900,0.40200,-10.27200,0.24600,-10.37300,0.26200,-10.98300,0.49700,-10.73100,0.44800,-10.25900,0.29700,-10.03900,0.45000,-9.75900,0.42200,-9.20500,0.36600,-9.68400,0.41100,-9.61300,0.33900,-9.69400,0.48500,-9.39500,0.30600,-9.26200,0.29700,-9.20500,0.31100,-9.08000,0.46100,-9.19300,0.35500,-8.95700,0.53800,-9.51500,0.45600,-9.48000,0.40000,0,0.02090,6.43240,1.49310,23899434,20.97000,5.84000
39.42500,-84.57500,Cincinnati,2,0.41200,18631.00000,0.46300,22717.00000,0.52360,25925.00000,0.54020,29903.00000,-8.98300,0.63100,-9.24200,0.29800,-9.24400,0.34700,-9.38200,0.32200,-9.42400,0.25200,-9.41800,0.43600,-9.63100,0.37700,-9.18400,0.24000,-10.84100,0.58600,-10.24600,0.31100,-10.17100,0.26600,-10.75000,0.34500,-10.14900,0.31600,-10.34600,0.36300,-10.14900,0.26400,-10.20000,0.24000,-10.74400,0.47100,-10.52000,0.38200,-10.08800,0.30300,-9.58000,0.37400,-9.40500,0.39300,-8.93400,0.35400,-9.35800,0.38400,-9.28300,0.35000,-9.29600,0.43100,-9.08200,0.31500,-8.92900,0.36200,-8.96400,0.32400,-8.85300,0.41800,-8.96900,0.35500,-8.71600,0.48800,-9.13700,0.40800,-9.24200,0.34500,0,0.06630,7.31440,5.58820,23899434,16.35000,5.11000
39.42500,-84.52500,Cincinnati,1,0.13960,7338.00000,0.16790,8739.00000,0.18920,10089.00000,0.20390,11873.00000,-8.99400,0.66800,-9.23600,0.30000,-9.24200,0.34400,-9.37000,0.33000,-9.41400,0.25000,-9.41200,0.43300,-9.62200,0.37300,-9.17700,0.23900,-10.65200,0.52600,-10.13400,0.30200,-10.06000,0.25500,-10.55900,0.33500,-10.00900,0.34900,-10.20000,0.34700,-10.02300,0.28700,-10.05600,0.23000,-10.53700,0.43000,-10.33100,0.34900,-9.94000,0.31800,-9.39400,0.32100,-9.21600,0.39100,-8.83300,0.32600,-9.19300,0.35800,-9.03900,0.31900,-9.05300,0.43500,-8.86800,0.31100,-8.74000,0.34900,-8.72400,0.29200,-8.64100,0.35000,-8.70900,0.32200,-8.48800,0.44900,-8.88200,0.31100,-8.94900,0.34900,0,0.03330,6.45540,2.08830,23899434,16.56000,5.54000
39.42500,-84.47500,Cincinnati,1,0.05640,6549.00000,0.10080,8072.00000,0.14390,8587.00000,0.16950,9721.00000,-9.13100,1.13100,-9.15400,0.31500,-9.21000,0.31500,-9.21900,0.43300,-9.29900,0.21800,-9.33400,0.40400,-9.51500,0.33000,-9.09400,0.22700,-10.54800,0.49700,-10.08500,0.30600,-10.00300,0.25200,-10.45100,0.34000,-9.93900,0.37500,-10.11900,0.34800,-9.95500,0.30500,-9.97700,0.25600,-10.41300,0.39900,-10.21600,0.34200,-9.87500,0.33100,-9.38000,0.32300,-9.20400,0.40100,-8.83000,0.32600,-9.16900,0.35900,-8.99400,0.30800,-9.02000,0.43800,-8.81300,0.31200,-8.68600,0.34800,-8.63800,0.28400,-8.55300,0.34300,-8.54800,0.28100,-8.35600,0.41500,-8.80200,0.29700,-8.72600,0.25400,0,0.02420,5.72490,1.35760,23899434,16.61000,5.18000
39.42500,-84.42500,Cincinnati,1,0.03920,5955.00000,0.05800,7188.00000,0.08360,8424.00000,0.13200,9750.00000,-9.13700,1.15000,-9.15000,0.31600,-9.20900,0.31400,-9.21200,0.43700,-9.29400,0.21600,-9.33100,0.40300,-9.51100,0.32900,-9.09100,0.22700,-10.47000,0.49200,-10.06400,0.31100,-9.97400,0.25200,-10.37300,0.34100,-9.90300,0.38100,-10.08800,0.35800,-9.94900,0.32500,-9.93900,0.26600,-10.33500,0.40500,-10.14700,0.32600,-9.84700,0.35100,-9.36700,0.32600,-9.20100,0.38800,-8.83100,0.32700,-9.16100,0.35000,-8.97800,0.30300,-9.00600,0.43600,-8.79400,0.30800,-8.66700,0.34100,-8.61300,0.28900,-8.52000,0.34500,-8.48500,0.27400,-8.33900,0.37900,-8.77400,0.28600,-8.66800,0.25400,0,0.02470,5.15820,1.38800,23899434,18.57000,5.52000
39.42500,-84.37500,Cincinnati,1,0.04830,8611.00000,0.07050,10538.00000,0.10150,11726.00000,0.15850,13323.00000,-9.36500,0.96000,-9.16100,0.32600,-9.23300,0.29200,-9.16900,0.49500,-9.27700,0.20200,-9.33400,0.36300,-9.52700,0.30000,-9.07600,0.21300,-10.47400,0.49400,-10.10300,0.33100,-9.99900,0.24700,-10.38700,0.35000,-9.91100,0.36800,-10.12600,0.37000,-9.98500,0.33700,-9.96700,0.26900,-10.30700,0.42800,-10.15300,0.31600,-9.89200,0.35200,-9.37300,0.31200,-9.21500,0.36600,-8.85200,0.32500,-9.17200,0.32900,-8.98400,0.29500,-9.01300,0.41100,-8.79200,0.31400,-8.66800,0.33000,-8.61400,0.28500,-8.51700,0.34100,-8.46700,0.27200,-8.34800,0.37600,-8.77100,0.26900,-8.66400,0.26000,0,0.02960,5.38110,1.58460,23899434,14.17000,4.81000
39.42500,-84.32500,Cincinnati,1,0.03870,2178.00000,0.05520,2840.00000,0.07790,4098.00000,0.11510,5681.00000,-9.45000,0.96100,-9.17700,0.32400,-9.24600,0.29100,-9.17700,0.50400,-9.28900,0.20100,-9.34800,0.36300,-9.54500,0.30000,-9.08600,0.21100,-10.57100,0.51800,-10.22100,0.35400,-10.07900,0.24200,-10.48500,0.35900,-9.99600,0.36700,-10.22300,0.36600,-10.09800,0.35600,-10.07300,0.27300,-10.38600,0.42500,-10.27000,0.31400,-10.02900,0.34100,-9.41600,0.28900,-9.26200,0.34700,-8.90500,0.33600,-9.21300,0.31500,-9.02300,0.28000,-9.05700,0.37200,-8.82400,0.32200,-8.71000,0.31900,-8.65200,0.28200,-8.57300,0.32000,-8.50100,0.26700,-8.45100,0.39100,-8.80900,0.25800,-8.70500,0.27300,0,0.02030,4.65360,1.30770,23899434,13.68000,5.02000
39.42500,-84.27500,Cincinnati,1,0.00930,1698.00000,0.01420,2557.00000,0.01770,3495.00000,0.02540,5219.00000,-9.75300,1.28400,-8.99000,0.85000,-9.30300,0.28100,-9.21600,0.51500,-9.34000,0.21600,-9.41500,0.32100,-9.64900,0.29500,-9.12100,0.19600,-10.72500,0.55300,-10.38300,0.36400,-10.21100,0.26000,-10.61900,0.36300,-10.14300,0.36100,-10.36900,0.37500,-10.24800,0.35400,-10.24200,0.26100,-10.54200,0.44400,-10.44500,0.32400,-10.21900,0.35100,-9.49200,0.28200,-9.38400,0.32400,-9.00600,0.32900,-9.30100,0.30700,-9.08600,0.27300,-9.15900,0.33300,-8.90200,0.32900,-8.81700,0.28600,-8.77100,0.27700,-8.72400,0.33800,-8.63000,0.28400,-8.59600,0.42800,-8.95900,0.31500,-8.88500,0.30700,0,0.00690,2.86290,0.30580,23899434,18.75000,5.80000
39.42500,-84.22500,Cincinnati,1,0.11820,3875.00000,0.14480,6263.00000,0.20230,8560.00000,0.23050,13036.00000,-9.84000,1.33200,-8.95300,0.97800,-9.32100,0.27900,-9.23300,0.51700,-9.36000,0.21900,-9.43800,0.31500,-9.68200,0.29600,-9.13700,0.19300,-10.90900,0.58400,-10.51200,0.37900,-10.34000,0.26900,-10.76000,0.35800,-10.29000,0.33700,-10.51200,0.36100,-10.37900,0.34000,-10.41200,0.26100,-10.68800,0.47800,-10.62900,0.32700,-10.38000,0.34500,-9.59600,0.33300,-9.54500,0.35100,-9.13800,0.31900,-9.40500,0.31200,-9.19800,0.28300,-9.27200,0.32000,-9.00300,0.29700,-8.95200,0.27100,-8.91800,0.28500,-8.88500,0.36600,-8.77200,0.26100,-8.71700,0.43500,-9.18100,0.36300,-9.10900,0.33500,0,0.03150,5.86140,1.96090,23899434,19.13000,5.31000
39.37500,-84.72500,Cincinnati,1,0.00280,1130.00000,0.00470,1474.00000,0.00540,1704.00000,0.00590,1968.00000,-9.34000,1.31400,-9.45100,0.30300,-9.24500,0.35800,-9.56400,0.17900,-9.54200,0.30600,-9.46800,0.38600,-9.71600,0.40000,-9.26300,0.20900,-11.09500,0.73700,-10.48500,0.36300,-10.39000,0.37000,-11.13900,0.39900,-10.40500,0.24400,-10.69800,0.46400,-10.38500,0.27000,-10.54700,0.25600,-11.20700,0.55700,-10.92300,0.52900,-10.48400,0.30600,-10.28300,0.47900,-9.93200,0.45000,-9.36200,0.34500,-9.93300,0.51200,-9.82200,0.29500,-9.86000,0.54000,-9.52700,0.30300,-9.35200,0.28200,-9.32200,0.38200,-9.15000,0.46900,-9.34100,0.36800,-9.07600,0.58100,-9.75000,0.47300,-9.51200,0.41700,0,0.00550,4.20650,0.22660,23916296,18.46000,5.70000
39.37500,-84.67500,Cincinnati,1,0.01720,1327.00000,0.02370,1674.00000,0.02560,1919.00000,0.02770,1953.00000,-9.09400,0.64500,-9.29400,0.30000,-9.18300,0.34100,-9.42800,0.18700,-9.42100,0.28400,-9.36500,0.37900,-9.58200,0.37800,-9.16300,0.22100,-10.90800,0.64700,-10.34800,0.34200,-10.26700,0.32500,-10.94100,0.35300,-10.27900,0.26100,-10.55000,0.40600,-10.26200,0.24400,-10.39900,0.24700,-11.00000,0.49100,-10.74200,0.46700,-10.31900,0.30400,-10.11200,0.45400,-9.78400,0.42600,-9.24600,0.35200,-9.75500,0.46000,-9.66600,0.33600,-9.70600,0.48400,-9.42500,0.30500,-9.25500,0.30400,-9.21900,0.34400,-9.07400,0.44600,-9.22300,0.34700,-8.96300,0.53700,-9.51200,0.43800,-9.38900,0.38200,0,0.00660,4.12010,0.33830,23916296,20.74000,5.94000
