latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
31.92500,-106.72500,CiudadJuarez,0,0.00000,35.00000,0.00000,47.00000,0.00000,58.00000,0.00510,75.00000,-12.63300,0.40100,-12.22700,0.13100,-11.80300,0.46100,-12.16200,0.22000,-12.07100,0.13500,-12.06400,0.16700,-12.03000,0.42100,-12.13800,0.18100,-14.02700,0.33100,-14.20900,0.32300,-14.53200,0.27300,-14.44500,0.28500,-14.52900,0.24000,-14.28300,0.41300,-14.22000,0.24100,-14.02400,0.37600,-14.14500,0.21800,-13.77300,0.41100,-14.13100,0.28500,-13.70500,0.37200,-13.13400,0.65000,-13.85500,0.50200,-13.65100,0.39500,-13.88400,0.56300,-13.95700,0.48000,-13.26100,0.73500,-13.18400,0.67700,-13.26200,0.48300,-13.24200,0.48900,-13.12900,0.65100,-13.31400,0.74600,-13.41000,0.67800,-13.09200,0.56900,0,0.00000,0.00940,0.00020,26216096,-9999.00000,-0.00000
31.92500,-106.67500,CiudadJuarez,1,0.00120,452.00000,0.00230,602.00000,0.00300,730.00000,0.00330,957.00000,-12.29800,0.35800,-11.90600,0.12400,-11.52100,0.43700,-11.86100,0.22000,-11.73900,0.12000,-11.73900,0.16400,-11.73300,0.39700,-11.78900,0.18300,-13.07100,0.27300,-13.14800,0.23800,-13.34100,0.24700,-13.24800,0.23500,-13.26900,0.23900,-13.18800,0.34900,-13.12900,0.19800,-12.98500,0.29500,-13.06400,0.23400,-12.88500,0.31300,-13.07900,0.24700,-11.97900,0.34300,-11.56100,0.55700,-11.98500,0.42100,-11.95400,0.34500,-12.01300,0.48800,-12.15600,0.39600,-11.66300,0.67500,-11.56400,0.54300,-11.86600,0.45000,-11.60500,0.48500,-11.60400,0.59800,-11.74600,0.69400,-11.81000,0.54800,-11.54800,0.59200,0,0.00540,2.40790,0.25390,26216096,1.25000,0.17000
31.92500,-106.62500,CiudadJuarez,1,0.00300,2781.00000,0.01290,3711.00000,0.01930,4379.00000,0.02530,5520.00000,-11.82600,0.29900,-11.55800,0.15300,-11.19800,0.42300,-11.54700,0.19800,-11.38800,0.10800,-11.37900,0.15000,-11.37400,0.37000,-11.40400,0.16900,-12.24100,0.21400,-12.19000,0.19000,-12.28600,0.22400,-12.20100,0.20800,-12.13900,0.22200,-12.20000,0.28800,-12.15100,0.18900,-12.04900,0.26000,-12.07400,0.23600,-12.06400,0.23900,-12.12400,0.25800,-10.42600,0.24200,-10.22200,0.37700,-10.40800,0.30800,-10.47000,0.26900,-10.39600,0.35500,-10.49700,0.30900,-10.29600,0.42600,-10.24000,0.38000,-10.37300,0.35600,-10.22600,0.36800,-10.20300,0.44500,-10.35900,0.51500,-10.29300,0.42600,-10.02200,0.49400,0,0.02440,5.30910,1.51140,26216096,1.39000,0.39000
31.92500,-106.57500,CiudadJuarez,1,0.00950,3668.00000,0.03230,4768.00000,0.04710,5946.00000,0.06530,7738.00000,-11.59200,0.27100,-11.37600,0.16700,-11.03000,0.41400,-11.37300,0.19200,-11.20200,0.10100,-11.18500,0.14400,-11.18500,0.35500,-11.19400,0.16300,-11.64800,0.17800,-11.53600,0.18500,-11.55200,0.21400,-11.49600,0.18200,-11.36900,0.20900,-11.50700,0.22600,-11.44700,0.21600,-11.37600,0.25900,-11.37700,0.22900,-11.45500,0.19800,-11.43000,0.27600,-9.69200,0.19100,-9.60400,0.26900,-9.69000,0.23400,-9.74000,0.24000,-9.60000,0.27600,-9.65800,0.27400,-9.59200,0.28700,-9.53000,0.29100,-9.59500,0.33100,-9.46100,0.31200,-9.41100,0.36800,-9.53900,0.47700,-9.43400,0.32900,-9.08400,0.40100,0,0.02990,3.31810,2.34040,26216096,-9999.00000,0.11000
31.92500,-106.52500,CiudadJuarez,0,0.00010,0.00000,0.00050,0.00000,0.00200,0.00000,0.00920,17.00000,-11.23600,0.24200,-11.21500,0.21800,-10.84900,0.42100,-11.22800,0.15400,-11.04900,0.10600,-10.97900,0.13500,-10.98200,0.33500,-10.98000,0.14500,-11.34300,0.18300,-11.24400,0.19900,-11.20900,0.20500,-11.17400,0.18500,-10.99900,0.19700,-11.14200,0.21700,-11.07900,0.25200,-11.01900,0.26900,-10.98600,0.21300,-11.09400,0.21100,-11.02400,0.29500,-9.53400,0.17600,-9.45100,0.25000,-9.52800,0.21300,-9.54100,0.21800,-9.36700,0.26700,-9.41100,0.22200,-9.36200,0.24600,-9.32400,0.25400,-9.38800,0.31800,-9.21000,0.27600,-9.18700,0.34700,-9.19300,0.38900,-9.16100,0.26700,-8.82600,0.35500,0,0.00020,0.21960,0.01300,26216096,1.00000,0.40000
31.92500,-106.47500,CiudadJuarez,1,0.00370,99.00000,0.01980,308.00000,0.03520,328.00000,0.04370,525.00000,-11.12000,0.23400,-11.13700,0.23000,-10.77100,0.41900,-11.14800,0.14800,-10.97200,0.10800,-10.88300,0.13200,-10.89300,0.32600,-10.87700,0.13900,-11.39300,0.19400,-11.34400,0.22600,-11.33100,0.22200,-11.28700,0.19400,-11.11100,0.21300,-11.15100,0.22000,-11.10200,0.25800,-11.04200,0.29500,-10.97700,0.21400,-11.03200,0.25100,-10.98600,0.32400,-9.66200,0.19700,-9.55200,0.26200,-9.65100,0.23800,-9.61000,0.22300,-9.42300,0.27400,-9.42000,0.20200,-9.40100,0.23200,-9.38500,0.27500,-9.44500,0.32200,-9.28700,0.26900,-9.29700,0.33300,-9.26700,0.38200,-9.18000,0.29000,-8.91000,0.32800,0,0.00300,0.61470,0.21000,26216096,1.00000,0.47000
31.92500,-106.42500,CiudadJuarez,2,0.09220,24268.00000,0.17070,32967.00000,0.18900,40062.00000,0.22060,50489.00000,-10.96300,0.27300,-11.23700,0.27700,-10.82000,0.43700,-11.23400,0.12600,-11.10600,0.13300,-10.90400,0.13600,-10.93200,0.31200,-10.94100,0.16200,-11.92700,0.19200,-12.00200,0.26000,-12.06200,0.22800,-11.96400,0.21200,-11.80800,0.23100,-11.72400,0.25800,-11.68200,0.31200,-11.56200,0.34700,-11.51700,0.22800,-11.44300,0.36500,-11.49000,0.32700,-10.39800,0.34700,-10.14300,0.41600,-10.39100,0.38900,-10.26100,0.33800,-10.12400,0.30000,-10.03700,0.29200,-10.04600,0.34700,-9.99600,0.37900,-10.03700,0.40600,-9.90000,0.34000,-9.92400,0.38600,-10.01000,0.44300,-9.73600,0.34300,-9.58900,0.36800,0,0.10780,5.20880,7.34820,26216096,1.00000,0.18000
31.92500,-106.37500,CiudadJuarez,1,0.01520,5230.00000,0.03900,6932.00000,0.04370,8415.00000,0.05570,10750.00000,-10.95000,0.27700,-11.24900,0.28100,-10.82800,0.43900,-11.24600,0.12400,-11.12200,0.13600,-10.91100,0.13700,-10.93900,0.31100,-10.95100,0.16400,-12.58400,0.19300,-12.79600,0.29600,-12.92000,0.25600,-12.77900,0.23200,-12.66500,0.26000,-12.46500,0.32100,-12.39400,0.34300,-12.21500,0.40300,-12.20100,0.25000,-11.97600,0.46700,-12.14700,0.32100,-12.13600,0.54500,-11.49900,0.59700,-12.04000,0.44100,-11.84800,0.43000,-11.79400,0.44200,-11.76600,0.35300,-11.61500,0.51000,-11.37600,0.48300,-11.44800,0.59100,-11.48500,0.53000,-11.29900,0.57300,-11.51100,0.64100,-11.28200,0.55100,-11.28700,0.48800,0,0.02410,3.58540,1.69250,26216096,1.00000,0.06000
31.92500,-106.32500,CiudadJuarez,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00420,0.00000,-11.07900,0.32400,-11.56700,0.24900,-11.15000,0.45900,-11.57700,0.16500,-11.55000,0.17200,-11.22900,0.13700,-11.26500,0.33000,-11.30600,0.22900,-13.26600,0.19800,-13.56000,0.29700,-13.77900,0.28100,-13.59400,0.26700,-13.46400,0.29000,-13.20500,0.37000,-13.13600,0.39600,-12.90000,0.43100,-12.94200,0.28100,-12.54700,0.51900,-12.85900,0.31900,-13.17800,0.39800,-12.57000,0.61600,-13.33400,0.35000,-13.18800,0.32100,-13.30300,0.37600,-13.27100,0.30500,-13.04900,0.53100,-12.77000,0.49400,-12.87800,0.47200,-12.82100,0.55400,-12.64300,0.46600,-12.92400,0.44700,-12.91200,0.54000,-12.77000,0.59700,0,0.00110,1.39630,0.05540,26216096,-9999.00000,0.04000
31.92500,-106.27500,CiudadJuarez,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.07900,0.32400,-11.56700,0.24900,-11.15000,0.45900,-11.57700,0.16500,-11.55000,0.17200,-11.22900,0.13700,-11.26500,0.33000,-11.30600,0.22900,-13.73300,0.22600,-14.02000,0.29000,-14.26200,0.28300,-14.03900,0.30400,-13.94400,0.30900,-13.67100,0.38700,-13.60500,0.40100,-13.34600,0.42700,-13.48100,0.29000,-12.94400,0.51500,-13.35000,0.30400,-13.43200,0.31900,-12.79400,0.68600,-13.63400,0.40200,-13.57800,0.34300,-13.76400,0.37400,-13.76600,0.30600,-13.45900,0.64000,-13.18700,0.51500,-13.29100,0.45700,-13.22200,0.44800,-13.00600,0.50200,-13.31200,0.35500,-13.39200,0.51200,-13.24800,0.47800,0,0.00000,0.00000,0.00000,26216096,-9999.00000,0.05000
