latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
11.22500,76.72500,Coimbatore,0,0.00000,2844.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.79300,0.13800,-8.60500,0.23500,-8.53800,0.15900,-8.71400,0.21300,-8.41000,0.18000,-8.46000,0.12500,-8.74300,0.17400,-8.47400,0.31500,-10.62200,0.22100,-10.40000,0.34900,-10.62600,0.24800,-10.72400,0.20800,-10.55100,0.24400,-10.36200,0.26600,-10.16900,0.25300,-10.31400,0.30200,-10.03200,0.20000,-10.24700,0.32200,-10.26100,0.27300,-8.23100,0.25100,-8.51100,0.29800,-8.48900,0.33300,-8.36800,0.28800,-8.41100,0.20000,-8.67300,0.24100,-8.37300,0.24900,-8.34800,0.31500,-8.45500,0.30200,-8.68000,0.22300,-8.31400,0.44000,-8.17500,0.47200,-8.14900,0.38400,-8.06700,0.45000,0,-9999,-9999,-9999,30199326,31.92000,9.83000
11.22500,76.77500,Coimbatore,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9.12500,0.15900,-8.91300,0.25100,-8.84500,0.15000,-8.97600,0.24700,-8.68100,0.18300,-8.72400,0.11600,-9.00100,0.17200,-8.66900,0.35000,-10.70400,0.23300,-10.43500,0.35800,-10.72500,0.25700,-10.77000,0.21000,-10.61300,0.22500,-10.42900,0.30400,-10.22900,0.20700,-10.37200,0.31300,-10.10700,0.20600,-10.26000,0.34100,-10.33700,0.29100,-8.29400,0.27600,-8.51700,0.32400,-8.55200,0.33700,-8.41000,0.33100,-8.44200,0.22000,-8.71000,0.25100,-8.49700,0.27200,-8.44300,0.37600,-8.44700,0.32700,-8.70900,0.24000,-8.31100,0.46100,-8.14300,0.54700,-8.17900,0.41500,-8.08100,0.47100,0,-9999,-9999,-9999,30199326,32.72000,10.25000
11.22500,76.82500,Coimbatore,0,0.00060,365.00000,0.00080,347.00000,0.00080,356.00000,0.00100,410.00000,-9.41800,0.19200,-9.21700,0.26300,-9.11400,0.17000,-9.22900,0.31500,-8.95200,0.17200,-8.97400,0.12300,-9.23500,0.19100,-8.85200,0.39200,-10.75000,0.23800,-10.44200,0.37100,-10.75100,0.26500,-10.76600,0.20000,-10.63500,0.21100,-10.44500,0.33100,-10.28100,0.18000,-10.37600,0.30900,-10.16200,0.23700,-10.25000,0.35600,-10.37300,0.32800,-8.42800,0.31900,-8.57800,0.34500,-8.68100,0.33900,-8.52600,0.37200,-8.51400,0.26000,-8.80200,0.27500,-8.63900,0.34900,-8.59400,0.42800,-8.52000,0.34800,-8.75100,0.26000,-8.38200,0.50500,-8.19900,0.58600,-8.22800,0.45500,-8.09900,0.48100,0,-9999,-9999,-9999,30199326,13.59000,6.24000
11.22500,76.87500,Coimbatore,1,0.00060,1290.00000,0.00180,2365.00000,0.00330,4312.00000,0.00500,5928.00000,-9.58300,0.21000,-9.38900,0.26900,-9.26500,0.18100,-9.37000,0.35200,-9.10600,0.16400,-9.11600,0.12700,-9.36600,0.20100,-8.95500,0.41600,-10.84900,0.22700,-10.48100,0.38500,-10.75600,0.27700,-10.78100,0.19100,-10.67600,0.21100,-10.49000,0.35700,-10.36300,0.18200,-10.37000,0.27400,-10.25600,0.27900,-10.27100,0.35200,-10.45000,0.32900,-8.73100,0.44500,-8.73200,0.39900,-8.95100,0.39900,-8.79000,0.41400,-8.73500,0.32000,-9.00000,0.34900,-8.88800,0.42900,-8.83600,0.51000,-8.67500,0.41000,-8.84700,0.29800,-8.59600,0.57600,-8.35100,0.64600,-8.35000,0.51900,-8.16700,0.52300,0,-9999,-9999,-9999,30199326,6.71000,4.59000
11.22500,76.92500,Coimbatore,1,0.00090,1982.00000,0.00480,4671.00000,0.00670,6001.00000,0.01260,10260.00000,-10.06000,0.28300,-9.89000,0.27300,-9.66400,0.27200,-9.67300,1.07700,-9.62100,0.14400,-9.53700,0.18600,-9.79000,0.26700,-9.30100,0.48500,-11.05900,0.23000,-10.61400,0.40200,-10.82200,0.28600,-10.89800,0.19400,-10.82600,0.22200,-10.60400,0.37000,-10.50400,0.21700,-10.44300,0.23500,-10.43000,0.28300,-10.38500,0.35100,-10.60300,0.31100,-9.16600,0.47500,-9.13800,0.51800,-9.43800,0.48700,-9.26600,0.44500,-9.18000,0.37200,-9.39400,0.39500,-9.28300,0.50000,-9.24300,0.58700,-8.93100,0.48000,-9.11000,0.39000,-8.97500,0.67200,-8.59200,0.69900,-8.66700,0.58900,-8.41600,0.59300,0,-9999,-9999,-9999,30199326,8.25000,4.97000
11.22500,76.97500,Coimbatore,2,0.02280,58207.00000,0.05100,52281.00000,0.06010,62404.00000,0.08860,76180.00000,-10.18400,0.30400,-10.03100,0.26000,-9.74900,0.29600,-9.87000,0.88000,-9.75800,0.15000,-9.65100,0.22000,-9.91200,0.28400,-9.40200,0.50700,-11.34700,0.24400,-10.81300,0.41500,-10.98100,0.28600,-11.13500,0.19000,-11.08300,0.22000,-10.81200,0.37300,-10.73900,0.24100,-10.63300,0.24900,-10.69200,0.27000,-10.58200,0.34600,-10.82300,0.29500,-9.64100,0.48700,-9.60600,0.50100,-9.90700,0.50000,-9.73400,0.52000,-9.60900,0.42000,-9.83100,0.41400,-9.74700,0.48200,-9.58000,0.58600,-9.31800,0.52300,-9.56200,0.42400,-9.40700,0.73100,-8.94200,0.74200,-9.06700,0.70800,-8.73200,0.55600,0,-9999,-9999,-9999,30199326,4.01000,3.02000
11.22500,77.02500,Coimbatore,0,0.00060,561.00000,0.00240,251.00000,0.00400,445.00000,0.00940,1047.00000,-10.45300,0.34800,-10.33600,0.23300,-9.93400,0.34800,-10.29700,0.45000,-10.05700,0.16500,-9.89800,0.29400,-10.17800,0.32200,-9.62200,0.55300,-11.63700,0.24400,-11.04900,0.41800,-11.16900,0.30400,-11.42700,0.19300,-11.38700,0.23600,-11.04700,0.36900,-11.00600,0.27500,-10.88500,0.26500,-10.96000,0.26100,-10.81400,0.33100,-11.07500,0.31000,-9.84800,0.53600,-9.81800,0.52500,-10.16300,0.51700,-10.04300,0.59700,-9.85200,0.41200,-10.05900,0.45400,-9.99600,0.54600,-9.79700,0.62700,-9.58500,0.58300,-9.84500,0.42500,-9.73400,0.83100,-9.19000,0.79500,-9.26600,0.74200,-8.89800,0.50600,0,-9999,-9999,-9999,30199326,4.06000,2.82000
11.22500,77.07500,Coimbatore,1,0.00800,9599.00000,0.02010,13012.00000,0.02480,15861.00000,0.03360,17759.00000,-10.65500,0.38000,-10.58200,0.20500,-10.05000,0.38300,-10.44600,0.49000,-10.28200,0.21700,-10.10200,0.38200,-10.39900,0.35000,-9.82200,0.58500,-11.91200,0.23700,-11.30400,0.43500,-11.39100,0.31900,-11.72400,0.21700,-11.73700,0.24700,-11.27300,0.37400,-11.26300,0.30800,-11.16900,0.28200,-11.21700,0.28100,-11.05100,0.32500,-11.30900,0.33700,-9.95500,0.56000,-9.88300,0.54400,-10.25900,0.57500,-10.18600,0.62800,-9.94900,0.41500,-10.20800,0.44300,-10.13400,0.55600,-9.92900,0.65000,-9.72700,0.61200,-10.00600,0.39500,-9.82000,0.85600,-9.33900,0.83200,-9.35200,0.71600,-8.95900,0.49600,0,-9999,-9999,-9999,30199326,4.22000,2.80000
11.22500,77.12500,Coimbatore,1,0.01140,28233.00000,0.02390,19888.00000,0.02950,22674.00000,0.03970,21345.00000,-10.74500,0.39500,-10.69200,0.19300,-10.10100,0.39800,-10.51300,0.50800,-10.38300,0.24000,-10.19200,0.42100,-10.49700,0.36200,-9.91200,0.60000,-12.11400,0.23600,-11.50700,0.45400,-11.59300,0.34800,-11.95900,0.26300,-12.01800,0.28800,-11.42700,0.37400,-11.47300,0.32900,-11.42700,0.29800,-11.38100,0.31200,-11.21100,0.30200,-11.46400,0.38200,-10.02900,0.60200,-9.91400,0.55300,-10.30900,0.61200,-10.25400,0.61500,-9.96300,0.44300,-10.33400,0.39400,-10.23400,0.55400,-10.03800,0.67200,-9.85100,0.61200,-10.10800,0.41500,-9.84500,0.85800,-9.44400,0.84300,-9.40000,0.67800,-8.97300,0.49200,0,-9999,-9999,-9999,30199326,4.51000,2.91000
11.22500,77.17500,Coimbatore,1,0.00590,11574.00000,0.00920,7403.00000,0.01200,8847.00000,0.01830,9948.00000,-10.90900,0.43200,-10.95100,0.20500,-10.21500,0.43100,-10.67900,0.57000,-10.63800,0.30600,-10.39400,0.52600,-10.74300,0.41100,-10.14800,0.62100,-12.25200,0.21900,-11.62400,0.50100,-11.75000,0.37100,-12.12400,0.29200,-12.18000,0.34200,-11.52100,0.38500,-11.60900,0.32600,-11.60000,0.33900,-11.46400,0.34500,-11.27300,0.27500,-11.55600,0.41600,-10.04500,0.65900,-9.91900,0.56800,-10.32300,0.62200,-10.25900,0.58100,-9.91200,0.44300,-10.40600,0.38200,-10.26300,0.56500,-10.10300,0.68400,-9.97100,0.59200,-10.12800,0.46100,-9.82800,0.86000,-9.53100,0.75900,-9.38900,0.66400,-8.93800,0.47200,0,-9999,-9999,-9999,30199326,5.20000,3.24000
