latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
51.17500,6.72500,Cologne,3,0.29190,30950.00000,0.50710,40900.00000,0.54000,43747.00000,0.59510,44466.00000,-6.86200,0.40200,-7.09500,0.56300,-7.14900,0.19200,-7.14900,0.19400,-7.24500,0.21600,-6.73000,0.30700,-7.03100,0.35400,-6.65400,0.23100,-8.25100,0.28400,-7.89500,0.24800,-7.88700,0.33800,-7.91600,0.19800,-8.01600,0.21800,-7.68800,0.25000,-7.78300,0.29300,-7.85400,0.26000,-7.73200,0.25900,-7.70600,0.22800,-7.72900,0.19100,-5.73100,0.34900,-5.72900,0.31500,-5.81400,0.26700,-5.65200,0.29100,-5.70200,0.27100,-5.66200,0.23100,-5.63300,0.37300,-5.41400,0.28000,-5.45900,0.24300,-5.59000,0.25500,-5.26800,0.35300,-5.54500,0.42100,-5.58300,0.34700,-5.50600,0.40700,0,0.06700,9.07140,6.84880,19450476,20.96000,6.53000
51.17500,6.77500,Cologne,3,0.21330,26226.00000,0.40500,41646.00000,0.43450,46578.00000,0.49490,51310.00000,-6.85100,0.41100,-7.10400,0.56300,-7.16400,0.19300,-7.16500,0.19400,-7.26400,0.22200,-6.74500,0.30800,-7.04800,0.35500,-6.66400,0.23200,-8.18100,0.28300,-7.83600,0.25300,-7.83100,0.34100,-7.86700,0.20500,-7.93000,0.20300,-7.60100,0.26100,-7.69200,0.29100,-7.78200,0.25200,-7.64600,0.24900,-7.61700,0.21700,-7.63100,0.18900,-5.51000,0.35600,-5.49200,0.31000,-5.57100,0.26400,-5.41700,0.28600,-5.46900,0.26400,-5.40000,0.23600,-5.40100,0.38200,-5.18900,0.29200,-5.22900,0.22900,-5.32600,0.24600,-5.00600,0.37100,-5.28000,0.43500,-5.36300,0.39000,-5.31900,0.47100,0,0.06230,8.80320,6.92040,19450476,16.01000,5.65000
51.17500,6.82500,Cologne,3,0.41650,47524.00000,0.54250,55171.00000,0.55680,60153.00000,0.59540,66636.00000,-6.70400,0.41000,-7.05500,0.51700,-7.04100,0.19200,-7.04300,0.17200,-7.09900,0.31400,-6.66200,0.28200,-6.90500,0.26800,-6.57200,0.24300,-8.17500,0.28200,-7.85400,0.27500,-7.83700,0.34300,-7.88200,0.21900,-7.91800,0.19600,-7.59100,0.26200,-7.67400,0.29100,-7.77700,0.24400,-7.64900,0.22100,-7.59900,0.22000,-7.61600,0.18200,-5.48800,0.29000,-5.53700,0.29600,-5.61600,0.24000,-5.44000,0.25900,-5.48600,0.23500,-5.44800,0.22700,-5.42700,0.36300,-5.24000,0.28200,-5.24600,0.23500,-5.37000,0.25100,-5.03600,0.33000,-5.28400,0.37900,-5.28600,0.34200,-5.18100,0.36300,0,0.08240,8.96840,9.71320,19450476,19.12000,6.16000
51.17500,6.87500,Cologne,3,0.39590,44023.00000,0.53030,53316.00000,0.54160,58511.00000,0.56090,62715.00000,-6.69300,0.40500,-7.07400,0.51300,-7.06600,0.19100,-7.06900,0.17200,-7.12700,0.32100,-6.69100,0.28000,-6.92800,0.26800,-6.59300,0.24500,-8.31100,0.26000,-8.00900,0.28900,-7.98700,0.34100,-8.05000,0.22200,-8.07300,0.17800,-7.72900,0.26300,-7.83000,0.29100,-7.92200,0.23300,-7.80600,0.20700,-7.72800,0.21700,-7.76000,0.17300,-5.76600,0.27200,-5.86700,0.27100,-5.94600,0.26000,-5.70300,0.24100,-5.75700,0.23600,-5.80400,0.23800,-5.74800,0.30300,-5.51700,0.28300,-5.49000,0.25500,-5.67600,0.22300,-5.35700,0.28300,-5.56900,0.32100,-5.55900,0.35400,-5.43400,0.34600,0,0.08780,10.42590,10.25730,19450476,36.97000,7.16000
51.17500,6.92500,Cologne,3,0.41340,61484.00000,0.58280,59009.00000,0.59720,58822.00000,0.61430,54600.00000,-6.71200,0.39200,-7.11900,0.48800,-7.11600,0.20000,-7.11600,0.17100,-7.17100,0.36300,-6.75600,0.26800,-6.96400,0.25500,-6.64900,0.25600,-8.43300,0.27500,-8.13000,0.28900,-8.11400,0.35100,-8.18100,0.22600,-8.19700,0.17800,-7.85100,0.26200,-7.95700,0.29800,-8.04000,0.23900,-7.93400,0.20400,-7.84200,0.22100,-7.88100,0.17100,-5.97400,0.26200,-6.08000,0.24700,-6.15600,0.24500,-5.92400,0.22300,-5.94900,0.21900,-6.01600,0.24500,-5.94300,0.27400,-5.70800,0.25700,-5.70300,0.26800,-5.86400,0.21200,-5.59900,0.26800,-5.73400,0.30700,-5.76600,0.34200,-5.61100,0.35800,0,0.08600,9.38160,10.01660,19450476,30.17000,7.02000
51.17500,6.97500,Cologne,3,0.26130,35082.00000,0.40260,33923.00000,0.41750,33748.00000,0.43360,31461.00000,-6.76400,0.36800,-7.18900,0.44200,-7.19000,0.21700,-7.18200,0.17000,-7.23200,0.43600,-6.85500,0.24600,-7.01200,0.23400,-6.73500,0.27400,-8.63300,0.30000,-8.33500,0.28900,-8.31900,0.36500,-8.39100,0.23700,-8.40900,0.18200,-8.05100,0.26800,-8.17800,0.31200,-8.24500,0.24800,-8.14200,0.20300,-8.03600,0.22800,-8.08800,0.17200,-6.19700,0.24700,-6.29600,0.21500,-6.36100,0.21500,-6.16800,0.20100,-6.14900,0.19300,-6.22000,0.25000,-6.13800,0.25700,-5.90900,0.21900,-5.94300,0.27600,-6.04800,0.20200,-5.85500,0.26300,-5.89400,0.28900,-5.99300,0.32000,-5.80700,0.37300,0,0.05290,9.61640,5.55020,19450476,37.06000,7.22000
51.17500,7.02500,Cologne,3,0.44720,64679.00000,0.60120,62337.00000,0.61230,61837.00000,0.62850,57096.00000,-6.76400,0.36800,-7.18900,0.44200,-7.19000,0.21700,-7.18200,0.17000,-7.23200,0.43600,-6.85500,0.24600,-7.01200,0.23400,-6.73500,0.27400,-9.05800,0.30100,-8.75000,0.27700,-8.72300,0.37300,-8.82200,0.27200,-8.83300,0.20500,-8.49200,0.29600,-8.63500,0.33000,-8.66600,0.27600,-8.54800,0.22700,-8.46500,0.23900,-8.52600,0.19400,-6.37600,0.23700,-6.49000,0.20600,-6.56000,0.18300,-6.36200,0.20200,-6.33400,0.21100,-6.41200,0.21800,-6.38400,0.23800,-6.10100,0.22300,-6.13200,0.27100,-6.23600,0.19600,-6.06900,0.25300,-6.18400,0.29600,-6.21800,0.33900,-6.11700,0.30300,0,0.10330,10.85580,11.24190,19450476,30.18000,7.14000
51.17500,7.07500,Cologne,3,0.47860,83297.00000,0.56190,72157.00000,0.57120,72038.00000,0.58110,66450.00000,-6.98300,0.35400,-7.35800,0.40000,-7.42600,0.25600,-7.41600,0.18900,-7.48400,0.46800,-7.13000,0.23700,-7.23300,0.26300,-7.03100,0.31400,-9.50700,0.30500,-9.19300,0.27900,-9.14500,0.37600,-9.26900,0.31400,-9.28700,0.23000,-8.93600,0.29500,-9.11300,0.34500,-9.13100,0.29500,-9.00200,0.22000,-8.92200,0.25000,-8.99400,0.19500,-6.62400,0.22900,-6.68800,0.20900,-6.73900,0.16200,-6.58600,0.19300,-6.53900,0.22400,-6.63200,0.18600,-6.61400,0.22700,-6.34900,0.23300,-6.43300,0.25000,-6.50200,0.17700,-6.30600,0.24200,-6.46000,0.28900,-6.43000,0.31000,-6.38400,0.25200,0,0.11430,10.28850,11.99430,19450476,24.31000,6.96000
51.17500,7.12500,Cologne,2,0.28390,26319.00000,0.33820,25614.00000,0.34550,25415.00000,0.35280,23794.00000,-6.99400,0.35200,-7.37700,0.39600,-7.44800,0.25700,-7.43900,0.19000,-7.50700,0.47100,-7.15500,0.23700,-7.25400,0.26500,-7.05500,0.31600,-9.72300,0.31000,-9.40900,0.27700,-9.35800,0.37300,-9.47700,0.32600,-9.49600,0.23600,-9.14700,0.29300,-9.33600,0.35200,-9.34200,0.30500,-9.21600,0.22200,-9.14400,0.25800,-9.21100,0.20200,-6.72900,0.23100,-6.78500,0.21400,-6.83800,0.16600,-6.68300,0.20100,-6.63100,0.23800,-6.72700,0.18900,-6.71600,0.23400,-6.44900,0.24000,-6.54000,0.24400,-6.59700,0.17900,-6.42200,0.24300,-6.57300,0.29000,-6.53400,0.30600,-6.50600,0.28000,0,0.03880,8.17680,3.14960,19450476,43.67000,7.59000
51.17500,7.17500,Cologne,3,0.32630,59244.00000,0.38610,49425.00000,0.39200,48045.00000,0.39700,43634.00000,-7.00300,0.34400,-7.42100,0.38800,-7.49400,0.25700,-7.48800,0.19100,-7.55600,0.48000,-7.20200,0.23700,-7.29700,0.26800,-7.09900,0.31700,-10.08700,0.31700,-9.77100,0.27000,-9.70600,0.36200,-9.82100,0.35000,-9.85000,0.24600,-9.50500,0.28600,-9.71300,0.36500,-9.70000,0.31900,-9.57600,0.22600,-9.52400,0.27500,-9.58300,0.21400,-6.96900,0.23800,-7.00900,0.22000,-7.07700,0.17800,-6.91100,0.20700,-6.85700,0.25000,-6.96300,0.20200,-6.96200,0.26100,-6.68700,0.25400,-6.76800,0.24500,-6.82800,0.18800,-6.71300,0.24300,-6.80300,0.29400,-6.76700,0.33000,-6.78900,0.32600,0,0.08800,10.53840,9.57700,19450476,37.26000,7.26000
