latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
33.07500,-97.07500,Dallas,2,0.08660,5337.00000,0.25850,10764.00000,0.45130,17108.00000,0.52670,31855.00000,-11.30600,0.27200,-10.64300,0.50500,-10.78900,0.29100,-10.90100,0.41600,-10.65000,0.13900,-11.02300,0.19700,-10.68900,0.17200,-10.83800,0.10500,-12.38600,0.23300,-12.20700,0.32000,-11.70900,0.36200,-11.62700,0.37700,-11.50600,0.39300,-11.24500,0.36700,-11.52800,0.26900,-11.52700,0.29400,-11.10400,0.32700,-11.23300,0.33400,-11.08900,0.46300,-9.63000,0.40400,-9.96400,0.32300,-9.68700,0.32300,-9.56600,0.33100,-9.85800,0.25100,-9.71700,0.25000,-9.67000,0.37800,-9.50400,0.30500,-9.51000,0.50100,-9.28400,0.37300,-9.15800,0.47900,-8.96100,0.61300,-8.95600,0.53700,-8.89500,0.45200,0,0.11160,8.53470,8.15990,25889310,4.45000,2.02000
33.07500,-97.02500,Dallas,2,0.19090,5914.00000,0.34500,11842.00000,0.45100,18656.00000,0.47520,34984.00000,-11.00400,0.23000,-10.40200,0.47200,-10.59500,0.22400,-10.59700,0.37900,-10.40300,0.14900,-10.70000,0.18000,-10.40100,0.15900,-10.45700,0.12300,-12.15400,0.24200,-11.94100,0.31500,-11.52000,0.36400,-11.44500,0.36500,-11.31000,0.39100,-11.08300,0.34100,-11.29400,0.25000,-11.26400,0.31800,-10.93800,0.33000,-11.01100,0.34000,-10.87600,0.50100,-9.53300,0.33900,-9.95000,0.30600,-9.64100,0.33000,-9.53000,0.33600,-9.79000,0.22000,-9.65000,0.25200,-9.58400,0.37900,-9.46100,0.27800,-9.40900,0.52100,-9.21700,0.41200,-9.13900,0.44400,-8.86900,0.63400,-8.76100,0.58700,-8.73200,0.43600,2,0.09430,6.95810,7.12640,25889310,4.04000,2.20000
33.07500,-96.97500,Dallas,1,0.06100,405.00000,0.09770,793.00000,0.11610,1247.00000,0.12800,2333.00000,-10.92400,0.22500,-10.34500,0.47000,-10.54400,0.22200,-10.51900,0.37000,-10.34000,0.14800,-10.62000,0.17700,-10.33400,0.15800,-10.36600,0.12200,-11.92500,0.26100,-11.68700,0.30600,-11.33200,0.38200,-11.25100,0.35100,-11.12200,0.35500,-10.92100,0.31700,-11.08300,0.25000,-11.05900,0.30100,-10.74600,0.37300,-10.80400,0.36500,-10.65800,0.47300,-9.62100,0.27400,-9.99900,0.29600,-9.70100,0.35700,-9.61000,0.33200,-9.86800,0.24000,-9.68700,0.31300,-9.53700,0.37500,-9.40400,0.31600,-9.23700,0.56100,-9.02000,0.48700,-8.88200,0.40500,-8.63100,0.68000,-8.40600,0.74300,-8.31200,0.57200,23,0.00840,3.02140,0.98750,25889310,5.41000,3.50000
33.07500,-96.92500,Dallas,1,0.03440,1777.00000,0.10860,3567.00000,0.18040,5660.00000,0.23930,10554.00000,-10.70000,0.20800,-10.19600,0.47000,-10.42300,0.21600,-10.30900,0.35200,-10.18300,0.14900,-10.41400,0.16800,-10.16400,0.16000,-10.12000,0.11800,-11.68200,0.27300,-11.40700,0.30100,-11.10100,0.39600,-11.01900,0.33700,-10.87200,0.33200,-10.69800,0.31000,-10.83400,0.26300,-10.84700,0.32000,-10.47100,0.41400,-10.52700,0.37500,-10.37900,0.45600,-9.44600,0.30100,-9.75300,0.30700,-9.50100,0.38500,-9.43700,0.36400,-9.61400,0.27100,-9.42400,0.40100,-9.26200,0.39700,-9.13800,0.39400,-8.82400,0.58200,-8.47000,0.54300,-8.29200,0.44600,-8.06600,0.84900,-7.71400,0.84800,-7.68900,0.66400,7,0.03110,5.50340,3.01920,25889310,4.45000,3.54000
33.07500,-96.87500,Dallas,3,0.29360,5924.00000,0.43650,11726.00000,0.58910,18399.00000,0.72980,34513.00000,-10.65600,0.21200,-10.16400,0.47500,-10.39700,0.22500,-10.26000,0.35400,-10.15600,0.14600,-10.37900,0.16900,-10.13000,0.16500,-10.07100,0.11100,-11.49900,0.26200,-11.22300,0.28600,-10.93200,0.39200,-10.85400,0.31000,-10.67200,0.32600,-10.53100,0.31700,-10.64000,0.29200,-10.70800,0.34600,-10.24800,0.42300,-10.31500,0.37000,-10.13000,0.48300,-8.92500,0.34500,-9.03500,0.30300,-8.89000,0.39300,-8.86100,0.41600,-8.87700,0.29600,-8.71500,0.40500,-8.60400,0.33200,-8.46300,0.35800,-8.19900,0.51500,-7.75100,0.43300,-7.57800,0.40600,-7.44400,0.80600,-7.07000,0.81100,-7.14600,0.61100,0,0.09980,8.93590,9.04370,25889310,3.38000,1.74000
33.07500,-96.82500,Dallas,3,0.10080,3861.00000,0.36590,8142.00000,0.61800,13303.00000,0.71190,26301.00000,-10.58800,0.21900,-10.11900,0.48700,-10.36800,0.24600,-10.18300,0.36000,-10.12700,0.14300,-10.33700,0.16900,-10.08700,0.17600,-10.00200,0.09500,-11.41900,0.24200,-11.12100,0.28300,-10.84000,0.40300,-10.77300,0.30000,-10.55700,0.32300,-10.44700,0.33700,-10.53300,0.32400,-10.65300,0.35200,-10.11500,0.43100,-10.19900,0.38800,-9.98600,0.51800,-8.43000,0.30100,-8.49800,0.25800,-8.36800,0.33600,-8.33800,0.36500,-8.33400,0.25500,-8.21900,0.31300,-8.12000,0.30300,-8.02700,0.27900,-7.84100,0.41800,-7.41300,0.30500,-7.30400,0.33800,-7.13700,0.72900,-6.89100,0.71400,-6.93500,0.48000,0,0.12030,11.10400,13.41050,25889310,2.44000,1.64000
33.07500,-96.77500,Dallas,3,0.15620,10367.00000,0.46670,21843.00000,0.79260,36028.00000,0.84910,71587.00000,-10.60800,0.22700,-10.13800,0.49600,-10.40100,0.25300,-10.19900,0.37900,-10.17600,0.15200,-10.39000,0.17900,-10.12100,0.18600,-10.04300,0.09600,-11.42700,0.21800,-11.08600,0.29500,-10.80700,0.42600,-10.75700,0.31700,-10.53500,0.33700,-10.44300,0.37300,-10.52100,0.33700,-10.67000,0.34800,-10.07700,0.43200,-10.18100,0.41300,-9.95400,0.52200,-8.34600,0.24600,-8.40200,0.23500,-8.34000,0.31500,-8.19500,0.33700,-8.27800,0.25500,-8.15700,0.30000,-8.13200,0.29100,-8.01800,0.26200,-7.83100,0.37400,-7.44700,0.30700,-7.32800,0.32400,-7.15000,0.68600,-6.97500,0.71500,-6.98000,0.48800,0,0.18870,8.00500,12.84520,25889310,3.94000,1.71000
33.07500,-96.72500,Dallas,3,0.21540,10175.00000,0.51190,21240.00000,0.74430,34947.00000,0.77180,69358.00000,-10.64500,0.23600,-10.17200,0.50800,-10.45400,0.26300,-10.23100,0.40700,-10.25200,0.16500,-10.47300,0.19200,-10.17600,0.19900,-10.11000,0.09700,-11.57500,0.21900,-11.19600,0.31500,-10.92200,0.44200,-10.87900,0.33800,-10.67600,0.35200,-10.58800,0.38300,-10.66300,0.33300,-10.82700,0.35100,-10.20200,0.44200,-10.32900,0.41500,-10.10300,0.50300,-8.56200,0.27700,-8.64300,0.27600,-8.56400,0.34600,-8.39700,0.36200,-8.51600,0.28600,-8.34800,0.31300,-8.39300,0.29600,-8.20900,0.29100,-8.05900,0.39800,-7.66000,0.38300,-7.48700,0.33800,-7.37300,0.68000,-7.27800,0.66800,-7.25200,0.54400,0,0.15320,7.00130,9.40300,25889310,5.14000,2.07000
33.07500,-96.67500,Dallas,3,0.17580,5794.00000,0.38520,12364.00000,0.59250,20167.00000,0.63490,39956.00000,-10.74900,0.23500,-10.26800,0.54200,-10.57300,0.27000,-10.33700,0.45100,-10.39600,0.18900,-10.64300,0.22200,-10.31200,0.21500,-10.27900,0.12600,-11.80500,0.23600,-11.40900,0.32500,-11.15900,0.43900,-11.09700,0.34800,-10.93400,0.35400,-10.82300,0.37900,-10.90500,0.32600,-11.08800,0.36400,-10.45300,0.42100,-10.60900,0.41300,-10.37400,0.50800,-8.92100,0.35700,-9.14900,0.34900,-8.97600,0.41600,-8.84800,0.39500,-8.98600,0.32800,-8.74300,0.29200,-8.80000,0.29300,-8.59600,0.30400,-8.49500,0.45400,-8.04500,0.44400,-7.86900,0.40100,-7.85200,0.63600,-7.83800,0.60600,-7.74000,0.60700,0,0.10100,8.44940,7.91880,25889310,4.23000,2.06000
33.07500,-96.62500,Dallas,2,0.07900,3833.00000,0.17910,7950.00000,0.31560,13007.00000,0.41980,25750.00000,-10.84200,0.23300,-10.35700,0.57100,-10.68100,0.27600,-10.43300,0.49000,-10.52600,0.21000,-10.79700,0.24800,-10.43400,0.22900,-10.43100,0.15100,-12.11100,0.26500,-11.73100,0.34900,-11.50300,0.43500,-11.41000,0.35700,-11.30000,0.36200,-11.17900,0.38300,-11.28700,0.31700,-11.49400,0.37000,-10.82700,0.39800,-11.03500,0.41100,-10.78000,0.50600,-9.33800,0.43500,-9.74900,0.39700,-9.46800,0.44600,-9.43000,0.43900,-9.69900,0.32300,-9.25500,0.32600,-9.34100,0.31000,-9.19200,0.32300,-9.13100,0.44200,-8.83200,0.45100,-8.56400,0.47300,-8.54500,0.64100,-8.57200,0.51300,-8.48200,0.62700,0,0.06970,6.51210,4.31280,25889310,3.48000,1.84000
