latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
33.77500,36.02500,Damascus,0,0.00690,747.00000,0.01200,939.00000,0.01250,1160.00000,0.01280,1971.00000,-7.52100,0.09700,-7.43500,0.10900,-7.65400,0.24400,-7.67200,0.34600,-7.51500,0.11600,-7.51000,0.21700,-7.33700,0.10600,-7.40000,0.13400,-9.23000,0.19000,-9.19000,0.34500,-9.38400,0.18000,-9.46300,0.16200,-9.32500,0.18000,-9.32600,0.20500,-9.41200,0.26800,-9.50200,0.22800,-9.51000,0.15500,-9.47500,0.33500,-9.59200,0.34900,-7.51800,0.26900,-7.55700,0.22800,-7.62900,0.27500,-7.41000,0.25800,-7.62900,0.21000,-7.46200,0.19700,-7.51100,0.31100,-7.47900,0.22500,-7.57900,0.15800,-7.54200,0.25600,-7.41600,0.19000,-7.44700,0.36400,-7.51400,0.31300,-7.27600,0.31600,0,-9999,-9999,-9999,25685258,-9999.00000,0.36000
33.77500,36.07500,Damascus,0,0.00080,0.00000,0.00390,0.00000,0.00440,0.00000,0.00480,11.00000,-7.56000,0.09300,-7.46700,0.10600,-7.72500,0.24600,-7.69800,0.32600,-7.54300,0.12000,-7.53200,0.19500,-7.38500,0.09000,-7.43700,0.14000,-9.06700,0.20800,-8.98600,0.30100,-9.14700,0.17300,-9.22600,0.16600,-9.11500,0.20300,-9.11600,0.22100,-9.22000,0.26500,-9.29500,0.23500,-9.30900,0.15400,-9.28000,0.31100,-9.40000,0.36000,-7.27400,0.18500,-7.23300,0.17500,-7.39200,0.26000,-7.14700,0.19100,-7.37600,0.17900,-7.24500,0.15400,-7.28500,0.27100,-7.29600,0.19000,-7.45800,0.12700,-7.41100,0.21400,-7.27300,0.14800,-7.33000,0.31700,-7.38100,0.25000,-7.18800,0.32300,0,-9999,-9999,-9999,25685258,1.21000,0.77000
33.77500,36.12500,Damascus,0,0.00120,0.00000,0.00700,654.00000,0.00920,1429.00000,0.01070,1859.00000,-7.63900,0.09800,-7.54400,0.10700,-7.81400,0.25100,-7.75400,0.30500,-7.60100,0.12400,-7.59400,0.18000,-7.46300,0.09500,-7.49800,0.13900,-8.89800,0.21900,-8.79300,0.24800,-8.91900,0.17800,-8.99200,0.18500,-8.90500,0.21300,-8.90500,0.22700,-9.02300,0.25400,-9.08100,0.22900,-9.09200,0.15300,-9.08900,0.29000,-9.21200,0.36300,-7.21300,0.16700,-7.17900,0.15800,-7.34800,0.24900,-7.09600,0.17300,-7.32100,0.16500,-7.19800,0.15600,-7.21800,0.23300,-7.26800,0.18700,-7.42500,0.12500,-7.36200,0.18500,-7.23100,0.12200,-7.28000,0.27600,-7.32100,0.20000,-7.18400,0.31500,0,-9999,-9999,-9999,25685258,1.83000,0.82000
33.77500,36.17500,Damascus,0,0.00020,0.00000,0.00150,264.00000,0.00260,476.00000,0.00320,529.00000,-7.71300,0.10300,-7.61600,0.10900,-7.89900,0.25700,-7.80600,0.28500,-7.65600,0.12800,-7.65300,0.16600,-7.53800,0.09900,-7.55600,0.13700,-8.74200,0.22000,-8.64300,0.21800,-8.74200,0.17900,-8.81200,0.21100,-8.73700,0.21400,-8.72000,0.21000,-8.85300,0.25200,-8.89500,0.22200,-8.90700,0.15800,-8.92800,0.28300,-9.05100,0.37400,-7.22000,0.16200,-7.19700,0.16000,-7.36300,0.25900,-7.09800,0.16800,-7.32200,0.16400,-7.21900,0.15900,-7.22800,0.21600,-7.28600,0.19200,-7.44200,0.13900,-7.38000,0.17300,-7.25000,0.11200,-7.32100,0.24100,-7.34900,0.18600,-7.22700,0.31200,0,-9999,-9999,-9999,25685258,1.03000,0.56000
33.77500,36.22500,Damascus,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-7.84400,0.10700,-7.74000,0.10500,-8.05100,0.27500,-7.92000,0.26500,-7.76900,0.13600,-7.76700,0.15900,-7.67500,0.12000,-7.67000,0.12700,-8.63800,0.22000,-8.55100,0.21300,-8.63000,0.16700,-8.70200,0.21100,-8.63300,0.21600,-8.59200,0.17900,-8.74500,0.24500,-8.77400,0.22200,-8.79600,0.16200,-8.82200,0.28400,-8.94400,0.38000,-7.26900,0.14700,-7.26000,0.17200,-7.43500,0.27800,-7.17300,0.16600,-7.35800,0.16300,-7.30800,0.15200,-7.29400,0.21300,-7.39300,0.24600,-7.54300,0.19700,-7.45900,0.16100,-7.31700,0.11900,-7.44800,0.24400,-7.47100,0.21300,-7.44300,0.35400,0,-9999,-9999,-9999,25685258,-9999.00000,0.16000
33.77500,36.27500,Damascus,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-7.93900,0.11000,-7.83100,0.10200,-8.15900,0.28600,-8.00300,0.25100,-7.85200,0.14300,-7.85100,0.15300,-7.77500,0.13600,-7.75400,0.11900,-8.62600,0.21000,-8.54600,0.22200,-8.61500,0.15000,-8.68300,0.19300,-8.61600,0.20200,-8.56600,0.15400,-8.71300,0.23800,-8.74900,0.22800,-8.77700,0.17500,-8.80800,0.31200,-8.92400,0.38300,-7.48700,0.19400,-7.50300,0.24100,-7.67000,0.30500,-7.38500,0.24300,-7.51600,0.19800,-7.54400,0.19600,-7.51100,0.27700,-7.68500,0.30000,-7.80400,0.27700,-7.69000,0.21600,-7.50000,0.18500,-7.72300,0.31500,-7.73900,0.31100,-7.87700,0.40200,0,-9999,-9999,-9999,25685258,-9999.00000,0.13000
33.77500,36.32500,Damascus,0,0.00010,0.00000,0.00010,0.00000,0.00010,0.00000,0.00010,0.00000,-8.14700,0.11000,-8.02900,0.10500,-8.36500,0.29000,-8.19400,0.23000,-8.05400,0.14900,-8.04900,0.16000,-7.99400,0.15500,-7.95800,0.12600,-8.71300,0.20000,-8.64400,0.23100,-8.71000,0.14500,-8.75400,0.17800,-8.70700,0.18300,-8.63600,0.16000,-8.76700,0.23600,-8.82800,0.23800,-8.85900,0.19400,-8.88600,0.36500,-8.98700,0.37800,-7.93000,0.23700,-8.06200,0.30500,-8.10200,0.29000,-7.87100,0.29100,-7.96700,0.22600,-8.08600,0.26100,-7.98400,0.36700,-8.26000,0.33400,-8.29800,0.30000,-8.06000,0.26500,-7.99700,0.22500,-8.11500,0.39900,-8.09000,0.36300,-8.29500,0.31200,0,-9999,-9999,-9999,25685258,-9999.00000,0.19000
33.77500,36.37500,Damascus,0,0.00090,3621.00000,0.00100,5241.00000,0.00140,7494.00000,0.00150,8997.00000,-8.26000,0.10900,-8.13700,0.10800,-8.47300,0.28700,-8.29600,0.21900,-8.16400,0.15300,-8.15800,0.16500,-8.11200,0.16700,-8.06900,0.13000,-8.88400,0.18100,-8.82000,0.24100,-8.89000,0.14100,-8.89100,0.16200,-8.86900,0.17300,-8.77600,0.18200,-8.88700,0.23100,-8.95900,0.23900,-9.00600,0.21300,-9.01800,0.40200,-9.10900,0.36000,-8.33000,0.22700,-8.55300,0.34000,-8.50100,0.24900,-8.28300,0.27100,-8.37700,0.16200,-8.54000,0.22600,-8.42900,0.37500,-8.73200,0.31400,-8.62700,0.24100,-8.36700,0.26800,-8.35900,0.17300,-8.40200,0.40400,-8.41900,0.34300,-8.56500,0.23800,0,-9999,-9999,-9999,25685258,-9999.00000,0.16000
33.77500,36.42500,Damascus,0,0.00150,0.00000,0.00180,0.00000,0.00270,144.00000,0.00280,69.00000,-8.58600,0.11000,-8.44000,0.10500,-8.78200,0.25900,-8.58800,0.17800,-8.47700,0.15700,-8.46900,0.17700,-8.44100,0.17900,-8.40800,0.15800,-9.11600,0.19100,-9.05300,0.24200,-9.13600,0.14500,-9.08800,0.15300,-9.08500,0.16700,-8.97800,0.20100,-9.08700,0.22200,-9.13900,0.22000,-9.21300,0.22700,-9.21200,0.42400,-9.28100,0.33700,-8.58900,0.18600,-8.78600,0.32400,-8.70700,0.21100,-8.48900,0.20100,-8.55900,0.14600,-8.71300,0.18300,-8.62700,0.30500,-8.90200,0.28100,-8.72800,0.20000,-8.54800,0.23800,-8.50500,0.12900,-8.57200,0.35100,-8.61000,0.30800,-8.71800,0.24400,0,-9999,-9999,-9999,25685258,-9999.00000,0.11000
33.77500,36.47500,Damascus,0,0.00530,415.00000,0.00970,680.00000,0.01050,898.00000,0.01120,1428.00000,-8.71800,0.11000,-8.56300,0.10600,-8.90100,0.24400,-8.70400,0.15900,-8.60500,0.15800,-8.59800,0.18400,-8.57300,0.18500,-8.54700,0.17200,-9.43900,0.21400,-9.35600,0.24300,-9.46000,0.15000,-9.36200,0.17000,-9.37400,0.14800,-9.26200,0.20700,-9.38400,0.21900,-9.41400,0.19300,-9.48900,0.22300,-9.48800,0.42200,-9.52500,0.32200,-8.72800,0.19500,-8.88200,0.30900,-8.78700,0.19600,-8.58500,0.15600,-8.62700,0.14700,-8.78200,0.16700,-8.71300,0.26000,-8.94600,0.27300,-8.77300,0.18500,-8.62800,0.21900,-8.59700,0.12900,-8.67000,0.33000,-8.71800,0.25700,-8.79800,0.25700,0,-9999,-9999,-9999,25685258,-9999.00000,0.04000
33.77500,36.52500,Damascus,0,0.00380,745.00000,0.00760,1543.00000,0.00900,1981.00000,0.00970,2308.00000,-9.15100,0.10400,-8.97800,0.08400,-9.30900,0.21200,-9.11000,0.13900,-9.04200,0.16400,-9.04100,0.18900,-9.02600,0.18500,-9.01400,0.23300,-9.78700,0.23800,-9.66600,0.24600,-9.79500,0.16100,-9.65700,0.19300,-9.68800,0.14100,-9.56500,0.21800,-9.71200,0.23200,-9.71600,0.17400,-9.76400,0.20900,-9.79200,0.41700,-9.79300,0.31600,-8.83900,0.19600,-8.96200,0.31000,-8.85200,0.21300,-8.66900,0.15000,-8.70400,0.14300,-8.82300,0.15900,-8.79600,0.25600,-8.96900,0.25800,-8.81100,0.18200,-8.69000,0.19300,-8.66100,0.14000,-8.76100,0.34000,-8.78200,0.25500,-8.86000,0.25600,0,-9999,-9999,-9999,25685258,-9999.00000,0.03000
