latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-6.57500,39.02500,DaresSalaam,1,0.00070,342.00000,0.00070,193.00000,0.00340,380.00000,0.01140,1242.00000,-11.78900,0.25400,-10.18800,1.19900,-11.66700,0.29000,-11.87500,0.39700,-12.51500,0.75500,-11.09200,0.22000,-11.73400,0.29300,-12.42600,0.53400,-9999.00000,-9999.00000,-12.33700,0.45000,-11.80500,0.27800,-12.12200,0.53500,-12.46100,0.48700,-12.58300,0.56100,-12.36000,0.26900,-13.47800,0.84500,-12.27100,0.26500,-12.55300,0.37500,-12.67600,0.28700,-10.52400,0.40700,-10.70100,0.53000,-10.91600,0.42400,-10.59100,0.52700,-11.58300,0.53800,-10.03000,0.28800,-10.00700,0.58200,-10.45500,0.86300,-10.29000,0.69800,-9.71500,0.39200,-10.48700,0.55100,-8.86700,0.41200,-9.28000,0.35600,-8.51200,0.29200,0,-9999,-9999,-9999,30575648,13.99000,5.54000
-6.57500,39.07500,DaresSalaam,1,0.00770,555.00000,0.01440,567.00000,0.03480,3704.00000,0.07060,8389.00000,-12.05300,0.27600,-9999.00000,-9999.00000,-11.93700,0.34000,-12.13500,0.40100,-12.76100,0.73700,-11.39300,0.23400,-11.95800,0.26600,-12.66400,0.52100,-9999.00000,-9999.00000,-13.32700,0.48600,-12.73600,0.30200,-13.03700,0.52300,-13.42600,0.49300,-13.48700,0.54900,-13.30200,0.28300,-14.43100,0.78500,-13.15900,0.28300,-13.43000,0.36200,-13.49400,0.27300,-10.72700,0.44700,-11.08600,0.53200,-11.18900,0.35900,-10.84800,0.50100,-11.85600,0.55600,-10.24600,0.37500,-10.25300,0.58400,-10.61900,0.84700,-10.44300,0.64100,-9.83900,0.37000,-10.49900,0.51700,-8.94500,0.47200,-9.37900,0.40800,-8.56700,0.34600,0,-9999,-9999,-9999,30575648,10.43000,4.85000
-6.57500,39.12500,DaresSalaam,1,0.00640,1206.00000,0.01830,5598.00000,0.04050,10087.00000,0.08250,18581.00000,-11.86100,0.28800,-9999.00000,-9999.00000,-11.75800,0.32200,-11.94000,0.44200,-12.58100,0.72500,-11.22900,0.23500,-11.72100,0.27900,-12.46500,0.49500,-9999.00000,-9999.00000,-14.62200,0.48000,-14.06400,0.31200,-14.32300,0.46600,-14.68900,0.51200,-14.77600,0.59300,-14.55100,0.33000,-15.65900,0.74200,-14.36900,0.29200,-14.64600,0.39000,-14.60000,0.28500,-11.70900,0.52700,-12.04300,0.66500,-11.93800,0.50400,-11.72300,0.65700,-12.54800,0.58700,-11.16000,0.44200,-11.15700,0.73700,-11.50000,0.94000,-11.09100,0.65600,-10.65700,0.48900,-11.05400,0.62600,-9.87000,0.67900,-10.03900,0.56200,-9.48300,0.53900,80,-9999,-9999,-9999,30575648,7.09000,4.58000
-6.57500,39.17500,DaresSalaam,0,0.00220,170.00000,0.00300,505.00000,0.00570,729.00000,0.01040,975.00000,-11.70200,0.30100,-9999.00000,-9999.00000,-11.61400,0.30800,-11.78000,0.47900,-12.43100,0.71200,-11.10000,0.23600,-11.51900,0.29000,-12.29900,0.46900,-9999.00000,-9999.00000,-16.04300,0.50400,-15.54700,0.38300,-15.72800,0.41600,-16.10200,0.57000,-16.21500,0.58100,-15.98800,0.40600,-16.92800,0.71200,-15.70500,0.38500,-15.91900,0.48300,-15.77800,0.30900,-13.41900,0.78500,-13.78400,0.91800,-13.62500,0.83500,-13.74000,0.87300,-14.06200,0.74300,-13.10600,0.76900,-13.03900,0.97400,-13.33400,1.09700,-12.92800,0.97400,-12.52300,0.81400,-12.65300,1.11600,-11.90200,0.96900,-11.83300,0.93100,-11.80700,1.12600,100,-9999,-9999,-9999,30575648,7.21000,5.24000
-6.57500,39.22500,DaresSalaam,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-16.33400,0.51200,-15.90600,0.45700,-16.03500,0.42200,-16.40400,0.60600,-16.48100,0.61500,-16.18700,0.41900,-17.01100,0.68600,-15.82700,0.39500,-16.07200,0.58000,-15.78800,0.33100,-13.86200,0.85800,-14.13200,0.82100,-14.05500,0.77400,-14.23100,0.80900,-14.29800,0.73500,-13.49200,0.74300,-13.43600,0.85700,-13.43400,0.95400,-13.12500,0.81400,-12.76000,0.72500,-12.83500,0.95800,-12.26000,0.89800,-12.14000,0.81100,-12.07700,1.08800,100,-9999,-9999,-9999,30575648,-9999.00000,5.01000
-6.57500,39.27500,DaresSalaam,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30575648,-9999.00000,-9999.00000
-6.57500,39.32500,DaresSalaam,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30575648,-9999.00000,-9999.00000
-6.57500,39.37500,DaresSalaam,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30575648,-9999.00000,-9999.00000
-6.57500,39.42500,DaresSalaam,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30575648,-9999.00000,-9999.00000
-6.57500,39.47500,DaresSalaam,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30575648,-9999.00000,-9999.00000
