latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
42.57500,-83.32500,Detroit,2,0.10720,13772.00000,0.31780,14680.00000,0.32570,15296.00000,0.34400,15279.00000,-9.10500,0.53900,-9.69100,0.98400,-8.86900,0.25900,-8.88600,0.47800,-8.90300,0.18700,-8.84300,0.14800,-8.73100,0.14500,-8.76300,0.13400,-10.33200,0.27900,-10.01500,0.47800,-10.13700,0.39200,-9.98500,0.38700,-9.98900,0.39500,-9.93900,0.43000,-9.85200,0.41300,-9.86600,0.31900,-10.01400,0.43900,-9.83500,0.47200,-9.90200,0.31500,-8.75800,0.25300,-8.68000,0.27000,-8.62000,0.29300,-8.73800,0.20600,-8.58200,0.29200,-8.70700,0.27500,-8.52100,0.20600,-8.46900,0.21900,-8.56800,0.28800,-8.58100,0.32200,-8.55900,0.29900,-8.37400,0.39400,-8.26900,0.47400,-8.28100,0.53800,4,0.06940,3.47370,2.47390,22800278,21.99000,7.17000
42.57500,-83.27500,Detroit,2,0.10440,11172.00000,0.25040,11942.00000,0.26030,12402.00000,0.27370,12269.00000,-9.00200,0.55200,-9.75300,1.14100,-8.81000,0.24900,-8.82400,0.48100,-8.85500,0.18600,-8.78300,0.13600,-8.65600,0.14400,-8.70900,0.13500,-10.07300,0.27400,-9.77000,0.47800,-9.86800,0.36900,-9.69500,0.39800,-9.62900,0.41800,-9.63500,0.43400,-9.57000,0.41700,-9.57000,0.32400,-9.69100,0.43400,-9.53200,0.50500,-9.63300,0.30500,-8.48400,0.25100,-8.42500,0.27400,-8.36100,0.28600,-8.50800,0.19700,-8.31100,0.30100,-8.47800,0.30200,-8.23500,0.20100,-8.20700,0.22800,-8.32300,0.30000,-8.37800,0.33500,-8.34100,0.34100,-8.13600,0.44100,-8.05300,0.54100,-8.06500,0.54800,0,0.07190,3.64360,2.60320,22800278,26.45000,7.28000
42.57500,-83.22500,Detroit,2,0.14320,16235.00000,0.29040,17535.00000,0.30030,18162.00000,0.31220,18111.00000,-8.96300,0.57500,-9.97000,1.29300,-8.83100,0.24600,-8.86300,0.48000,-8.90000,0.18000,-8.81300,0.13000,-8.67700,0.14200,-8.73300,0.13300,-9.84800,0.27900,-9.54800,0.47200,-9.63000,0.34300,-9.45100,0.39400,-9.30200,0.43400,-9.35900,0.43800,-9.31100,0.40700,-9.29200,0.32400,-9.38900,0.42400,-9.24500,0.52400,-9.38300,0.30400,-8.32000,0.27400,-8.25400,0.27700,-8.21300,0.28000,-8.36000,0.21200,-8.15300,0.31000,-8.30500,0.34100,-8.05300,0.17600,-8.05100,0.27000,-8.15100,0.35400,-8.20500,0.35700,-8.18600,0.37900,-7.98200,0.50900,-7.89500,0.68000,-7.91500,0.55200,0,0.07850,3.96160,3.02760,22800278,25.29000,7.49000
42.57500,-83.17500,Detroit,3,0.27500,22416.00000,0.58240,23586.00000,0.61250,24445.00000,0.63310,24364.00000,-8.91400,0.60500,-10.22300,1.46000,-8.85200,0.24300,-8.90300,0.48200,-8.94600,0.17300,-8.84300,0.12200,-8.69500,0.14000,-8.75700,0.13000,-9.68700,0.28900,-9.38500,0.45400,-9.45200,0.33800,-9.28800,0.36900,-9.06500,0.44800,-9.15500,0.42200,-9.11000,0.39300,-9.08200,0.31600,-9.15500,0.42300,-9.02300,0.52600,-9.17900,0.30700,-8.19100,0.31200,-8.13400,0.28500,-8.10100,0.29300,-8.24000,0.24000,-8.03600,0.33300,-8.12500,0.38200,-7.95300,0.17200,-7.94000,0.32300,-8.00300,0.42000,-8.05500,0.39600,-8.07800,0.40900,-7.89600,0.53500,-7.76400,0.80500,-7.81100,0.56100,0,0.10920,4.82770,5.35580,22800278,15.48000,4.96000
42.57500,-83.12500,Detroit,3,0.38340,26410.00000,0.64260,27847.00000,0.67160,28728.00000,0.69530,28411.00000,-8.97600,0.61700,-10.30100,1.33500,-8.95200,0.24900,-9.02300,0.48500,-9.05800,0.17000,-8.95500,0.11700,-8.80700,0.14000,-8.86000,0.12900,-9.62000,0.29600,-9.30300,0.43500,-9.36000,0.34400,-9.21900,0.33900,-8.94500,0.45800,-9.05600,0.38000,-8.99800,0.39100,-8.97200,0.30100,-9.02000,0.42700,-8.90000,0.52600,-9.06500,0.29800,-8.02600,0.35500,-7.97600,0.30500,-7.92300,0.32100,-8.09800,0.27300,-7.86900,0.36300,-7.89500,0.43100,-7.83100,0.19700,-7.78100,0.37400,-7.82700,0.47800,-7.93100,0.41900,-7.98700,0.42800,-7.77800,0.65600,-7.62600,0.88400,-7.72100,0.58300,0,0.10970,3.68060,4.19020,22800278,16.03000,5.21000
42.57500,-83.07500,Detroit,3,0.43770,35584.00000,0.75930,40043.00000,0.80160,43327.00000,0.81450,46212.00000,-9.07400,0.65300,-10.42000,1.02000,-9.13500,0.26100,-9.25700,0.49400,-9.27400,0.16100,-9.17000,0.10300,-9.02100,0.13700,-9.05400,0.12500,-9.71100,0.29000,-9.36000,0.42800,-9.43200,0.34600,-9.31300,0.33500,-9.00500,0.45900,-9.12700,0.34600,-9.03400,0.38400,-9.02500,0.29800,-9.05400,0.42700,-8.93900,0.54600,-9.11500,0.30000,-7.88000,0.35900,-7.80400,0.32800,-7.72900,0.32900,-7.99000,0.28500,-7.71100,0.38900,-7.69300,0.44300,-7.69400,0.23900,-7.58800,0.37500,-7.71000,0.46600,-7.87100,0.38700,-7.96900,0.42500,-7.65600,0.88500,-7.54000,0.89600,-7.66400,0.60400,0,0.14000,3.28780,4.71210,22800278,10.38000,3.69000
42.57500,-83.02500,Detroit,3,0.51460,20289.00000,0.78300,23780.00000,0.80530,26146.00000,0.80940,28393.00000,-9.16100,0.67500,-10.49600,0.97400,-9.22100,0.26900,-9.35200,0.49800,-9.36600,0.16000,-9.26800,0.10500,-9.11900,0.13700,-9.14100,0.12500,-9.98800,0.26800,-9.61800,0.42300,-9.71200,0.34700,-9.59600,0.35100,-9.28600,0.47100,-9.39000,0.33200,-9.28100,0.37200,-9.28900,0.31700,-9.31900,0.44200,-9.18700,0.56500,-9.36200,0.30200,-7.75300,0.29000,-7.65600,0.34300,-7.65600,0.24100,-7.88700,0.27500,-7.60000,0.39000,-7.55400,0.39400,-7.56900,0.26700,-7.49600,0.29400,-7.79400,0.41100,-7.96200,0.35800,-8.12400,0.40700,-7.73000,0.88100,-7.67600,0.92500,-7.73900,0.59100,0,0.14370,3.89660,5.84450,22800278,9.04000,3.34000
42.57500,-82.97500,Detroit,3,0.36840,27641.00000,0.63060,31280.00000,0.65330,34385.00000,0.66240,37401.00000,-9.47700,0.72300,-10.83100,0.73700,-9.58300,0.30000,-9.77900,0.51900,-9.78600,0.13300,-9.71500,0.10800,-9.57900,0.14100,-9.54100,0.12800,-10.46100,0.25000,-10.09600,0.45000,-10.18600,0.33700,-10.08800,0.36200,-9.79900,0.46700,-9.87000,0.33100,-9.74800,0.38800,-9.77100,0.34800,-9.81600,0.46200,-9.64500,0.58200,-9.83400,0.34100,-8.00300,0.30300,-7.89700,0.37200,-7.95900,0.29300,-8.10900,0.29200,-7.82900,0.36300,-7.82000,0.40200,-7.78100,0.29400,-7.77000,0.26200,-8.23100,0.39600,-8.24800,0.37200,-8.49900,0.35800,-7.99200,0.87700,-8.06500,0.66400,-8.05700,0.58500,0,0.10750,3.44780,3.79250,22800278,12.18000,4.49000
42.57500,-82.92500,Detroit,3,0.41860,24485.00000,0.69900,28284.00000,0.71020,31066.00000,0.71700,33765.00000,-9.47700,0.72100,-10.83200,0.73600,-9.58400,0.30000,-9.78100,0.51900,-9.78800,0.13300,-9.71700,0.10800,-9.58000,0.14100,-9.54200,0.12800,-11.13600,0.29400,-10.79000,0.47000,-10.88400,0.35500,-10.81400,0.42100,-10.57500,0.48600,-10.60200,0.36100,-10.45400,0.40400,-10.48500,0.39500,-10.55700,0.47000,-10.34100,0.60500,-10.55100,0.40800,-8.72000,0.25000,-8.63900,0.30700,-8.70900,0.25900,-8.72100,0.20900,-8.50800,0.25000,-8.54600,0.34400,-8.47500,0.26200,-8.51800,0.29700,-8.87300,0.30700,-8.68800,0.37900,-8.83600,0.33700,-8.32500,0.81000,-8.47400,0.61700,-8.43800,0.51500,0,0.10690,3.60180,4.15510,22800278,11.95000,4.36000
42.57500,-82.87500,Detroit,3,0.43890,24819.00000,0.66940,28665.00000,0.67720,31469.00000,0.67960,34178.00000,-10.33900,1.70300,-11.19700,0.57000,-9.94600,0.31400,-10.20200,0.53500,-10.20500,0.13800,-10.18300,0.15800,-10.10100,0.14400,-9.95900,0.14900,-11.96700,0.29600,-11.60300,0.46900,-11.73500,0.35600,-11.67500,0.43500,-11.46400,0.47500,-11.45500,0.37900,-11.32000,0.41900,-11.35400,0.42900,-11.46200,0.43700,-11.19500,0.63800,-11.41100,0.46300,-9.23400,0.38600,-9.12000,0.32200,-9.31700,0.33300,-9.19600,0.30600,-9.08300,0.34800,-9.03600,0.37900,-9.03600,0.37900,-9.16300,0.36500,-9.56400,0.39100,-9.54000,0.38400,-9.37900,0.43200,-8.86100,0.88500,-9.31400,0.63200,-9.17400,0.59300,15,0.10540,4.21270,4.77440,22800278,12.38000,4.35000
