latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
23.97500,90.17500,Dhaka,1,0.00000,0.00000,0.00200,176.00000,0.00350,1031.00000,0.00730,5309.00000,-8.53100,0.21900,-8.57300,0.22700,-9.07700,0.22900,-8.83700,0.35300,-8.32000,0.31700,-9.22800,0.54000,-8.33800,0.67800,-8.23900,0.15200,-10.91100,0.28600,-10.63200,0.28600,-10.28200,0.21800,-10.32600,0.32600,-10.50900,0.33400,-10.75700,0.50900,-10.13000,0.27000,-9.94300,0.27500,-10.44400,0.52400,-9.86500,0.28800,-9.77400,0.35700,-7.68900,0.95700,-6.89000,0.69800,-6.80500,0.68900,-6.79400,0.68100,-6.53500,0.66900,-6.41900,0.79100,-6.46300,0.69500,-6.34000,0.83100,-6.19800,0.74500,-6.21900,0.79900,-5.96900,0.81500,-6.17800,0.78000,-5.99700,0.77400,-6.11300,0.97400,0,-9999.00000,-9999.00000,-9999.00000,28179960,15.88000,4.67000
23.97500,90.22500,Dhaka,2,0.00260,0.00000,0.00640,7651.00000,0.01320,13670.00000,0.06330,29847.00000,-8.52100,0.21100,-8.52500,0.20700,-8.92600,0.22100,-8.78900,0.33600,-8.28100,0.28800,-9.03100,0.50500,-8.35800,0.67000,-8.10600,0.13300,-10.86700,0.28200,-10.53800,0.25500,-10.21900,0.22200,-10.20100,0.26400,-10.32800,0.25600,-10.45200,0.41400,-9.95800,0.24100,-9.76500,0.25500,-10.05300,0.44200,-9.64100,0.26800,-9.49800,0.34200,-7.11500,0.87800,-6.63900,0.74600,-6.42700,0.66900,-6.43400,0.76000,-6.12500,0.79500,-5.97200,0.80300,-5.95000,0.78200,-5.79100,0.82700,-5.63000,0.76200,-5.64300,0.74600,-5.29700,0.82600,-5.56000,0.79500,-5.37600,0.74100,-5.26600,0.74600,0,-9999.00000,-9999.00000,-9999.00000,28179960,15.99000,4.80000
23.97500,90.27500,Dhaka,3,0.02260,25752.00000,0.03490,26492.00000,0.05460,59148.00000,0.18790,175833.00000,-8.51500,0.20500,-8.47100,0.19000,-8.74400,0.22300,-8.74300,0.32700,-8.24600,0.23600,-8.74200,0.42900,-8.42000,0.65900,-7.96400,0.13100,-10.80800,0.27100,-10.47200,0.22900,-10.15600,0.24900,-10.08600,0.24100,-10.18200,0.21300,-10.16000,0.33700,-9.80300,0.23400,-9.61300,0.25400,-9.70600,0.37900,-9.46100,0.23900,-9.24000,0.33000,-6.73900,0.81300,-6.45100,0.71400,-6.20700,0.66000,-6.16900,0.75600,-5.87200,0.79100,-5.75200,0.79300,-5.67100,0.80300,-5.49100,0.78300,-5.31700,0.71800,-5.31500,0.68400,-4.94800,0.76400,-5.20800,0.77000,-5.05000,0.72200,-4.81200,0.62800,0,-9999.00000,-9999.00000,-9999.00000,28179960,14.59000,4.61000
23.97500,90.32500,Dhaka,3,0.02030,10061.00000,0.05580,44377.00000,0.11300,102842.00000,0.24550,206492.00000,-8.51300,0.20400,-8.45500,0.18500,-8.69400,0.22300,-8.73000,0.32400,-8.23600,0.22200,-8.65900,0.40800,-8.43800,0.65800,-7.92400,0.13100,-10.76600,0.25100,-10.42500,0.21600,-10.12600,0.29600,-9.99600,0.25300,-10.07700,0.21700,-9.94100,0.30300,-9.69000,0.25000,-9.50800,0.27000,-9.46500,0.34100,-9.35800,0.21400,-9.04400,0.31300,-6.63300,0.76700,-6.40200,0.67400,-6.16200,0.64800,-6.07100,0.72200,-5.79400,0.76200,-5.69200,0.76600,-5.60000,0.78400,-5.40500,0.73900,-5.22900,0.68700,-5.22100,0.65000,-4.83500,0.71600,-5.11000,0.74600,-4.97200,0.67400,-4.71700,0.60000,0,-9999.00000,-9999.00000,-9999.00000,28179960,14.04000,4.84000
23.97500,90.37500,Dhaka,3,0.02520,1725.00000,0.03980,15273.00000,0.09740,127426.00000,0.34360,521725.00000,-8.53600,0.20300,-8.41000,0.18000,-8.55700,0.23800,-8.72800,0.32900,-8.22500,0.18200,-8.40100,0.31900,-8.50600,0.68200,-7.87000,0.13800,-10.73900,0.22700,-10.40900,0.21500,-10.13200,0.31400,-9.99000,0.25700,-10.05400,0.22000,-9.81700,0.25500,-9.63700,0.28000,-9.48500,0.27900,-9.36100,0.33000,-9.37400,0.21500,-8.96900,0.30600,-6.75400,0.70900,-6.58500,0.60400,-6.33200,0.61200,-6.16200,0.68500,-5.92100,0.74400,-5.83600,0.72700,-5.72000,0.74900,-5.52600,0.67600,-5.35600,0.67000,-5.34100,0.61700,-4.94200,0.70200,-5.25200,0.73100,-5.12900,0.68100,-4.84900,0.56900,0,-9999.00000,-9999.00000,-9999.00000,28179960,11.95000,4.16000
23.97500,90.42500,Dhaka,2,0.00380,533.00000,0.00990,6923.00000,0.03570,43628.00000,0.12070,145938.00000,-8.54800,0.20200,-8.40000,0.17800,-8.55200,0.24700,-8.73100,0.33900,-8.23300,0.17700,-8.37500,0.30300,-8.55500,0.70100,-7.87900,0.13500,-10.73600,0.19900,-10.43200,0.21400,-10.18100,0.30000,-10.05900,0.24400,-10.10400,0.20500,-9.86100,0.21800,-9.69300,0.27000,-9.55300,0.28100,-9.45000,0.29700,-9.49600,0.23100,-9.03600,0.29700,-7.20600,0.65800,-7.12300,0.54600,-6.83000,0.57800,-6.61300,0.66600,-6.48600,0.69800,-6.30300,0.65600,-6.24500,0.68800,-6.07900,0.63600,-5.97100,0.70000,-5.85700,0.60000,-5.53300,0.72500,-5.83900,0.74400,-5.80500,0.77200,-5.48600,0.60400,0,-9999.00000,-9999.00000,-9999.00000,28179960,16.52000,5.04000
23.97500,90.47500,Dhaka,1,0.00000,0.00000,0.00060,3938.00000,0.00150,3653.00000,0.01260,6128.00000,-8.58300,0.19700,-8.37500,0.17200,-8.53500,0.27300,-8.73900,0.36300,-8.25700,0.16400,-8.30600,0.25800,-8.68600,0.74900,-7.90400,0.12900,-10.75000,0.19500,-10.49600,0.22200,-10.25400,0.26900,-10.18600,0.24600,-10.21600,0.19200,-10.01800,0.19300,-9.83900,0.25000,-9.71200,0.26500,-9.68000,0.24400,-9.70100,0.24800,-9.21900,0.28600,-7.61700,0.52000,-7.62600,0.43700,-7.24300,0.45100,-7.12000,0.52700,-7.02000,0.50500,-6.82500,0.50000,-6.78200,0.50200,-6.69600,0.50300,-6.64800,0.54200,-6.50000,0.45000,-6.25900,0.54700,-6.42600,0.65000,-6.47700,0.64900,-6.26900,0.57300,0,-9999.00000,-9999.00000,-9999.00000,28179960,17.21000,5.25000
23.97500,90.52500,Dhaka,1,0.00000,0.00000,0.00050,2565.00000,0.00100,3721.00000,0.00550,19136.00000,-8.64600,0.19700,-8.37700,0.18400,-8.59900,0.28000,-8.77500,0.38800,-8.31300,0.17100,-8.36000,0.25900,-8.88700,0.77200,-7.97100,0.12100,-10.79000,0.19800,-10.57000,0.22600,-10.34700,0.23000,-10.32300,0.23500,-10.35000,0.18600,-10.25000,0.20400,-10.00900,0.21200,-9.88300,0.25300,-9.95900,0.20900,-9.93100,0.25400,-9.47700,0.26500,-7.83100,0.38900,-7.78200,0.40900,-7.42000,0.35100,-7.39900,0.37000,-7.30600,0.33800,-7.11700,0.31600,-7.07900,0.34000,-7.04600,0.37300,-6.99000,0.36400,-6.85900,0.38900,-6.66200,0.32100,-6.72900,0.55900,-6.77400,0.53100,-6.52200,0.55300,8,-9999.00000,-9999.00000,-9999.00000,28179960,17.74000,5.29000
23.97500,90.57500,Dhaka,1,0.00040,0.00000,0.00230,963.00000,0.00490,1127.00000,0.01210,11019.00000,-8.70400,0.19700,-8.37800,0.19500,-8.65700,0.28600,-8.80700,0.41000,-8.36400,0.17600,-8.40800,0.25900,-9.06500,0.79100,-8.03200,0.11300,-10.82800,0.19300,-10.63100,0.23400,-10.42500,0.23000,-10.45100,0.22900,-10.48700,0.18500,-10.50200,0.23700,-10.16800,0.18700,-10.03700,0.24600,-10.23200,0.21300,-10.14400,0.22600,-9.76100,0.26000,-7.82800,0.38000,-7.74000,0.41300,-7.42700,0.33300,-7.46400,0.29900,-7.32700,0.32700,-7.15900,0.29700,-7.14200,0.30200,-7.06500,0.37100,-7.03100,0.34700,-6.88900,0.41700,-6.75700,0.29900,-6.74800,0.54500,-6.82000,0.50900,-6.55000,0.56100,0,-9999.00000,-9999.00000,-9999.00000,28179960,18.32000,5.54000
23.97500,90.62500,Dhaka,2,0.00230,31908.00000,0.01220,69007.00000,0.02910,112314.00000,0.05170,147555.00000,-8.91200,0.19000,-8.42700,0.23600,-8.87800,0.27200,-8.92500,0.41900,-8.51400,0.15900,-8.66300,0.26800,-9.40500,0.81200,-8.24300,0.10700,-10.89000,0.18900,-10.68800,0.24500,-10.48200,0.23500,-10.56400,0.23500,-10.61100,0.19400,-10.74500,0.28900,-10.33100,0.19200,-10.18800,0.24100,-10.48500,0.27300,-10.32400,0.19500,-10.04100,0.26100,-7.72000,0.41700,-7.56100,0.42300,-7.33200,0.33100,-7.40200,0.29000,-7.23100,0.35800,-7.08500,0.31800,-7.06800,0.31200,-6.96000,0.37200,-6.90500,0.38500,-6.79300,0.44200,-6.64000,0.32200,-6.62900,0.55500,-6.73800,0.50600,-6.46900,0.57700,0,-9999.00000,-9999.00000,-9999.00000,28179960,18.66000,5.42000
