latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
24.07500,86.17500,Dhanbad,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9.63400,0.45100,-9.18900,0.27500,-9.15400,0.46500,-9.58000,0.42700,-9.20200,0.35000,-9.23100,0.71100,-9.33500,0.40500,-9.25200,0.35400,-10.36700,0.19000,-10.41600,0.23000,-10.50700,0.25300,-10.55800,0.31900,-10.48100,0.21600,-10.48000,0.27900,-10.62400,0.28600,-10.38100,0.27400,-10.38200,0.31600,-10.56900,0.34200,-10.59500,0.34400,-8.57600,0.34600,-8.84700,0.31600,-8.92500,0.38300,-8.94500,0.56500,-8.72600,0.37500,-8.80400,0.52100,-8.79300,0.32500,-8.62800,0.28300,-8.96600,0.32200,-8.67500,0.33500,-8.72100,0.29400,-8.63500,0.53500,-8.73000,0.55100,-8.53500,0.28800,0,-9999.00000,-9999.00000,-9999.00000,28158534,9.81000,4.39000
24.07500,86.22500,Dhanbad,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00010,0.00000,-9.65900,0.47300,-9.20600,0.27100,-9.16900,0.47700,-9.61200,0.44700,-9.25600,0.36300,-9.25100,0.69300,-9.39100,0.42300,-9.29500,0.36400,-10.40600,0.18300,-10.46000,0.23200,-10.54200,0.24800,-10.60000,0.30600,-10.51500,0.23700,-10.55300,0.27800,-10.69400,0.27500,-10.44200,0.29100,-10.43800,0.31300,-10.60800,0.36500,-10.63800,0.35500,-8.83200,0.38900,-9.06900,0.33300,-9.17200,0.38500,-9.24600,0.58800,-8.92400,0.38200,-9.00000,0.53300,-9.00900,0.33900,-8.81900,0.27700,-9.19000,0.34400,-8.87000,0.35400,-8.91700,0.29900,-8.84700,0.59000,-8.87400,0.52700,-8.68300,0.29900,0,-9999.00000,-9999.00000,-9999.00000,28158534,3.44000,1.91000
24.07500,86.27500,Dhanbad,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00020,1852.00000,-9.68400,0.49500,-9.22300,0.26700,-9.18500,0.48900,-9.64400,0.46700,-9.30900,0.37700,-9.27200,0.67600,-9.44600,0.44200,-9.33700,0.37400,-10.53400,0.21400,-10.61200,0.23700,-10.69200,0.24600,-10.73500,0.30400,-10.64000,0.25000,-10.73500,0.30100,-10.86000,0.27700,-10.59900,0.33800,-10.60700,0.31100,-10.75300,0.38300,-10.76200,0.37100,-9.11100,0.43300,-9.28000,0.34400,-9.41900,0.38500,-9.53600,0.57000,-9.13100,0.41500,-9.23900,0.55000,-9.25000,0.35900,-9.02900,0.28000,-9.40200,0.32300,-9.05600,0.38700,-9.07700,0.28900,-9.01200,0.59100,-9.01000,0.54600,-8.81900,0.31400,0,-9999.00000,-9999.00000,-9999.00000,28158534,3.27000,1.92000
24.07500,86.32500,Dhanbad,0,0.00000,0.00000,0.00010,0.00000,0.00120,0.00000,0.01100,35.00000,-9.75200,0.51800,-9.29300,0.27000,-9.26900,0.51700,-9.71500,0.53400,-9.41700,0.42200,-9.33300,0.60400,-9.55700,0.47100,-9.43200,0.39500,-10.72300,0.25600,-10.84500,0.25100,-10.92700,0.25000,-10.93600,0.29900,-10.84800,0.26800,-10.98500,0.33100,-11.08300,0.27800,-10.82300,0.39000,-10.84800,0.29600,-10.95700,0.40800,-10.91900,0.38700,-9.31900,0.46000,-9.43400,0.38100,-9.54100,0.37700,-9.73000,0.57400,-9.25300,0.43500,-9.38800,0.56000,-9.37500,0.37600,-9.16500,0.27700,-9.55600,0.33800,-9.20200,0.39800,-9.19900,0.28300,-9.09200,0.54700,-9.12000,0.55400,-8.91600,0.32000,0,-9999.00000,-9999.00000,-9999.00000,28158534,3.33000,1.91000
24.07500,86.37500,Dhanbad,1,0.00030,490.00000,0.00040,4063.00000,0.00520,7946.00000,0.03490,32114.00000,-9.76300,0.52400,-9.30600,0.27000,-9.28700,0.52400,-9.73000,0.55500,-9.44300,0.43600,-9.34300,0.57900,-9.58300,0.48100,-9.45200,0.40100,-10.95100,0.29200,-11.10400,0.28600,-11.22100,0.27200,-11.16400,0.29900,-11.10700,0.26700,-11.25200,0.35800,-11.34300,0.26700,-11.07000,0.43500,-11.12100,0.28600,-11.19300,0.42700,-11.10000,0.38200,-9.50500,0.47200,-9.59100,0.41100,-9.64400,0.40400,-9.86400,0.61900,-9.42000,0.48000,-9.54400,0.54200,-9.47700,0.40700,-9.33000,0.28700,-9.68700,0.33600,-9.36500,0.40600,-9.41100,0.29300,-9.19800,0.54800,-9.30500,0.56200,-9.04700,0.33400,0,-9999.00000,-9999.00000,-9999.00000,28158534,3.34000,1.84000
24.07500,86.42500,Dhanbad,1,0.00000,0.00000,0.00010,29669.00000,0.00020,14540.00000,0.00400,33073.00000,-9.87500,0.54800,-9.46100,0.29700,-9.47600,0.56400,-9.85500,0.59500,-9.60900,0.50200,-9.43300,0.59800,-9.72900,0.47800,-9.61600,0.42900,-11.27400,0.32400,-11.44800,0.30800,-11.55100,0.30400,-11.46200,0.28800,-11.43300,0.29200,-11.55100,0.39800,-11.66600,0.27700,-11.38300,0.47100,-11.48200,0.30000,-11.51800,0.45000,-11.33700,0.38600,-9.70300,0.43800,-9.83500,0.41100,-9.81800,0.46300,-10.14300,0.65900,-9.71600,0.54900,-9.78700,0.59100,-9.82100,0.45400,-9.65600,0.34500,-9.96100,0.40100,-9.64800,0.42900,-9.73500,0.29900,-9.45500,0.56800,-9.68500,0.53100,-9.41600,0.32100,0,-9999.00000,-9999.00000,-9999.00000,28158534,3.45000,1.87000
24.07500,86.47500,Dhanbad,0,0.00000,0.00000,0.00000,0.00000,0.00010,2336.00000,0.00040,1739.00000,-9.88500,0.55400,-9.49300,0.30800,-9.51400,0.57100,-9.88100,0.59300,-9.63400,0.50400,-9.46100,0.61700,-9.75900,0.47900,-9.64500,0.43200,-11.51900,0.32300,-11.70400,0.31500,-11.78800,0.34000,-11.68400,0.27600,-11.70000,0.29400,-11.77100,0.43000,-11.90900,0.31000,-11.63000,0.46300,-11.71900,0.33200,-11.75800,0.48800,-11.54700,0.40900,-9.87300,0.41800,-9.99300,0.39900,-9.94200,0.48400,-10.35600,0.71100,-9.88900,0.57900,-9.99500,0.62000,-10.00600,0.45900,-9.86700,0.32900,-10.17100,0.37600,-9.80900,0.41600,-9.86000,0.27800,-9.64200,0.57700,-9.84200,0.52300,-9.57500,0.30300,0,-9999.00000,-9999.00000,-9999.00000,28158534,2.91000,1.73000
24.07500,86.52500,Dhanbad,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00020,0.00000,-9.96300,0.57800,-9.64700,0.35400,-9.68800,0.59700,-10.00400,0.58600,-9.75600,0.51000,-9.60100,0.68600,-9.89700,0.48100,-9.78600,0.44800,-11.71300,0.30500,-11.89700,0.32100,-11.98800,0.37600,-11.89500,0.24500,-11.91800,0.30100,-11.94500,0.46500,-12.12200,0.35000,-11.84900,0.43100,-11.89500,0.38000,-11.95300,0.52200,-11.72100,0.42000,-9.92200,0.43700,-10.04800,0.39200,-9.94800,0.46000,-10.35600,0.69300,-9.92300,0.60500,-10.01700,0.62400,-10.02700,0.42500,-9.90600,0.31200,-10.22300,0.34400,-9.83000,0.39200,-9.89500,0.25500,-9.71700,0.57600,-9.87300,0.49500,-9.61900,0.31500,0,-9999.00000,-9999.00000,-9999.00000,28158534,2.62000,1.61000
24.07500,86.57500,Dhanbad,0,0.00000,1792.00000,0.00000,2675.00000,0.00000,3353.00000,0.00000,5091.00000,-9.99300,0.58900,-9.73000,0.39200,-9.76600,0.60100,-9.97300,0.80000,-9.80100,0.50900,-9.68200,0.67000,-9.96000,0.48000,-9.84800,0.44700,-11.83200,0.27300,-12.03200,0.34400,-12.10800,0.39800,-12.03300,0.23800,-12.05900,0.32200,-12.06400,0.47900,-12.25900,0.38200,-12.01400,0.42000,-11.98800,0.41100,-12.08500,0.59400,-11.87400,0.42900,-9.94200,0.47300,-10.03700,0.38500,-9.89000,0.39700,-10.26100,0.63000,-9.89500,0.59500,-10.00800,0.60700,-9.97400,0.37900,-9.87800,0.30100,-10.20400,0.32700,-9.77700,0.37000,-9.85600,0.23500,-9.73100,0.58600,-9.85500,0.46700,-9.61500,0.32800,0,-9999.00000,-9999.00000,-9999.00000,28158534,3.46000,1.96000
24.07500,86.62500,Dhanbad,2,0.00000,22296.00000,0.00000,33288.00000,0.00000,41725.00000,0.00000,54162.00000,-10.03000,0.60000,-9.82600,0.43600,-9.85700,0.60500,-9.93900,1.04500,-9.85400,0.50800,-9.77500,0.65400,-10.03200,0.47800,-9.91900,0.44700,-11.89800,0.27300,-12.11300,0.35600,-12.16700,0.43000,-12.12400,0.25400,-12.11900,0.36000,-12.12900,0.46700,-12.32900,0.41100,-12.12400,0.42600,-12.02800,0.42800,-12.16800,0.64900,-11.97500,0.44600,-9.92800,0.49700,-10.00900,0.38600,-9.86600,0.37700,-10.18000,0.56700,-9.84900,0.54900,-9.97900,0.53500,-9.91400,0.34000,-9.82300,0.30500,-10.15100,0.30600,-9.71700,0.36500,-9.79200,0.21400,-9.71900,0.61400,-9.79300,0.45000,-9.57500,0.34000,0,-9999.00000,-9999.00000,-9999.00000,28158534,3.14000,1.96000
