latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
48.72500,34.77500,Dnipropetrovsk,1,0.03000,422.00000,0.05820,594.00000,0.06940,607.00000,0.11090,649.00000,-10.56100,0.35700,-10.93300,0.41000,-10.29000,0.46800,-10.38000,0.41600,-9.46100,0.25700,-10.66800,0.66100,-11.12000,0.72100,-9.94600,0.48900,-12.53400,0.70500,-11.43200,0.49700,-11.62700,0.61300,-11.52600,0.50300,-11.21300,0.86300,-10.93800,0.37100,-11.61800,0.68900,-11.76400,0.74300,-11.97100,0.56600,-11.90100,0.82500,-11.75800,0.78400,-10.33200,0.80400,-10.28200,0.87400,-10.03800,0.95700,-10.30500,0.78500,-10.00000,0.97100,-10.79100,0.81200,-9.97600,1.01800,-10.58800,1.05300,-10.09100,0.99500,-10.01100,0.74200,-10.23000,0.77500,-9.76700,0.95100,-10.29300,1.04600,-10.85900,0.71300,0,-9999,-9999,-9999,20454318,8.94000,3.46000
48.72500,34.82500,Dnipropetrovsk,1,0.00300,38.00000,0.00590,53.00000,0.00760,56.00000,0.01840,111.00000,-10.45200,0.35900,-10.82700,0.41300,-10.23000,0.47100,-10.30500,0.40400,-9.35500,0.23900,-10.58000,0.65500,-11.00100,0.70100,-9.87600,0.49500,-12.40700,0.74100,-11.36600,0.50600,-11.56100,0.63100,-11.45200,0.54000,-11.11200,0.86700,-10.84900,0.37200,-11.57600,0.72000,-11.69500,0.74400,-11.89800,0.55900,-11.85600,0.83500,-11.71100,0.76600,-10.34200,0.79800,-10.35000,0.88900,-10.09200,0.96400,-10.34300,0.80800,-10.04800,0.94900,-10.81700,0.83500,-9.96500,1.03500,-10.59100,1.06000,-10.13400,0.97600,-10.01600,0.76200,-10.26700,0.77400,-9.80100,0.96600,-10.32900,1.06400,-10.91500,0.71800,0,-9999,-9999,-9999,20454318,7.63000,3.29000
48.72500,34.87500,Dnipropetrovsk,0,0.00000,0.00000,0.00010,0.00000,0.00010,2.00000,0.00020,3.00000,-10.41700,0.35300,-10.79700,0.41100,-10.21500,0.46900,-10.28000,0.40100,-9.32300,0.23400,-10.55300,0.64900,-10.95800,0.69300,-9.85600,0.50500,-12.30800,0.77100,-11.32900,0.51300,-11.53500,0.64000,-11.41100,0.56500,-11.05700,0.86800,-10.78700,0.37500,-11.55700,0.74400,-11.65100,0.73000,-11.85200,0.53800,-11.82600,0.83100,-11.69500,0.74500,-10.36600,0.79900,-10.42100,0.90400,-10.17400,0.95600,-10.40400,0.82300,-10.12400,0.92300,-10.85300,0.85600,-9.98200,1.05800,-10.60300,1.06700,-10.20400,0.95600,-10.04000,0.78700,-10.33900,0.78000,-9.86500,0.97800,-10.39800,1.07400,-10.99300,0.72900,0,-9999,-9999,-9999,20454318,7.87000,3.34000
48.72500,34.92500,Dnipropetrovsk,0,0.00070,10.00000,0.00110,9.00000,0.00160,8.00000,0.00200,7.00000,-10.27600,0.33000,-10.67500,0.40300,-10.15400,0.46000,-10.18000,0.38800,-9.19000,0.21400,-10.44600,0.62500,-10.78400,0.65600,-9.77200,0.54500,-12.22800,0.77800,-11.32700,0.52300,-11.54500,0.64400,-11.39000,0.57800,-11.02700,0.86200,-10.75700,0.37700,-11.55500,0.75400,-11.62800,0.69400,-11.82100,0.51900,-11.79600,0.80500,-11.70000,0.72900,-10.37500,0.80600,-10.45300,0.91400,-10.26200,0.91800,-10.48200,0.83100,-10.18900,0.91600,-10.88700,0.87300,-10.03600,1.06500,-10.61600,1.05700,-10.28800,0.94700,-10.06200,0.79500,-10.41100,0.79400,-9.93400,0.96600,-10.49500,1.04800,-11.04600,0.75700,0,-9999,-9999,-9999,20454318,9.36000,3.50000
48.72500,34.97500,Dnipropetrovsk,0,0.01120,264.00000,0.01670,228.00000,0.01920,240.00000,0.02290,262.00000,-10.27600,0.33000,-10.67500,0.40300,-10.15400,0.46000,-10.18000,0.38800,-9.19000,0.21400,-10.44600,0.62500,-10.78400,0.65600,-9.77200,0.54500,-12.16400,0.75700,-11.35700,0.53600,-11.57500,0.64400,-11.41700,0.55200,-11.01700,0.85000,-10.75800,0.38000,-11.58800,0.76100,-11.61000,0.65900,-11.80000,0.47300,-11.77600,0.77600,-11.74400,0.71100,-10.37000,0.79800,-10.44500,0.93100,-10.32000,0.88300,-10.51800,0.83900,-10.22100,0.91800,-10.88900,0.88300,-10.08200,1.04500,-10.62700,1.06600,-10.34100,0.93700,-10.05700,0.81200,-10.45500,0.79700,-9.97100,0.95600,-10.62700,0.99500,-11.06300,0.79300,0,-9999,-9999,-9999,20454318,10.61000,3.73000
48.72500,35.02500,Dnipropetrovsk,1,0.01350,3007.00000,0.02030,2282.00000,0.02380,1970.00000,0.02970,1787.00000,-10.22500,0.31500,-10.65900,0.39700,-10.14000,0.45000,-10.15300,0.39900,-9.17100,0.21300,-10.43300,0.59600,-10.71700,0.63600,-9.76000,0.56800,-12.13600,0.73700,-11.40000,0.54100,-11.62300,0.63300,-11.46700,0.55000,-11.04100,0.85000,-10.78800,0.38500,-11.63000,0.75800,-11.62100,0.63600,-11.81900,0.43500,-11.77000,0.74700,-11.80900,0.68900,-10.31800,0.78200,-10.40400,0.95100,-10.34400,0.84500,-10.52200,0.84100,-10.22700,0.91900,-10.87500,0.88000,-10.09800,1.03100,-10.62300,1.06900,-10.37800,0.92700,-10.04400,0.82400,-10.47500,0.79900,-9.97300,0.95400,-10.67400,0.96600,-11.05000,0.81900,0,-9999,-9999,-9999,20454318,9.96000,3.60000
48.72500,35.07500,Dnipropetrovsk,1,0.00840,1285.00000,0.01820,1545.00000,0.02430,1711.00000,0.02960,1449.00000,-10.20000,0.30700,-10.65100,0.39300,-10.13400,0.44500,-10.14000,0.40400,-9.16200,0.21300,-10.42700,0.58200,-10.68400,0.62600,-9.75400,0.57900,-12.11700,0.70300,-11.46500,0.53700,-11.68200,0.62000,-11.53000,0.53000,-11.09400,0.83500,-10.83900,0.38700,-11.68100,0.74700,-11.64100,0.61500,-11.84600,0.39800,-11.77800,0.71100,-11.88300,0.66700,-10.20200,0.73700,-10.31400,0.95800,-10.35500,0.81400,-10.50000,0.83200,-10.21300,0.91800,-10.79600,0.83500,-10.10000,1.00100,-10.57600,1.06400,-10.39200,0.90300,-10.03200,0.82400,-10.47100,0.79500,-9.96900,0.93900,-10.68400,0.94500,-11.00700,0.83500,0,-9999,-9999,-9999,20454318,9.96000,3.58000
48.72500,35.12500,Dnipropetrovsk,1,0.00390,61.00000,0.01020,139.00000,0.01290,161.00000,0.01530,143.00000,-10.21500,0.30800,-10.67800,0.40000,-10.14800,0.44200,-10.15700,0.41800,-9.19700,0.21800,-10.46300,0.57100,-10.70400,0.61700,-9.78700,0.58800,-12.10900,0.66600,-11.54900,0.52400,-11.74500,0.61000,-11.60100,0.49400,-11.16700,0.81400,-10.91600,0.38500,-11.74200,0.73200,-11.67300,0.59600,-11.88200,0.36700,-11.80000,0.67000,-11.96000,0.65000,-10.06900,0.68300,-10.18200,0.91300,-10.35800,0.78400,-10.45300,0.80900,-10.18000,0.90600,-10.68100,0.77300,-10.08700,0.95200,-10.47300,1.03200,-10.39000,0.86200,-10.02200,0.80800,-10.44700,0.77700,-9.96500,0.91300,-10.65900,0.90200,-10.89400,0.86600,0,-9999,-9999,-9999,20454318,9.81000,3.49000
48.72500,35.17500,Dnipropetrovsk,1,0.00180,108.00000,0.00590,181.00000,0.00720,250.00000,0.00900,236.00000,-10.25200,0.31000,-10.74300,0.41500,-10.18300,0.43500,-10.19800,0.45000,-9.28200,0.23000,-10.54700,0.54600,-10.75100,0.59600,-9.86600,0.60700,-12.12400,0.63300,-11.64500,0.50400,-11.80200,0.60300,-11.67900,0.46100,-11.24800,0.79600,-11.02200,0.38100,-11.81400,0.71500,-11.73500,0.57500,-11.93900,0.34100,-11.83700,0.62900,-12.03600,0.63900,-9.98900,0.65100,-10.04200,0.80400,-10.35500,0.73900,-10.38500,0.76900,-10.13700,0.87600,-10.57800,0.71700,-10.05500,0.88500,-10.32100,0.96600,-10.38100,0.80900,-10.01400,0.76800,-10.41000,0.74000,-9.96000,0.88200,-10.60100,0.81900,-10.71100,0.91900,0,-9999,-9999,-9999,20454318,10.52000,3.64000
48.72500,35.22500,Dnipropetrovsk,1,0.01050,419.00000,0.01810,493.00000,0.02130,514.00000,0.02260,522.00000,-10.25600,0.31100,-10.74700,0.41600,-10.18500,0.43600,-10.20200,0.45100,-9.28300,0.23100,-10.55000,0.54800,-10.75700,0.59700,-9.86800,0.60700,-12.17500,0.58900,-11.78800,0.49000,-11.85400,0.58800,-11.77500,0.43200,-11.36900,0.76200,-11.15600,0.36800,-11.90700,0.69800,-11.83200,0.55000,-12.01500,0.31600,-11.92000,0.59900,-12.13000,0.61800,-9.97300,0.61600,-10.01500,0.76100,-10.34500,0.66600,-10.27500,0.68600,-10.12500,0.82100,-10.47800,0.64300,-10.03600,0.80300,-10.21200,0.93300,-10.35900,0.75800,-10.01300,0.67400,-10.36100,0.68000,-9.95800,0.84800,-10.52200,0.73800,-10.58400,0.87500,0,-9999,-9999,-9999,20454318,10.40000,3.64000
