latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
25.52500,51.27500,Doha,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00010,0.00000,-11.68700,0.12100,-11.60800,0.13600,-11.73000,0.09100,-12.26300,0.37400,-11.91500,0.18200,-11.81100,0.17600,-11.99600,0.16300,-12.79000,1.50900,-12.69300,0.25700,-12.59400,0.19800,-12.69900,0.26900,-12.56800,0.20500,-12.92600,0.18800,-12.68700,0.22900,-12.82400,0.23300,-13.00300,0.26400,-12.92100,0.19300,-12.89700,0.21600,-12.99900,0.28300,-12.31500,0.15100,-12.30800,0.20300,-12.26400,0.20500,-12.30700,0.15500,-12.31200,0.22100,-12.16200,0.17100,-12.28600,0.18400,-12.22900,0.19400,-12.30900,0.19100,-12.20700,0.18600,-12.03700,0.16600,-11.96000,0.24700,-11.83200,0.22500,-11.88200,0.14400,0,-9999,-9999,-9999,27838346,-9999,-9999.00000
25.52500,51.32500,Doha,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00020,23.00000,-11.93200,0.11100,-11.76600,0.12800,-11.91700,0.06400,-12.49600,0.51900,-12.12400,0.22300,-11.95100,0.17300,-12.15500,0.13500,-13.42500,2.11900,-12.84700,0.27200,-12.73800,0.20100,-12.78600,0.24900,-12.66500,0.21900,-12.94400,0.18300,-12.74700,0.23600,-12.86300,0.23500,-13.00400,0.27000,-12.89400,0.21200,-12.80900,0.21600,-12.85800,0.28300,-12.42300,0.14900,-12.36500,0.18700,-12.27900,0.21100,-12.36400,0.16000,-12.28600,0.21500,-12.18500,0.18200,-12.28500,0.18600,-12.21000,0.17400,-12.26000,0.17600,-12.13700,0.21100,-11.96500,0.20700,-11.82800,0.37000,-11.70800,0.25100,-11.78200,0.20000,0,-9999,-9999,-9999,27838346,-9999,-9999.00000
25.52500,51.37500,Doha,0,0.00010,0.00000,0.00030,0.00000,0.00040,2.00000,0.00120,189.00000,-12.39000,0.14500,-12.14000,0.16100,-12.31400,0.07600,-12.93900,0.65300,-12.54700,0.30300,-12.31800,0.19300,-12.50700,0.19400,-14.02500,2.51300,-13.20800,0.28300,-13.11500,0.22500,-13.09200,0.23500,-12.96700,0.24200,-13.20200,0.19300,-13.03900,0.23900,-13.11000,0.24800,-13.20500,0.29000,-13.03700,0.25700,-12.89100,0.24600,-12.86900,0.25800,-12.51100,0.16900,-12.42900,0.19600,-12.30200,0.22000,-12.44400,0.19800,-12.34500,0.22400,-12.24400,0.21300,-12.31300,0.19300,-12.25600,0.17600,-12.26400,0.18200,-12.13400,0.24000,-11.95400,0.23600,-11.77000,0.52800,-11.64200,0.30800,-11.71800,0.24100,0,-9999,-9999,-9999,27838346,-9999,0.00000
25.52500,51.42500,Doha,0,0.00020,0.00000,0.00070,0.00000,0.00080,19.00000,0.00140,282.00000,-12.89900,0.18400,-12.56600,0.19700,-12.76400,0.09400,-13.44600,0.82600,-13.01000,0.35800,-12.72700,0.21500,-12.91900,0.25500,-14.63100,2.79700,-13.90100,0.28200,-13.82400,0.25600,-13.76100,0.23300,-13.63600,0.26600,-13.78800,0.22400,-13.67200,0.25300,-13.69900,0.25900,-13.73800,0.30600,-13.51200,0.31700,-13.32400,0.27700,-13.18800,0.23700,-13.00900,0.29300,-12.87200,0.28500,-12.70500,0.31100,-12.92600,0.31400,-12.84300,0.32800,-12.72700,0.28700,-12.66500,0.27700,-12.52900,0.24600,-12.54500,0.25900,-12.42600,0.26500,-12.22000,0.28600,-12.01100,0.70200,-11.81100,0.39700,-11.83200,0.30600,0,-9999,-9999,-9999,27838346,-9999,0.00000
25.52500,51.47500,Doha,0,0.00000,0.00000,0.00010,0.00000,0.00010,0.00000,0.00030,8.00000,-13.14800,0.20900,-12.79700,0.22400,-12.99200,0.11700,-13.68600,0.89700,-13.27400,0.46000,-12.93900,0.24600,-13.12000,0.26900,-14.95200,3.02800,-15.08400,0.27000,-15.02300,0.30600,-14.96400,0.26100,-14.78500,0.33500,-14.88200,0.29700,-14.75300,0.27100,-14.81200,0.32000,-14.78200,0.37500,-14.53100,0.40400,-14.22500,0.31900,-13.99400,0.24500,-14.59300,0.48900,-14.35800,0.44400,-14.05700,0.44000,-14.31500,0.39800,-14.43600,0.45100,-14.35000,0.39300,-14.03900,0.38500,-13.83600,0.32700,-13.90200,0.45600,-13.95800,0.37900,-13.77300,0.35500,-13.40600,0.73300,-13.24100,0.50600,-13.12800,0.40300,29,-9999,-9999,-9999,27838346,-9999,0.00000
25.52500,51.52500,Doha,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-16.88500,0.38600,-16.99700,0.50100,-16.85100,0.46000,-16.65500,0.56000,-16.73400,0.41700,-16.55600,0.42700,-16.61700,0.45700,-16.55500,0.57800,-16.34300,0.54900,-15.87700,0.45700,-15.54200,0.34700,-17.02900,0.74500,-16.66500,0.68600,-16.38600,0.67200,-16.46000,0.48800,-16.89400,0.57400,-16.72100,0.61600,-16.29200,0.67000,-16.04400,0.49300,-16.13300,0.71300,-15.97400,0.67000,-15.60300,0.59900,-15.63600,0.84000,-15.60400,0.67500,-15.54100,0.62500,100,-9999,-9999,-9999,27838346,-9999,-9999.00000
25.52500,51.57500,Doha,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-17.52200,0.44200,-17.71500,0.57600,-17.52000,0.54300,-17.33500,0.63800,-17.41300,0.47200,-17.24200,0.51800,-17.28400,0.51400,-17.24500,0.64900,-17.05200,0.60600,-16.56100,0.52500,-16.19400,0.39600,-17.77500,0.81200,-17.35100,0.78200,-17.13800,0.75900,-17.11900,0.55300,-17.64100,0.63000,-17.43000,0.68500,-16.95500,0.78900,-16.66600,0.56000,-16.78500,0.79500,-16.48200,0.73800,-16.06600,0.67600,-16.25100,0.94100,-16.24000,0.74400,-16.22600,0.70200,100,-9999,-9999,-9999,27838346,-9999,-9999.00000
25.52500,51.62500,Doha,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,27838346,-9999,-9999.00000
25.52500,51.67500,Doha,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,27838346,-9999,-9999.00000
25.52500,51.72500,Doha,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,27838346,-9999,-9999.00000
