latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
23.27500,113.47500,Dongguan,1,0.00120,1829.00000,0.00360,5700.00000,0.00770,8588.00000,0.02280,24024.00000,-8.22600,0.18400,-7.79800,0.26900,-7.50500,0.41100,-8.15200,1.21100,-7.21600,0.46700,-7.32100,0.36800,-6.70500,0.25500,-7.03600,0.22700,-8.98300,0.48500,-9.25300,0.46600,-8.77700,0.55800,-8.46400,0.63400,-8.67000,0.51200,-8.43400,0.56800,-8.25800,0.54300,-8.01900,0.43100,-7.89900,0.55000,-7.66300,0.49200,-7.54000,0.43600,-7.31300,0.40400,-7.14000,0.45300,-7.22200,0.32400,-6.86800,0.50000,-7.10100,0.52700,-6.88300,0.55500,-6.58800,0.43500,-6.62000,0.49800,-6.47300,0.56000,-6.20800,0.67000,-5.99400,0.59400,-5.82700,0.93600,-5.74900,0.53700,-5.60400,0.59900,0,0.01730,4.06220,3.01140,28327550,48.69000,8.68000
23.27500,113.52500,Dongguan,1,0.00300,2815.00000,0.00850,4730.00000,0.01460,6114.00000,0.02430,11198.00000,-8.27100,0.19600,-7.88300,0.27500,-7.60200,0.40000,-8.25900,1.15800,-7.33200,0.45900,-7.44400,0.36300,-6.85700,0.25000,-7.17500,0.24400,-9.37300,0.41200,-9.60500,0.40400,-9.15700,0.48800,-8.92800,0.51400,-9.07100,0.51900,-8.81800,0.51800,-8.62100,0.52200,-8.43500,0.38700,-8.28400,0.55800,-8.06800,0.46700,-7.97500,0.43300,-7.47100,0.38400,-7.29800,0.45100,-7.43500,0.30300,-7.10600,0.47300,-7.32100,0.52100,-7.13100,0.50800,-6.81500,0.41400,-6.90600,0.48400,-6.71700,0.52000,-6.48200,0.63500,-6.31700,0.58200,-6.12400,0.85900,-5.99100,0.40500,-5.86300,0.55800,0,0.02060,5.65470,3.44300,28327550,46.78000,9.24000
23.27500,113.57500,Dongguan,2,0.00780,9177.00000,0.03540,24575.00000,0.05640,36382.00000,0.07580,47352.00000,-8.32400,0.20800,-7.98700,0.28000,-7.72000,0.38700,-8.38800,1.09100,-7.47300,0.44800,-7.59500,0.35500,-7.04600,0.24400,-7.34900,0.26400,-9.70100,0.38800,-9.91100,0.36500,-9.52000,0.42300,-9.35100,0.42800,-9.43000,0.52800,-9.15800,0.47400,-8.95700,0.48900,-8.79000,0.38600,-8.62500,0.58700,-8.43500,0.44800,-8.39300,0.45800,-7.53300,0.38800,-7.30700,0.46700,-7.47700,0.32500,-7.17800,0.50400,-7.36800,0.52400,-7.24700,0.48100,-6.88100,0.45100,-7.02900,0.45800,-6.80500,0.46500,-6.56200,0.62400,-6.42800,0.58300,-6.15000,0.82600,-6.04200,0.47200,-5.96500,0.61400,0,0.06200,9.06730,7.92020,28327550,22.16000,6.60000
23.27500,113.62500,Dongguan,2,0.00630,17330.00000,0.03200,32377.00000,0.05490,46656.00000,0.08380,61585.00000,-8.40400,0.21900,-8.12600,0.26800,-7.86700,0.36100,-8.52600,1.01100,-7.62600,0.43500,-7.76600,0.34700,-7.24900,0.24000,-7.56900,0.29100,-9.87200,0.36400,-10.05900,0.37300,-9.70800,0.40800,-9.54600,0.43500,-9.60000,0.53500,-9.30900,0.47900,-9.14000,0.48000,-8.96800,0.41500,-8.79800,0.62700,-8.61100,0.44300,-8.61900,0.46800,-7.52500,0.42000,-7.24100,0.49000,-7.40300,0.34600,-7.09300,0.56500,-7.28100,0.52000,-7.22600,0.47600,-6.83200,0.50200,-7.00900,0.44900,-6.73100,0.46500,-6.52900,0.59800,-6.39000,0.59100,-6.06200,0.79700,-6.00700,0.56200,-5.98400,0.62800,0,0.06890,8.93680,8.70700,28327550,23.57000,7.09000
23.27500,113.67500,Dongguan,1,0.01070,8014.00000,0.03060,12968.00000,0.03850,14055.00000,0.05020,16584.00000,-8.44400,0.22200,-8.20300,0.25900,-7.94900,0.34600,-8.59900,0.95900,-7.71400,0.42700,-7.86300,0.34100,-7.36900,0.23500,-7.69900,0.30400,-9.94500,0.34600,-10.09600,0.41000,-9.78200,0.45900,-9.59000,0.47400,-9.66800,0.53900,-9.36700,0.49500,-9.20100,0.50900,-9.04500,0.45400,-8.88200,0.66100,-8.67500,0.45100,-8.76000,0.46100,-7.49500,0.46900,-7.20300,0.50800,-7.31000,0.35800,-7.00000,0.63400,-7.23300,0.55900,-7.20200,0.46300,-6.76100,0.54300,-6.97200,0.49500,-6.64000,0.48800,-6.55200,0.55400,-6.33800,0.58200,-6.04600,0.75800,-5.94600,0.56400,-6.04800,0.60300,0,0.04110,6.16760,4.75670,28327550,18.29000,6.43000
23.27500,113.72500,Dongguan,1,0.01240,4955.00000,0.03300,8723.00000,0.04520,11822.00000,0.06160,14828.00000,-8.52400,0.23000,-8.34500,0.22000,-8.11500,0.30500,-8.68600,0.81400,-7.87000,0.40900,-8.03900,0.33800,-7.57700,0.22000,-7.93200,0.31300,-9.94600,0.36100,-10.08800,0.47800,-9.78400,0.52400,-9.55200,0.54600,-9.65800,0.52100,-9.36300,0.50400,-9.22000,0.54900,-9.05900,0.50000,-8.90100,0.68100,-8.67500,0.46200,-8.82800,0.47700,-7.50000,0.46900,-7.19700,0.55700,-7.27900,0.37900,-6.96500,0.63900,-7.24500,0.58400,-7.16700,0.47500,-6.68600,0.54300,-6.92800,0.53400,-6.60100,0.51400,-6.54800,0.54000,-6.27800,0.55100,-6.10400,0.71800,-5.91300,0.52700,-6.03500,0.57100,0,0.04180,7.15660,5.20990,28327550,19.98000,6.79000
23.27500,113.77500,Dongguan,2,0.00570,3742.00000,0.03470,16331.00000,0.05760,27004.00000,0.07770,43750.00000,-8.54800,0.23000,-8.39400,0.20400,-8.17600,0.29100,-8.70500,0.73300,-7.93200,0.39600,-8.10500,0.33800,-7.66500,0.20800,-8.02800,0.31000,-9.95200,0.38900,-10.06000,0.53300,-9.77700,0.56500,-9.53600,0.55900,-9.63800,0.52500,-9.37300,0.48400,-9.24200,0.55700,-9.09900,0.51900,-8.92900,0.66700,-8.69400,0.47100,-8.87100,0.45900,-7.52500,0.46300,-7.20000,0.56800,-7.28800,0.40000,-6.98000,0.62400,-7.20600,0.63000,-7.11200,0.49500,-6.63900,0.51700,-6.90700,0.54500,-6.58700,0.48500,-6.51200,0.60200,-6.21600,0.52100,-6.15000,0.71600,-5.90200,0.50800,-5.98000,0.60400,0,0.06980,8.72150,8.84130,28327550,23.27000,7.31000
23.27500,113.82500,Dongguan,3,0.03310,53491.00000,0.08670,88586.00000,0.11810,105645.00000,0.15670,139917.00000,-8.59100,0.23100,-8.47600,0.16600,-8.28900,0.26800,-8.71100,0.54500,-8.04100,0.36300,-8.21900,0.34600,-7.81700,0.18600,-8.18600,0.29300,-9.98300,0.41600,-10.06500,0.55600,-9.77900,0.55900,-9.57200,0.53700,-9.63600,0.53300,-9.41700,0.48500,-9.30300,0.52800,-9.18400,0.53200,-9.00800,0.61100,-8.76900,0.46300,-8.94600,0.43900,-7.54000,0.47800,-7.28200,0.54300,-7.35300,0.39900,-7.04700,0.60900,-7.23700,0.64400,-7.12800,0.46300,-6.67300,0.50500,-6.95900,0.54600,-6.63700,0.45800,-6.57900,0.60300,-6.30200,0.50300,-6.28700,0.73700,-5.99400,0.49300,-6.07400,0.59400,0,0.13580,13.61850,22.78240,28327550,15.37000,5.41000
23.27500,113.87500,Dongguan,1,0.01040,531.00000,0.02370,2173.00000,0.03240,2480.00000,0.05060,4842.00000,-8.60200,0.22300,-8.49800,0.15000,-8.33900,0.26000,-8.70700,0.46100,-8.08900,0.33800,-8.26400,0.34100,-7.89500,0.18800,-8.26600,0.27900,-10.04700,0.43900,-10.11400,0.55700,-9.79400,0.52100,-9.63700,0.50400,-9.67500,0.51400,-9.51400,0.47600,-9.38300,0.49000,-9.30100,0.51300,-9.12900,0.55400,-8.90800,0.42100,-9.03800,0.42900,-7.62700,0.43600,-7.44000,0.46700,-7.47900,0.37500,-7.20600,0.55800,-7.37300,0.59100,-7.27800,0.38900,-6.87200,0.46600,-7.12900,0.51600,-6.85600,0.40500,-6.82000,0.58000,-6.61800,0.43600,-6.69200,0.69600,-6.34100,0.43600,-6.48700,0.53600,0,0.01470,4.61460,2.13010,28327550,31.85000,8.06000
23.27500,113.92500,Dongguan,0,0.00090,416.00000,0.00160,381.00000,0.00190,306.00000,0.00650,959.00000,-8.61600,0.21300,-8.52300,0.12600,-8.40700,0.24900,-8.69800,0.35000,-8.15200,0.30300,-8.31800,0.33400,-7.99500,0.19500,-8.36700,0.25700,-10.12100,0.45900,-10.17500,0.53100,-9.85100,0.46700,-9.76600,0.43700,-9.74900,0.45200,-9.63900,0.49300,-9.50200,0.43600,-9.43700,0.49300,-9.28500,0.48800,-9.10900,0.36600,-9.19100,0.40700,-7.77200,0.33600,-7.61000,0.38200,-7.63900,0.35100,-7.43600,0.44700,-7.62100,0.46600,-7.51900,0.35200,-7.21900,0.35200,-7.39600,0.44700,-7.24100,0.32800,-7.21900,0.48400,-7.07600,0.37000,-7.12700,0.59700,-6.88100,0.36200,-7.05000,0.40900,0,0.00590,2.55150,0.63220,28327550,50.74000,8.57000
