latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
53.57500,-6.47500,Dublin,1,0.00050,316.00000,0.00420,580.00000,0.00730,754.00000,0.01310,838.00000,-11.43700,0.64100,-11.69400,0.73100,-11.61300,0.43300,-11.42300,0.46900,-11.45900,1.18400,-10.65300,0.45400,-10.70900,0.40400,-10.86500,0.43600,-11.78500,0.32300,-11.89200,0.36500,-11.87300,0.26500,-11.81100,0.29100,-11.76800,0.30900,-11.66000,0.36700,-11.58600,0.26700,-11.56200,0.26900,-11.33200,0.31200,-11.30400,0.39500,-11.32000,0.31200,-10.34400,0.37900,-10.26500,0.50200,-10.27400,0.28700,-10.36900,0.42700,-10.62700,0.42100,-10.02000,0.27400,-10.68900,0.29300,-10.68300,0.36700,-10.72500,0.29100,-10.35500,0.32100,-10.34800,0.33000,-10.69000,0.49800,-10.16800,0.38400,-10.16400,0.40400,0,0.00240,2.55320,0.13530,18431316,20.79000,8.16000
53.57500,-6.42500,Dublin,1,0.00220,435.00000,0.00920,595.00000,0.01410,793.00000,0.02130,828.00000,-11.41700,0.66800,-11.68600,0.74500,-11.57700,0.43000,-11.39200,0.47200,-11.42400,1.17100,-10.61800,0.46600,-10.66600,0.40500,-10.81900,0.43900,-11.70900,0.32900,-11.80600,0.37600,-11.78300,0.26300,-11.72000,0.30000,-11.67200,0.30400,-11.55000,0.37000,-11.46600,0.27700,-11.43400,0.27500,-11.20300,0.30900,-11.16900,0.39600,-11.18200,0.32000,-10.30600,0.38500,-10.21700,0.51800,-10.25200,0.29400,-10.33200,0.43100,-10.57200,0.41600,-9.99300,0.28300,-10.63600,0.29900,-10.62000,0.38000,-10.65700,0.30700,-10.30700,0.32300,-10.29900,0.33300,-10.63500,0.53400,-10.12400,0.38800,-10.08500,0.43500,0,0.00290,3.57800,0.16200,18431316,20.19000,8.10000
53.57500,-6.37500,Dublin,1,0.00160,361.00000,0.00460,586.00000,0.00560,826.00000,0.00950,1070.00000,-11.97200,0.85100,-12.38300,0.80300,-12.10300,0.51900,-11.90700,0.81000,-12.16300,1.15300,-11.27300,0.55300,-11.51500,0.64600,-11.36200,0.48600,-11.93900,0.35300,-12.00200,0.39000,-11.96700,0.26500,-11.90600,0.33100,-11.86200,0.32200,-11.76000,0.36400,-11.63800,0.29800,-11.59600,0.31100,-11.34500,0.31000,-11.29600,0.40100,-11.31300,0.31600,-10.38200,0.37800,-10.29500,0.49000,-10.33100,0.29000,-10.42800,0.42100,-10.66100,0.41600,-10.10100,0.26100,-10.75800,0.28600,-10.73600,0.36900,-10.75300,0.32100,-10.41100,0.33600,-10.41200,0.31000,-10.71300,0.49700,-10.20400,0.38000,-10.22300,0.38600,0,0.00300,3.25790,0.16820,18431316,20.52000,7.97000
53.57500,-6.32500,Dublin,1,0.00370,77.00000,0.00650,249.00000,0.00730,390.00000,0.01150,575.00000,-11.97400,0.90100,-12.38900,0.82200,-12.07800,0.52200,-11.87300,0.81600,-12.13200,1.13100,-11.25200,0.54800,-11.47900,0.65100,-11.32300,0.49100,-12.41400,0.44700,-12.44400,0.41100,-12.39300,0.29000,-12.34400,0.35500,-12.30400,0.32300,-12.19200,0.39300,-12.07700,0.33500,-11.98600,0.35500,-11.71300,0.35400,-11.65400,0.38300,-11.67400,0.34400,-10.45300,0.41300,-10.37000,0.47800,-10.41900,0.30500,-10.48400,0.43200,-10.73100,0.41900,-10.23700,0.28700,-10.85100,0.27500,-10.78600,0.37700,-10.78200,0.33500,-10.49000,0.35200,-10.46100,0.31400,-10.76500,0.48800,-10.26500,0.37700,-10.24500,0.40300,0,0.00300,4.87310,0.17740,18431316,19.18000,7.86000
53.57500,-6.27500,Dublin,1,0.00240,236.00000,0.00530,408.00000,0.00680,631.00000,0.01120,1288.00000,-11.97700,0.97100,-12.39800,0.84800,-12.04200,0.52700,-11.82400,0.82500,-12.08700,1.10000,-11.22200,0.54000,-11.42900,0.65800,-11.26900,0.49900,-12.34500,0.46100,-12.35800,0.41000,-12.31300,0.29900,-12.25800,0.35500,-12.21200,0.31400,-12.09200,0.39700,-11.97200,0.33500,-11.86600,0.36100,-11.59100,0.35300,-11.52900,0.38400,-11.54500,0.34800,-10.41600,0.41300,-10.34100,0.48000,-10.41100,0.30400,-10.45500,0.42700,-10.69800,0.41800,-10.22700,0.28700,-10.82700,0.28100,-10.75800,0.38800,-10.74200,0.35000,-10.46200,0.35900,-10.44300,0.31900,-10.73200,0.50300,-10.23900,0.37600,-10.21400,0.41100,0,0.00470,5.29720,0.25980,18431316,17.98000,7.89000
53.57500,-6.22500,Dublin,1,0.00220,382.00000,0.01250,476.00000,0.02300,696.00000,0.03270,1077.00000,-13.05400,1.11300,-13.55700,1.04300,-12.99300,0.73800,-12.62600,0.90300,-13.32700,1.11700,-12.41000,0.66500,-12.63000,0.86300,-12.28600,0.70200,-13.35600,0.53300,-13.45900,0.45800,-13.45700,0.37300,-13.40700,0.38700,-13.37500,0.33700,-13.19300,0.45500,-13.12000,0.41200,-12.96100,0.42700,-12.73800,0.36300,-12.64500,0.43400,-12.63000,0.39800,-10.61000,0.41100,-10.55000,0.47700,-10.57800,0.31000,-10.62300,0.43800,-10.85500,0.43000,-10.43300,0.31900,-11.01500,0.27800,-10.90000,0.39700,-10.90000,0.36200,-10.60800,0.36100,-10.57800,0.35100,-10.88900,0.52100,-10.38000,0.41100,-10.35300,0.46900,0,0.00580,5.94800,0.36820,18431316,18.90000,8.18000
53.57500,-6.17500,Dublin,1,0.02040,432.00000,0.03130,970.00000,0.03880,1817.00000,0.05380,5927.00000,-13.08900,1.18700,-13.59200,1.08200,-12.97100,0.74300,-12.59000,0.89900,-13.30300,1.07900,-12.41100,0.66600,-12.58900,0.86100,-12.25600,0.72000,-14.72300,0.63800,-14.92400,0.54400,-14.98500,0.50800,-14.98700,0.40300,-14.91700,0.36100,-14.59100,0.56600,-14.60900,0.58000,-14.49400,0.63600,-14.21700,0.52900,-14.11600,0.51600,-14.04000,0.53800,-11.06500,0.43400,-11.08200,0.54600,-11.05600,0.42100,-11.04400,0.46100,-11.28700,0.51700,-10.97800,0.44200,-11.40500,0.37500,-11.22700,0.46300,-11.25000,0.42100,-10.93600,0.39100,-10.97700,0.42400,-11.39600,0.69900,-10.70300,0.54400,-10.70900,0.53700,0,0.00770,5.13310,0.47970,18431316,18.06000,7.68000
53.57500,-6.12500,Dublin,1,0.09380,8387.00000,0.14110,9604.00000,0.15890,9811.00000,0.16720,10099.00000,-13.11400,1.24100,-13.61700,1.11000,-12.95500,0.74700,-12.56400,0.89600,-13.28600,1.05200,-12.41100,0.66600,-12.56000,0.85900,-12.23500,0.73200,-14.78500,0.63900,-14.98200,0.55500,-15.05600,0.52300,-15.06400,0.40200,-14.97700,0.36200,-14.63700,0.58500,-14.65700,0.59300,-14.54700,0.66000,-14.25100,0.54300,-14.14500,0.51400,-14.07300,0.53800,-11.00100,0.42300,-11.03600,0.54700,-11.00100,0.42000,-10.98100,0.46400,-11.24400,0.51700,-10.94200,0.45100,-11.35900,0.37400,-11.17500,0.46400,-11.19800,0.41900,-10.88100,0.38400,-10.93700,0.42800,-11.33300,0.68700,-10.64800,0.54100,-10.67300,0.53100,15,0.01010,4.07090,0.62700,18431316,13.74000,7.19000
53.57500,-6.07500,Dublin,0,0.05230,344.00000,0.06250,327.00000,0.06620,285.00000,0.06860,240.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-16.73400,0.93100,-17.17500,0.80800,-17.23800,0.85900,-17.42500,0.64800,-17.31500,0.58600,-16.74300,0.89100,-16.86800,0.95300,-16.85300,0.98800,-16.52800,0.79900,-16.38300,0.71200,-16.21400,0.82800,-14.05500,0.79500,-13.96900,0.73000,-13.92300,0.69500,-13.81200,0.68900,-14.12900,1.09300,-13.94300,0.93800,-14.44200,0.73700,-14.20400,0.73700,-14.28300,0.81600,-13.95200,0.73300,-14.03700,0.77200,-14.24400,1.09100,-13.68300,0.82600,-13.49200,0.74500,96,0.00100,0.46370,0.05790,18431316,7.33000,7.21000
53.57500,-6.02500,Dublin,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-16.81200,0.95700,-17.25900,0.82200,-17.31900,0.90100,-17.53100,0.68500,-17.42300,0.62600,-16.80900,0.93800,-16.94300,0.96700,-16.92000,1.03700,-16.57400,0.82000,-16.42700,0.72900,-16.26100,0.84700,-13.99800,0.80800,-13.93300,0.76500,-13.92700,0.67700,-13.81500,0.70500,-14.13700,1.06200,-13.93900,0.92400,-14.43400,0.71900,-14.18600,0.73000,-14.28300,0.79300,-13.96300,0.72000,-14.00800,0.71300,-14.19700,1.05200,-13.68500,0.82900,-13.49300,0.78900,100,0.00000,0.00000,0.00000,18431316,5.53000,8.21000
