latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
51.67500,6.52500,Duisburg,1,0.00960,968.00000,0.02440,1954.00000,0.04580,3029.00000,0.08210,4228.00000,-9.50600,0.65800,-9.01400,0.53500,-9.40600,0.33500,-9.30300,0.19800,-9.22500,0.67200,-8.59500,0.38100,-8.86300,0.27000,-8.67900,0.27300,-10.77500,0.28100,-10.63900,0.26200,-10.61100,0.34900,-10.55100,0.19700,-10.87100,0.24800,-10.39600,0.23600,-10.58700,0.22700,-10.66600,0.30700,-10.34300,0.23800,-10.53900,0.19800,-10.54900,0.25800,-8.97100,0.26100,-9.16800,0.26200,-9.25900,0.35400,-8.97800,0.29400,-8.94500,0.24200,-9.00200,0.28500,-9.01300,0.38000,-8.76700,0.31400,-8.88000,0.33400,-8.97100,0.29200,-8.81200,0.27700,-9.31900,0.44900,-9.06800,0.47300,-9.24100,0.40500,0,0.00760,4.26590,0.39720,19241016,16.44000,6.55000
51.67500,6.57500,Duisburg,1,0.10810,7160.00000,0.13160,7111.00000,0.15540,7802.00000,0.18380,7706.00000,-9.39100,0.68400,-8.91100,0.48200,-9.20500,0.30000,-9.11800,0.23100,-8.97000,0.72100,-8.41900,0.35100,-8.68600,0.27500,-8.53100,0.28600,-10.64100,0.29400,-10.50100,0.23900,-10.48100,0.34100,-10.43200,0.19800,-10.71900,0.25800,-10.25400,0.22200,-10.45900,0.22800,-10.51000,0.30400,-10.21500,0.24000,-10.38500,0.20700,-10.41900,0.26900,-8.84200,0.24700,-9.02300,0.26600,-9.11400,0.34800,-8.87100,0.28300,-8.82300,0.25000,-8.89300,0.29700,-8.88700,0.35400,-8.60800,0.29600,-8.71900,0.32300,-8.84700,0.31700,-8.66500,0.28400,-9.16900,0.44800,-8.92500,0.45700,-9.15600,0.37700,0,0.01590,5.10800,0.96180,19241016,27.06000,7.23000
51.67500,6.62500,Duisburg,2,0.32140,37473.00000,0.37280,33241.00000,0.40100,30683.00000,0.43540,25096.00000,-9.35800,0.69200,-8.88300,0.46600,-9.14700,0.29000,-9.06600,0.24100,-8.89800,0.73700,-8.37000,0.34200,-8.63700,0.27600,-8.48900,0.29000,-10.54500,0.29600,-10.40700,0.23200,-10.38500,0.33900,-10.34200,0.19800,-10.61100,0.26100,-10.15200,0.21800,-10.36700,0.22800,-10.40400,0.29900,-10.12200,0.24000,-10.27100,0.21000,-10.31600,0.27500,-8.73700,0.23900,-8.90600,0.26600,-8.99200,0.35000,-8.77700,0.27900,-8.71100,0.26400,-8.80100,0.30700,-8.77900,0.34400,-8.47800,0.29400,-8.59100,0.31800,-8.74400,0.32400,-8.54200,0.29100,-9.03900,0.45300,-8.79700,0.45200,-9.04000,0.37800,0,0.07070,6.93330,6.26180,19241016,16.73000,5.88000
51.67500,6.67500,Duisburg,1,0.09840,7677.00000,0.13350,9246.00000,0.15730,9560.00000,0.18910,8851.00000,-9.33900,0.69400,-8.86200,0.46700,-9.12100,0.28900,-9.03900,0.24000,-8.87000,0.73100,-8.34500,0.34200,-8.61200,0.27600,-8.46600,0.29000,-10.33300,0.26700,-10.19800,0.23200,-10.18900,0.33400,-10.14400,0.21000,-10.37100,0.26100,-9.92600,0.22700,-10.15400,0.22600,-10.19000,0.30500,-9.93600,0.22600,-10.03000,0.20700,-10.09100,0.28700,-8.68300,0.24600,-8.85200,0.28300,-8.94100,0.34800,-8.81100,0.31100,-8.66400,0.32200,-8.83500,0.31300,-8.81800,0.40300,-8.45000,0.31200,-8.51200,0.30100,-8.69600,0.34900,-8.51900,0.31100,-8.98000,0.48200,-8.76100,0.44600,-9.04500,0.44800,0,0.02240,5.85720,1.82290,19241016,19.11000,6.25000
51.67500,6.72500,Duisburg,1,0.04720,3668.00000,0.06420,3695.00000,0.07920,4441.00000,0.09980,3895.00000,-9.08300,0.76400,-8.65400,0.41800,-8.81700,0.25200,-8.72700,0.29700,-8.46400,0.69700,-8.09300,0.33100,-8.35000,0.25900,-8.23500,0.30600,-10.09500,0.25800,-9.95300,0.22900,-9.94900,0.32000,-9.90900,0.22200,-10.12000,0.26200,-9.67800,0.22000,-9.91100,0.23000,-9.94500,0.30200,-9.71300,0.20500,-9.76800,0.21900,-9.85400,0.28900,-8.71500,0.24700,-8.94700,0.27100,-8.98200,0.38000,-8.80900,0.26700,-8.80100,0.28600,-8.85900,0.30400,-8.83100,0.31700,-8.56100,0.26300,-8.62700,0.28300,-8.84500,0.37200,-8.63000,0.31500,-9.07700,0.51800,-8.83400,0.45400,-9.20200,0.41700,0,0.01360,5.28260,0.89280,19241016,26.09000,7.15000
51.67500,6.77500,Duisburg,1,0.03160,1350.00000,0.04600,1283.00000,0.05260,1263.00000,0.06220,1062.00000,-9.00600,0.77100,-8.55900,0.42300,-8.71200,0.25100,-8.61400,0.29200,-8.35300,0.67800,-7.99100,0.32800,-8.24900,0.25500,-8.13500,0.30300,-9.96100,0.27800,-9.79500,0.22800,-9.79400,0.31000,-9.75700,0.22900,-9.96000,0.26000,-9.53100,0.23000,-9.74900,0.23400,-9.78000,0.30300,-9.56400,0.19800,-9.61200,0.23200,-9.71200,0.28400,-8.64400,0.26700,-8.83800,0.27800,-8.92600,0.40000,-8.71600,0.29400,-8.73200,0.28500,-8.79400,0.31100,-8.75200,0.32200,-8.47200,0.28000,-8.57200,0.29600,-8.77200,0.35900,-8.56300,0.32100,-8.96400,0.53300,-8.79400,0.44000,-9.09200,0.45900,0,0.00780,4.78500,0.44350,19241016,27.14000,6.88000
51.67500,6.82500,Duisburg,1,0.02160,2090.00000,0.04410,2662.00000,0.05280,2796.00000,0.06530,2500.00000,-8.93000,0.77700,-8.46400,0.42800,-8.60600,0.24900,-8.50000,0.28700,-8.24100,0.65900,-7.88900,0.32500,-8.14700,0.25100,-8.03500,0.30000,-9.87300,0.29200,-9.68900,0.22600,-9.68800,0.30500,-9.65200,0.23500,-9.85200,0.26100,-9.43400,0.23700,-9.63600,0.23700,-9.67200,0.30300,-9.46200,0.19600,-9.50800,0.24000,-9.61400,0.28100,-8.60000,0.29400,-8.75200,0.28400,-8.90300,0.40900,-8.66000,0.31500,-8.68500,0.28600,-8.76100,0.31600,-8.70700,0.33300,-8.41100,0.29800,-8.54100,0.30900,-8.72300,0.34700,-8.52700,0.32500,-8.88700,0.53400,-8.77400,0.43300,-9.02000,0.49700,0,0.00920,3.92130,0.48030,19241016,25.28000,7.39000
51.67500,6.87500,Duisburg,1,0.10270,10292.00000,0.18600,9526.00000,0.20500,9111.00000,0.23660,8123.00000,-8.67000,0.86800,-8.26900,0.39500,-8.38700,0.25200,-8.24100,0.32600,-7.94900,0.58100,-7.71900,0.34000,-7.94800,0.24700,-7.88200,0.31500,-9.79700,0.29900,-9.60200,0.22800,-9.60700,0.30100,-9.58700,0.23400,-9.79500,0.28700,-9.37400,0.23400,-9.55400,0.25000,-9.62800,0.29600,-9.36700,0.20600,-9.43400,0.25100,-9.57200,0.26800,-8.50100,0.33900,-8.59000,0.29000,-8.82400,0.39300,-8.54800,0.31900,-8.58400,0.27300,-8.64500,0.32100,-8.61500,0.34000,-8.30600,0.32000,-8.44100,0.32400,-8.59500,0.32600,-8.43800,0.30900,-8.70900,0.52400,-8.63900,0.42200,-8.77500,0.53000,0,0.02860,5.51880,1.98480,19241016,20.30000,6.83000
51.67500,6.92500,Duisburg,2,0.11100,12732.00000,0.16070,12261.00000,0.17680,12141.00000,0.21400,12010.00000,-8.59400,0.87700,-8.17100,0.39600,-8.28500,0.25400,-8.12700,0.32100,-7.83700,0.56600,-7.61700,0.33700,-7.84700,0.24500,-7.78000,0.31100,-9.70300,0.32300,-9.47300,0.22500,-9.46100,0.29700,-9.46300,0.23700,-9.66300,0.29000,-9.26400,0.22300,-9.42400,0.27900,-9.51100,0.28500,-9.23400,0.23100,-9.30000,0.24900,-9.46100,0.26100,-8.12600,0.32000,-8.21700,0.27200,-8.38000,0.31100,-8.17400,0.29800,-8.24300,0.23000,-8.20400,0.31400,-8.20000,0.34400,-7.93300,0.30600,-8.03800,0.33300,-8.20400,0.32300,-8.04700,0.27100,-8.30800,0.44200,-8.10300,0.40300,-8.23800,0.53300,0,0.02360,6.01040,1.59030,19241016,22.26000,7.06000
51.67500,6.97500,Duisburg,2,0.35170,38936.00000,0.40780,31110.00000,0.42320,29204.00000,0.44720,25351.00000,-8.48200,0.93500,-8.05500,0.39800,-8.19000,0.26800,-8.00000,0.32500,-7.72300,0.52900,-7.54300,0.35200,-7.75900,0.25800,-7.70600,0.31000,-9.60300,0.32300,-9.34900,0.23400,-9.32200,0.29800,-9.34100,0.23300,-9.53200,0.28400,-9.15700,0.23700,-9.29800,0.28900,-9.38500,0.28300,-9.10000,0.23300,-9.16200,0.24400,-9.32400,0.25500,-7.75100,0.27700,-7.77300,0.29100,-7.91800,0.32500,-7.75700,0.31100,-7.77200,0.24800,-7.79200,0.31200,-7.75400,0.32400,-7.49600,0.30700,-7.60200,0.33900,-7.75500,0.31000,-7.53100,0.29400,-7.83000,0.42600,-7.68200,0.41200,-7.80000,0.52100,0,0.05250,7.19120,5.10100,19241016,22.66000,6.73000
