latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
38.82500,68.52500,Dushanbe,0,0.00000,0.00000,0.00010,21.00000,0.00010,22.00000,0.00010,24.00000,-8.75000,0.16700,-8.69000,0.08000,-8.61900,0.14800,-8.70900,0.19500,-8.60600,0.13300,-8.69300,0.19500,-8.58900,0.28800,-8.53000,0.20100,-10.70300,0.16100,-10.41500,0.23700,-10.48200,0.22000,-10.67100,0.26900,-10.75900,0.19300,-10.66500,0.21200,-10.73500,0.22400,-10.48400,0.21900,-10.56100,0.28500,-10.39000,0.21400,-10.82100,0.23400,-8.24600,0.18600,-8.06900,0.30000,-8.41100,0.19100,-8.25400,0.30200,-8.19000,0.27000,-8.32900,0.27700,-8.20100,0.30900,-8.27000,0.20400,-8.17200,0.38800,-8.22100,0.29100,-8.20100,0.26100,-8.24700,0.33100,-8.36000,0.26500,-8.33400,0.28300,0,-9999,-9999,-9999,24100564,2.85000,1.34000
38.82500,68.57500,Dushanbe,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.71600,0.16200,-8.68300,0.08100,-8.62000,0.14000,-8.69600,0.20500,-8.61300,0.11600,-8.69000,0.21600,-8.54600,0.34200,-8.50300,0.24000,-10.71100,0.16500,-10.41500,0.23700,-10.48900,0.20900,-10.63700,0.26900,-10.73400,0.19500,-10.63700,0.23900,-10.73600,0.20300,-10.49600,0.24800,-10.53000,0.25700,-10.38100,0.19300,-10.77200,0.25800,-8.38600,0.17500,-8.27500,0.29600,-8.47600,0.21100,-8.31100,0.30400,-8.35700,0.28900,-8.41600,0.24600,-8.29900,0.32400,-8.38200,0.18700,-8.27400,0.40100,-8.34000,0.31500,-8.32900,0.25600,-8.36600,0.34500,-8.41700,0.25700,-8.40400,0.27700,0,-9999,-9999,-9999,24100564,3.93000,1.47000
38.82500,68.62500,Dushanbe,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.79000,0.14900,-8.77400,0.07400,-8.71700,0.13100,-8.79300,0.19500,-8.70900,0.09800,-8.76000,0.20800,-8.61500,0.35100,-8.59600,0.25800,-10.68400,0.17200,-10.37700,0.25100,-10.45400,0.19100,-10.55700,0.27100,-10.65500,0.19200,-10.56700,0.22100,-10.68900,0.17800,-10.45400,0.28400,-10.47400,0.22100,-10.33600,0.19000,-10.71000,0.26700,-8.43300,0.17800,-8.37300,0.23700,-8.52300,0.23000,-8.35200,0.29300,-8.43300,0.24700,-8.46300,0.23200,-8.34800,0.30500,-8.44600,0.18400,-8.34300,0.39100,-8.40000,0.30900,-8.39300,0.24200,-8.41200,0.32600,-8.43400,0.26100,-8.47700,0.25500,0,-9999,-9999,-9999,24100564,3.71000,1.52000
38.82500,68.67500,Dushanbe,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.70800,0.15500,-8.73300,0.07400,-8.65800,0.12800,-8.75100,0.18800,-8.68600,0.09600,-9.28500,1.30900,-8.40600,0.69900,-8.52400,0.27600,-10.64700,0.17000,-10.36400,0.25200,-10.46100,0.19100,-10.49600,0.22800,-10.60600,0.21400,-10.54100,0.20500,-10.67100,0.14900,-10.41700,0.29400,-10.44000,0.20200,-10.33500,0.18600,-10.64700,0.22200,-8.45300,0.15900,-8.39300,0.20500,-8.49200,0.19900,-8.35700,0.29500,-8.47800,0.19300,-8.46900,0.21900,-8.35200,0.30300,-8.47600,0.15300,-8.37800,0.36300,-8.42400,0.28700,-8.41300,0.22900,-8.42800,0.29900,-8.44000,0.25000,-8.50500,0.23100,0,-9999,-9999,-9999,24100564,4.62000,1.60000
38.82500,68.72500,Dushanbe,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.72700,0.15200,-8.75900,0.07100,-8.68400,0.12500,-8.77800,0.18300,-8.71300,0.09100,-9.37800,1.36400,-8.41600,0.72300,-8.54900,0.28100,-10.61300,0.17600,-10.34700,0.24800,-10.44800,0.18900,-10.46200,0.20600,-10.57400,0.21700,-10.50900,0.20700,-10.64500,0.13500,-10.39100,0.29700,-10.41600,0.21000,-10.33200,0.17400,-10.61000,0.20000,-8.43800,0.14200,-8.37300,0.19900,-8.42600,0.18000,-8.32200,0.30200,-8.47800,0.16600,-8.43300,0.22000,-8.32200,0.31200,-8.46600,0.13800,-8.36000,0.33300,-8.41100,0.26200,-8.39400,0.23400,-8.40600,0.28800,-8.40600,0.24300,-8.48800,0.21900,0,-9999,-9999,-9999,24100564,4.00000,1.52000
38.82500,68.77500,Dushanbe,0,0.00010,0.00000,0.00010,0.00000,0.00010,0.00000,0.00010,0.00000,-8.72400,0.15300,-8.77200,0.07500,-8.68900,0.12700,-8.78900,0.17600,-8.72600,0.09700,-9.14300,1.36800,-8.46200,0.67000,-8.56000,0.28400,-10.60000,0.18200,-10.35600,0.24500,-10.45200,0.19400,-10.44500,0.19200,-10.55800,0.21600,-10.50800,0.22200,-10.63900,0.13600,-10.36900,0.29900,-10.40800,0.21300,-10.33900,0.16400,-10.58500,0.18900,-8.41500,0.12800,-8.34700,0.19500,-8.37900,0.17600,-8.28900,0.30800,-8.47000,0.14800,-8.39500,0.22400,-8.28900,0.32100,-8.45200,0.12900,-8.33500,0.31100,-8.38600,0.25100,-8.36800,0.24000,-8.37600,0.28000,-8.37000,0.24900,-8.45900,0.20500,0,-9999,-9999,-9999,24100564,2.97000,1.29000
38.82500,68.82500,Dushanbe,0,0.00000,119.00000,0.00010,133.00000,0.00010,156.00000,0.00010,255.00000,-8.68100,0.15600,-8.75800,0.08600,-8.65700,0.13400,-8.77300,0.16300,-8.71400,0.10900,-8.20700,0.82300,-8.55200,0.51500,-8.54500,0.28600,-10.59100,0.18200,-10.37600,0.24300,-10.47900,0.19100,-10.44000,0.18400,-10.56300,0.21100,-10.53600,0.24200,-10.64300,0.14800,-10.35800,0.28900,-10.42000,0.19200,-10.36200,0.14900,-10.57700,0.19600,-8.39900,0.11400,-8.33600,0.19700,-8.34900,0.17700,-8.27900,0.31400,-8.46800,0.14100,-8.36900,0.22900,-8.27400,0.32100,-8.44800,0.12700,-8.31600,0.30400,-8.36300,0.25100,-8.34600,0.24400,-8.35500,0.28000,-8.33900,0.27800,-8.43000,0.19000,0,-9999,-9999,-9999,24100564,3.31000,1.34000
38.82500,68.87500,Dushanbe,0,0.00000,0.00000,0.00000,36.00000,0.00000,42.00000,0.00000,25.00000,-8.73600,0.15400,-8.83100,0.09200,-8.73400,0.13300,-8.85000,0.15900,-8.79100,0.10200,-8.25000,0.83800,-8.61400,0.51800,-8.61900,0.30000,-10.58600,0.20400,-10.39800,0.25300,-10.49500,0.19300,-10.45900,0.18100,-10.57000,0.20000,-10.55800,0.24100,-10.64100,0.15600,-10.33400,0.26500,-10.43100,0.17100,-10.37000,0.14300,-10.60800,0.19500,-8.41100,0.11800,-8.35900,0.20800,-8.35800,0.17900,-8.30600,0.31700,-8.50300,0.14600,-8.38000,0.23800,-8.29400,0.34600,-8.47900,0.14000,-8.32400,0.32700,-8.36100,0.28300,-8.35200,0.25600,-8.36400,0.29000,-8.35700,0.31600,-8.44000,0.20800,0,-9999,-9999,-9999,24100564,3.29000,1.33000
38.82500,68.92500,Dushanbe,0,0.00000,0.00000,0.00000,43.00000,0.00000,51.00000,0.00000,69.00000,-8.71800,0.14900,-8.79700,0.12400,-8.69400,0.12400,-8.83900,0.14800,-8.75000,0.10200,-8.20600,0.78700,-8.62600,0.41500,-8.59100,0.30600,-10.64900,0.23900,-10.46900,0.24700,-10.56000,0.20000,-10.54000,0.19500,-10.62500,0.19200,-10.63100,0.24300,-10.68300,0.18000,-10.40900,0.23200,-10.49100,0.15300,-10.44800,0.15300,-10.68900,0.20300,-8.49900,0.16000,-8.49800,0.24600,-8.48600,0.20700,-8.39600,0.33700,-8.66800,0.14600,-8.49900,0.28600,-8.47500,0.37500,-8.59100,0.13800,-8.44800,0.35700,-8.45100,0.35200,-8.47200,0.30800,-8.47700,0.32600,-8.52200,0.35900,-8.58600,0.29200,0,-9999,-9999,-9999,24100564,3.00000,1.29000
38.82500,68.97500,Dushanbe,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.74200,0.14800,-8.82900,0.12900,-8.72800,0.12300,-8.87300,0.14600,-8.78400,0.09800,-8.22800,0.78600,-8.65300,0.41600,-8.62500,0.31300,-10.71800,0.26800,-10.54100,0.22400,-10.62200,0.22400,-10.59400,0.20300,-10.69400,0.18700,-10.68800,0.25400,-10.72600,0.18100,-10.48900,0.20300,-10.55600,0.14500,-10.51800,0.16200,-10.76400,0.19200,-8.70400,0.23600,-8.71600,0.30300,-8.70700,0.28300,-8.56900,0.34000,-8.89100,0.18200,-8.67400,0.33300,-8.67600,0.37400,-8.77000,0.17300,-8.62300,0.36700,-8.64800,0.41100,-8.66400,0.36100,-8.73400,0.35700,-8.76200,0.39000,-8.78600,0.31600,0,-9999,-9999,-9999,24100564,4.21000,1.79000
