latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
51.47500,6.52500,Dusseldorf,2,0.09320,14066.00000,0.14030,14177.00000,0.18290,14244.00000,0.23160,13453.00000,-8.48300,0.59600,-8.15300,0.51000,-8.24800,0.27900,-8.14900,0.24100,-8.09700,0.34700,-7.60500,0.32700,-7.83400,0.30000,-7.72000,0.25000,-9.28800,0.29300,-9.15800,0.20000,-9.00900,0.31200,-9.09100,0.22300,-9.08200,0.23900,-8.84400,0.24000,-8.89900,0.25000,-9.00700,0.29400,-8.73000,0.23800,-8.80000,0.16900,-8.87100,0.18800,-7.60600,0.34000,-7.76900,0.30100,-7.80300,0.36000,-7.52200,0.38000,-7.57200,0.32700,-7.63700,0.31900,-7.61300,0.41800,-7.36300,0.31500,-7.42800,0.40900,-7.63900,0.31100,-7.31000,0.32900,-7.71000,0.39500,-7.47400,0.54800,-7.53200,0.46200,0,0.02230,6.04950,1.81500,19324984,22.40000,6.62000
51.47500,6.57500,Dusseldorf,2,0.18960,27375.00000,0.25410,24452.00000,0.29160,24226.00000,0.36740,23025.00000,-8.30800,0.60200,-7.92600,0.52100,-7.99000,0.26600,-7.91300,0.16500,-7.82500,0.34200,-7.36000,0.31400,-7.60300,0.29900,-7.48100,0.23400,-9.00000,0.30900,-8.85500,0.19100,-8.69100,0.30900,-8.77200,0.23500,-8.74200,0.22000,-8.52500,0.23300,-8.58500,0.24600,-8.68300,0.28200,-8.41800,0.23100,-8.46100,0.17100,-8.53900,0.18300,-7.00800,0.38300,-7.14000,0.32900,-7.10400,0.41400,-6.85200,0.43900,-6.89800,0.35100,-6.91400,0.29700,-6.93300,0.40900,-6.76100,0.34600,-6.71400,0.43500,-6.94200,0.28300,-6.68600,0.35700,-7.06700,0.41100,-6.83500,0.57900,-6.88100,0.52900,0,0.03340,7.35180,2.98130,19324984,18.20000,5.97000
51.47500,6.62500,Dusseldorf,3,0.35950,47562.00000,0.44520,43866.00000,0.49760,44852.00000,0.56170,41747.00000,-8.21400,0.57500,-7.85900,0.52000,-7.91000,0.26200,-7.83600,0.16800,-7.75700,0.32500,-7.29500,0.31100,-7.53800,0.30300,-7.41000,0.23200,-8.58600,0.29200,-8.42200,0.19300,-8.25500,0.29000,-8.32600,0.24000,-8.27200,0.18400,-8.05800,0.22800,-8.15300,0.23700,-8.22300,0.26200,-7.98400,0.25200,-7.98800,0.17300,-8.03900,0.17200,-5.96700,0.30300,-5.96900,0.24700,-5.90300,0.32500,-5.73900,0.30300,-5.74100,0.27900,-5.78400,0.34000,-5.78900,0.36500,-5.56000,0.37000,-5.59500,0.39200,-5.82300,0.27100,-5.57300,0.38600,-5.76800,0.52800,-5.77800,0.50400,-5.79000,0.36600,0,0.07200,8.56540,7.83960,19324984,22.79000,5.91000
51.47500,6.67500,Dusseldorf,3,0.40240,37482.00000,0.44520,36273.00000,0.46100,36723.00000,0.52100,35994.00000,-7.96200,0.62900,-7.50900,0.51900,-7.51100,0.24600,-7.41000,0.16700,-7.31300,0.39300,-6.92500,0.30300,-7.18300,0.26500,-7.03100,0.23600,-8.27800,0.28500,-8.06200,0.20700,-7.90900,0.28500,-7.97500,0.22500,-7.92100,0.15900,-7.68100,0.21900,-7.79300,0.23900,-7.84500,0.26200,-7.64600,0.25100,-7.61900,0.17000,-7.66100,0.17000,-5.16400,0.31200,-5.09300,0.21400,-5.00000,0.23900,-4.93100,0.23600,-4.78700,0.23600,-4.89000,0.23700,-4.90000,0.27200,-4.66800,0.32200,-4.69300,0.32600,-4.88700,0.25400,-4.68000,0.29000,-4.75600,0.43600,-4.86400,0.38700,-4.88700,0.31100,0,0.04750,8.44300,4.82560,19324984,21.70000,6.84000
51.47500,6.72500,Dusseldorf,3,0.61660,62743.00000,0.64260,59077.00000,0.65940,60383.00000,0.70290,58123.00000,-7.87100,0.61000,-7.43900,0.52200,-7.43200,0.24500,-7.33200,0.16600,-7.24900,0.37700,-6.86000,0.30200,-7.11900,0.26600,-6.95900,0.23300,-8.12900,0.28500,-7.89900,0.20300,-7.74700,0.28300,-7.80600,0.21900,-7.76500,0.15900,-7.51500,0.21700,-7.62900,0.24000,-7.67400,0.25100,-7.49000,0.25000,-7.45800,0.17700,-7.49000,0.17300,-4.98500,0.29900,-4.92300,0.19100,-4.83400,0.22400,-4.77000,0.21700,-4.61400,0.22900,-4.73800,0.21400,-4.72900,0.24500,-4.52700,0.30800,-4.52900,0.30300,-4.72700,0.24100,-4.52400,0.25400,-4.57900,0.35900,-4.70900,0.37000,-4.72100,0.28500,0,0.12770,12.63600,18.33530,19324984,22.39000,6.61000
51.47500,6.77500,Dusseldorf,3,0.78450,76193.00000,0.81170,71162.00000,0.82600,71690.00000,0.86490,67626.00000,-7.77900,0.59100,-7.36900,0.52500,-7.35200,0.24300,-7.25400,0.16400,-7.18500,0.36200,-6.79500,0.30000,-7.05500,0.26700,-6.88700,0.23100,-7.94800,0.29200,-7.70100,0.19800,-7.55000,0.28100,-7.59900,0.21200,-7.57800,0.15900,-7.30900,0.21300,-7.42500,0.24200,-7.46500,0.23200,-7.29700,0.24700,-7.26200,0.19000,-7.27800,0.17400,-4.81900,0.28300,-4.76700,0.17600,-4.68600,0.21000,-4.62000,0.20000,-4.46800,0.21900,-4.59700,0.19600,-4.58200,0.22400,-4.39400,0.29400,-4.39100,0.28600,-4.59000,0.21900,-4.38600,0.22900,-4.42700,0.29200,-4.56000,0.35200,-4.55500,0.24700,0,0.13210,12.52260,17.13450,19324984,26.61000,6.75000
51.47500,6.82500,Dusseldorf,3,0.80150,70378.00000,0.84270,68841.00000,0.85110,69806.00000,0.88660,66103.00000,-7.62600,0.67100,-7.14800,0.50400,-7.15900,0.25300,-7.01000,0.20000,-6.91900,0.41200,-6.62700,0.28800,-6.87200,0.21800,-6.69600,0.25000,-7.82100,0.30500,-7.55200,0.17700,-7.43300,0.26700,-7.45000,0.20500,-7.47500,0.17100,-7.18600,0.21000,-7.29700,0.25500,-7.32900,0.22000,-7.17700,0.25800,-7.13600,0.20100,-7.16200,0.15800,-4.72500,0.25600,-4.67600,0.16100,-4.64100,0.19900,-4.54900,0.18700,-4.43400,0.20500,-4.52000,0.20000,-4.51200,0.19500,-4.29800,0.25800,-4.33400,0.27100,-4.51100,0.17600,-4.29100,0.21200,-4.35400,0.22900,-4.38700,0.32200,-4.38700,0.21900,0,0.10940,11.22460,13.77420,19324984,22.98000,6.31000
51.47500,6.87500,Dusseldorf,3,0.80980,81233.00000,0.85950,76585.00000,0.86680,77972.00000,0.89360,72813.00000,-7.62600,0.67100,-7.14800,0.50400,-7.15900,0.25300,-7.01000,0.20000,-6.91900,0.41200,-6.62700,0.28800,-6.87200,0.21800,-6.69600,0.25000,-7.80000,0.30700,-7.51700,0.18100,-7.41500,0.25800,-7.42900,0.21200,-7.47900,0.18100,-7.18700,0.21200,-7.29000,0.26300,-7.31200,0.21000,-7.16300,0.26500,-7.13800,0.21300,-7.16200,0.16000,-4.76200,0.23300,-4.72000,0.17600,-4.72000,0.21200,-4.61000,0.19200,-4.52000,0.20300,-4.58200,0.21500,-4.58100,0.18000,-4.32700,0.23600,-4.39300,0.26800,-4.55100,0.16500,-4.33000,0.22200,-4.41000,0.21700,-4.34400,0.30300,-4.33900,0.20000,0,0.12660,11.33230,14.81810,19324984,22.71000,6.06000
51.47500,6.92500,Dusseldorf,3,0.58880,71289.00000,0.66860,67799.00000,0.67870,70395.00000,0.71090,69827.00000,-7.60100,0.70500,-7.12200,0.48600,-7.15000,0.25600,-6.97500,0.21100,-6.88500,0.42000,-6.61900,0.29000,-6.85300,0.21900,-6.68800,0.26100,-7.80800,0.31100,-7.51900,0.19000,-7.42100,0.25500,-7.43200,0.21100,-7.49300,0.18900,-7.20200,0.21800,-7.29900,0.26800,-7.32400,0.20700,-7.17000,0.26700,-7.14900,0.21400,-7.17500,0.15700,-4.79600,0.22900,-4.75800,0.17800,-4.78300,0.21800,-4.66400,0.20100,-4.58200,0.20200,-4.63700,0.22600,-4.63800,0.18200,-4.36300,0.23900,-4.43700,0.27200,-4.59900,0.16700,-4.37500,0.22900,-4.47500,0.23300,-4.37800,0.30000,-4.36500,0.20900,0,0.09240,10.15070,9.51580,19324984,27.12000,6.71000
51.47500,6.97500,Dusseldorf,3,0.78870,104986.00000,0.85550,96481.00000,0.86430,99168.00000,0.90340,97666.00000,-7.50800,0.75600,-7.04200,0.45600,-7.10200,0.26900,-6.87900,0.22800,-6.80700,0.43300,-6.58500,0.29400,-6.79400,0.22100,-6.64600,0.28400,-7.85600,0.32500,-7.55800,0.20700,-7.46200,0.25500,-7.47100,0.21300,-7.55100,0.20400,-7.26300,0.23000,-7.35200,0.28000,-7.38300,0.20600,-7.22100,0.27000,-7.20300,0.21100,-7.23600,0.14700,-4.87800,0.22300,-4.84400,0.18500,-4.90600,0.23400,-4.76800,0.22000,-4.69000,0.20000,-4.74100,0.24300,-4.73900,0.18700,-4.43500,0.24400,-4.52100,0.27800,-4.69100,0.17000,-4.46400,0.24400,-4.60600,0.26600,-4.45400,0.30200,-4.44000,0.23100,0,0.14340,11.82120,17.13410,19324984,21.14000,6.19000
