latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
30.27500,30.92500,ElGiza,2,0.08770,22411.00000,0.10730,32015.00000,0.11360,38849.00000,0.11950,52692.00000,-11.36600,0.19800,-11.11800,0.20500,-11.39400,0.32400,-11.20100,0.42900,-10.81500,0.23600,-10.79000,0.11600,-10.61800,0.11400,-10.70100,0.16800,-11.67400,0.45600,-11.49300,0.48000,-11.55300,0.48000,-11.48700,0.45300,-11.50100,0.37300,-11.45000,0.49900,-11.50000,0.51800,-11.47200,0.57300,-11.43200,0.52000,-11.49900,0.51700,-11.51100,0.45700,-10.22200,0.23400,-10.16900,0.21100,-10.27900,0.22800,-10.31000,0.25000,-10.20500,0.22600,-10.06000,0.17600,-10.00200,0.27100,-10.03300,0.32100,-10.04000,0.18300,-9.93200,0.33400,-9.66800,0.17400,-9.61300,0.53800,-9.82300,0.22300,-9.68500,0.31300,0,-9999,-9999,-9999,26666432,12.92000,3.33000
30.27500,30.97500,ElGiza,2,0.08490,51010.00000,0.10350,72719.00000,0.10700,87983.00000,0.12740,112290.00000,-11.09000,0.19700,-10.84500,0.19600,-11.12500,0.32100,-10.94400,0.43000,-10.56800,0.23600,-10.54300,0.11700,-10.39000,0.11500,-10.48000,0.16600,-11.07500,0.50900,-10.86800,0.52200,-10.94100,0.52800,-10.93000,0.49500,-10.91400,0.40600,-10.87900,0.54000,-10.96300,0.56100,-10.94200,0.66600,-10.92300,0.54400,-11.01600,0.51800,-11.04400,0.48400,-9.69100,0.19500,-9.71700,0.17000,-9.81200,0.20700,-9.89400,0.27200,-9.79800,0.21700,-9.62900,0.16400,-9.66200,0.24100,-9.67600,0.21800,-9.70600,0.18500,-9.62900,0.34200,-9.36000,0.21700,-9.38100,0.53000,-9.52200,0.27700,-9.43900,0.35100,0,-9999,-9999,-9999,26666432,14.07000,3.39000
30.27500,31.02500,ElGiza,3,0.06360,22336.00000,0.09060,35100.00000,0.09140,42765.00000,0.10850,58375.00000,-10.18300,0.19100,-9.95800,0.16000,-10.23300,0.29600,-10.11400,0.41800,-9.76900,0.21500,-9.74700,0.12700,-9.66800,0.11700,-9.74400,0.16800,-10.63600,0.51800,-10.42200,0.51600,-10.47200,0.52700,-10.49600,0.49100,-10.44000,0.42600,-10.44300,0.54800,-10.51600,0.53300,-10.54800,0.70600,-10.51900,0.53800,-10.60300,0.49300,-10.64600,0.48900,-9.45900,0.19700,-9.53000,0.18100,-9.53100,0.16500,-9.58800,0.28700,-9.54600,0.17500,-9.39900,0.17700,-9.48700,0.25800,-9.47900,0.19300,-9.43900,0.19900,-9.38700,0.19400,-9.19700,0.20200,-9.13400,0.47100,-9.34700,0.28600,-9.28700,0.36500,0,-9999,-9999,-9999,26666432,15.03000,3.43000
30.27500,31.07500,ElGiza,3,0.05610,27604.00000,0.08180,42289.00000,0.08260,51766.00000,0.09560,69075.00000,-10.03400,0.19500,-9.82300,0.16100,-10.07700,0.28800,-9.98600,0.41400,-9.64600,0.21200,-9.62600,0.13200,-9.55500,0.12700,-9.62300,0.16600,-10.29800,0.48500,-10.10100,0.49100,-10.09200,0.51600,-10.17900,0.46200,-10.10600,0.41900,-10.12400,0.52800,-10.13200,0.49500,-10.17900,0.66600,-10.18400,0.48800,-10.22300,0.45900,-10.28200,0.50000,-9.31800,0.20400,-9.44700,0.16900,-9.35600,0.17100,-9.34400,0.23300,-9.33300,0.14000,-9.22400,0.20200,-9.35600,0.26200,-9.36700,0.19400,-9.29600,0.20900,-9.26900,0.18300,-9.08300,0.19400,-8.95000,0.46100,-9.21300,0.25100,-9.13800,0.37100,0,-9999,-9999,-9999,26666432,14.07000,3.42000
30.27500,31.12500,ElGiza,3,0.04750,27829.00000,0.08440,39811.00000,0.08540,48394.00000,0.10350,64595.00000,-9.57900,0.20000,-9.40700,0.16200,-9.60000,0.26000,-9.59000,0.40100,-9.27100,0.19600,-9.25600,0.14100,-9.20900,0.15600,-9.24600,0.15300,-10.11900,0.40600,-9.96200,0.43600,-9.86100,0.47600,-10.01600,0.43800,-9.92400,0.37400,-9.93100,0.48500,-9.90900,0.43800,-9.95000,0.62000,-9.98600,0.42200,-10.00900,0.43000,-10.05300,0.49800,-9.28900,0.19000,-9.40900,0.15400,-9.32200,0.17500,-9.26400,0.20000,-9.26900,0.14900,-9.18900,0.19200,-9.27800,0.23500,-9.29900,0.19000,-9.22500,0.20300,-9.24600,0.18900,-9.04900,0.18900,-8.88400,0.52700,-9.18900,0.23100,-9.09600,0.36600,0,-9999,-9999,-9999,26666432,14.51000,3.41000
30.27500,31.17500,ElGiza,3,0.04970,22785.00000,0.09490,34504.00000,0.09980,41910.00000,0.11240,55729.00000,-9.51600,0.20000,-9.37100,0.15700,-9.52100,0.24300,-9.54700,0.39600,-9.23800,0.20000,-9.23200,0.14600,-9.17900,0.17200,-9.20100,0.14100,-10.07900,0.36900,-9.94900,0.38000,-9.76700,0.44100,-9.95900,0.42700,-9.86700,0.36200,-9.85200,0.46500,-9.78900,0.40500,-9.84600,0.56000,-9.88300,0.37000,-9.88800,0.43700,-9.89500,0.51400,-9.30800,0.20500,-9.41500,0.16500,-9.33600,0.17300,-9.26000,0.20100,-9.26800,0.15800,-9.20900,0.19100,-9.25200,0.24700,-9.29400,0.18600,-9.21500,0.20900,-9.25800,0.20400,-9.05000,0.19900,-8.88500,0.57900,-9.20400,0.22200,-9.13700,0.33000,0,-9999,-9999,-9999,26666432,15.13000,3.40000
30.27500,31.22500,ElGiza,3,0.06030,26132.00000,0.14140,40339.00000,0.14870,49993.00000,0.15940,65586.00000,-9.41900,0.19700,-9.32000,0.14800,-9.39600,0.21500,-9.48200,0.38600,-9.19100,0.20400,-9.20000,0.15200,-9.13800,0.19900,-9.13200,0.11800,-10.19700,0.33300,-10.07000,0.34200,-9.83100,0.40500,-10.02300,0.40400,-9.93600,0.35800,-9.91200,0.44900,-9.80700,0.40100,-9.87300,0.49800,-9.91000,0.34400,-9.89300,0.45100,-9.87300,0.53900,-9.37500,0.22300,-9.46100,0.18400,-9.39500,0.16200,-9.29200,0.20300,-9.32100,0.16600,-9.26800,0.18800,-9.26600,0.24700,-9.31400,0.18500,-9.23500,0.21000,-9.30400,0.20700,-9.06700,0.21700,-8.92600,0.61600,-9.21600,0.21700,-9.17600,0.29300,0,-9999,-9999,-9999,26666432,14.24000,3.44000
30.27500,31.27500,ElGiza,3,0.07810,41525.00000,0.15530,63937.00000,0.15980,77643.00000,0.16880,102006.00000,-9.57200,0.19700,-9.50600,0.14000,-9.55100,0.18500,-9.66500,0.34500,-9.38600,0.18100,-9.39500,0.15300,-9.33400,0.18900,-9.31800,0.12900,-10.47900,0.28700,-10.35100,0.32000,-10.07800,0.36900,-10.22600,0.36500,-10.17300,0.36100,-10.13200,0.43700,-10.00600,0.41600,-10.03300,0.47200,-10.06100,0.34400,-10.04200,0.48600,-10.00000,0.56400,-9.47900,0.20900,-9.54800,0.20400,-9.47600,0.15400,-9.35000,0.19600,-9.40200,0.18300,-9.33500,0.18800,-9.31400,0.23500,-9.34600,0.19100,-9.27300,0.20900,-9.33600,0.20800,-9.09600,0.22500,-8.98500,0.58600,-9.22500,0.21300,-9.15700,0.29700,0,-9999,-9999,-9999,26666432,13.78000,3.31000
30.27500,31.32500,ElGiza,3,0.17260,54770.00000,0.29130,77617.00000,0.30770,94801.00000,0.35730,124390.00000,-9.72900,0.19700,-9.69700,0.13000,-9.71100,0.15400,-9.85500,0.30300,-9.58800,0.15800,-9.59700,0.15100,-9.53800,0.17900,-9.51100,0.14000,-10.91500,0.25100,-10.79700,0.30700,-10.51600,0.33800,-10.62000,0.32700,-10.54800,0.36100,-10.50400,0.42500,-10.38300,0.43700,-10.36400,0.49200,-10.36600,0.36500,-10.34400,0.50400,-10.29200,0.56600,-9.69900,0.20700,-9.67300,0.22900,-9.62900,0.19400,-9.45300,0.19000,-9.50700,0.20800,-9.43200,0.20300,-9.40700,0.23400,-9.40800,0.21000,-9.33500,0.21500,-9.35500,0.20100,-9.12400,0.22100,-9.03500,0.57200,-9.23300,0.21400,-9.11500,0.30300,0,-9999,-9999,-9999,26666432,12.77000,3.05000
30.27500,31.37500,ElGiza,3,0.20520,46819.00000,0.34660,68505.00000,0.40310,84092.00000,0.51210,109455.00000,-10.24500,0.20400,-10.18800,0.13000,-10.24100,0.20900,-10.38500,0.23000,-10.12000,0.11500,-10.12700,0.15400,-10.08800,0.18900,-10.04900,0.20500,-11.49600,0.21400,-11.40800,0.28900,-11.12800,0.30200,-11.18200,0.29600,-11.05400,0.36200,-11.03200,0.42500,-10.91600,0.43900,-10.83500,0.53000,-10.84600,0.37600,-10.79000,0.51100,-10.72700,0.56100,-10.10600,0.21600,-10.00700,0.23900,-9.94700,0.23500,-9.72200,0.20900,-9.74000,0.22700,-9.63000,0.22900,-9.63700,0.27200,-9.57600,0.25500,-9.51100,0.25100,-9.44900,0.21100,-9.18900,0.21200,-9.13800,0.56900,-9.26600,0.21200,-9.06800,0.31200,0,-9999,-9999,-9999,26666432,4.48000,1.59000
